 ,221057_111,221057_112,221057_113,221057_114,221057_116,221057_117,221057_118,221057_128,221057_146,221057_147,221481_427,221705_088,221726_105,221727_012,221727_014,221728_143,221728_144,221752_042,230011_212,230011_213,230011_214,230066_086,230066_088,230066_090,230066_091,230066_092,230080_302,231566_043,231567_009,233668_037,233668_038,233668_039,233668_040,233668_042,233668_043,233668_044,233668_045,233668_047,233668_050,233668_098,233795_010,220193_062,221420_005,220193_051,220193_054,220239_006,220239_022,220239_056,221089_110,221089_138,221367_105,221420_001,221420_006,221420_007,221420_009,221420_011,221420_015,221474_182,221474_200,221475_276,230066_111,230066_139,230066_144,233666_016,233666_017,233667_054,233667_067,233667_098,233667_101,233667_200,233667_209,220239_018,221367_106,221474_188,221513_027,233285_065,233285_067,233285_083,220239_058,221224_379,221367_104,221475_299,233666_001,233666_002,233666_003,233666_010,233666_011,233666_012,233666_013,233666_014,233666_035,233666_037,233666_039,233666_040,233666_041,233666_043,233666_044,233666_045,233666_051,233666_053,233666_055,233666_060,233666_063,233666_065,233666_244,233667_053,233667_055,233667_059,233667_061,233667_062,233667_065,233667_066,233667_088,233667_090,233667_097,233667_099,233667_112,233667_113,233667_124,233667_126,233667_194,233667_195,233667_196,233667_197,233667_198,233667_199,233667_202,233667_205,233667_210,233667_211,233667_212,233667_213,233667_214,233667_215,233667_216,233281_106,233285_085,233666_034,233666_038,233666_042,233666_054
="MOs5",="319.7526",="0",="0",="0",="0",="0",="0",="0",="0",="0",="23.1027",="3210.6538",="0",="0",="0",="0",="0",="1597.7814",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1337.2271",="223.5619",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="70.8499",="137.9618",="1437.4305000000002",="317.9101",="1337.6438",="689.1203",="608.5237",="283.3758",="0",="3907.3636",="0",="2340.4674",="0",="1420.9665",="216.5068",="2573.6745",="0",="103.3014",="0",="0",="0",="0",="0",="0",="0",="0",="529.7344",="0",="0",="0",="0",="13.9049",="0",="1169.9277000000002",="197.0462",="0",="0",="208.193",="2.6799",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="110.4947",="0",="0",="385.3513",="0",="0",="0",="0",="0",="0",="91.4718",="4243.3243",="0",="0",="0",="933.7534",="529.6027",="211.9997",="0",="0",="0",="0",="0",="0",="0",="0",="0",="861.2758",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="269.7214",="856.3514",="2829.9902",="765.2533",="1018.3335",="1583.5695",="961.4209",="212.4831",="0",="5288.0615",="272.3818",="2343.9507000000003",="340.014",="3855.5098",="1298.6847",="2662.4588",="0",="0",="377.4951",="0",="0",="0",="0",="0",="0",="4081.1193",="109.2943",="0",="0",="0",="3285.9782999999998",="2863.3402",="0",="366.3483",="0",="0",="0",="6490.6551",="0",="563.3355",="326.5599",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2394.2335",="0",="0",="0",="0",="0",="820.2416",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="281.652",="0",="433.9772",="0",="0",="0",="133.2712",="0",="43.9672",="0",="0",="1926.9180000000001",="842.4752",="0",="42.6473",="224.5492",="1052.9161",="48.0797",="0",="10.6791",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.7268",="5.2613",="0",="696.4691",="0",="0",="773.6037",="113.1799",="0",="434.7899",="13.748",="0",="0",="5.3799",="632.693",="151.5379",="1602.9326",="887.9181",="0",="0",="652.1449",="0",="0",="0",="318.5341",="330.1164",="0",="0",="0",="0",="0",="0",="0",="146.632",="878.7237",="2546.4903",="816.7719",="0",="0",="18.6455",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="748.9681",="0",="0",="0",="0",="103.2314",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="742.7956",="0",="0",="0",="1266.0471",="0",="1801.8716",="0",="327.646",="0",="0",="6036.5184",="360.4206",="0",="90.2912",="80.9118",="1018.1177",="269.5123",="0",="0",="0",="0",="0",="242.6845",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="45.2877",="311.8543",="0",="88.1722",="0",="0",="1154.7166",="0",="0",="1040.4359",="0",="176.3232",="0",="194.7539",="0",="660.1951",="1349.3663",="1899.2505",="0",="422.2702",="1063.6617",="0",="0",="0",="874.3145",="1537.1233",="0",="0",="0",="4.3013",="0",="0",="0",="777.1304",="0",="521.6164",="674.4814",="0",="0",="259.4378",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="221.6232",="0",="0",="0",="0",="189.0323",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="98.9379",="0",="0",="0",="0"
="VISam4",="300.2092",="0",="49.4215",="0",="283.569",="0",="154.3971",="0",="0",="0",="0",="977.5484",="85.2973",="0",="0",="59.4054",="135.2483",="0",="0",="0",="0",="0",="0",="270.1383",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="69.146",="0",="0",="0",="103.7808",="61.5407",="0",="0",="46.7248",="0",="0",="0",="0",="0",="489.3695",="178.5994",="320.1738",="0",="541.134",="0",="0",="0",="0",="344.0449",="998.1904000000001",="0",="40.3445",="0",="51.9603",="0",="0",="0",="13.6133",="0",="68.3634",="159.7408",="0",="0",="270.3171",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="44.6375",="0",="0",="0",="0",="89.916",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="840.7532",="0",="0",="0",="0"
="VISam5",="417.412",="172.7427",="317.2141",="476.218",="813.1653",="0",="1118.7258",="0",="173.0408",="0",="0",="897.6305",="102.3145",="0",="214.7155",="1604.0318",="208.5816",="218.2473",="0",="0",="0",="0",="0",="1931.5164",="0",="0",="0",="267.6257",="0",="0",="0",="0",="0",="0",="34.4695",="0",="0",="0",="0",="0",="0",="0",="237.1163",="332.7341",="238.4643",="0",="708.2144999999999",="825.8388",="492.3934",="0",="2154.6263",="0",="0",="546.6658",="43.585",="119.5257",="273.3369",="609.3078",="1021.1737",="829.5494",="0",="3297.8818",="0",="0",="0",="0",="2219.3361",="1475.3388",="0",="329.9966",="0",="3079.872",="437.0919",="116.3146",="732.2472",="828.9573",="0",="345.3024",="821.838",="0",="589.9929",="2260.0015",="0",="0",="0",="0",="0",="0",="0",="0",="811.8239",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="203.8178",="60.6273",="923.0589",="69.1185",="0",="639.8785",="506.1482",="0",="1048.5587",="245.9991",="282.4797",="496.2969",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3121.2093",="0",="0",="0",="0"
="VISam6a",="611.7859",="0",="0",="332.6322",="293.5333",="646.646",="0",="0",="121.3842",="0",="560.3817",="1098.0495",="0",="0",="0",="566.701",="646.8351",="0",="0",="0",="0",="0",="0",="100.438",="0",="0",="0",="644.7784",="0",="0",="0",="0",="0",="494.2228",="0",="0",="0",="0",="0",="0",="0",="687.4116",="339.9097",="1706.6972999999998",="695.3287",="610.1607",="555.0639",="1001.5304",="272.6221",="653.9228",="3500.1181",="0",="0",="71.7977",="444.0905",="90.869",="1186.5505",="427.1524",="1091.9017",="691.9494",="0",="2147.025",="81.5129",="0",="0",="0",="812.031",="1484.7375000000002",="430.6603",="0",="0",="3435.0791",="1423.4096",="1581.2321000000002",="877.8922",="602.0339",="0",="921.1298",="433.665",="463.9837",="0",="104.8656",="0",="0",="0",="0",="0",="0",="0",="0",="2295.513",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.3062",="2.1622",="499.1837",="246.1287",="838.9096",="574.3901",="1379.2839",="463.0962",="1008.5842",="362.4229",="605.3484",="1063.2247",="0",="133.7349",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1239.8989",="0",="0",="0",="0"
="VISp1",="6030.0761",="276.105",="3318.3908",="0",="837.1345",="0",="1358.9076",="1154.246",="141.2079",="1802.4794",="0",="0",="206.9184",="1513.2103",="172.4389",="0",="15187.0037",="0",="0",="0",="0",="1129.8483",="1061.9947",="0",="0",="341.5614",="56.1206",="0",="751.6604",="0",="149.32569999999998",="329.1596",="0",="0",="197.9391",="0",="168.5149",="40.6226",="307.3524",="696.5012",="4324.6067",="0",="0",="0",="53.8214",="3854.9118",="0",="0",="0",="5982.1388",="0",="270.1707",="0",="886.2066",="0",="0",="0",="0",="0",="80.8316",="2378.0698",="0",="541.2466",="0",="0",="0",="87.6809",="0",="0",="3836.8576000000003",="1989.241",="0",="0",="0",="0",="1189.5471",="400.7915",="0",="1021.4284",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1674.0268",="0",="901.6522",="0",="0",="0",="0",="0",="0",="0",="658.6862",="317.1856",="0",="0",="942.4399",="0",="350.4934",="4481.5545",="14263.8055",="0",="3927.3089",="0",="0",="0",="0",="2814.5789",="0",="264.5204",="0",="656.4395",="0",="131.2679",="1269.8582",="79.3143",="343.1368",="493.7724",="0",="770.1201",="0",="0",="105.9524",="230.5214",="0",="0",="433.9345",="408.0561",="0",="928.335",="0",="0",="109.213",="0"
="VISp2/3",="2088.3932",="682.7301",="269.4864",="0",="1512.8927",="0",="3246.6137",="5806.709",="986.4521",="626.6149",="0",="0",="0",="602.2558",="789.8503",="0",="5183.944",="257.5457",="0",="0",="0",="598.4525",="178.4819",="0",="338.0651",="992.3126",="125.463",="0",="1476.4003",="2047.155",="587.982",="2353.4911",="170.3591",="135.0571",="3231.0838",="0",="6066.5776",="1450.8048",="224.9361",="6077.6619",="2060.8234",="0",="0",="0",="0",="522.2083",="0",="0",="0",="0",="0",="1915.0897",="0",="816.9723",="0",="0",="0",="0",="0",="354.9102",="551.8427",="0",="0",="254.4651",="0",="0",="292.6053",="0",="0",="1670.3215",="218.4519",="0",="0",="0",="0",="2186.9512",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="138.3393",="0",="476.9896",="0",="0",="0",="0",="0",="0",="0",="372.0346",="192.865",="0",="0",="307.4861",="479.0351",="178.4836",="856.6803",="726.6403",="0",="290.1632",="0",="0",="0",="0",="0",="0",="0",="0",="240.2488",="0",="0",="609.0956",="191.7897",="185.7285",="147.1861",="0",="730.7407",="0",="0",="165.1669",="0",="0",="0",="335.7325",="314.9677",="0",="510.537",="0",="0",="803.0233",="0"
="VISp4",="596.6315",="1460.3064",="159.5562",="0",="791.33",="0",="1083.5861",="980.0179",="554.3261",="27.5695",="0",="0",="0",="0",="163.1978",="0",="678.8944",="0",="0",="366.8278",="0",="600.6181",="0",="44.1549",="301.0463",="451.8524",="59.548",="0",="895.9692",="381.0207",="191.5898",="753.5342",="121.1972",="281.7549",="939.5653",="0",="2507.6419",="780.0614",="0",="1696.577",="924.6877",="0",="0",="0",="0",="306.6982",="0",="0",="0",="0",="0",="742.9647",="0",="184.9688",="0",="0",="0",="0",="0",="0",="0",="0",="919.7404",="123.2283",="0",="0",="139.271",="0",="0",="886.7855",="104.565",="0",="0",="0",="0",="3367.5643",="0",="0",="0",="0",="0",="0",="0",="0",="0",="145.2951",="0",="0",="0",="76.335",="0",="443.2973",="57.0206",="147.181",="0",="0",="0",="0",="0",="97.2448",="95.7208",="0",="0",="1345.0205",="1032.9904",="262.8273",="938.928",="614.983",="17.0607",="208.2522",="0",="0",="0",="0",="0",="0",="0",="0",="203.4071",="0",="0",="379.3782",="98.6899",="504.5006",="15.5539",="0",="619.6677",="0",="0",="106.4681",="0",="0",="0",="414.3332",="138.5227",="1323.9079",="93.7331",="0",="0",="718.6288",="0"
="VISp5",="1642.9695",="4453.5344",="517.4068",="0",="4548.7037",="0",="1559.4199",="677.8147",="895.5456",="1621.2597",="0",="0",="0",="0",="636.6038",="569.1152",="4319.939",="0",="0",="977.6624",="0",="3394.8373",="1508.2135",="1582.3283",="1644.5644",="578.7536",="27.0665",="0",="631.931",="1355.0438",="996.2381",="3421.3642",="940.726",="1090.228",="4404.2905",="462.53",="3497.8618",="3235.0169",="510.6601",="2035.4022",="1637.108",="0",="0",="0",="372.0309",="966.5589",="315.7144",="73.4943",="164.9703",="785.7499",="2098.7264",="941.2283",="0",="613.0404",="2.2944",="22.8965",="0",="0",="0",="191.2426",="0",="348.5469",="1979.8609",="355.856",="0",="944.0435",="1869.9434",="25.7216",="0",="2545.7164000000002",="562.7049",="385.7614",="865.0333",="354.9557",="0",="1585.75",="405.1321",="0",="423.7873",="0",="409.8286",="51.1474",="0",="191.5409",="145.2116",="1044.8676",="385.4541",="26.1129",="0",="746.2506",="0",="492.7318",="269.0552",="298.9992",="0",="240.6594",="0",="0",="212.1482",="114.4231",="2516.3138",="291.9377",="0",="2460.8934",="484.9863",="4542.1661",="3613.1355",="1870.1557",="1589.0158",="448.7306",="274.3907",="790.8328",="0",="0",="425.0393",="387.5643",="0",="211.1688",="1642.4349",="0",="0",="2330.8687",="1052.3186",="213.4957",="1332.6775",="0",="782.5429",="109.252",="173.0281",="1349.718",="889.7321",="56.6776",="0",="693.2049",="2098.1421",="3293.1277",="376.6949",="110.6026",="87.1295",="1406.6973",="1204.6975"
="VISpm1",="1842.0393",="1588.007",="1581.8607",="0",="203.2412",="0",="90.4995",="0",="702.5527",="3788.5388",="0",="303.2366",="2449.7179",="41.4938",="547.1473",="604.9018",="1825.0825",="1792.5672",="1086.306",="109.7603",="0",="0",="0",="0",="0",="190.6971",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="124.5041",="0",="0",="0",="0",="0",="3019.2034",="0",="134.9104",="557.6773",="300.9852",="8.428",="8.2963",="23.4359",="0",="0",="0",="0",="0",="0",="1314.7817",="0",="0",="0",="0",="0",="704.7662",="1662.0958",="0",="989.612",="0",="0",="0",="0",="0",="28.016",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="64.9184",="0",="0",="71.0415",="734.7653",="0",="0",="0",="0",="0",="50.4594",="508.6994",="0",="578.2714",="0",="0",="0",="0",="999.2947",="0",="404.2846",="0",="165.105",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="634.8544",="0",="0",="0",="0"
="VISpm2/3",="754.9639",="1439.5511",="557.1511",="0",="341.9457",="0",="219.188",="0",="794.7277",="8215.9525",="0",="348.2783",="830.8458",="35.2122",="2450.3876",="1037.5646",="886.9571",="1451.3794",="78.9191",="87.5253",="0",="0",="31.0778",="0",="511.1703",="2479.8302",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="190.1294",="0",="938.6832",="200.0974",="1101.3826",="828.4904",="510.1211",="254.7934",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="36.4948",="249.4451",="0",="0",="0",="0",="0",="0",="0",="209.8309",="0",="0",="265.2067",="0",="0",="64.2992",="0",="0",="0",="0",="0",="397.5755",="0",="0",="0",="219.2634",="0",="0",="9.7529",="0",="0",="0",="236.0211",="0",="0",="0",="0",="0",="0",="252.3656",="0",="257.984",="0",="176.8429",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpm5",="793.1271",="4519.5625",="4057.2884",="163.8951",="1626.091",="587.4696",="1890.5796",="0",="3267.2794",="2914.4577",="0",="0",="0",="0",="3902.6885",="423.5829",="4765.173",="0",="987.237",="912.0709",="150.7152",="0",="960.2423",="1150.2319",="87.2654",="2119.8251",="0",="0",="215.1828",="0",="0",="0",="0",="31.0309",="70.9133",="0",="0",="0",="0",="386.4564",="0",="0",="0",="93.0391",="907.1358",="0",="13.8969",="20.263",="839.3172",="0",="1622.5101",="35.1603",="0",="711.0049",="0",="120.87209999999999",="0",="1098.3171",="0",="1853.5654",="627.9583",="102.3155",="1853.5609",="0",="0",="0",="654.6774",="4.7685",="0",="706.8707",="0",="2449.9683",="0",="0",="243.1191",="1757.4217",="0",="0",="369.1465",="0",="679.8263",="150.8848",="0",="147.0733",="546.3187",="0",="249.9312",="1480.61",="0",="141.2194",="824.7806",="0",="0",="186.884",="0",="0",="598.14",="0",="0",="407.3651",="309.672",="0",="0",="77.9717",="152.5333",="1074.4282",="1313.9789",="729.6504",="549.139",="16.975",="0",="196.1408",="0",="0",="467.0106",="572.6307",="1255.7493",="2521.952",="247.5258",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="620.2562",="556.4907",="0",="143.867",="0",="0"
="VISpm6a",="545.6646",="351.1544",="500.9596",="643.263",="612.4488",="1696.6748",="0",="0",="347.8979",="2.6839",="397.8397",="0",="0",="106.2737",="110.1857",="722.4675",="590.4424",="0",="584.9969",="109.7188",="0",="0",="0",="84.5229",="0",="0",="0",="383.952",="0",="0",="0",="0",="0",="707.3463",="0",="0",="0",="0",="0",="99.7979",="0",="390.4577",="0",="977.1924",="512.7449",="362.9061",="66.1435",="479.6386",="9.2626",="156.7091",="2232.0872",="259.7447",="0",="490.5236",="571.1023",="942.8039",="602.9954",="681.1132",="0",="1194.9131",="45.5695",="634.5353",="1601.3164000000002",="0",="0",="1064.8246",="1016.0602",="390.8679",="592.8272",="0",="0",="2068.3762",="565.5322",="1117.3168",="2458.9404999999997",="1333.8589",="1229.1541",="555.7638",="0",="667.8711",="0",="437.54",="0",="0",="0",="0",="79.8555",="0",="0",="0",="843.8703",="11.2165",="0",="0",="0",="0",="110.7266",="0",="0",="0",="0",="0",="0",="0",="216.9745",="207.6323",="459.8584",="0",="0",="153.1246",="287.0078",="871.4133",="530.1477",="900.3916",="599.2418",="949.4907",="0",="769.3979",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="53.6081",="27.6258",="0",="0"
="VISpm6b",="179.0626",="0",="0",="0",="373.8986",="588.738",="0",="82.1067",="762.1532",="0",="0",="205.0335",="0",="52.1747",="75.4534",="96.475",="189.8351",="0",="0",="400.345",="0",="0",="0",="0",="0",="12.0849",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="557.6567",="0",="0",="0",="138.5636",="103.0695",="25.6858",="0",="0",="74.8841",="943.2925",="111.9193",="0",="0",="0",="0",="152.6855",="0",="163.4474",="0",="0",="66.2023",="0",="169.09109999999998",="0",="0",="335.5263",="0",="334.3939",="0",="0",="0",="175.2093",="0",="107.081",="408.2379",="792.7388",="429.2235",="0",="0",="91.3288",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="163.1828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="288.1186",="665.5464",="137.0998",="0",="0",="424.4669",="0",="0",="0",="790.1216",="0",="0",="0",="138.7607",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="43.0131",="0",="0",="0"
="ACAd2/3",="424.0879",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="564.8053",="0",="0",="0",="0",="0",="379.518",="0",="13.4309",="0",="0",="0",="0",="0",="0",="0",="6163.1008",="112.6064",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="725.7424",="0",="1340.9178",="82.8302",="0",="0",="0",="2103.7767",="0",="0",="1769.7704",="0",="2673.2408",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2333.5379",="1442.5972",="0",="0",="0",="0",="0",="0",="0",="276.1251",="1193.9885",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd5",="2281.0552",="0",="0",="681.7129",="0",="0",="0",="0",="0",="0",="0",="3933.2762",="0",="0",="0",="1991.4654",="150.7621",="2183.1998999999996",="0",="838.7707",="0",="0",="0",="0",="0",="0",="0",="2658.7561",="561.3503",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="93.0948",="4800.3837",="0",="211.8573",="449.6802",="33.8143",="0",="2027.0424",="2257.4239",="723.1518",="977.8919",="1538.3033",="1796.3919",="2566.2409",="0",="0",="77.4742",="0",="0",="0",="0",="0",="0",="2949.3101",="2638.469",="0",="0",="0",="0",="549.276",="0",="0",="82.8792",="991.0872",="0",="437.1922",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="40.1898",="0",="0",="0",="0",="0",="1125.542",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAd6a",="816.4289",="0",="0",="2132.6732",="0",="0",="0",="0",="0",="0",="0",="1875.4864",="0",="0",="0",="576.9178",="1432.113",="512.3799",="0",="0",="0",="0",="0",="0",="0",="0",="0",="657.3862",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="680.5297",="383.4961",="1004.851",="714.7971",="0",="0",="4552.1363",="155.7808",="0",="1514.3865",="1722.3263",="606.8083",="593.1577",="552.0375",="644.4455",="2406.7315",="0",="0",="329.099",="0",="0",="0",="0",="0",="0",="12999.6699",="5162.3635",="0",="0",="0",="3062.8788",="9617.7183",="0",="522.2562",="0",="1479.2585",="0",="1584.9596",="0",="167.8639",="996.6504",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2082.4653",="0",="0",="0",="0",="0",="1166.6812",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv1",="2383.9519",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="450.6948",="0",="0",="0",="897.7981",="3240.1936",="1417.2329",="0",="465.713",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="311.3818",="0",="0",="0",="0",="0",="0",="0",="0",="0",="104.7391",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="79.8399",="254.5312",="0",="0",="0",="0",="0",="0",="0",="0",="7927.589",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="188.4879",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
