 ,221057_037,221057_043,221057_050,221057_126,221727_010,221728_092,221728_123,230065_047,230065_065,230065_067,230066_095,230066_098,230105_026,233380_042,233668_030,233668_031,233668_032,233668_034,233668_035,233668_036,233668_041,220191_078,221224_402,221224_404,221421_028,221642_768,221754_025,230110_004,230110_007,231566_045,233379_024,233666_018,233666_028,233666_032,233666_057,233666_066,233666_067,233666_132,233666_245,233667_085,233667_229,233667_300,233282_090,212069_003,212072_022,221224_361,221224_396,221227_111,221227_146,221367_025,221367_029,221526_010,221532_025,221532_043,221532_044,230105_021,231566_046,233379_014,233379_016,233379_017,233379_020,233666_015,233666_019,233666_021,233666_022,233666_023,233666_024,233666_025,233666_026,233666_027,233666_029,233666_030,233666_031,233666_033,233666_046,233666_056,233666_058,233666_059,233666_061,233666_062,233666_064,233666_129,233666_130,233666_131,233666_133,233666_134,233666_135,233666_136,233666_227,233666_228,233666_229,233666_230,233666_231,233666_232,233667_057,233667_064,233667_068,233667_070,233667_076,233667_086,233667_106,233667_109,233667_115,233667_116,233667_117,233667_118,233667_119,233667_120,233667_123,233667_125,233667_127,233667_140,233667_151,233667_207,233667_208,233667_228,233667_230,233667_301,221367_032,233281_100,233281_104,233281_111,233666_020,233666_047,233666_068,233667_153
="MOs5",="286.9728",="0",="301.6342",="0",="0",="1203.3018",="0",="0",="0",="0",="0",="0",="0",="66.8491",="0",="0",="0",="0",="0",="0",="0",="1001.1691",="9187.9449",="6182.9617",="5690.4897",="872.7544",="15723.0193",="1485.898",="1298.1188",="2194.684",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3169.1442",="0",="187.5766",="0",="0",="2955.7969",="271.0579",="0",="3038.4851",="4660.2733",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1429.2759",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl6a",="470.4963",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1012.9134",="0",="0",="792.3009",="507.1961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="531.1275",="0",="0",="1599.827",="0",="0",="0",="182.851",="0",="0",="0",="87.4685",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.4718",="0",="0",="0",="0",="17.3147",="1697.1728",="4287.3799",="0",="744.4908",="250.7789",="0",="0",="0",="272.5856",="544.1552",="0",="0",="0",="0",="0",="0",="0",="0",="1130.9407",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="117.7959",="0",="60.5333",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4.787",="0",="726.4111",="0",="201.4449",="0",="0",="0",="0",="0",="131.175",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl6b",="109.8837",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="45.7815",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="69.5117",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="528.3003",="0",="0",="0",="0",="0",="8.9361",="288.9578",="0",="0",="0",="0",="0",="0",="67.0286",="65.317",="0",="0",="0",="0",="0",="0",="0",="0",="78.1813",="0",="0",="0",="0",="0",="0",="30.6816",="153.1865",="0",="0",="0",="0",="0",="0",="23.7743",="0",="88.0687",="0",="225.4827",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="893.0639",="0",="0",="0",="0",="0",="0",="0",="0",="0",="45.3136",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp6a",="738.8173",="430.9011",="985.8069",="542.166",="403.3258",="472.9456",="159.4952",="416.9769",="1872.2156",="0",="0",="942.784",="1431.9264",="16.7024",="559.6573",="1566.5269",="1191.1941",="152.3529",="683.9744",="444.1073",="895.472",="4997.0575",="4047.6962",="2126.4886",="467.8059",="226.8897",="1387.2307",="326.165",="0",="3644.3552",="0",="74.6383",="0",="2764.4028",="309.0901",="2982.4098",="514.5951",="70.3453",="5365.3766",="753.4478",="480.9605",="2969.3525",="0",="0",="1157.7422",="62.0934",="0",="0",="0",="755.5824",="901.6778",="422.6948",="0",="0",="1504.0863",="998.9221",="6948.7907",="1185.0928",="360.144",="3050.9331",="379.8044",="301.1991",="132.5838",="100.6298",="121.1799",="926.7652",="56.01",="56.7809",="0",="231.5199",="474.4473",="23.3401",="47.2428",="310.1006",="3412.7375",="287.2165",="868.336",="473.1869",="456.9232",="307.039",="270.7243",="729.8573",="742.9741",="558.3728",="797.6234",="383.4938",="1725.2793",="957.6896",="597.264",="1145.8975",="2417.5283",="1811.0947",="715.7315",="2089.2667",="1043.2522",="1400.2083",="274.5763",="184.0922",="2791.9023",="2947.5085",="1122.7486",="0",="372.9564",="1253.7512",="2273.2926",="1616.1752",="0",="1230.8899",="286.43",="4748.0254",="6774.9444",="735.3302",="3842.6944",="671.0781",="571.3069",="762.4755",="353.9366",="883.4884",="775.1411",="438.6798",="0",="392.811",="293.0399",="1555.6531",="3537.4452",="2093.7696"
="VISp6b",="1218.6387",="0",="0",="0",="173.2772",="708.5391",="544.0759",="0",="0",="0",="0",="211.4572",="284.6139",="189.2688",="0",="136.732",="0",="56.5243",="627.7156",="69.9705",="1261.6976",="578.9623",="1078.8429",="928.373",="17.4394",="732.2934",="318.1626",="52.0802",="0",="441.9173",="83.2873",="158.6254",="220.6022",="413.0106",="188.6521",="155.9044",="0",="0",="1241.5091",="774.7811",="0",="45.9734",="0",="0",="84.8483",="0",="53.622",="0",="0",="0",="119.1368",="0",="0",="203.0187",="0",="0",="1851.9212",="107.6119",="122.3107",="670.0867",="358.7995",="193.5994",="140.8594",="225.0118",="107.3512",="188.2282",="145.124",="184.6116",="43.5706",="118.6991",="136.1431",="86.9727",="111.1155",="102.3217",="221.2701",="206.9811",="489.527",="307.6818",="466.8003",="198.5339",="169.8045",="170.9269",="373.455",="355.1708",="185.8327",="180.4068",="237.4076",="296.9218",="476.2395",="785.875",="300.9415",="611.6253",="109.797",="219.4134",="151.9951",="532.4289",="108.5098",="0",="276.8119",="37.1675",="23.6506",="0",="0",="4.8813",="712.6589",="1134.9548",="229.9232",="457.8384",="571.0821",="820.7613",="758.5571",="0",="274.4598",="88.3407",="106.3899",="196.3289",="353.5001",="0",="667.3411",="693.104",="10.1199",="0",="187.8971",="482.2242",="528.5958",="448.232"
="VISpm6b",="392.6976",="0",="143.4626",="0",="121.9449",="0",="31.989",="0",="0",="0",="0",="442.3003",="11.6088",="3.3548",="0",="0",="0",="0",="0",="148.7278",="0",="0",="409.8674",="540.5008",="0",="265.7151",="0",="182.9325",="79.9039",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="24.8558",="0",="0",="0",="189.1208",="278.5754",="0",="0",="42.1499",="156.45",="0",="0",="0",="0",="0",="0",="358.9252",="48.5832",="205.6357",="0",="0",="0",="0",="0",="0",="0",="0",="140.559",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="602.7316",="249.6341",="0",="0",="0",="345.4134",="95.4405",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="458.3021",="0",="0",="0",="0",="0",="0",="863.3669",="71.3587",="0",="0",="0",="0",="14.5695",="0"
="VISli6a",="74.3262",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="222.1342",="0",="0",="0",="0",="0",="0",="0",="0",="610.3891",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="331.1148",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="749.0637",="318.3399",="0",="0",="19.6691",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="350.7898",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="589.3232",="0",="39.2898",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli6b",="181.7868",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="192.854",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="96.7982",="0",="0",="0",="0",="0",="0",="0",="0",="0",="346.4156",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="603.8192",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor1",="89.568",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="360.8401",="0",="0",="0",="0",="636.2457",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="740.5215",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="923.5979",="0",="0",="0",="1830.1686",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="54.9585",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="78.7565",="0",="3536.941",="550.9295",="1477.2509",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISpor2/3",="2832.5499",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="31.9665",="0",="464.5854",="0",="0",="0",="0",="1161.9546",="0",="0",="0",="832.3909",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="573.9626",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1057.2615",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="687.7904",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="179.4934",="688.0791",="231.7065",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
