 ,220191_031,220191_053,220191_066,221057_035,221057_045,221367_022,221367_033,221367_037,221367_039,221367_040,221367_041,221367_045,221367_048,221367_052,221367_053,221427_302,221530_020,221737_125,221739_015,221754_038,230066_112,230111_018,230111_021,230111_023,230112_004,230112_005,231567_003,231567_004,231567_008,233379_006,233379_021,233379_062,233379_063,233380_012,233380_047,233380_057,233380_059,233380_060,233380_071,233380_077,233380_082,233380_088,233666_069,233667_145,220191_082,220191_087,220191_092,221367_019,221367_020,221367_050,221367_054,221368_031,221368_035,221512_035,221525_022,230108_009,233379_026,233379_028,233379_067,233379_070,233379_082,233379_083,233380_011,233380_051,233380_065,233666_088,233667_017,233667_019,233667_034,233667_035,233667_040,233667_042,233282_092,233379_025,233379_027,233379_085,220191_020,220191_030,221227_091,221227_108,221227_227,221367_031,221367_038,221367_042,221367_043,221367_047,221367_049,221368_016,221368_017,221368_022,221368_029,221368_030,221368_034,221368_036,221368_038,221512_055,221734_024,221734_032,221734_035,221735_054,221735_059,221735_061,221736_040,230080_193,230080_215,230080_222,230107_069,230111_009,230111_022,231567_002,231568_001,233282_008,233282_011,233379_071,233379_077,233380_031,233666_075,233666_087,233666_104,233666_116,233666_233,233666_260,233667_009,233667_018,233667_022,233667_024,233667_026,233667_029,233667_031,233667_032,233667_037,233667_122,233667_143,233667_144,233667_147,233667_148,233667_149,233667_150,233667_152,233667_302,233667_304,233667_305,212073_007
="ENTm3",="477.4504",="0",="188.8608",="0",="0",="0",="99.8179",="0",="0",="0",="0",="376.427",="0",="326.8265",="0",="0",="0",="617.7796",="0",="0",="0",="0",="1366.5672",="2198.0112",="0",="249.661",="0",="0",="0",="0",="0",="806.6318",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="423.3804",="882.5141",="0",="0",="0",="0",="0",="0",="0",="165.636",="0",="0",="1566.0988",="96.629",="0",="0",="196.7486",="0",="0",="0",="0",="427.5371",="0",="0",="0",="0",="0",="59.1289",="19.0987",="0",="275.7049",="0",="0",="0",="0",="0",="0",="0",="1227.4541",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2.0562",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8.325",="291.8401",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm5",="2717.7961",="0",="171.5578",="0",="58.1725",="0",="3849.4366",="0",="0",="0",="0",="12354.867400000001",="288.5794",="7004.3798",="0",="496.6142",="0",="1089.942",="0",="0",="0",="0",="3124.8159",="697.3405",="0",="0",="0",="0",="0",="0",="1525.0939",="130.148",="0",="0",="279.8314",="0",="0",="0",="0",="137.7401",="486.5164",="615.819",="335.5322",="4286.3745",="1168.6635",="0",="521.4274",="0",="0",="0",="0",="0",="0",="0",="0",="1196.7897",="1802.8444",="0",="2474.2519",="1772.3650000000002",="0",="0",="0",="0",="619.8495",="0",="1254.0267",="3603.796",="0",="1828.2531",="4628.7967",="2337.0544",="0",="1600.3901",="0",="0",="0",="0",="0",="411.6787",="0",="1701.3913",="0",="0",="0",="15.8424",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="390.0637",="0",="0",="0",="0",="0",="0",="0",="580.5114",="0",="0",="0",="0",="8.1785",="0",="0",="0",="0",="0",="0",="0",="0",="0",="632.5135",="1832.6811",="0",="0",="0",="0",="0",="0"
="ENTm6",="95.02",="0",="0",="0",="2.4804",="0",="944.5906",="0",="0",="0",="0",="10539.3727",="0",="15100.473600000001",="0",="0",="0",="0",="0",="0",="0",="0",="0",="59.8652",="0",="0",="0",="0",="0",="0",="6756.909",="0",="0",="0",="314.9656",="0",="33.0586",="0",="0",="618.3903",="1468.214",="891.4469",="0",="10117.1416",="567.9719",="0",="40.1918",="0",="0",="0",="0",="0",="317.1159",="937.1569",="0",="24.3392",="0",="0",="1472.3304",="1590.1266",="0",="0",="0",="0",="695.5363",="0",="923.3801",="1647.7723",="0",="4645.6982",="1488.9581",="0",="0",="1759.946",="0",="0",="0",="0",="0",="0",="0",="179.1266",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="48.5",="0",="0",="0",="0",="0",="0",="0",="706.1161",="0",="0",="0",="0",="515.8012",="0",="0",="0",="0",="0",="0",="0",="0",="0",="487.1488",="77.5497",="0",="0",="0",="0",="0",="0"
="VISp1",="204.4375",="0",="0",="4.1778",="110.7824",="1655.0141",="8297.4827",="7075.8732",="10003.4469",="42.1423",="216.5185",="119.3383",="254.9216",="0",="4436.3517",="5276.6153",="0",="1050.0398",="3234.8104",="0",="13099.5042",="438.084",="0",="1028.366",="435.9415",="0",="3406.1823",="3598.3189",="2648.9733",="0",="0",="530.1168",="26854.8991",="7564.6661",="394.8232",="3893.2334",="3932.1519",="5391.0247",="0",="13276.7042",="0",="315.2383",="2407.9695",="569.0698",="299.3036",="0",="0",="11443.5896",="3826.5177",="638.0756",="0",="0",="0",="0",="361.7408",="2826.6646",="0",="1770.5879",="0",="0",="3801.611",="0",="0",="1882.7696",="0",="0",="0",="72.3605",="1036.8988",="0",="145.9478",="0",="2463.8349",="1180.9934",="5286.5044",="1056.752",="6685.6941",="12479.6776",="7072.4489",="1735.0849",="310.1472",="265.0128",="0",="19479.0722",="1127.2691",="258.5713",="7353.9631",="0",="665.6299",="0",="622.677",="0",="6114.6853",="682.1321",="1485.6703",="0",="0",="0",="0",="1036.6251",="162.9654",="18.4121",="888.3343",="2340.6518",="0",="854.6827",="4622.8316",="10885.2487",="12502.579",="0",="0",="1472.2834",="0",="2232.2967",="7804.3522",="794.5307",="97.5335",="0",="0",="0",="0",="0",="0",="1308.118",="0",="457.8798",="0",="0",="9630.4281",="22995.1703",="3371.7444",="0",="75.3782",="1519.7271",="0",="0",="0",="326.3994",="192.9934",="3393.4287",="0",="0",="0"
="VISp2/3",="212.1097",="0",="0",="802.7476",="331.184",="0",="0",="0",="1171.8267",="0",="146.9921",="0",="197.1518",="0",="866.7647",="205.1787",="0",="219.6738",="0",="0",="1667.967",="0",="0",="793.4805000000001",="0",="0",="1633.2372",="350.0195",="796.3865",="0",="0",="221.0312",="184.2849",="531.4914",="0",="503.6031",="75.9059",="950.7764",="0",="737.8237",="0",="0",="0",="179.5376",="0",="0",="0",="0",="0",="161.1181",="0",="0",="0",="0",="0",="815.1137",="0",="1153.6183",="0",="0",="255.7249",="0",="0",="232.1613",="0",="0",="0",="0",="292.8178",="0",="230.1005",="0",="0",="701.0361",="1257.5533",="273.1085",="0",="818.9632",="0",="203.5379",="0",="0",="0",="557.4256",="268.5625",="511.2888",="240.6264",="0",="536.7792",="0",="0",="0",="120.0998",="284.014",="280.1768",="0",="0",="0",="0",="462.8555",="0",="0",="0",="836.9526",="0",="0",="372.9542",="1994.8895",="763.3486",="0",="0",="944.7228",="0",="617.2506",="3329.727",="426.0256",="281.3877",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1002.9029",="2243.0667",="782.4126",="0",="158.6736",="1045.685",="0",="0",="0",="268.452",="441.2668",="519.3197",="0",="0",="0"
="VISp4",="115.6686",="0",="0",="506.7503",="339.3048",="0",="0",="0",="386.0012",="0",="96.7501",="0",="106.0961",="0",="227.6542",="9.4561",="0",="124.0717",="0",="0",="158.634",="0",="0",="58.2249",="0",="0",="990.6282",="461.2257",="1905.8548",="0",="0",="259.2706",="81.6087",="424.604",="0",="535.9348",="0",="523.4399",="0",="0",="0",="0",="0",="118.6049",="0",="82.4537",="0",="0",="0",="112.0902",="0",="0",="0",="0",="0",="305.6868",="0",="423.8912",="0",="0",="116.7927",="0",="0",="86.5979",="0",="0",="0",="0",="0",="0",="143.3734",="0",="0",="639.4503",="1107.0502",="277.4702",="0",="551.6289",="0",="215.7925",="0",="0",="0",="1764.0397",="144.0598",="1199.903",="1066.2777",="0",="423.1543",="0",="0",="0",="0",="162.1684",="72.4482",="0",="0",="0",="0",="296.3762",="0",="0",="0",="0",="0",="0",="112.9457",="3049.7009",="1144.9673",="0",="0",="263.4581",="0",="905.0423",="3162.2602",="220.3375",="276.0435",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="570.1818",="1001.9364",="534.7821",="0",="42.7634",="3407.7627",="103.7591",="0",="0",="213.9272",="870.4467",="220.7349",="0",="0",="103.3978"
="VISp5",="232.153",="448.6103",="588.7387",="769.8115",="5224.0953",="0",="0",="0",="1401.225",="0",="148.8043",="0",="48.9002",="683.2349",="2086.3278",="0",="0",="235.1107",="0",="0",="286.2247",="0",="0",="0",="0",="0",="867.5403",="2099.9466",="2449.5965",="0",="0",="509.6942",="1041.4668",="3291.3576",="0",="2260.3443",="0",="2701.7793",="0",="0",="0",="0",="0",="193.7911",="2154.4935",="901.4143",="4613.535",="0",="0",="357.1165",="0",="13.0577",="0",="0",="0",="746.918",="0",="616.8458",="0",="0",="140.9887",="0",="0",="535.0084",="0",="0",="0",="0",="138.8626",="0",="1021.5445",="0",="253.8738",="6510.4526",="3637.1197",="2796.1828",="1172.8581",="1954.8371",="1026.9965",="322.9677",="0",="568.7509",="0",="7108.9117",="211.737",="2187.3082",="7678.8188",="0",="937.9928",="0",="0",="18.6754",="1374.6124",="278.0074",="0",="0",="322.3778",="0",="0",="532.6458",="0",="0",="0",="0",="0",="471.1242",="1117.8605",="6933.7888",="2154.9657",="0",="351.2132",="2861.0779",="246.3648",="8627.4006",="12904.3522",="1114.7661",="1837.9839",="1276.3942",="465.5606",="1210.873",="0",="164.8105",="0",="0",="1516.1339",="273.577",="831.9626",="469.8457",="6947.4864",="3710.7913",="5122.1345",="0",="759.0344",="4025.6906",="1958.2675",="0",="0",="652.023",="2426.0394",="3669.952",="0",="0",="327.6795"
="VISp6a",="427.5523",="1884.9552",="1837.4504",="166.3948",="3566.7239",="0",="0",="0",="0",="0",="0",="0",="0",="1689.1927",="332.6156",="0",="508.111",="359.4819",="0",="7.172",="46.829",="0",="150.2128",="0",="0",="1746.7047",="1305.0944",="422.0021",="1388.8175",="25.7629",="0",="3402.7622",="1997.1083",="479.1176",="0",="1464.0173",="1424.3433",="1683.8366",="672.716",="0",="5.5314",="0",="12.2339",="199.5638",="7082.9919",="3700.0076",="7034.942",="0",="0",="0",="207.5358",="275.7895",="678.7801",="834.293",="0",="3731.6051",="21.7982",="0",="158.2778",="14.6849",="0",="641.0611",="227.8196",="1606.0081",="0",="476.8561",="224.5119",="0",="198.0141",="179.7106",="747.8666",="39.6407",="0",="567.0227",="978.9191",="1517.75",="1314.3903",="2341.0398",="1303.3107",="538.6993",="0",="769.7307",="0",="2578.1544",="13.314",="1347.3118",="1946.8982",="0",="2711.3806",="113.7321",="0",="0",="2064.1502",="3107.2063",="0",="0",="1310.0073",="280.8974",="1284.1854",="561.2568",="0",="699.4156",="0",="0",="1436.2874",="2039.8055",="1048.8635",="2854.654",="3901.2837",="441.3696",="225.0754",="2431.5133",="0",="5416.7635",="6249.2707",="256.2822",="621.9609",="1186.979",="3291.2366",="1309.8547",="1260.1729",="1205.1786",="385.4022",="301.4756",="3517.7272",="1510.0017",="618.9096",="488.6753",="6835.2007",="6141.5526",="2881.2636",="0",="1470.5166",="3257.527",="1353.6691",="520.0024",="478.665",="804.4416",="2859.312",="1228.8924",="214.2988",="178.7144",="75.6604"
="RSPagl6a",="504.4396",="1114.6615",="75.4991",="210.6135",="436.6243",="0",="0",="54.8285",="284.1721",="0",="43.9321",="94.1973",="0",="827.7661",="125.9923",="0",="179.5179",="362.9145",="312.4069",="2311.5816999999997",="144.5038",="0",="0",="0",="0",="388.0405",="193.3306",="289.73",="375.0545",="666.4768",="79.602",="1397.7311",="399.5613",="0",="967.5060000000001",="544.2131",="488.4549",="235.0365",="493.9777",="0",="0",="632.5354",="216.9882",="256.4746",="3067.1513",="1654.6994",="3813.2982999999995",="0",="0",="188.0615",="504.521",="645.6019",="120.4222",="408.1104",="0",="0",="223.2476",="132.153",="311.1922",="33.7314",="391.2361",="418.9501",="0",="0",="0",="24.5687",="143.9616",="526.6343",="0",="1773.3794",="79.9002",="366.4396",="2292.1952",="170.9317",="874.5782",="238.1474",="0",="92.8283",="0",="394.6049",="254.5044",="727.9133",="478.4519",="950.0562",="361.7049",="668.0201",="1383.6726",="746.0764",="1208.5373",="1601.3946",="50.1632",="1868.074",="413.468",="0",="368.2347",="0",="2076.9987",="1049.7099",="603.4783",="0",="445.2067",="0",="0",="148.4017",="608.6953",="1023.5292",="0",="1005.1128",="142.4995",="333.7573",="0",="4926.9309",="447.8763",="829.4134",="42.4329",="255.7156",="0",="0",="221.3996",="587.5508",="1142.4861",="0",="461.8863",="531.3448",="134.3151",="1808.5043",="1723.7332",="1065.8694",="1089.0389",="121.7777",="706.9664",="396.5789",="704.917",="167.5862",="57.1961",="0",="164.4441",="0",="242.8806",="83.8728",="1711.0297",="1213.5828",="221.2057"
="RSPd1",="601.2181",="3091.0124",="0",="28.8063",="0",="3579.8855",="2350.1789",="2141.6588",="1318.8858",="2158.9612",="623.5802",="564.4313",="28.9283",="1851.8379",="1735.8287",="4485.4675",="1351.6352000000002",="3374.0718",="1118.1796",="1896.2395",="4722.7411",="2980.4346",="128.6983",="0",="324.1599",="0",="2183.5496",="1468.5137",="3032.8666999999996",="5873.398099999999",="5235.5169000000005",="2179.0899",="4230.2464",="937.3398",="3889.357",="423.8442",="9522.376699999999",="32.5491",="0",="6523.9214",="0",="77.0378",="1515.764",="0",="2539.1317999999997",="0",="1654.2439",="1184.6964",="2166.3964",="3649.4993999999997",="245.8194",="2048.597",="0",="766.7213",="10291.5996",="636.1705000000001",="6022.398",="571.9283",="16170.0788",="0",="411.999",="4296.761",="1963.4172",="0",="0",="10897.1147",="0",="4739.3687",="1186.1134",="113.6556",="100.0192",="376.3866",="9700.5506",="445.3718",="176.8313",="0",="2150.0207",="2161.3514",="2546.2784",="0",="271.7428",="155.7011",="4833.1326",="2669.9784",="0",="1225.4492",="6038.5103",="5944.5722",="2897.8978",="209.6575",="13261.0535",="565.8349",="291.7015",="419.5636",="1734.6914",="0",="667.8481",="2160.5317",="760.9062",="780.4021",="1987.289",="342.9861",="0",="562.6309",="205.4696",="267.601",="0",="88.5554",="0",="2687.177",="0",="93.5921",="0",="2747.3909",="1825.8814",="0",="122.6903",="0",="0",="1241.6953",="78.943",="0",="105.318",="155.5173",="0",="466.7925",="0",="3577.4866",="0",="0",="466.2713",="1209.6301",="57.7589",="251.6498",="0",="0",="81.3567",="233.5232",="400.1009",="293.5822",="0",="0",="1530.1762"
