 ,221475_127,221480_097,221481_338,221519_043,221519_044,221519_058,221622_001,221622_002,221622_007,221622_011,221622_047,221622_061,221644_085,221645_164,221706_070,221706_088,221706_091,221706_133,221714_042,221714_047,221733_033,221733_035,221733_097,221751_063,221751_065,221751_071,221751_085,221751_087,221751_089,221756_065,221757_065,221757_073,221757_074,221757_075,221757_077,221757_078,230105_019,230108_030,230108_032,230109_004,230110_026,230110_028,230110_029,231567_099,231567_123,231568_028,231568_033,231568_034,233795_061,221419_056,221419_061,221424_043,221474_133,221475_105,221706_084,221706_138,221715_001,221751_257,221751_262,221756_084,221757_071,221757_072,230108_031,231568_030,212075_027,220239_169,221220_008,221418_141,221418_142,221419_059,221423_013,221423_014,221423_016,221423_032,221423_040,221423_058,221475_088,221475_109,221475_110,221475_111,221645_178,221706_078,221706_123,221706_142,221714_045,221714_050,221732_099,221733_091,221754_013,231569_020,220239_189,221062_070,221087_105,221423_042,221423_060,221513_074,221517_026,220239_140,221423_059,221423_065,221530_127
="SSs1",="275.8017",="2715.5737",="215.4097",="0",="0",="0",="0",="0",="370.1574",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7.3944",="181.5044",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="577.4771",="0",="203.197",="72.8922",="0",="0",="0",="88.0115",="0",="0",="0",="0",="0",="0",="0",="0",="3703.6263",="4544.7462",="0",="0",="0",="0",="0",="0",="1234.2064",="0",="295.6088",="15.2341",="0",="0",="0",="0",="0",="0",="0",="545.2291",="12618.9844",="150.8998",="3591.9082",="351.8155",="1150.6311",="520.5208",="0",="0",="866.6254",="0",="0",="1391.2602",="0",="0",="0",="1461.891",="0",="0",="3921.2123",="0",="0",="0",="0",="1010.5851"
="AUDd5",="313.4604",="1808.5352",="846.6871",="0",="0",="0",="0",="37.5726",="943.1099",="681.8342",="1841.8825",="0",="404.5011",="0",="0",="0",="250.1147",="0",="888.1885",="0",="0",="0",="0",="0",="0",="80.2015",="383.127",="0",="4162.7531",="0",="0",="0",="0",="0",="1272.1813",="0",="0",="2070.7063",="0",="0",="0",="1177.4944",="0",="0",="263.4021",="1165.2247",="0",="0",="528.9901",="0",="0",="0",="0",="0",="0",="0",="170.51690000000002",="0",="490.3659",="0",="0",="0",="31.22",="0",="0",="0",="0",="1115.1733",="936.4401",="0",="0",="320.0545",="0",="0",="0",="225.0945",="3599.7452999999996",="59.462",="345.6268",="1046.6907",="924.5509",="0",="0",="0",="0",="755.248",="445.1492",="0",="0",="191.9634",="0",="617.7465",="0",="0",="0",="22.5397",="0",="1549.3342",="0",="0",="0"
="AUDp5",="2738.8378",="876.5275",="869.5542",="0",="0",="554.8342",="289.2582",="0",="0",="3.2733",="0",="1142.4959",="366.8572",="611.1854",="0",="0",="2108.8971",="461.9046",="2439.4328",="5.6751",="0",="798.411",="0",="265.0932",="4018.4771",="415.7629",="329.245",="1658.0897",="660.9761",="14.759",="601.4392",="133.1866",="0",="1003.0337",="1046.524",="273.257",="1932.6882",="606.8107",="0",="2058.5807",="881.9571",="912.7977",="0",="539.1728",="0",="410.0651",="110.9008",="140.1902",="746.931",="0",="0",="2787.7021",="0",="0",="358.4991",="1182.4968",="2493.3423",="547.7137",="1179.7348",="879.6257",="109.4545",="0",="4557.7977",="0",="6604.0562",="0",="309.6984",="8349.7154",="1136.2219",="0",="0",="701.7487",="0",="592.5305",="346.1837",="8215.403",="9695.9346",="1586.3284999999998",="2523.7120999999997",="3491.0043",="5505.6031",="305.8127",="213.1443",="0",="0",="1227.0651",="1086.7134",="0",="0",="773.5107",="1040.0524",="230.9136",="0",="666.1736",="0",="1032.8581",="2056.9129",="3712.7947",="252.8698",="0",="504.5626"
="AUDp6a",="783.3446",="0",="865.3386",="0",="0",="0",="545.7692",="865.6453",="0",="0",="0",="358.7257",="0",="0",="13.488",="0",="598.9546",="381.1571",="0",="0",="0",="341.2879",="837.8831",="0",="585.3266",="138.9538",="524.3858",="0",="1779.6843",="0",="317.5915",="0",="0",="229.0135",="0",="0",="1341.1939",="950.3895",="0",="0",="0",="0",="0",="0",="1429.6922",="0",="0",="842.6776",="0",="171.0521",="0",="346.0419",="0",="1199.4818",="684.627",="209.6058",="986.8868",="0",="0",="164.8429",="719.2675",="0",="655.734",="0",="227.6636",="0",="0",="1621.9642",="2419.7288",="0",="0",="196.1151",="0",="3273.37",="0",="11759.3673",="6530.8309",="828.0177",="895.944",="2494.7322",="1201.2573",="0",="2175.3509",="0",="0",="1099.7311",="211.4923",="0",="0",="513.096",="3862.0136",="2801.9016",="281.0435",="1126.0753",="2612.3423000000003",="990.8439",="3125.3237",="0",="55.9168",="0",="0"
="AUDpo1",="1570.338",="1904.3832",="0",="17.9029",="0",="70.3432",="436.5431",="1360.8061",="86.5551",="0",="11.66",="835.7276",="2488.6804",="77.5862",="0",="0",="0",="0",="2972.6273",="877.4794",="0",="0",="0",="530.5001",="2694.2279",="1444.8139",="2156.007",="1390.6414",="3031.7336",="0",="163.3304",="1379.5879",="1820.5671",="1987.1385",="1834.0343",="2875.2961",="3749.1314",="26.4125",="0",="2333.3418",="391.5507",="83.1916",="1103.0019",="0",="0",="1128.9574",="0",="0",="1506.8543",="432.9299",="0",="3516.3230999999996",="77.4415",="0",="230.4218",="1507.9693",="3512.4992",="0",="0",="0",="0",="0",="0",="0",="2825.8758",="0",="1014.1894",="1922.3535",="2654.4544",="0",="0",="0",="0",="0",="0",="0",="688.7816",="151.5291",="4686.536700000001",="3289.8981000000003",="1456.5277",="0",="0",="0",="0",="258.8808",="1470.742",="143.9231",="0",="238.5886",="0",="0",="0",="775.4297",="0",="4943.4572",="3900.9555",="4373.2759",="0",="0",="346.4583"
="AUDpo2/3",="1723.6928",="2721.2744",="0",="228.7313",="0",="2.6129",="1487.0247000000002",="1876.8868",="19.8347",="0",="698.496",="1934.9562",="1531.4609",="172.2308",="0",="0",="0",="0",="1695.2123",="642.7454",="0",="0",="0",="294.1166",="2773.498",="876.5914",="1387.3786",="97.0075",="3042.7175",="0",="96.7291",="948.4715",="1494.8071",="1598.559",="1875.4276",="1253.4939",="1080.8458",="1770.6457",="0",="1399.5474000000002",="409.428",="385.3011",="237.6577",="0",="0",="488.998",="0",="0",="1994.935",="0",="0",="1366.5934",="0",="0",="0",="1152.7967",="951.2725",="0",="0",="0",="0",="0",="204.6144",="0",="3055.9538",="0",="197.8763",="1043.1566",="2829.8634",="0",="0",="0",="0",="0",="0",="111.2107",="86.2594",="146.8725",="1510.6658",="3571.4097",="1906.618",="0",="0",="0",="0",="798.3631",="875.642",="0",="0",="106.4164",="0",="0",="0",="677.7277",="0",="212.5513",="636.6594",="355.5514",="0",="0",="0"
="AUDpo4",="386.0296",="218.3902",="0",="165.0883",="0",="139.4415",="437.8933",="354.0777",="0",="0",="938.8631",="995.6887",="2497.5786",="0",="0",="0",="202.7261",="0",="1768.0762",="224.3659",="0",="0",="0",="376.6246",="653.2096",="126.3932",="1085.7277",="556.9288",="1423.1531",="0",="132.8788",="642.4583",="641.2313",="1280.0224",="749.2367",="748.8595",="742.3267",="402.9797",="0",="165.9611",="460.9231",="0",="497.1874",="0",="0",="519.9288",="0",="377.0099",="891.395",="0",="0",="60.6447",="0",="0",="0",="264.5492",="2839.9794",="0",="0",="0",="0",="0",="289.6641",="0",="1246.546",="0",="75.0297",="482.2901",="750.2793",="0",="0",="0",="0",="0",="0",="119.6153",="224.9714",="112.0081",="26.7055",="623.4699",="543.4681",="0",="0",="0",="0",="769.9064",="171.8988",="0",="0",="176.383",="0",="0",="0",="222.3047",="0",="128.5986",="400.7117",="0",="0",="0",="0"
="AUDpo5",="2875.7574",="1337.2450000000001",="0",="162.038",="302.2671",="123.9593",="1659.5886",="681.7482",="628.0447",="556.4422",="2057.4428",="743.9954",="3753.5389",="0",="144.3255",="0",="239.1107",="231.1057",="5958.8453",="301.6008",="0",="0",="0",="3247.6013",="4182.9953000000005",="245.2012",="3300.4570999999996",="1445.6611",="2398.2021",="279.6291",="560.7972",="1692.1556",="846.9145",="2255.7778",="1633.8572",="1887.2247",="618.6647",="459.7362",="236.8375",="713.3102",="740.2879",="1313.829",="190.9137",="102.295",="0",="1894.7144",="0",="132.092",="7390.2859",="0",="0",="298.4807",="78.2057",="91.9479",="543.7054",="56.2106",="2574.303",="375.1965",="708.8602999999999",="407.2351",="0",="0",="1737.4794",="0",="2596.1364",="0",="421.9791",="3992.6207",="2010.5023",="0",="286.5082",="938.3828",="0",="310.4543",="0",="3959.7167",="3426.8048",="1196.1616999999999",="563.363",="5145.6284",="2389.5047",="0",="41.4666",="0",="0",="2257.4745",="4128.7522",="0",="0",="376.333",="0",="0",="0",="594.6985",="0",="755.7613",="1549.957",="2.0588",="255.803",="248.2281",="0"
="AUDpo6a",="370.76059999999995",="0",="0",="0",="0",="0",="1380.7930999999999",="24.9161",="0",="0",="0",="4.1575",="294.8676",="134.9454",="183.0794",="0",="120.7104",="84.4918",="446.9892",="22.7204",="0",="0",="0",="47.5494",="0",="300.6688",="237.4692",="0",="400.4748",="0",="414.2116",="188.3058",="0",="278.011",="336.8306",="0",="0",="150.6758",="545.5096",="0",="81.2107",="0",="69.5391",="0",="0",="0",="0",="77.8819",="171.6238",="222.6153",="129.119",="509.8732",="0",="101.5273",="0",="353.4685",="0",="11.9522",="316.0181",="47.1549",="0",="0",="5.8701",="0",="173.5151",="0",="0",="532.1265",="1368.8988",="0",="779.6913",="187.3123",="0",="558.0956",="0",="7108.6313",="1773.9011",="950.0054",="307.5386",="1982.6729",="671.2773",="0",="805.7748",="0",="0",="1139.1631",="1114.2219",="0",="0",="155.236",="2236.2582",="0",="0",="294.3524",="547.6632",="295.0478",="1286.3068",="0",="0",="0",="0"
="AUDpo6b",="188.7819",="0",="0",="0",="0",="0",="233.3462",="0",="0",="0",="0",="62.9811",="213.7533",="0",="53.0269",="0",="69.5644",="0",="0",="26.659",="0",="0",="0",="0",="41.7021",="0",="0",="0",="339.9084",="0",="0",="173.5569",="215.8222",="37.9581",="153.1577",="0",="424.2754",="0",="0",="0",="6.5121",="0",="0",="0",="276.518",="98.5265",="0",="47.1607",="0",="383.1856",="253.608",="522.4041",="15.7819",="576.3471",="0",="0",="0",="0",="63.7133",="0",="0",="0",="0",="0",="0",="0",="0",="28.2139",="42.2384",="0",="228.7649",="0",="0",="0",="0",="471.8135",="87.9106",="188.73399999999998",="26.8544",="461.26619999999997",="0",="0",="0",="0",="0",="0",="0",="0",="0",="226.7284",="0",="0",="0",="0",="0",="1001.2567",="146.0581",="0",="0",="0",="0"
