 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="AUDpo2/3",="363.6921",="0",="207.14",="0",="0",="0",="0",="0",="0",="1856.0092",="0",="0",="0",="1054.9586",="0",="0",="0",="250.9189",="68.0347",="855.1292",="3309.5722",="0",="744.1864",="1480.5633",="1015.5653",="0",="920.8622",="0",="0",="0",="0",="1082.4632",="0",="145.5924",="0",="0",="0",="19.74",="0",="0",="0",="451.0986",="0",="0",="363.6173",="0",="0",="0",="0",="1440.6924",="342.0731",="233.573",="0",="0",="0",="196.1317",="1523.5855",="24.4381",="1406.1379",="0",="0",="0",="0",="47.4868",="0",="0",="51.3448",="0",="0",="652.9303",="0",="281.5471",="0",="0",="0",="0",="265.1253"
="AUDpo4",="11.7483",="0",="0",="0",="0",="0",="0",="0",="0",="57.5912",="0",="0",="0",="491.2993",="0",="0",="0",="0",="353.806",="226.9924",="284.6051",="0",="955.9879",="128.4406",="1085.8396",="0",="980.9291",="0",="0",="0",="0",="263.5433",="0",="552.9096",="0",="0",="0",="187.4288",="0",="0",="0",="853.2827",="0",="0",="744.257",="67.3668",="0",="0",="0",="1379.2217",="725.3436",="314.4062",="0",="0",="0",="17.4757",="461.6793",="0",="109.1383",="191.1528",="0",="0",="0",="608.0199",="165.4621",="0",="0",="0",="0",="237.1119",="0",="140.4247",="0",="0",="0",="0",="359.843"
="AUDpo5",="142.2135",="129.7486",="0",="0",="0",="0",="0",="0",="0",="1187.329",="515.3236",="5.9489",="0",="1655.9746",="0",="0",="0",="836.8824",="1017.9933",="293.0696",="556.059",="1221.017",="4514.7427",="773.942",="2198.4312",="265.8582",="1042.6829",="0",="0",="0",="735.6664",="2302.5723",="1190.9956",="401.3809",="86.7857",="0",="0",="0",="0",="0",="79.9019",="2571.0058",="0",="0",="1027.626",="379.7601",="0",="0",="0",="2409.6194",="357.5835",="81.5472",="0",="0",="0",="240.4784",="334.2004",="0",="283.0997",="245.4981",="0",="0",="5414.2834",="847.1047",="572.457",="0",="2446.7992",="328.7008",="0",="3718.5238",="0",="2762.5139",="0",="0",="0",="0",="49.6289"
="VISal1",="213.973",="71.7112",="0",="286.3726",="71.6548",="0",="411.2329",="1969.1249",="4144.5094",="730.7488",="528.472",="1854.8631",="380.8933",="620.1551",="0",="0",="93.241",="1690.1566",="717.542",="2058.6935",="2326.9909",="2240.9741",="1890.9619",="2534.3653",="44.3317",="1256.9841",="1842.3",="1359.3859",="83.8976",="2911.9323",="752.5013",="6207.078",="2025.4029",="2780.447",="2060.3334",="47.1836",="2710.6048",="2716.1041",="1913.3924",="348.4969",="1533.4232",="3616.9448",="0",="1613.1741",="2205.5591",="2725.5527",="2355.4326",="2177.34",="2652.2214",="3359.8294",="3313.2345",="5152.9098",="2560.0384",="4015.3586",="0",="520.4818",="1348.8893",="886.6752",="1316.5325",="6402.4272",="6138.0701",="1904.8521",="0",="300.8876",="0",="2.3775",="109.8716",="75.3137",="0",="1436.4312",="337.2456",="1749.3424",="0",="0",="0",="0",="2625.5802"
="VISal2/3",="1067.6738",="1147.7438",="739.0945",="1317.1442",="521.2266",="1068.2371",="4610.3686",="9445.9343",="3722.0589",="7127.6619",="6977.009",="7729.1551",="6398.0373",="2850.463",="1004.6346",="2577.6986",="1931.879",="5103.992",="7022.5601",="7028.0919",="7928.9506",="8800.0212",="6676.4422",="4250.712",="745.5981",="1885.1965",="3301.039",="2479.8202",="1751.4599",="8299.0032",="1621.8187",="5134.1086",="5772.9514",="6132.8832",="6486.3452",="3765.6195",="3549.6559",="2450.9336",="3855.5709",="1054.1961",="4803.9999",="1204.9687",="0",="1219.9424",="1178.2479",="1142.2758",="1281.4356",="2355.7491",="7780.9412",="3929.3328",="1899.2544",="2232.4046",="1408.0012",="2015.6224000000002",="0",="1192.9358",="2309.3849",="106.2763",="1743.925",="2223.481",="3015.4392",="64.7124",="0",="451.527",="49.6912",="0",="464.319",="239.9799",="22.0452",="642.2679",="226.8113",="1182.8304",="0",="0",="0",="0",="0"
="VISal4",="701.0533",="798.7781",="785.0877",="395.2447",="401.9904",="1061.239",="2096.9831",="2231.6868",="1864.715",="1373.98",="1474.7469",="3972.5633",="1899.909",="1828.3719",="1612.2069",="881.4496",="1500.9575",="785.0903",="1541.2173",="2942.7999",="1565.7371",="1937.8363",="2545.1484",="2500.0809",="295.1963",="778.3873000000001",="4066.6563",="1581.5898",="927.404",="1106.6503",="1846.03",="2329.3146",="2939.5771",="1665.5724",="2179.3522",="1199.2884",="1289.9926",="5942.720600000001",="3992.5492",="3576.3683",="2723.3578",="3434.2081",="2.3302",="3100.742",="2073.9715",="3335.9651",="2267.2389",="1519.746",="3018.6188",="3564.0093",="2928.6066",="4522.3836",="2895.7549",="2650.9486",="16.9429",="791.2065",="2939.4105",="714.5225",="1609.9431",="3501.8685",="2574.4504",="228.4418",="0",="686.641",="625.6574",="248.1362",="624.2852",="219.3021",="199.5447",="383.5839",="464.9249",="935.8083",="160.8301",="291.2292",="783.0302",="370.3043",="327.7777"
="VISal5",="1756.0714",="2713.6842",="824.4272",="2685.0357",="2068.1489",="8035.0474",="2088.6447",="5914.3257",="998.9325",="5025.1354",="4191.2278",="6893.8328",="2177.7965",="5788.9309",="3536.8338",="4920.6014",="4902.6633",="4526.4936",="4041.8258",="5283.648",="2924.6262",="7320.4435",="5586.1373",="6446.9548",="1783.4718",="2142.4824",="3306.8256",="2406.6565",="3572.0223",="4083.71",="2495.4874",="6886.8423",="5398.7758",="4035.4214",="2594.0843",="2922.2269",="3711.0769",="2365.659",="2988.3094",="2227.6661",="5132.9732",="4333.0841",="614.8515",="1844.1607",="4146.5232",="4034.7784",="2162.8943",="1489.4709",="1120.6829",="3694.0753",="3338.7012",="6344.721",="2706.788",="3572.5908",="341.2073",="5233.7355",="4052.697",="1771.7233",="4951.3463",="4274.1789",="1838.7752",="1129.9481",="4337.113",="2810.7453",="2728.3235",="1177.0234",="10998.0583",="2633.8628",="2716.9852",="7062.6345",="3805.8305",="9907.4993",="1055.4173",="1303.3554",="980.4117",="3025.409",="1944.5984"
="VISal6a",="143.0927",="186.8439",="309.8028",="0",="178.4891",="594.2939",="825.5325",="686.7902",="181.27",="371.0136",="191.7001",="184.6776",="219.8744",="0",="167.5695",="413.2255",="279.1306",="584.4144",="194.4614",="204.7788",="826.6255",="710.3307",="1185.1999",="518.9765",="65.975",="377.1664",="162.7543",="648.8887",="383.3088",="359.8752",="637.0152",="182.567",="291.7142",="193.7915",="53.9902",="218.1659",="181.1156",="338.4605",="810.3067",="159.779",="1101.929",="602.9963",="530.9233",="161.5486",="993.0355",="352.9794",="854.8314",="858.8987",="390.1517",="24.8111",="577.0731",="201.318",="286.1482",="1128.07",="846.0374",="883.9615",="413.9865",="502.1806",="1005.903",="687.59",="237.3612",="197.4001",="4835.9507",="1484.8957",="1477.3520999999998",="500.9161",="10272.0299",="1276.8556",="498.757",="1848.3104",="882.4746",="2535.7132",="1290.2576",="1490.6102",="1686.6208",="1915.4842",="4156.3554"
="VISam1",="347.6728",="0",="0",="0",="131.9396",="0",="0",="207.7329",="1228.7672",="330.4461",="94.2001",="216.7497",="809.5557",="120.6652",="0",="97.0936",="362.6078",="0",="332.9479",="691.3048",="30.9786",="0",="1897.8839",="877.8049",="438.2059",="0",="255.8321",="3207.6029",="325.8005",="0",="2222.5988",="163.4735",="305.7332",="0",="237.3472",="0",="0",="3374.6831",="4417.3281",="12838.7901",="455.1021",="1518.8697",="9495.6097",="1146.5111",="4901.8141",="7656.6213",="12312.4729",="1804.4481",="0",="2981.205",="11777.962800000001",="21633.7919",="5810.9578",="0",="0",="1519.0152",="2945.2526",="8109.945",="0",="4620.1186",="8325.2605",="0",="0",="104.1165",="10565.243",="2374.6899",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="34.2379",="0",="47.8924",="0",="3235.6769",="642.7497",="697.007",="4166.1212",="2404.1657",="4694.0541",="1758.426",="5920.4728",="1917.7305",="1929.525",="1622.3894",="1012.1056",="2669.1672",="0",="332.8815",="2688.4597",="733.3731",="0",="2595.6372",="2232.7533",="358.7587",="0",="812.7706",="6425.2272",="309.6848",="434.2017",="1113.7352",="614.8568",="1168.1597",="0",="916.3976",="0",="0",="1066.1329",="1227.7977",="4741.0266",="1940.3244",="387.9954",="4238.0424",="453.3811",="1724.4958",="3702.4049",="10424.2165",="1881.3164",="0",="398.9996",="2368.6928",="8569.2704",="4037.3418",="0",="0",="1911.4057",="2309.4831",="1076.5391",="0",="2288.4122",="3386.416",="0",="0",="140.299",="8816.0491",="1536.6318",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
