 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="SSp-ll6a",="290.4889",="0",="0",="4.3835",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="394.0109",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="182.381",="0",="1199.7091",="0",="0",="0",="189.7302",="741.0238",="17.0737",="141.2396",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="114.6468",="0",="0",="0"
="SSp-tr2/3",="264.0776",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="931.1571",="0",="0",="460.8202",="0",="0",="0",="0",="0",="0",="462.9057",="0",="1097.3311",="0",="0",="0",="0",="0",="43.5692",="0",="0",="0",="0",="138.4371",="0",="0",="0",="0",="0",="0",="223.9906",="0",="0",="696.5739",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="623.717",="0",="419.5748",="805.7204",="0",="419.6026",="0",="0",="47.0392",="0",="0",="0",="0",="663.5786",="266.4482",="0",="0",="0",="0",="77.9586",="547.7387",="0",="0",="0",="0",="0",="0",="466.8552",="0",="0",="0",="0",="0",="0",="0",="0",="518.5115",="399.2399",="0",="0",="733.9824",="0",="684.1389",="225.899",="0",="0",="795.8123",="811.5120000000001",="598.8094",="668.2926",="0",="1385.6847",="308.3071",="0",="0",="0",="0",="375.25",="379.9104",="53.6159",="1042.9671",="99.8201",="0",="0"
="ENTm3",="13.7847",="0",="0",="0",="0",="30.379",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="74.4329",="0",="0",="0",="0",="0",="0",="0",="0",="584.0737",="0",="136.656",="0",="0",="281.0352",="0",="853.697",="52.2325",="0",="0",="0",="0",="0",="246.879",="0",="113.1931",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="460.6261",="0",="330.7095",="331.2539",="1047.6283",="447.2175",="0",="0",="0",="0",="0",="0",="0",="555.0657",="392.1377",="0",="665.1694",="0",="0",="20.7819",="0",="0",="0",="0",="0",="0",="0",="505.1591",="0",="0",="0",="125.457",="0",="0",="0",="0",="369.9934",="0",="0",="0",="554.0188",="0",="1155.2101",="0",="0",="355.3428",="1065.2538",="450.3752",="992.495",="0",="0",="0",="510.669",="0",="0",="240.4736",="0",="21.0878",="1127.9233",="98.9959",="278.2925",="0",="0",="0"
="MOs1",="145.4465",="0",="311.2315",="2253.9793",="187.8964",="0",="0",="0",="0",="0",="0",="0",="1519.8306",="3787.4285",="2648.391",="0",="615.5847",="0",="0",="3435.3222",="74.9002",="0",="0",="0",="0",="0",="0",="2752.0933",="0",="0",="0",="2273.99",="0",="0",="2627.9896",="0",="697.1911",="0",="0",="0",="3813.3184",="0",="1200.664",="0",="0",="13061.7729",="0",="2214.8282",="345.9407",="0",="0",="309.2415",="14438.0979",="0",="0",="686.9606",="0",="0",="343.1711",="0",="4916.5963",="0",="0",="0"
="MOs2/3",="518.0586",="0",="2460.8942",="3161.6624",="626.0104",="0",="155.9046",="0",="0",="0",="0",="0",="1488.1003",="5018.829",="5444.9972",="0",="2527.9769",="0",="2515.9026",="3846.8553",="3336.2295",="0",="0",="0",="0",="0",="0",="13001.7761",="0",="0",="0",="194.4197",="0",="0",="3105.3937",="0",="315.3081",="0",="0",="0",="4582.8843",="0",="70.6394",="0",="0",="3619.7653",="0",="4639.4425",="273.2673",="0",="0",="404.5493",="7637.4154",="0",="0",="1847.5669",="0",="0",="1646.3485",="0",="2083.5043",="0",="0",="0"
="MOs6a",="438.7337",="0",="817.0678",="433.1479",="751.6256",="1968.8468",="343.6298",="0",="0",="0",="0",="0",="1081.7797",="1247.8217",="1027.3302",="0",="2483.5346",="0",="833.5194",="855.6116",="182.2203",="663.5824",="0",="0",="0",="0",="0",="964.5344",="0",="0",="0",="408.9922",="0",="0",="434.3439",="0",="716.1075",="450.3947",="0",="0",="3826.9001",="80.2556",="2063.4889",="0",="0",="1560.9267",="1218.371",="1901.9512",="5151.0303",="0",="0",="441.4281",="2788.5695",="0",="0",="1656.6159",="0",="1040.0268",="1374.522",="522.4146",="814.937",="0",="0",="0"
="VISam1",="3871.8032",="5298.5662",="4513.6997",="1140.0691",="4218.669",="1944.1615",="1980.2765",="1176.4139",="0",="2427.2847",="0",="281.6752",="309.9381",="1935.1514",="2672.006",="606.1809",="937.5432",="393.3311",="1217.2653",="1027.6503",="796.0036",="0",="3119.8302000000003",="804.2549",="3734.7061",="1989.1925",="482.7126",="3774.57",="2415.2799",="956.3764",="1640.5683",="596.0226",="363.3461",="2085.7336",="1209.0351",="991.7486",="745.7265",="285.4058",="0",="0",="820.1041",="5574.0579",="766.9545",="0",="1368.9313000000002",="350.8102",="655.6862",="143.59",="0",="186.2737",="4288.6076",="0",="9267.2496",="0",="0",="239.9899",="0",="0",="1473.1535",="2465.9916",="629.2879",="0",="1535.5553",="0"
="VISam2/3",="6195.8569",="3024.5144",="3854.699",="5565.4469",="4380.2249",="7223.8906",="6752.6245",="4601.5436",="215.6746",="4437.9349",="317.2161",="3768.5049",="1414.1534",="6757.016",="5255.4541",="4747.334",="2857.6546",="6355.3906",="8946.9799",="3652.8458",="2366.5393",="2590.9502",="8668.627",="1723.8171",="4423.0337",="13392.545699999999",="1522.6333",="5967.2493",="2972.4991",="2927.9635",="3216.8493",="1781.0022",="3036.1747",="8332.6225",="6296.6133",="6480.2859",="6456.6727",="1007.8948",="38.3254",="0",="2765.7987",="6937.3192",="1672.3424",="2604.3389",="2430.9047",="400.4294",="946.9021",="1241.3776",="49.6654",="4477.2099",="1759.6036",="0",="4365.7653",="460.934",="0",="0",="0",="100.9141",="2926.5774",="898.4874",="0",="0",="1067.8857",="616.4299"
