 ,221478_836,221481_220,221481_226,221481_558,221481_607,221701_063,221701_064,221701_065,221701_066,221751_096,230110_031,231570_001,231570_007,233668_074,233668_079,233668_082,233668_083,233668_084,233668_085,233668_086,233668_087,233668_088,233668_089,233668_090,233668_091,233668_092,233668_093,233795_037,233795_038,233795_039,233795_040,233795_041,233795_042,233795_043,233795_045,233795_046,233795_048,233795_049,233795_050,233795_053,233795_055,233795_082,233795_128,233795_135,221481_221,221481_223,221481_225,221481_550,221481_593,221481_603,221481_604,221481_606,230061_041,231686_052,231686_053,231686_054,231686_055,221225_002,221225_007,221367_245,221426_079,221481_222,221713_001,231686_056,231687_019,231687_020,233667_287,233667_288,221065_092,221065_093,221424_044,221426_076,221225_001,221225_003,221225_004,221225_005,221225_006,221225_008,221225_011,221225_012,221225_013,221225_014,221225_017,221225_019,221225_020,221226_008,221226_009,221226_016,221226_025,221226_026,221424_042,231687_022,221513_058,221516_004,221516_010,231687_033,233281_010,233281_119,233281_121
="VISal1",="112.7741",="0",="3369.0882",="834.6012",="9.7802",="221.7589",="1076.325",="672.1628",="347.2336",="1665.9733",="3462.6639",="648.5284",="610.194",="0",="0",="0",="0",="0",="0",="0",="0",="0",="973.5509",="0",="0",="0",="385.5384",="542.9289",="1619.3319",="0",="0",="396.4331",="0",="559.1033",="0",="233.9334",="0",="0",="0",="1843.9509",="477.2403",="681.5609",="0",="934.2136",="615.4567",="0",="1765.7466",="1354.8565",="830.9108",="2458.7097",="545.5607",="1778.6082",="0",="0",="782.0131",="3449.5908",="60.5764",="0",="517.5526",="0",="200.6609",="313.0808",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="791.6295",="654.7792",="0",="0",="1064.2808",="97.3248",="694.2166",="0",="332.0715",="0",="284.5626",="559.0732",="236.1428",="147.0104",="36.7814",="0",="0",="1039.325",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="487.9642",="55.2018",="6462.4826",="484.0185",="272.0444",="630.3581",="3989.1694",="1203.543",="796.481",="2606.3037",="1943.5928",="1472.0297",="2986.5398",="0",="0",="0",="0",="0",="0",="0",="0",="0",="395.117",="0",="0",="0",="414.4468",="559.6128",="992.4159",="0",="0",="1615.0262",="0",="242.8467",="0",="808.8482",="0",="756.0563",="0",="2686.3894",="192.5694",="1099.2141",="0",="1046.7627",="703.3216",="50.5432",="904.6599",="767.8853",="125.5185",="3682.6489",="1132.9828",="4048.6094",="0",="0",="0",="1363.8077",="1016.9184",="0",="236.6909",="0",="344.7137",="1177.2393",="0",="0",="0",="0",="307.1625",="0",="0",="0",="0",="0",="84.6229",="688.9735",="0",="0",="159.772",="57.951",="201.097",="0",="0",="0",="228.2414",="1005.9493",="389.7908",="0",="238.6582",="0",="0",="221.7673",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="218.2998",="0",="1059.0684",="328.2073",="161.8624",="445.6899",="829.1929",="412.0441",="1072.2112",="1379.5944",="1898.2258",="234.6692",="771.0355",="0",="0",="0",="0",="0",="0",="0",="48.1294",="0",="796.9378",="0",="0",="0",="173.0198",="345.3811",="1307.8582",="0",="163.3869",="623.7664",="0",="983.4675",="0",="266.5367",="0",="1314.8639",="362.8269",="522.4602",="747.6476",="427.5542",="0",="916.3889",="726.137",="988.4408",="940.252",="0",="244.2014",="2257.2114",="2138.6064",="2262.5469",="0",="0",="0",="909.3049000000001",="15.0113",="0",="0",="0",="1476.4683",="268.6238",="0",="0",="0",="0",="88.3583",="803.5712",="0",="0",="0",="44.7078",="159.1835",="224.0242",="0",="0",="428.6108",="14.9269",="186.2974",="83.1824",="0",="110.3473",="222.232",="46.2717",="60.0069",="144.6978",="591.3217",="0",="350.2013",="160.8057",="452.5909",="0",="2.2572",="0",="0",="0",="0",="0",="0"
="VISal5",="1298.8113",="25.6496",="3211.5474",="926.5599",="1623.3147",="283.2477",="2762.9383",="754.6566",="3278.846",="6936.7745",="2614.3684",="389.4603",="294.2568",="0",="0",="0",="0",="0",="0",="355.8287",="1004.6581",="0",="907.7596",="0",="0",="32.5946",="826.9",="587.7355",="1294.4667",="0",="0",="923.6413",="0",="493.9224",="0",="489.3449",="0",="921.7476",="239.148",="2077.9318",="178.3283",="163.6529",="0",="1274.1872",="932.2357",="0",="600.087",="385.3661",="785.4872",="2127.7383",="313.5066",="2319.2442",="0",="6.779",="599.4999",="0",="0",="0",="412.7528",="720.2173",="2070.7963",="680.9901",="0",="0",="0",="741.375",="0",="527.0363",="0",="0",="0",="4404.8388",="977.7026",="844.7679",="0",="0",="1867.0583",="1318.0437",="3939.0613",="414.9603",="671.4392",="530.5177",="878.3465",="1172.4615",="857.4944",="1258.9339",="5466.015",="0",="2678.4175",="1829.4447",="604.4187",="0",="0",="0",="0",="0",="570.1726",="0",="0"
="VISl1",="4285.0486",="1775.4793",="2577.932",="2467.1949",="624.9174",="1649.2588",="566.2198",="882.7273",="1409.9929",="1105.3137",="3011.5272",="1130.8139",="64.0247",="1485.1412",="205.5373",="1873.3037",="2275.7243",="5000.2295",="1915.827",="818.5494",="2186.7632",="2366.1905",="7425.779199999999",="4037.9822",="4590.2023",="4095.5462",="4049.0765",="132.8551",="2983.9835",="1111.617",="7304.7411",="6.8267",="414.7537",="1140.2754",="653.653",="4960.5647",="5719.8161",="3905.0266",="5435.5447",="2257.9712",="4570.2685",="2630.0849",="820.0422",="1680.6749",="9443.8646",="2799.5621",="5783.2667",="7555.301",="5516.303",="11435.2703",="7657.0337",="16133.9301",="0",="99.8095",="660.6271",="800.1928",="0",="772.179",="1300.3494",="0",="11996.1429",="4169.319",="0",="498.2608",="2276.3455",="2383.77",="130.8591",="6515.8539",="0",="0",="0",="0",="1795.9683",="995.0985",="2773.4703",="1545.9285",="2113.1313",="1353.4716",="849.9627",="0",="5.5322",="0",="0",="299.7668",="0",="3070.0065",="257.1169",="87.8081",="2635.4169",="300.6232",="0",="606.5707",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="13717.776",="10134.1997",="6081.1431",="8001.6551",="8620.7272",="4917.1957",="8741.2688",="8343.3867",="5387.7071",="3799.525",="5039.3243",="4269.0603",="2941.2117",="3713.8681",="820.9201",="2624.8382",="4746.4318",="7477.2266",="5040.1277",="1638.3777",="5425.7102",="2361.9852",="11584.160800000001",="10823.6112",="5494.610299999999",="5468.159600000001",="6825.9735",="1845.9604",="5339.3259",="3064.254",="7135.7289",="2272.4793",="32267.8307",="4285.5236",="1544.1637",="9098.2594",="12394.3646",="9316.5714",="5308.0365",="6299.1587",="2972.5137",="2935.3634",="2371.1548",="4942.7019",="4757.3572",="3685.9172",="4685.4704",="3966.5771",="2347.4057",="10921.4492",="2596.4397",="15878.6317",="0",="5.1786",="82.8817",="926.8766",="0",="0",="1914.1915",="0",="10668.4019",="7052.2194",="11499.6534",="588.9227",="5296.396699999999",="5087.7384",="285.7243",="2354.1503",="0",="0",="182.713",="0",="1667.7277",="1040.5746",="519.7902",="2759.2592",="4073.4083",="877.9908",="447.3116",="0",="0",="0",="192.8221",="217.9795",="0",="1050.2645",="0",="279.4548",="643.0214",="420.9386",="0",="193.1281",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="4156.2058",="3699.432",="3683.7521",="2458.4765",="1433.2772",="3318.8637",="1716.2076",="1722.5556",="2566.5546",="993.0907",="3615.8986",="3587.312",="1835.9821",="1218.142",="0",="101.6304",="832.74",="1036.1635",="709.2349",="1024.3344",="577.2411",="199.119",="1480.8449",="2584.556",="1733.2016999999998",="2202.251",="3444.4539",="306.594",="1549.4343",="1611.8741",="4751.4341",="5511.9116",="1054.3721",="2225.4011",="488.6849",="2128.5658",="3037.3585",="3487.8604",="2886.8442",="1557.8715",="1235.6191",="345.508",="0",="3492.8641",="4726.9521",="5458.0405",="4815.5882",="5813.9954",="3551.7943",="8925.0344",="5613.4676",="5021.1656",="18.7004",="741.9243",="231.2631",="2923.7464",="6.9367",="0",="294.4757",="283.0244",="4696.7757",="2835.1629",="6925.8544",="344.2979",="2252.2712",="5884.5488",="697.3433",="807.8856",="0",="0",="443.5749",="117.9051",="1365.3966",="505.0098",="574.393",="1388.6876",="1640.1441",="404.7569",="572.9625",="255.2486",="0",="41.8666",="373.8513",="260.7896",="135.7369",="787.6762",="1031.0741",="702.3785",="664.0878",="925.1069",="215.3632",="174.7878",="0",="0",="775.1082",="2240.104",="3473.2087",="271.2375",="841.7047"
="VISl5",="8282.2087",="3374.8922",="4106.429",="3520.023",="6156.7631",="4222.2638",="3258.0256",="1472.9486",="4061.4136",="2534.6216",="5038.673",="2740.7914",="3013.04",="1319.8093",="72.2959",="3947.9977",="3678.0048",="6030.8681",="1401.9654",="5742.071",="7791.5442",="4385.7669",="9006.1279",="7598.9947",="13490.7085",="7591.3376",="3134.317",="4591.8854",="4178.6047",="4805.2126",="6290.3503",="2670.5945",="856.4106",="7940.5927",="3580.749",="4469.8655",="5621.6738",="7075.7317",="8672.8863",="4808.3796",="3434.7002",="2969.2094",="1124.9584",="4551.6273",="5089.2906",="3571.1077",="7072.2534",="4517.5969000000005",="4355.5916",="5504.6947",="5337.5906",="5139.7531",="516.4972",="3615.7615",="904.3418",="1680.3393",="779.3514",="1875.0427",="1884.3465",="7176.8538",="7427.7254",="9237.7329",="9827.0301",="2558.12",="3214.9436",="13433.7176",="1737.1117",="5440.4163",="986.6782",="605.4876",="10675.8649",="6423.4221",="6263.9771",="3859.3154",="6789.6633",="3889.9205",="10464.0202",="4992.3314",="5589.3942",="3451.9211",="4261.639",="2708.63",="4495.8784",="5136.5102",="1263.5994",="9181.0633",="4460.0116",="4037.406",="11579.1935",="11687.2904",="5177.7557",="6137.9765",="0",="238.7499",="3546.0949",="3835.1642",="7274.4416",="3823.345",="5528.1933"
="VISl6a",="266.8468",="478.8904",="814.8753",="504.1382",="1023.5958",="1147.8686",="920.8636",="0",="816.5889",="707.311",="300.9409",="445.5209",="238.8242",="619.0962",="482.4329",="642.4476",="575.29",="234.5632",="323.2781",="286.53",="232.2962",="711.178",="613.1934",="880.8622",="1125.4017000000001",="661.6016",="492.6046",="270.6773",="974.798",="427.7234",="0",="504.0456",="146.9697",="652.2145",="234.2712",="228.8905",="605.6295",="889.9707",="384.2768",="400.7775",="658.3473",="764.328",="418.8767",="235.5613",="951.3011",="505.3294",="412.4572",="997.6816",="1174.6483",="708.6936",="685.1857",="444.4831",="1131.4962",="759.3009",="526.703",="259.0614",="1079.5164",="765.1815",="537.8539",="16571.617700000003",="871.4875",="848.7257",="217.4881",="930.5483",="4949.51",="11840.427500000002",="605.7472",="1293.9175",="3015.717",="20676.9346",="13880.0972",="9897.8902",="1818.0449",="1367.2255",="2501.2601",="172.0538",="1118.9395",="580.8133",="676.4569",="1380.1906",="267.6366",="283.8429",="380.6702",="952.5319",="285.6318",="978.5029",="759.0088",="537.1488",="2622.9204",="2935.0347",="1174.6502",="2537.5912",="0",="775.5042",="2614.2852",="2164.077",="2151.4621",="1911.7969",="3237.5615"
="VISl6b",="49.5199",="34.184",="98.4952",="154.2465",="50.4011",="164.0223",="250.6406",="0",="136.4789",="149.4108",="0",="103.6351",="37.0476",="130.7173",="9.6845",="50.5321",="43.7883",="39.9495",="171.8101",="45.508",="35.1568",="103.2464",="112.7816",="321.4396",="325.5111",="96.2878",="107.901",="206.0963",="254.0273",="154.6313",="0",="99.5816",="0",="63.5652",="117.442",="70.8185",="107.9598",="69.3907",="46.6274",="0",="213.0421",="44.1442",="144.9974",="61.6709",="135.9153",="60.8629",="57.6412",="213.3291",="151.6574",="48.678",="49.9207",="49.5431",="254.427",="128.5704",="353.7607",="37.8276",="49.0199",="96.15",="189.2583",="876.4684",="35.1049",="56.596",="0",="36.7591",="289.4758",="1205.8182",="150.7264",="135.9476",="1126.2753",="4841.423",="691.9948",="151.8422",="156.7569",="56.5194",="35.6331",="40.1059",="42.9383",="43.2691",="44.6561",="204.6853",="78.0615",="160.4568",="49.6971",="72.2871",="55.1512",="36.6232",="348.427",="47.9871",="62.3553",="45.3374",="294.433",="340.5231",="227.471",="736.0018",="322.908",="417.9833",="147.0981",="713.1181",="173.8709"
