 ,221519_038,221519_039,221519_041,221519_042,221622_014,221622_015,221622_031,221622_032,221622_034,221622_035,221622_036,221622_038,221622_043,221714_054,221751_075,221751_076,221751_077,221751_078,221751_079,221751_080,221751_083,230108_027,230109_005,230109_006,230110_030,230110_032,233795_051,233795_052,233795_057,221062_068,221478_820,221622_030,221091_110,221424_049,221426_077,221477_049,221622_039,221426_078,221423_070,221714_049
="SSp-bfd5",="769.4723",="0",="833.8178",="1320.7907",="0",="0",="855.9195",="0",="0",="0",="1366.6222",="0",="0",="0",="0",="96.1471",="0",="120.008",="672.1455",="0",="0",="0",="0",="0",="0",="0",="0",="0",="334.8047",="0",="0",="0",="0",="0",="0",="977.7207",="0",="0",="0",="0"
="ENTl1",="296.1547",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="143.6089",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl2",="4600.66",="0",="0",="0",="0",="4998.6242",="0",="0",="0",="0",="0",="0",="0",="0",="1077.8207",="2240.1747",="0",="0",="1121.0175",="0",="0",="0",="0",="138.5095",="0",="0",="1207.8058",="0",="83.2649",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="2058.0201",="0",="0",="0",="0",="4436.3452",="0",="0",="0",="0",="0",="0",="0",="0",="2581.0625",="1004.12",="0",="0",="1355.6067",="0",="0",="0",="0",="906.5446",="0",="0",="1639.4073",="0",="467.7259",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="144.9434",="0",="0",="0",="0",="4625.5188",="0",="0",="0",="0",="0",="0",="0",="0",="84.8508",="76.3115",="0",="0",="1067.2763",="0",="0",="0",="0",="1008.9662",="0",="0",="640.7887",="9.9438",="201.6606",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm1",="957.0491",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="219.9008",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="7214.9033",="0",="0",="0",="0",="184.9003",="0",="0",="0",="0",="0",="0",="0",="0",="1748.3389",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="1985.0712",="0",="0",="0",="0",="217.4911",="0",="0",="0",="0",="0",="0",="0",="0",="650.2811",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="137.5445",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm5",="805.0802",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="691.1489",="0",="20.5446",="0",="0",="0",="276.9469",="0",="0",="0",="0",="0",="0",="168.5318",="0",="0",="0",="0",="0",="0",="0",="0",="0",="216.4126",="0",="0"
="ENTm6",="360.4182",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="102.6524",="0",="0",="0",="289.5954",="0",="0",="0",="0",="0",="637.5865",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
