 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="MOp6a",="51.303",="2.0727",="545.2791",="389.1662",="528.5632",="380.6858",="0",="376.9386",="353.252",="830.6317",="153.5271",="0",="494.3814",="796.6972",="360.1263",="0",="0",="0",="0",="0",="0",="455.1405",="342.4259",="88.0705",="0",="0",="0"
="MOs1",="882.4131",="521.8514",="0",="776.6138",="2269.3334",="0",="0",="133.1602",="0",="4099.0605",="739.8495",="1883.0286",="839.7935",="0",="0",="0",="0",="0",="417.99",="30.8509",="162.6533",="1806.185",="0",="4130.4309",="106.5679",="0",="0"
="MOs2/3",="462.2326",="1360.3976",="573.0544",="3560.4547",="21.1426",="0",="0",="0",="0",="1423.7823",="302.3646",="2225.6598",="805.9502",="0",="0",="0",="0",="0",="3792.039",="288.1265",="476.9649",="727.7713",="0",="1558.3211",="271.5481",="0",="0"
="MOs6a",="908.6149",="629.3999",="1076.5455",="1080.4126",="691.0352",="579.8475",="63.3071",="583.4025",="653.6997",="1011.8914",="506.492",="225.6686",="803.6593",="554.7264",="434.9166",="404.624",="1017.7868",="323.4872",="1212.1832",="0",="0",="1232.0881",="492.7554",="1019.4752",="905.8583",="389.9551",="0"
="VISam1",="222.5215",="0",="0",="0",="652.1731",="218.1602",="614.9055",="0",="0",="2869.6851",="1413.6897",="22.9096",="0",="0",="235.6934",="334.9346",="655.1799",="265.8152",="3575.2607",="0",="415.1974",="1363.1317",="0",="2096.9023",="56.313",="0",="1584.9923"
="VISam2/3",="76.5712",="0",="0",="0",="419.5759",="40.9927",="832.1638",="0",="0",="1141.1933",="715.4862",="366.9394",="0",="0",="233.5173",="297.0631",="1959.6878",="4411.2088",="5540.8947",="173.5497",="26.1816",="3585.3011",="208.1977",="1543.6911",="954.8861",="0",="238.3843"
="VISam6a",="454.3575",="85.5194",="0",="0",="362.2259",="0",="423.8111",="0",="0",="0",="771.9415",="0",="318.6555",="0",="0",="0",="0",="1294.1143",="740.3969",="140.8223",="1042.4678",="195.58",="141.4905",="731.6957",="739.8853",="155.2604",="312.3896"
="VISam6b",="554.3977",="454.6699",="0",="0",="51.1215",="0",="0",="0",="0",="155.0516",="11.9072",="112.1963",="161.8743",="0",="0",="0",="0",="0",="0",="124.8365",="0",="0",="47.6188",="0",="0",="0",="0"
="VISp1",="1909.1637",="3732.8646",="4937.682",="3056.4839",="231.3214",="38148.2743",="1200.3767",="0",="10525.3178",="5642.3125",="8960.774",="6578.3651",="12484.3328",="8873.463",="6182.4085",="2764.4712",="928.9251",="3707.3609",="3575.1268",="1123.261",="9266.8179",="4072.5839",="6975.7286",="18118.1844",="5783.5297",="9986.8656",="27118.5438"
="VISp2/3",="3974.7058",="3678.8609",="18716.8344",="6127.861199999999",="76.6351",="10111.0909",="6570.1068",="0",="4634.9761",="3895.4285",="6519.3778999999995",="4072.4687",="8660.1553",="7377.4748",="3471.8821",="2578.2613",="270.7625",="5810.6616",="3029.6229",="1310.7459999999999",="2474.6395",="3571.7028",="11431.8966",="3761.0497",="2594.0919",="1637.9157",="3944.2034"
="VISp4",="2028.8115",="1294.3764",="2682.8567",="533.6123",="943.3422",="13873.605",="3426.8582",="33.0106",="3828.475",="4281.6381",="16356.194",="5454.3252",="3183.6127",="2599.9165",="1959.6579",="1688.2881",="923.5431",="2271.6528",="746.1591",="1103.7419",="2666.338",="4390.781099999999",="6186.5104",="3782.5088",="4901.3087",="2257.2269",="2007.6653"
="VISp5",="2328.8552",="1755.6344",="1777.5042",="1702.559",="3894.2141",="6990.348",="10796.0308",="447.5501",="3920.4063",="3598.9518",="10298.052500000002",="5813.2152",="8725.1163",="8189.1244",="4008.4871",="7393.0749",="5134.4081",="10557.9844",="2473.5326",="5062.6666",="4040.1545",="10320.6988",="11902.1038",="9474.3272",="8525.7361",="4575.3985999999995",="3454.0718"
="VISp6a",="1023.8204",="597.4982",="357.4758",="0",="3423.6131",="4194.3148",="2989.3728",="651.871",="1007.3084",="1456.7189",="1554.8952",="1084.0141",="1780.1564",="2257.3929",="2610.286",="1403.0287",="1218.4795",="1844.0993",="2092.0471",="2409.3642",="1372.202",="3546.9467",="5903.0616",="1441.4027",="1220.1485",="6151.8135999999995",="4785.3327"
="VISp6b",="152.1382",="0",="13.358",="0",="169.8521",="1659.213",="321.9719",="179.8906",="450.8772",="414.9527",="1197.3233",="199.2939",="820.518",="664.3279",="542.415",="150.7129",="186.0028",="202.5745",="398.6809",="167.7378",="356.7768",="179.9508",="1089.0166",="609.6953",="132.6085",="710.6216",="2771.5366"
="VISpm1",="911.4816",="0",="0",="0",="927.0973",="398.6508",="205.3631",="0",="0",="3824.567",="1374.7965",="0",="0",="0",="0",="3771.9695",="1440.3859",="650.4659",="5765.2672999999995",="974.9999",="510.8542",="130.649",="1317.7138",="1622.0689",="169.0203",="0",="4637.5494"
="VISpm2/3",="781.0062",="0",="123.6873",="0",="1017.9666",="73.4242",="1997.5098",="0",="0",="1383.1059",="268.8429",="0",="0",="0",="709.8784",="2135.8925",="2749.3789",="3352.3358",="8173.4653",="539.3848",="1339.5511999999999",="942.277",="2349.0438",="1422.8284",="1197.6863",="0",="0"
