 ,221057_103,221057_120,221057_123,221057_135,221057_139,221057_153,221057_154,221057_160,221057_164,221057_167,221479_226,221481_118,221481_257,221481_258,221701_034,221701_035,221701_041,221701_050,221701_054,221701_055,221727_015,230066_078,230066_082,230066_083,230066_084,230066_085,230066_087,230066_089,230066_121,230066_122,230066_125,233379_047,233379_114,233379_115,233379_124,233379_131,233668_046,233668_057,233668_059,233668_061,233668_062,233668_071,233668_075,233668_076,233668_096,233668_097,233668_099,233668_100,233668_101,233668_103,233795_009,221090_095,221090_098,221091_154,221417_015,221417_016,221417_043,221418_139,221478_278,221479_163,221480_100,221481_237,221702_004,231685_243,231685_255,231685_273,231685_274,231685_275,231685_286,231685_291,233379_029,233379_030,233379_032,233379_036,233379_040,233379_097,233379_102,233379_103,233379_104,233379_107,233379_109,233379_118,233379_130,233379_142,233380_036,233380_092,233666_139,233666_218,221090_092,221090_093,221090_094,221091_113,221091_125,221091_141,221417_017,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221481_137,221515_017,231685_244,231687_014,233379_123,233666_049,233666_168,233666_201,233667_154,233667_217,233667_242,233667_255,233667_267,233667_269,233667_289,221065_081,221065_082,221091_171,231687_028,233284_183,233667_270,233668_104,221365_066,221365_072,233666_005,233666_048,233666_052,233666_126,233666_128,233666_137,233666_146,233666_152,233666_163,233666_206,233667_132,233667_136,233667_161,233667_171,233667_175,233667_185,233667_190,233667_193,233667_201,233667_218,233667_219,233667_221,233667_223,233667_225,233667_233,233667_234,233667_259,233795_007,221515_021,221701_051,233281_101,233281_102,233666_050,233667_182
="VISal1",="36.7242",="0",="0",="0",="0",="0",="0",="0",="641.0677",="0",="0",="0",="0",="0",="0",="863.4293",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="555.994",="0",="10.0416",="280.9051",="0",="0",="0",="58.2966",="0",="0",="0",="135.8534",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="381.2616",="1068.6677",="0",="2205.2524",="228.23309999999998",="0",="54.237",="0",="0",="0",="72.8663",="0",="0",="73.664",="151.0806",="0",="0",="0",="0",="0",="0",="0",="825.6292",="100.3744",="0",="2532.0444",="0",="0",="0",="0",="0",="0",="0",="1548.1008",="0",="0",="0",="1612.4987",="390.1927",="0",="250.1255",="0",="0",="0",="192.5143",="939.8464",="689.0826",="0",="0",="0",="1521.1135",="0",="1042.8175",="0",="0",="78.9941",="4.4009",="0",="791.9802",="4.5624",="0",="575.1484",="51.6279",="17.465",="2742.9921",="0",="0",="0",="1228.4456",="0",="0",="0",="0",="0",="0",="0",="0",="359.8404",="0",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="908.5733",="0",="0",="0",="0",="0",="0",="0",="3237.6833",="0",="0",="0",="0",="0",="0",="1888.9461",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="633.6446",="0",="502.517",="741.0940999999999",="289.2598",="111.6395",="0",="218.709",="0",="0",="0",="342.5833",="0",="0",="0",="794.4975",="0",="0",="0",="0",="0",="0",="1371.8003",="177.9613",="0",="103.5607",="675.7088",="0",="0",="0",="0",="0",="0",="0",="0",="209.8343",="266.7272",="0",="0",="26.1525",="0",="0",="0",="0",="540.3522",="260.9162",="0",="1223.5125",="0",="0",="0",="0",="0",="0",="0",="1077.8523",="0",="0",="0",="1204.2755",="1373.4729",="0",="490.1767",="0",="0",="0",="845.2802",="1009.3896",="1189.5143",="0",="0",="0",="2914.8307",="0",="1177.9212",="0",="339.178",="408.4288",="9.8809",="0",="803.7295",="158.2932",="0",="651.3799",="171.3382",="5.4104",="1862.7141",="0",="0",="0",="625.4493",="0",="0",="0",="0",="0",="0",="0",="0",="1806.4882000000002",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="324.3342",="0",="0",="0",="0",="0",="0",="0",="1490.1574",="0",="0",="0",="0",="0",="0",="853.3075",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="487.501",="0",="490.2266",="634.5439",="0",="0",="0",="56.2359",="0",="0",="0",="80.5528",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1428.3843",="0",="0",="0",="323.8461",="0",="0",="0",="0",="0",="247.3434",="0",="0",="53.6173",="359.7612",="0",="0",="0",="0",="0",="70.8551",="0",="1342.1141",="203.1113",="0",="965.0819",="0",="0",="0",="0",="0",="62.4813",="221.1625",="534.619",="0",="0",="0",="473.8523",="434.6402",="0",="447.4253",="0",="0",="0",="0",="206.6642",="889.4792",="0",="0",="0",="912.1446",="0",="25.8592",="0",="1000.1325",="0",="149.2194",="0",="0",="699.3584",="0",="434.2945",="0",="187.242",="563.6598",="0",="0",="0",="121.5333",="0",="0",="0",="0",="0",="0",="0",="0",="1018.1778",="0",="0",="200.2568",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="431.9136",="0",="0",="0",="0",="0",="0",="0",="1815.6227",="0",="0",="0",="0",="0",="0",="2518.399",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2406.0329",="0",="1786.9078",="1273.3537",="0",="0",="0",="0",="0",="0",="0",="197.4261",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2423.3196",="0",="0",="0",="671.183",="0",="0",="113.5255",="0",="0",="612.1885",="0",="0",="91.7033",="478.0782",="0",="0",="0",="0",="0",="719.3948",="0",="371.892",="0",="0",="1876.5296",="0",="0",="0",="0",="0",="0",="0",="90.1377",="0",="0",="0",="886.2871",="1609.8834",="0",="943.5683",="0",="0",="0",="0",="0",="913.0888",="0",="0",="0",="105.8101",="0",="668.1722",="0",="822.5954",="0",="615.0179",="841.2972",="0",="356.9204",="0",="1040.8523",="513.0563",="192.266",="1030.285",="0",="0",="0",="65.247",="74.0617",="0",="0",="0",="0",="0",="0",="0",="661.341",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6a",="14.5471",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="105.6609",="0",="0",="0",="0",="0",="0",="0",="334.3233",="35.7768",="407.4657",="80.8864",="0",="22.5584",="0",="78.4994",="0",="0",="0",="0",="0",="0",="0",="201.0031",="472.0146",="0",="223.9491",="0",="0",="0",="0",="0",="976.2427",="362.2259",="0",="0",="71.6075",="0",="423.8111",="86.9117",="0",="0",="0",="168.9647",="0",="0",="0",="0",="341.938",="0",="0",="0",="0",="0",="3.9672",="332.9272",="0",="20.7767",="267.2681",="0",="0",="0",="0",="771.9415",="295.3101",="0",="24.9403",="0",="0",="318.6555",="0",="503.9147",="0",="0",="276.6821",="0",="0",="0",="1294.1143",="740.3969",="1079.833",="140.8223",="392.1663",="0",="0",="1042.4678",="1389.0643",="0",="195.58",="0",="7.7551",="0",="0",="141.4905",="0",="731.6957",="739.8853",="0",="0",="34.9642",="0",="0",="0",="0",="0",="155.2604",="878.6069",="0",="0",="0",="0",="312.3896",="0",="0",="586.6891",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6b",="41.0793",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="74.9027",="0",="0",="0",="0",="0",="0",="0",="126.9819",="0",="0",="0",="0",="0",="0",="0",="2.2653",="0",="0",="0",="0",="92.468",="70.112",="266.9774",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="51.1215",="0",="0",="0",="0",="0",="0",="0",="13.846",="0",="0",="0",="0",="0",="0",="118.9146",="0",="0",="0",="0",="0",="92.2592",="0",="155.0516",="80.8354",="137.2719",="0",="0",="0",="0",="11.9072",="0",="0",="0",="0",="112.1963",="161.8743",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="452.3359",="124.8365",="0",="0",="0",="0",="245.91770000000002",="0",="0",="520.6344",="0",="0",="0",="47.6188",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="64.8883",="0",="0",="0",="0",="17.5054",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="597.0866",="1047.0199",="198.084",="355.1553",="624.5287",="1437.1728",="0",="0",="0",="5.4044",="337.4214",="0",="0",="0",="0",="1577.9638",="2708.2529",="0",="0",="2390.5521",="682.4309",="1532.2167",="0",="238.4228",="2463.1521",="0",="0",="0",="570.7697",="0",="1629.7057",="707.3212000000001",="0",="0",="0",="53.0576",="0",="0",="0",="2359.2797",="0",="116.5918",="1212.3632",="1266.2916",="0",="153.6801",="0",="0",="0",="0",="162.3066",="1246.4024",="0",="704.0212",="258.1611",="0",="33.1524",="0",="0",="45.1873",="291.28610000000003",="0",="0",="6651.5209",="3684.1638",="670.8434",="2842.5206",="5896.475399999999",="0",="0",="0",="469.9605",="0",="912.3013",="83.7062",="0",="0",="0",="0",="0",="0",="0",="187.4441",="0",="10.731",="0",="949.7791",="10602.6762",="840.734",="306.0492",="2254.8173",="0",="0",="0",="440.9228",="290.6551",="776.4642",="0",="0",="0",="43.0605",="516.6805",="1373.9129",="0",="368.0883",="0",="53.6404",="89.8851",="344.8817",="3661.2217",="0",="500.5542",="262.4825",="1098.2095",="609.3767",="0",="0",="0",="4480.2514",="0",="0",="0",="302.2508",="0",="4896.988",="11763.8747",="722.2",="1499.7455",="252.217",="0",="3713.1448",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="3672.1045",="5724.9575",="3269.2565",="2136.5948",="5036.5303",="2148.9818",="0",="0",="0",="4488.7793",="5820.325",="0",="647.6287",="2847.9384",="0",="4355.3269",="3699.7992",="0",="0",="2673.5306",="6776.2275",="4118.7354",="0",="84.4311",="3381.9838",="0",="0",="0",="1428.0556",="0",="3451.637",="394.28700000000003",="54.9452",="0",="0",="482.02520000000004",="0",="79.8077",="6.7682",="2699.4871",="0",="344.7326",="1076.053",="10314.0033",="0",="793.022",="1040.1478",="0",="0",="0",="1168.4883",="91.3671",="0",="0",="0",="29.0095",="256.7132",="0",="0",="0",="0",="45.3696",="0",="1169.9467",="3085.3589",="992.7326",="736.5561",="3596.4398",="0",="0",="0",="91.2331",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="576.1747",="0",="562.5487",="0",="13638.1925",="3687.328",="577.7981",="0",="80.9849",="0",="0",="0",="2468.3481",="883.253",="674.5341",="0",="0",="0",="517.393",="0",="4553.1729",="0",="226.4676",="225.2035",="52.1929",="545.2304",="1047.4322",="3358.2633",="0",="2305.8013",="1915.4601",="841.7976",="572.0813",="0",="0",="0",="1464.3426",="6.8798",="0",="184.7559",="443.3053",="0",="1516.6549",="7913.1674",="0",="5595.8319",="503.5098",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="230.3702",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="1452.4854",="1716.5593",="530.5223",="667.0286",="4869.3536",="1682.9344",="0",="0",="0",="90.6695",="1172.5754",="0",="479.8313",="1341.3945",="0",="1407.4341",="1289.2643",="0",="0",="1124.7854",="551.631",="4554.2938",="0",="322.1107",="2392.3404",="0",="0",="0",="872.7301",="0",="1176.6553",="495.52040000000005",="0",="0",="0",="319.8968",="0",="194.1616",="116.9887",="775.0616",="0",="214.9536",="30.9271",="1613.5981",="0",="0",="110.9944",="0",="0",="0",="89.9497",="0",="0",="0",="457.26239999999996",="0",="0",="0",="0",="0",="744.0772",="133.9045",="0",="489.866",="5381.3703000000005",="2109.5654",="423.4167",="2656.1052999999997",="0",="0",="0",="64.495",="0",="0",="0",="0",="0",="0",="0",="0",="0",="313.7614",="701.5503",="0",="324.5818",="0",="2016.6421",="1082.7538",="137.8454",="0",="0",="0",="0",="0",="763.6136",="73.7469",="128.0338",="0",="0",="0",="108.2411",="0",="728.5295",="0",="472.6172",="0",="60.1815",="0",="270.2038",="1350.8568",="0",="179.7187",="5051.1531",="652.7841",="174.3264",="0",="0",="0",="1087.0849",="11.4774",="0",="167.0974",="643.3355",="0",="2585.1372",="4240.3117999999995",="35.9105",="3928.0936",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3.261",="0",="0",="0",="0",="0",="0",="0"
="VISl5",="3026.662",="832.4495",="1359.5567",="883.3518",="4322.2581",="1311.8286",="0",="460.9944",="0",="0",="263.5196",="0",="79.6287",="675.9802",="0",="1301.2995",="3484.9817",="0",="0",="2348.3372",="950.6645",="2837.0155",="0",="52.2295",="219.8939",="0",="0",="0",="609.6879",="0",="1113.2073",="700.1034",="0",="0",="0",="5.7354",="0",="373.9605",="1348.1904",="2735.8326",="1534.9737",="2439.4735",="7924.2834",="281.9841",="191.1238",="0",="188.748",="0",="0",="0",="1098.5324",="0",="401.6745",="0",="410.1875",="0",="204.636",="1004.1958000000001",="0",="0",="920.7669",="0",="393.8084",="722.4797",="1436.8523",="347.4691",="720.5448",="394.2349",="408.277",="0",="264.5765",="186.3349",="0",="0",="219.5606",="0",="0",="0",="0",="0",="663.3758",="78.1086",="1579.173",="0",="1426.8689",="0",="2710.1239",="2134.5613",="65.6866",="0",="1542.98",="0",="0",="0",="451.1667",="0",="53.3779",="0",="282.2066",="0",="558.6943",="0",="500.7771",="48.8839",="488.2204",="0",="269.829",="0",="290.2254",="2381.7383",="269.9327",="0",="2710.0872",="120.2362",="0",="355.1737",="0",="0",="2258.2106",="1253.5051",="0",="371.1972",="1369.7725",="223.1115",="2068.8428",="4094.2948",="107.0799",="748.3311",="0",="533.8035",="0",="415.9373",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="661.031",="0",="0",="0",="0",="0",="0",="0"
