 ,221057_135,221057_150,221057_155,221364_083,221364_087,221701_055,230011_175,230066_079,230066_084,231685_259,231685_281,233285_119,233379_133,233380_037,233666_171,233668_063,233668_065,233668_073,233668_099,233668_101,233795_002,233795_003,233795_009,233795_012,233795_074,233795_088,221090_095,221091_154,221417_015,221418_129,221479_166,231685_243,231685_255,233379_029,233379_036,233379_097,233379_130,233666_139,233666_204,221090_092,221090_094,221090_099,221091_125,221091_158,221418_135,221418_137,221477_059,221481_137,231687_014,233379_123,233666_201,233667_217,233667_242,233667_256,233667_267,233667_269,221065_081,231687_027,231687_028,233284_183,233667_270,221225_016,231687_023,233666_161,221065_083,221065_086,233667_261
="ENTl2",="2952.8874",="0",="0",="0",="0",="0",="0",="1888.2887",="0",="0",="0",="0",="0",="0",="0",="1723.2862",="665.8176",="3288.0609",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="190.3476",="0",="0",="0",="0",="0",="0",="0",="0",="878.7772",="0",="0",="1.7393",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="2155.9726",="0",="0",="0",="0",="136.0109",="0",="1366.1379",="0",="0",="0",="0",="0",="0",="0",="1837.8491",="1000.0811",="2527.0163",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="126.8365",="0",="0",="0",="0",="0",="0",="0",="0",="1160.3201",="0",="0",="0",="0",="0",="0",="0",="24.8564",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="1611.662",="0",="0",="0",="0",="3475.3429",="0",="3501.4483",="0",="0",="0",="0",="0",="0",="0",="1912.9725",="178.3759",="1960.5432",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="188.525",="0",="0",="0",="0",="0",="0",="0",="0",="591.6534",="0",="0",="0",="0",="0",="0",="0",="0",="1302.6234",="0",="0",="0",="0",="0",="113.3013",="0",="659.753",="0",="0",="0",="0",="437.2244",="0",="0",="0"
="ENTm1",="49.961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="37.0555",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="19.7847",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="2949.9981",="0",="0",="0",="0",="0",="0",="49.0019",="0",="0",="0",="0",="0",="0",="0",="0",="0",="906.165",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="20.5778",="0",="0",="0",="0",="71.1338",="0",="213.9313",="0",="117.0614",="0",="0",="0",="0",="0",="0",="0",="0",="274.0029",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="1532.5857",="0",="0",="0",="0",="0",="0",="136.4987",="299.9979",="0",="0",="0",="0",="0",="0",="0",="1045.1387",="576.2079",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="293.7336",="0",="0",="0",="85.8441",="258.8785",="0",="69.5596",="0",="55.913",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="421.6655",="0",="1771.7237",="0",="0",="0",="0",="19.9881",="0",="0",="0"
="ENTm5",="406.8976",="0",="0",="0",="0",="0",="0",="443.4826",="122.4137",="0",="0",="0",="0",="0",="0",="0",="129.9546",="1134.2299",="0",="0",="0",="0",="0",="4.7377",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="166.058",="263.7845",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1861.4798",="338.9196",="2443.6305",="0",="158.2952",="0",="0",="284.6507",="0",="0",="0"
="VISl1",="355.1553",="2969.832",="1303.6174",="0",="0",="2390.5521",="16.8883",="2310.4237",="2463.1521",="2191.5065",="0",="669.0507",="610.0521",="1022.888",="0",="6160.4544",="173.0015",="232.5265",="0",="0",="822.5579",="100.8451",="162.3066",="1490.9069",="66.0097",="2006.4047",="1246.4024",="704.0212",="258.1611",="14.0232",="11.0641",="6651.5209",="3684.1638",="0",="912.3013",="0",="187.4441",="949.7791",="610.3417",="840.734",="2254.8173",="640.6455",="0",="0",="43.0605",="1373.9129",="89.8851",="500.5542",="609.3767",="0",="4480.2514",="0",="0",="3786.6763",="0",="4896.988",="722.2",="0",="0",="3713.1448",="0",="0",="0",="0",="0",="0",="1141.9183"
="VISl2/3",="2136.5948",="2267.7169",="7613.1848",="151.8454",="0",="2673.5306",="0",="1267.2182",="3381.9838",="2303.7461",="3528.341",="3395.0484",="254.4387",="734.5326",="0",="5246.3061",="0",="284.7093",="1040.1478",="0",="1828.4701",="1927.6756",="1168.4883",="3643.3611",="0",="4077.7072",="91.3671",="0",="0",="1029.5473",="2016.8202",="1169.9467",="3085.3589",="0",="0",="0",="576.1747",="13638.1925",="1897.6732000000002",="577.7981",="80.9849",="0",="0",="0",="517.393",="4553.1729",="545.2304",="2305.8013",="572.0813",="0",="1464.3426",="0",="184.7559",="3071.6709",="0",="1516.6549",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="363.8249"
="VISl4",="667.0286",="2343.0903",="1416.8878",="0",="0",="1124.7854",="0",="1059.3936",="2392.3404",="1100.9763",="564.5235",="1943.9549",="98.9163",="483.6027",="0",="1411.8815",="0",="55.068",="110.9944",="0",="253.6902",="32.1074",="89.9497",="559.9631",="0",="1019.3998",="0",="0",="457.26239999999996",="147.9799",="751.1884",="489.866",="5381.3703000000005",="0",="0",="0",="701.5503",="2016.6421",="326.8876",="137.8454",="0",="216.8235",="0",="0",="108.2411",="728.5295",="0",="179.7187",="174.3264",="0",="1087.0849",="0",="167.0974",="2463.4309000000003",="0",="2585.1372",="35.9105",="0",="0",="0",="0",="51.073",="488.9561",="0",="0",="0",="375.3142"
