 ,221057_071,221057_090,221057_098,221057_107,221057_155,221057_156,221057_160,221364_052,221364_080,221364_081,221364_082,221364_083,221364_084,221364_085,221364_086,221364_087,221479_168,221479_216,221481_118,221481_256,221481_507,221481_513,221481_538,221701_039,221701_055,221701_057,221701_060,221701_062,221719_052,230066_089,230066_125,231570_009,231570_012,231685_259,231687_007,231687_008,231687_010,231687_016,233379_001,233379_037,233379_049,233379_050,233379_051,233379_052,233379_112,233379_115,233379_122,233379_124,233379_129,233668_076,233668_080,233668_097,233668_130,233668_170,233795_001,233795_072,233795_075,233795_087,233795_124,233795_125,221090_098,221417_015,221418_128,221418_129,221481_198,231686_050,233379_039,233379_040,233379_097,233379_100,233379_102,233379_130,233379_142,233380_036,233380_094,221090_092,221090_094,221090_099,221091_113,221091_141,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221515_017,231687_014,233285_248,233379_123,233667_256,233667_289,231687_017,233284_183,233285_047,212073_012,221225_015,221365_066,221365_067,221365_068,221365_069,221365_072,221365_081,221426_061,231687_001,231687_002,231687_006,231687_012,233285_040,233285_044,233285_246,221536_026,221536_034,221719_054,233285_039,233285_041,233285_045
="SSp-bfd4",="117.7785",="0",="873.0007",="0",="0",="330.8882",="0",="202.077",="0",="0",="173.7981",="1330.3552",="730.8266",="0",="0",="0",="497.9545",="348.5013",="0",="2376.9235",="434.0755",="1078.8354",="0",="0",="0",="463.889",="0",="0",="624.2548",="0",="0",="315.3737",="0",="0",="0",="22.7313",="504.6895",="3031.6184",="4643.5278",="0",="765.5644",="738.1307",="0",="3300.0174",="494.5359",="0",="1706.7443",="0",="1558.8745",="0",="72.4752",="0",="3216.9538",="1193.55",="411.0453",="255.9079",="0",="34.2339",="0",="374.4682",="0",="0",="0",="0",="0",="0",="103.2402",="0",="0",="0",="0",="0",="51.6133",="0",="0",="0",="0",="366.0031",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="715.336",="0",="0",="0",="0",="0",="0",="0",="0",="0",="325.2816",="390.4572",="0",="0",="0",="0",="0",="0",="0",="0",="25.9397",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="342.1044",="0",="1448.5875",="0",="0",="176.0024",="0",="1607.7934",="287.2105",="0",="42.4779",="800.8349",="383.7587",="0",="0",="0",="0",="0",="0",="3833.7177",="1174.641",="289.9879",="0",="0",="0",="529.5496",="0",="0",="266.9552",="0",="0",="485.5341",="0",="0",="0",="0",="43.1925",="689.6518",="3846.636",="0",="353.7194",="1342.082",="0",="618.0519",="22.905",="0",="1093.5568",="0",="390.4574",="0",="0",="0",="8678.5842",="3170.317",="0",="173.828",="19.1046",="357.3241",="487.24",="1402.7633",="0",="0",="0",="0",="0",="0",="141.7653",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="279.5046",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.5286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.1191",="305.5631",="0",="0",="0",="0",="162.3576",="0",="0",="0",="71.6807",="8.2418",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="758.7197",="0",="0",="0",="0",="0",="0",="0",="112.8637",="0",="0",="13.7926",="0",="0",="0",="493.3598",="0",="0",="0",="83.2197",="0",="0",="0",="0",="0",="145.0105",="0",="0",="0",="0",="10.0416",="0",="875.4984",="176.5093",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3.2138",="0",="1285.9654",="0",="242.5718",="0",="71.8141",="369.7814",="319.5607",="3.6769",="0",="134.0619",="150.5975",="0",="0",="228.23309999999998",="0",="278.7251",="0",="0",="256.7827",="0",="2532.0444",="0",="0",="0",="1548.1008",="0",="0",="390.1927",="250.1255",="1896.5774000000001",="0",="0",="939.8464",="689.0826",="0",="0",="0",="1521.1135",="0",="0",="0",="78.9941",="4.4009",="0",="791.9802",="51.6279",="2742.9921",="0",="0",="0",="0",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="770.694",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="379.5832",="0",="0",="0",="0",="0",="0",="0",="542.7039",="665.8704",="19.1763",="2207.8255",="0",="0",="0",="826.502",="196.6818",="0",="0",="0",="516.7195",="0",="26.1584",="0",="0",="3482.7079",="0",="0",="0",="0",="502.517",="0",="4940.5303",="2425.2674",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2558.7091",="111.6395",="574.8068",="0",="2735.8473",="794.4975",="4649.3538",="0",="1773.0455",="4255.7786",="7455.4014",="193.3954",="320.0422",="6077.8948",="0",="0",="0",="675.7088",="0",="3343.6691",="0",="0",="160.7448",="0",="1223.5125",="0",="0",="0",="1077.8523",="0",="0",="1373.4729",="490.1767",="111.3288",="0",="0",="1009.3896",="1189.5143",="0",="0",="0",="2914.8307",="0",="0",="339.178",="408.4288",="9.8809",="0",="803.7295",="171.3382",="1862.7141",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.7154",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="44.873",="378.1998",="559.8556",="677.7828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1785.3743",="71.5476",="0",="1000.892",="15.6512",="0",="431.2922",="0",="0",="0",="0",="0",="0",="0",="261.8101",="414.3432",="0",="77.1561",="772.2507",="36.5035",="97.3506",="0",="0",="214.0315",="4732.5865",="0",="0",="0",="575.8612",="0",="600.7982",="0",="0",="0",="0",="0",="0",="652.1731",="218.1602",="160.6396",="80.7075",="0",="0",="2817.7001",="4175.5373",="2869.6851",="44.4474",="1845.5643",="1413.6897",="0",="216.1213",="117.2971",="0",="79.4363",="650.8426",="235.6934",="414.6396",="5578.9029",="655.1799",="265.8152",="3575.2607",="2757.3434",="0",="266.879",="1178.5031",="415.1974",="1256.0901999999999",="45.471",="1363.1317",="233.6069",="0",="2096.9023",="0",="56.313",="3029.3524",="5548.69",="0",="1584.9923",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="301.5057",="2785.6846",="1612.8947",="2486.0194",="50.7198",="123.419",="0",="0",="0",="0",="0",="0",="0",="32.4901",="0",="121.5406",="0",="89.5181",="0",="0",="202.0494",="403.9646",="0",="8201.5181",="219.4668",="0",="6497.8853",="1304.3743",="0",="1966.7891",="75.422",="0",="512.5304",="0",="0",="0",="0",="0",="2183.2261",="0",="372.5916",="2684.5675",="550.0499",="941.3436",="0",="0",="2412.9722",="4045.6782",="0",="0",="0",="743.1437",="0",="1214.9654",="419.152",="0",="0",="0",="0",="64.2785",="419.5759",="40.9927",="0",="813.6424",="0",="0",="1291.379",="3718.0755",="1141.1933",="342.4125",="529.9469",="715.4862",="209.1679",="0",="4228.0406",="0",="0",="578.2938",="233.5173",="0",="8164.8088",="1959.6878",="4411.2088",="5540.8947",="4135.8491",="173.5497",="606.2088",="4004.4747",="26.1816",="1676.4762",="0",="3585.3011",="0",="208.1977",="1543.6911",="0",="954.8861",="5205.1968",="5501.2417",="0",="238.3843",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="238.8821",="0",="0",="0",="0",="0",="0",="32.3096",="0"
="VISam4",="17.8227",="409.0149",="711.8248",="407.8636",="0",="42.2846",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.924",="0",="271.2638",="0",="0",="0",="140.0015",="0",="365.6034",="0",="0",="865.5997",="34.1761",="0",="723.0136",="115.1202",="0",="386.8334",="0",="0",="0",="0",="0",="535.2444",="0",="0",="285.1671",="75.4451",="0",="0",="0",="88.9181",="380.6936",="0",="0",="0",="0",="0",="155.0299",="0",="0",="0",="0",="0",="92.1929",="160.8447",="0",="0",="145.6387",="0",="0",="81.4702",="890.0263",="1389.9822",="208.4911",="0",="302.4658",="140.4016",="0",="0",="0",="0",="70.3998",="0",="0",="1410.2006",="228.6595",="788.0488",="365.2287",="254.4053",="251.1355",="132.5144",="191.8396",="0",="992.5800999999999",="0",="127.9795",="15.0105",="184.2576",="135.7096",="0",="76.8995",="408.4229",="349.4657",="0",="106.3276",="0",="0",="0",="0",="0",="0",="0",="247.5469",="0",="0",="0",="0",="0",="0",="95.0633",="71.4688",="0",="0",="0",="0",="0",="1440.5259",="0"
="VISam5",="183.0873",="672.7837",="1065.4725",="1176.0677",="0",="0",="0",="177.7184",="0",="6.0066",="0",="0",="0",="0",="0",="0",="0",="465.4004",="0",="0",="0",="369.931",="0",="1202.2402",="0",="0",="498.205",="0",="0",="4364.627",="4020.5119",="0",="673.9994",="173.2306",="0",="0",="0",="0",="750.1088",="0",="961.3593",="816.1452",="545.198",="888.2752",="541.6088",="0",="1162.1015",="1350.9269",="0",="0",="0",="0",="1119.3426",="939.6941",="0",="0",="394.6016",="0",="0",="81.5609",="424.2949",="271.1542",="72.4639",="475.548",="0",="0",="418.9144",="104.3426",="518.3537",="231.7208",="311.8742",="305.2485",="0",="0",="0",="0",="0",="456.4711",="0",="0",="3205.7428",="1139.1805",="2576.449",="548.8953",="300.1767",="159.3623",="866.5181",="363.013",="0",="430.0672",="0",="1798.0708",="1264.798",="549.807",="261.3195",="0",="165.2525",="1459.3153",="1591.5443",="0",="417.8143",="22.3445",="671.7498",="0",="0",="847.3617",="0",="0",="972.7306",="0",="0",="0",="1155.1104",="0",="236.2319",="176.1573",="237.121",="83.4165",="0",="0",="115.8471",="605.0344",="858.6472",="0"
="VISl1",="563.3275",="0",="0",="0",="1303.6174",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="223.3409",="0",="0",="0",="0",="2390.5521",="133.5671",="0",="0",="0",="0",="1629.7057",="0",="308.4227",="2191.5065",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="398.9843",="0",="0",="0",="0",="1266.2916",="0",="153.6801",="0",="0",="0",="0",="0",="1041.1485",="0",="0",="0",="258.1611",="0",="14.0232",="0",="0",="0",="83.7062",="0",="0",="0",="187.4441",="0",="10.731",="0",="840.734",="2254.8173",="640.6455",="0",="0",="290.6551",="776.4642",="0",="0",="0",="43.0605",="516.6805",="0",="368.0883",="0",="53.6404",="89.8851",="344.8817",="262.4825",="609.3767",="0",="0",="3786.6763",="11763.8747",="0",="3713.1448",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1080.0736",="0",="0",="0",="7613.1848",="0",="0",="0",="0",="218.6775",="0",="151.8454",="0",="0",="0",="0",="2552.4041",="0",="0",="1343.8513",="677.0586",="0",="0",="0",="2673.5306",="170.8086",="0",="0",="0",="0",="3451.637",="0",="1823.3959",="2303.7461",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="450.6914",="0",="0",="0",="0",="10314.0033",="402.2884",="793.022",="0",="0",="0",="0",="0",="5557.0646",="0",="378.1269",="0",="0",="0",="1029.5473",="0",="0",="0",="0",="0",="0",="0",="576.1747",="0",="562.5487",="0",="577.7981",="80.9849",="0",="0",="0",="883.253",="674.5341",="0",="0",="0",="517.393",="0",="0",="226.4676",="225.2035",="52.1929",="545.2304",="1047.4322",="1915.4601",="572.0813",="0",="0",="3071.6709",="7913.1674",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
