 ,221057_071,221057_088,221057_101,221057_102,221057_103,221057_150,221057_151,221057_164,221364_080,221364_081,221364_082,221364_083,221364_087,221477_061,221479_158,221479_168,221479_187,221481_117,221481_230,221481_241,221481_256,221481_507,221481_509,221481_515,221481_522,221481_524,221481_538,221701_035,221701_052,221701_055,221701_057,221701_061,221733_181,230011_174,230011_175,230066_121,230066_125,230066_126,230066_127,230066_128,230080_262,230114_019,231570_005,231570_006,231570_008,231570_011,231570_012,231685_259,231685_281,231687_016,231687_029,233285_119,233379_033,233379_047,233379_048,233379_111,233379_112,233379_113,233379_114,233379_115,233379_116,233379_117,233379_119,233379_121,233379_122,233379_125,233379_127,233379_129,233379_131,233379_132,233379_133,233379_134,233380_037,233380_038,233668_061,233668_063,233668_064,233668_076,233668_080,233668_130,233668_170,233668_253,233795_001,233795_003,233795_009,233795_012,233795_072,233795_073,233795_074,233795_075,233795_085,233795_087,233795_088,233795_089,233795_090,233795_091,233795_092,233795_093,233795_094,233795_095,233795_097,233795_098,233795_099,233795_100,233795_101,233795_102,233795_103,233795_104,233795_106,233795_124,233795_125,221090_095,221091_154,221417_015,221417_018,221417_043,221418_129,221418_139,221477_060,221478_326,221478_349,221479_159,221479_164,221479_166,221479_169,221480_100,221481_198,231685_243,231685_255,231685_273,231685_275,231685_279,231685_285,231686_057,233379_029,233379_032,233379_036,233379_039,233379_097,233379_118,233379_130,233379_136,233379_142,233380_036,233380_093,233666_200,233666_204,233666_218,221090_092,221090_093,221090_094,221090_099,221091_125,221417_017,221418_001,221418_127,221418_135,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221481_137,221515_017,231685_244,231687_014,233666_201,233667_154,233667_297,221065_082,231687_017,231687_027,231687_028,233284_183,221225_016,221226_014,221226_015,221226_023,221365_065,221365_067,221365_069,221365_073,221426_061,231687_001,231687_012,231687_013,233666_222,233667_280,221536_032,221538_015,233281_123,233285_006,233666_207
="SSp-bfd4",="117.7785",="0",="0",="0",="0",="0",="0",="0",="0",="0",="173.7981",="1330.3552",="0",="0",="2285.6304",="497.9545",="0",="0",="286.3463",="720.0309",="2376.9235",="434.0755",="960.9942",="0",="323.3491",="0",="0",="0",="0",="0",="463.889",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1519.2798",="0",="562.1723",="0",="1786.7937",="0",="0",="0",="3031.6184",="0",="0",="643.5309",="768.2499",="0",="363.9367",="494.5359",="2711.0116",="0",="0",="0",="434.7537",="0",="0",="1706.7443",="1489.3671",="207.6435",="1558.8745",="0",="0",="0",="0",="34.8264",="0",="1044.4771",="0",="4869.9768",="0",="72.4752",="3216.9538",="1193.55",="25.3888",="411.0453",="0",="0",="386.0962",="255.9079",="127.4818",="0",="0",="0",="34.2339",="0",="642.3887",="6.9989",="0",="0",="533.6039",="0",="0",="0",="0",="0",="0",="0",="22.8806",="1513.1844",="69.3459",="0",="0",="374.4682",="0",="0",="0",="0",="0",="0",="0",="7.6259",="505.0408",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="103.2402",="0",="0",="0",="0",="51.6133",="0",="0",="0",="0",="0",="0",="0",="0",="366.0031",="0",="0",="0",="0",="0",="0",="0",="0",="0",="715.336",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="325.2816",="0",="0",="0",="0",="0",="0",="0",="0",="25.9397",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="342.1044",="0",="0",="0",="0",="0",="0",="107.468",="287.2105",="0",="42.4779",="800.8349",="0",="0",="3604.9171",="0",="0",="0",="416.2045",="880.4528",="3833.7177",="1174.641",="360.543",="0",="1189.964",="0",="0",="0",="0",="0",="529.5496",="0",="0",="0",="0",="0",="0",="292.1588",="0",="0",="0",="339.3578",="0",="281.3162",="0",="1516.4824",="0",="0",="0",="689.6518",="0",="0",="0",="294.0817",="0",="228.9759",="22.905",="477.9232",="0",="0",="0",="475.2",="0",="0",="1093.5568",="468.0769",="7.0516",="390.4574",="0",="85.3962",="0",="0",="0",="0",="150.8166",="0",="1406.8168",="0",="0",="8678.5842",="3170.317",="1.5808",="0",="0",="0",="48.1342",="173.828",="12.3392",="0",="19.1046",="0",="357.3241",="0",="0",="1526.094",="0",="0",="0",="0",="0",="729.3259",="0",="0",="0",="0",="158.7127",="832.9182",="2457.7135",="3.7662",="487.24",="1402.7633",="0",="0",="0",="0",="0",="0",="0",="964.8218",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="141.7653",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.554",="0",="279.5046",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.5286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.1191",="0",="0",="0",="0",="0",="0",="0",="0",="71.6807",="8.2418",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="758.7197",="316.7365",="0",="299.8808",="36.7242",="742.5082",="0",="641.0677",="112.8637",="0",="0",="13.7926",="493.3598",="0",="138.0577",="0",="0",="0",="0",="16.4716",="83.2197",="0",="0",="0",="1201.9145",="0",="0",="863.4293",="43.1261",="0",="145.0105",="4973.6878",="1826.3899",="0",="256.8324",="555.994",="10.0416",="736.4667",="223.7679",="61.3978",="4.3873",="0",="0",="0",="112.8258",="1162.0494",="875.4984",="176.5093",="0",="0",="0",="280.7635",="295.0181",="280.9051",="771.5608",="410.9514",="0",="115.7947",="0",="0",="0",="1832.7338",="195.7189",="3336.9919",="3.2138",="165.8258",="1882.4499",="1285.9654",="58.2966",="0",="625.2901",="205.5874",="696.4887",="0",="135.8534",="0",="1696.2967",="0",="242.5718",="71.8141",="369.7814",="1756.1653",="319.5607",="265.2507",="381.2616",="368.8919",="3.6769",="1311.7174",="451.8532",="0",="117.9887",="134.0619",="0",="0",="435.9834",="0",="0",="446.4245",="542.4193",="49.5849",="0",="0",="0",="0",="0",="71.5947",="185.7068",="0",="686.8761",="150.5975",="0",="1068.6677",="2205.2524",="228.23309999999998",="0",="54.237",="278.7251",="0",="0",="0",="0",="0",="35.8835",="0",="0",="72.8663",="0",="73.664",="151.0806",="0",="0",="0",="182.0752",="0",="0",="825.6292",="100.3744",="256.7827",="2532.0444",="0",="0",="0",="1548.1008",="0",="0",="0",="496.0498",="1612.4987",="390.1927",="0",="250.1255",="1896.5774000000001",="0",="192.5143",="939.8464",="689.0826",="1521.1135",="1042.8175",="0",="0",="78.9941",="4.4009",="0",="791.9802",="4.5624",="575.1484",="51.6279",="17.465",="2742.9921",="1228.4456",="0",="68.431",="359.8404",="0",="0",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="0",="259.2684",="0",="0",="770.694",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="379.5832",="751.6677",="358.1856",="1085.6252",="908.5733",="428.5717",="0",="3237.6833",="542.7039",="665.8704",="19.1763",="2207.8255",="826.502",="0",="2201.0846",="196.6818",="612.6849",="211.793",="0",="237.893",="0",="516.7195",="180.6668",="384.5626",="4558.5964",="1452.13",="26.1584",="1888.9461",="394.004",="0",="3482.7079",="6521.5601",="2317.7554",="0",="229.0199",="633.6446",="502.517",="2098.9476",="126.1116",="0",="251.4087",="0",="739.1746",="0",="141.4823",="2464.7045",="4940.5303",="2425.2674",="1002.6667",="0",="366.3644",="578.3688",="8558.089",="741.0940999999999",="1697.8196",="306.9756",="2558.7091",="1615.9785",="289.2598",="111.6395",="214.4219",="809.1516",="328.0219",="4219.7007",="574.8068",="5872.8476",="6365.6185",="2735.8473",="218.709",="0",="1955.493",="651.8754",="501.9251",="555.5502",="342.5833",="215.1193",="413.0383",="794.4975",="4649.3538",="1773.0455",="4255.7786",="2649.7298",="7455.4014",="444.4465",="1371.8003",="210.4005",="193.3954",="1520.9167",="424.8899",="320.0422",="668.3718",="6077.8948",="112.0586",="111.679",="6244.1882",="2941.2858",="332.5073",="4638.3046",="1759.3618",="483.7277",="317.4103",="0",="1399.9211",="304.714",="127.3583",="855.8265",="1361.2821",="0",="0",="0",="0",="177.9613",="103.5607",="675.7088",="118.5193",="0",="3343.6691",="0",="388.4115",="0",="272.9667",="170.4929",="1148.8733",="3.9804",="582.4213",="0",="0",="209.8343",="266.7272",="0",="26.1525",="21.0609",="3674.9373",="0",="0",="540.3522",="260.9162",="160.7448",="1223.5125",="0",="0",="0",="1077.8523",="0",="0",="9.3642",="791.9245",="1204.2755",="1373.4729",="0",="490.1767",="111.3288",="0",="845.2802",="1009.3896",="1189.5143",="2914.8307",="1177.9212",="0",="339.178",="408.4288",="9.8809",="0",="803.7295",="158.2932",="651.3799",="171.3382",="5.4104",="1862.7141",="625.4493",="0",="0",="1806.4882000000002",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.7154",="347.8006",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="44.873",="45.4115",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="71.5476",="0",="0",="0",="0",="0",="73.4169",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="261.8101",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="214.0315",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="600.7982",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="218.1602",="0",="0",="80.7075",="614.9055",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="527.0028",="0",="0",="0",="0",="0",="0",="0",="0",="2817.7001",="2869.6851",="0",="1413.6897",="0",="0",="216.1213",="0",="0",="0",="22.9096",="0",="0",="79.4363",="650.8426",="334.9346",="0",="5578.9029",="655.1799",="0",="0",="1178.5031",="415.1974",="1256.0901999999999",="45.471",="1363.1317",="233.6069",="541.2361",="0",="0",="871.016",="2096.9023",="2456.7946",="0",="0",="0",="0",="0",="0",="1584.9923",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="301.5057",="1003.2688",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="121.5406",="0",="0",="0",="0",="0",="0",="0",="0",="202.0494",="0",="0",="0",="0",="0",="0",="186.3731",="219.4668",="0",="0",="0",="0",="0",="642.4511",="75.422",="0",="467.2517",="0",="0",="0",="0",="0",="0",="0",="512.5304",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2412.9722",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1214.9654",="0",="419.152",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="64.2785",="0",="0",="40.9927",="0",="0",="813.6424",="832.1638",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="146.1497",="0",="199.8175",="0",="0",="0",="0",="0",="0",="1291.379",="1141.1933",="0",="715.4862",="0",="209.1679",="0",="0",="0",="0",="366.9394",="0",="0",="0",="578.2938",="297.0631",="0",="8164.8088",="1959.6878",="173.5497",="0",="4004.4747",="26.1816",="1676.4762",="0",="3585.3011",="0",="924.851",="0",="208.1977",="285.2336",="1543.6911",="2779.326",="0",="0",="0",="0",="0",="0",="238.3843",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="17.8227",="324.552",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.924",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="22.9367",="115.1202",="0",="81.7607",="0",="0",="0",="0",="0",="0",="0",="386.8334",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="88.9181",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="155.0299",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="92.1929",="0",="0",="0",="0",="0",="145.6387",="4.8852",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="105.4287",="0",="0",="0",="0",="0",="0",="81.4702",="1389.9822",="0",="302.4658",="0",="140.4016",="0",="0",="0",="0",="138.7759",="0",="0",="0",="70.3998",="0",="0",="1410.2006",="228.6595",="251.1355",="0",="191.8396",="0",="992.5800999999999",="0",="127.9795",="15.0105",="202.6691",="0",="184.2576",="0",="135.7096",="259.312",="0",="0",="0",="0",="0",="0",="106.3276",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="183.0873",="782.9976",="0",="623.7709",="0",="0",="0",="0",="0",="6.0066",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="242.3546",="711.7892",="0",="0",="0",="0",="0",="0",="0",="4020.5119",="0",="714.8361",="0",="0",="0",="0",="0",="0",="0",="673.9994",="173.2306",="0",="0",="0",="0",="0",="0",="0",="0",="541.6088",="0",="0",="0",="0",="0",="0",="0",="1162.1015",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1119.3426",="939.6941",="0",="0",="0",="0",="0",="0",="0",="0",="394.6016",="0",="0",="0",="0",="234.2219",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="81.5609",="0",="0",="271.1542",="0",="0",="475.548",="744.4762",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="350.4442",="0",="0",="0",="0",="0",="329.2292",="418.9144",="518.3537",="0",="305.2485",="0",="0",="0",="0",="0",="0",="122.2365",="0",="0",="0",="456.4711",="82.4095",="0",="3205.7428",="1139.1805",="159.3623",="0",="363.013",="0",="430.0672",="0",="1798.0708",="1264.798",="298.7273",="0",="549.807",="0",="261.3195",="1110.8793",="0",="0",="0",="0",="0",="0",="417.8143",="0",="0",="0",="194.1686",="0",="847.3617",="0",="538.4872",="0",="0",="236.2319",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="563.3275",="408.2201",="0",="1080.7786",="597.0866",="2969.832",="341.9937",="0",="0",="0",="0",="0",="0",="0",="0",="0",="188.401",="0",="43.9458",="17.7973",="223.3409",="0",="109.6473",="0",="514.9773",="385.585",="0",="1577.9638",="1615.8714",="2390.5521",="133.5671",="0",="109.5162",="0",="16.8883",="570.7697",="1629.7057",="836.6675",="1771.2756",="3453.9618",="2169.5",="0",="33.0029",="150.3986",="309.3538",="296.2895",="308.4227",="2191.5065",="0",="0",="141.6068",="669.0507",="0",="707.3212000000001",="440.8744",="0",="398.9843",="0",="0",="0",="0",="0",="0",="0",="0",="26.3425",="0",="0",="53.0576",="0",="610.0521",="0",="1022.888",="1385.1395",="2359.2797",="6160.4544",="21.6279",="1266.2916",="0",="0",="0",="0",="0",="100.8451",="162.3066",="1490.9069",="0",="531.5266",="66.0097",="0",="359.9671",="1041.1485",="2006.4047",="290.779",="312.3278",="0",="79.6464",="314.3913",="2647.7085",="60.5246",="695.1431",="163.221",="592.097",="1100.4638",="0",="5315.0954",="329.7027",="0",="0",="0",="0",="1246.4024",="704.0212",="258.1611",="28.149",="33.1524",="14.0232",="0",="0",="53.0138",="0",="0",="94.3572",="11.0641",="0",="291.28610000000003",="0",="6651.5209",="3684.1638",="670.8434",="5896.475399999999",="0",="0",="0",="0",="0",="912.3013",="0",="0",="0",="187.4441",="279.7917",="0",="10.731",="1215.7012",="288.4778",="610.3417",="10602.6762",="840.734",="306.0492",="2254.8173",="640.6455",="0",="440.9228",="290.6551",="776.4642",="43.0605",="1373.9129",="0",="368.0883",="0",="53.6404",="89.8851",="344.8817",="3661.2217",="500.5542",="262.4825",="1098.2095",="609.3767",="4480.2514",="0",="1440.4147",="1499.7455",="0",="0",="0",="3713.1448",="0",="284.0962",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="239.6868",="0",="0",="0",="0",="0"
="VISl2/3",="1080.0736",="2621.5063",="0",="6327.5249",="3672.1045",="2267.7169",="4148.2502",="0",="0",="218.6775",="0",="151.8454",="0",="0",="1620.3537",="2552.4041",="3450.9095",="0",="376.6176",="1855.1713",="1343.8513",="677.0586",="855.1529",="119.926",="1567.5015",="8333.7183",="0",="4355.3269",="6095.1032",="2673.5306",="170.8086",="0",="603.625",="0",="0",="1428.0556",="3451.637",="4915.9001",="2796.9019",="1709.7379",="4654.4648",="0",="1841.6863",="1111.4453",="759.5096",="318.4456",="1823.3959",="2303.7461",="3528.341",="0",="1992.0696",="3395.0484",="652.5872",="394.28700000000003",="1832.4041",="0",="450.6914",="0",="54.9452",="0",="0",="0",="0",="0",="0",="295.8117",="0",="0",="482.02520000000004",="0",="254.4387",="98.7806",="734.5326",="7146.2592",="2699.4871",="5246.3061",="642.4508",="10314.0033",="402.2884",="0",="0",="0",="0",="1927.6756",="1168.4883",="3643.3611",="0",="544.5988",="0",="0",="673.5047",="5557.0646",="4077.7072",="3066.543",="4651.6977",="0",="4729.9116",="5974.3394",="7186.4128",="3866.8033",="3139.3248",="466.6355",="794.1229",="2368.5725",="0",="5307.1869",="1189.2468",="264.2118",="0",="0",="378.1269",="91.3671",="0",="0",="1093.3076",="256.7132",="1029.5473",="0",="191.0896",="2911.712",="0",="284.0036",="1144.9781",="2016.8202",="330.6491",="0",="0",="1169.9467",="3085.3589",="992.7326",="3596.4398",="625.9789",="408.1088",="0",="0",="0",="0",="0",="0",="0",="576.1747",="718.8088",="0",="562.5487",="1425.1815",="2855.2621",="1897.6732000000002",="3687.328",="577.7981",="0",="80.9849",="0",="0",="2468.3481",="883.253",="674.5341",="517.393",="4553.1729",="0",="226.4676",="225.2035",="52.1929",="545.2304",="1047.4322",="3358.2633",="2305.8013",="1915.4601",="841.7976",="572.0813",="1464.3426",="6.8798",="1765.6157",="5595.8319",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
