 ,221057_099,221057_123,221057_132,221057_133,221057_135,221057_137,221057_139,221057_149,221057_167,221481_241,221481_257,221481_258,221701_039,221701_041,221701_054,221701_060,221702_003,221733_181,230066_078,230066_079,230066_081,230066_082,230066_083,230066_084,230066_087,230066_121,230066_124,230066_125,233380_037,233666_171,233668_046,233668_056,233668_057,233668_058,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_072,233668_073,233668_075,233668_076,233668_096,233668_097,233668_100,233668_102,233668_103,233795_008,233795_009,233795_011,233795_012,233795_013,233795_044,233795_090,233795_098,233795_100,221090_098,221091_154,221417_015,221417_016,221417_043,221418_139,221478_278,221479_163,221479_164,221480_100,221481_237,221481_254,231685_255,231685_273,231685_274,231685_275,231685_279,231685_284,231685_286,231685_291,231686_057,233379_029,233379_030,233379_031,233379_040,233379_107,233379_109,233379_130,233380_036,233380_093,233666_139,233666_204,221090_092,221090_093,221091_113,221091_125,221091_141,221417_017,221418_131,221418_132,221418_136,221418_137,221418_138,221477_058,221477_059,221479_185,221479_236,231687_014,233666_049,233666_201,233667_154,233667_217,233667_242,233667_255,233667_256,233667_257,233667_267,233667_269,233667_289,233667_290,221065_081,221065_082,221091_171,231687_028,233667_270,233668_104,221365_065,233666_146,233666_149,233666_152,233666_161,233666_183,233666_189,233666_193,233666_196,233666_197,233666_202,233667_132,233667_156,233667_158,233667_165,233667_175,233667_179,233667_185,233667_232,233667_233,233667_234,233667_235,233667_237,233667_238,233667_239,233667_259,233667_262,233667_263,233667_264,233667_265,233667_272,233667_279,233667_280,233667_282,233667_292,221065_083,221065_084,221065_085,221517_009,221517_010,233281_120,233667_182,233667_231,233667_260,233667_261
="VISl6a",="2.3948",="494.4096",="0",="244.778",="0",="163.357",="293.6505",="0",="0",="347.2583",="0",="0",="140.2032",="130.7866",="0",="0",="299.3305",="646.3033",="253.3402",="0",="0",="313.1482",="0",="252.0847",="0",="487.8404",="308.1188",="0",="787.5515",="504.1759",="0",="275.8245",="327.2748",="0",="1355.6758",="1044.157",="109.5686",="933.6645",="30.7901",="0",="775.034",="0",="1593.5801",="0",="0",="0",="0",="0",="391.0468",="0",="519.4995",="0",="0",="0",="0",="347.5211",="541.5684",="210.7605",="0",="0",="828.2313",="413.5051",="0",="1235.6446",="42.336",="0",="0",="316.6394",="0",="0",="559.5815",="359.6583",="675.3469",="0",="0",="615.6115",="0",="164.0888",="0",="489.5335",="297.7303",="0",="0",="337.2898",="0",="452.0379",="1294.2747",="179.2989",="67.9416",="285.8591",="1249.0124",="159.2303",="118.5629",="0",="0",="0",="408.6833",="0",="1087.6556",="0",="0",="1273.7175",="952.6319",="0",="3.8743",="442.8832",="0",="0",="1068.406",="1431.7171",="0",="735.8607",="0",="1158.4679999999998",="0",="2019.1099",="1056.6948",="666.2442",="107.5454",="384.3665",="132.3789",="0",="2314.013",="3622.6713",="0",="0",="0",="223.9139",="0",="1319.474",="230.0783",="0",="73.2667",="663.1002",="537.795",="521.9949",="0",="0",="0",="402.4163",="0",="198.8884",="0",="0",="0",="0",="0",="0",="0",="0",="698.2064",="452.2706",="2.1336",="475.2588",="0",="0",="99.5073",="426.8977",="215.184",="0",="0",="0",="564.6465",="0",="0",="0",="0",="0",="267.3223",="0"
="VISl6b",="381.5441",="554.2955",="0",="0",="0",="427.9839",="424.4078",="0",="0",="5.5041",="0",="0",="0",="130.8008",="0",="0",="0",="0",="108.7559",="0",="0",="93.5575",="0",="0",="0",="0",="0",="0",="440.862",="0",="0",="0",="0",="0",="65.3637",="168.4121",="0",="164.9936",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="163.6724",="0",="0",="0",="47.719",="226.5064",="95.4213",="0",="0",="0",="13.7314",="0",="603.8591",="0",="0",="0",="0",="0",="0",="353.9103",="185.6659",="92.7189",="0",="0",="0",="0",="0",="0",="168.0816",="0",="0",="0",="134.5865",="0",="0",="200.4602",="585.2778",="0",="0",="0",="220.6042",="517.5467",="0",="0",="0",="0",="0",="0",="0",="0",="246.7855",="0",="0",="0",="475.9759",="0",="0",="0",="102.7939",="0",="142.3761",="35.9298",="426.46770000000004",="0",="483.3986",="0",="344.878",="71.3171",="240.1368",="132.3581",="0",="446.1668",="657.234",="0",="152.2939",="0",="313.6512",="0",="0",="0",="0",="195.1982",="282.4908",="381.1138",="20.4505",="0",="0",="0",="0",="0",="93.3965",="0",="0",="0",="0",="0",="0",="0",="0",="8.482",="0",="20.6945",="40.9232",="0",="0",="0",="86.5176",="44.2733",="0",="0",="0",="111.9889",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="3308.2082",="49.6856",="11851.4445",="2272.2128",="2386.3392",="2680.5515",="86.2561",="4814.7138",="1057.2081",="277.1687",="1045.6059",="5765.627399999999",="1546.4684",="2425.4399",="4197.3002",="3604.0723",="8760.6377",="3337.8806",="13048.535",="4212.1664",="3588.7925",="14211.4185",="8212.8141",="7952.8731",="3282.3247",="8522.4148",="5463.1432",="9141.7232",="11290.3281",="1159.5516",="727.8129",="1763.062",="1056.303",="0",="1287.3423",="992.1029",="1848.365",="4107.1388",="188.4277",="1587.2707",="996.1782",="102.2276",="1292.2112",="7345.8027",="2703.9143",="2044.8751",="96.242",="6306.4339",="1748.0824",="1259.7775",="1684.4122",="4862.0038",="6632.9957",="4519.8821",="4969.9105",="5241.9492",="544.788",="3773.0229",="3577.4829",="231.3214",="6749.361",="38148.2743",="22565.647",="11556.4641",="1200.3767",="15163.6253",="16171.5457",="13833.623",="18791.9273",="14580.3943",="25015.7091",="7625.369299999999",="8438.9134",="24696.0962",="17221.318900000002",="1295.6806",="342.5939",="1760.2172",="7792.0131",="619.2791",="17855.6887",="10525.3178",="18070.9865",="210.6238",="2131.166",="840.5068",="8960.774",="15026.5138",="16662.9429",="11297.1415",="7442.8735",="12484.3328",="8873.463",="6182.4085",="2764.4712",="9361.5912",="25195.9952",="3707.3609",="3575.1268",="1859.8326",="766.1012",="2991.0171",="11697.39",="4072.5839",="9632.4698",="30079.2673",="18118.1844",="1151.804",="17167.215",="1249.3483",="4030.0655",="698.5816",="3035.4661",="10135.5064",="13797.580000000002",="0",="9986.8656",="10896.350400000001",="113.2133",="25562.0262",="12895.7446",="2116.7851",="0",="2303.3545",="258.3998",="0",="1320.0266",="227.9887",="530.0012",="1559.4408",="1716.3566",="1019.6094",="217.3281",="2252.649",="1675.2818",="1380.4801",="1687.7969",="379.5764",="1073.8046",="92.2494",="0",="345.8477",="159.0071",="0",="2124.7737",="0",="0",="764.4486",="299.2605",="657.8192",="318.5685",="73.5827",="910.4466",="118.5931",="0",="521.9563",="0",="1667.7629",="333.4066",="1529.7744",="0",="0",="0",="0",="0",="0",="3312.2632",="0",="2575.4666",="1679.4813"
="VISp2/3",="6315.8049",="681.888",="22242.2498",="9674.3592",="3969.058",="1801.7566",="488.4382",="4669.5062",="10217.2662",="3842.6708",="16045.9574",="17723.6678",="9386.2178",="11618.0002",="13716.894",="16948.9078",="6185.047",="5183.1466",="5303.3735",="3060.9158",="14981.517",="7119.0744",="4303.5624",="3416.5061",="1629.9705",="4111.8993",="6096.7713",="6888.5755",="7989.3069",="1409.7899",="3200.7502",="3349.394",="2584.839",="83.3717",="3413.3107",="3093.4927",="3258.6074",="6141.9574",="656.1971",="1646.9152",="3793.5089",="1155.4684",="1389.953",="5574.194799999999",="14116.0137",="17109.8268",="3592.2177",="5755.3496",="19472.3165",="570.3871",="7555.0891",="6402.9451",="3547.5874",="4320.821",="3080.5176",="4009.5166",="8230.95",="864.0587",="6256.2495",="76.6351",="1845.7223",="10111.0909",="8983.5228",="18553.7251",="6570.1068",="6773.3215",="9362.3701",="22571.6282",="3583.3253",="5875.0331",="18462.2627",="1045.4805",="2257.1055",="5805.4966",="4919.3284",="928.9037",="2644.0032",="715.7564",="3943.6112",="241.044",="4055.9173",="4634.9761",="10930.179",="478.1857",="1419.3491",="643.9741",="6519.3778999999995",="3774.269",="9005.4757",="8165.3467",="13910.4621",="8660.1553",="7377.4748",="3471.8821",="2578.2613",="5055.0348",="29671.030700000003",="5810.6616",="3029.6229",="232.8854",="1863.8787",="1860.268",="2782.0728",="3571.7028",="3741.425",="3996.6448",="3761.0497",="2178.3863",="3614.1161",="1687.426",="1678.3326",="1770.6022",="978.2607",="5258.2559",="11925.2497",="0",="1637.9157",="3194.5801",="461.7879",="2950.0152",="39810.6889",="10232.8895",="36.3303",="4069.6331",="701.2788",="0",="583.1719",="468.7863",="364.6692",="1042.593",="1820.2057",="654.4573",="232.7685",="592.549",="2711.6945",="1384.7555",="840.9771",="202.4695",="1318.8206",="248.4476",="0",="442.541",="179.2282",="0",="1267.8011",="0",="0",="267.4773",="188.0255",="324.0093",="909.5796",="173.1275",="665.148",="190.265",="0",="677.9008",="0",="1478.892",="265.7025",="1178.5164",="1472.16",="1138.7072",="264.2215",="0",="0",="0",="1760.6739",="0",="404.963",="255.7822"
="VISp4",="10699.409",="991.8434",="6561.709",="6350.5719",="1864.8638",="4721.0395",="939.5645",="2690.2397",="733.8701",="2038.2015",="1837.5072",="5407.393899999999",="2352.1582",="4708.6463",="7219.9223",="3437.0682",="3827.6604",="4234.3269",="8660.7705",="1213.8836",="534.8229",="7573.5612",="7690.8652",="5511.3987",="1239.2195",="4726.5079",="7182.7088",="4960.4429",="3504.876",="1366.6955",="1712.3035",="1104.5213",="1047.8001",="81.5368",="913.1195",="1313.3415",="1717.4877",="688.7054",="1217.2893",="365.0537",="2516.0042",="322.7818",="200.3856",="1911.344",="3376.4013",="3426.4235",="3208.9864",="708.4713",="6549.0806",="2497.7531",="3174.1497",="1788.5902",="754.8805",="640.7008",="2890.0134",="3100.2518",="2429.4329",="5863.0116",="6819.6578",="943.3422",="1003.1767",="13873.605",="9074.9617",="3035.6096",="3426.8582",="5454.6523",="7254.0569",="5047.1149",="10634.6417",="12176.395",="6056.1321",="3529.5768",="5382.2183",="5696.3403",="8287.964899999999",="2498.9037",="1092.511",="919.4417",="5815.872",="662.6917",="9936.0707",="3828.475",="4208.9746",="4165.1296",="5809.4118",="1107.2978",="16356.194",="11443.6685",="10696.882",="3398.2996",="6284.5682",="3183.6127",="2599.9165",="1959.6579",="1688.2881",="1138.5136",="5186.0037",="2271.6528",="746.1591",="291.695",="1215.0993",="1891.5",="3390.4835",="4390.781099999999",="4472.6923",="5097.8641",="3782.5088",="1168.0448",="3690.5633",="1748.4652",="713.0424",="417.5407",="1098.5759",="1440.0195",="2191.8504000000003",="53.8916",="2257.2269",="805.2296",="696.4052",="4798.6952",="19527.6244",="2362.5659",="449.2869",="579.1231",="414.79",="0",="903.1721",="434.2327",="638.174",="2140.6632",="1342.4231",="492.4537",="197.9833",="1076.3019",="995.1402",="920.9464",="695.9529",="131.428",="1467.1569",="133.7019",="86.3643",="829.0376",="169.9377",="152.6179",="1224.2068",="219.2882",="0",="149.5875",="179.9456",="465.4707",="346.7411",="287.1581",="109.6604",="259.5124",="70.1747",="1220.8476",="168.5538",="1389.8815",="887.8195",="1573.1772",="1873.3024",="6191.1351",="5816.8501",="223.5209",="166.656",="1333.67",="1966.6185",="212.9454",="336.1618",="209.5867"
="VISp5",="6979.381",="934.7263",="8437.0956",="5894.5561",="2350.3681",="5025.9254",="3713.0028",="4933.2717",="2810.4222",="2701.4506",="1955.6873",="3012.8051",="4726.204",="6442.508",="5037.8156",="6204.7055",="1483.4461",="5607.1422",="4599.8618",="1546.9734",="444.3415",="8268.5603",="4437.0596",="3367.8007",="8140.5253",="6919.7725",="8850.4926",="9384.9936",="5686.9853",="1407.0555",="4100.5615",="352.1783",="2581.206",="38.3157",="5201.7618",="1630.6768",="2310.2919",="2596.8504",="4119.1347",="2242.1067",="8734.2042",="929.266",="1314.8977",="13110.4433",="6726.9074",="5477.1322",="3473.1798",="7091.6732",="2132.5569",="9282.8241",="5294.7965",="3500.0146",="1890.1599",="1812.4666",="3207.2966",="5348.7991",="5738.3282",="5162.0936",="7406.0814",="3894.2141",="3138.3496",="6990.348",="6699.3537",="4332.7405",="10796.0308",="4184.2893",="8099.2857",="4416.5821",="11167.0752",="6513.5649",="10874.2436",="3452.0769",="6504.1817",="4594.2847",="6622.6709",="768.7872",="4291.5056",="5042.8578",="3180.5891",="1067.4089",="3207.5922",="3920.4063",="2154.5105",="1112.7449",="3408.4006",="1102.8774",="10298.052500000002",="2066.9368999999997",="2615.4969",="8818.0262",="8747.5066",="8725.1163",="8189.1244",="4008.4871",="7393.0749",="6182.8583",="11247.561899999999",="10557.9844",="2473.5326",="1762.8188",="9472.7246",="4957.9586",="9440.9291",="10320.6988",="5210.2177",="8613.4395",="9474.3272",="2178.7715",="6101.8408",="16320.0732",="3613.7866",="2068.9748",="2724.6417",="2748.4173",="6767.7347",="3032.2469",="4575.3985999999995",="2081.379",="3746.2664",="7254.3842",="15790.143699999999",="7071.8586",="4127.1901",="12069.732",="3576.2682",="2254.1443",="2633.4101",="4434.7504",="9032.3275",="5947.9829",="6416.3612",="5337.3574",="3807.9668",="8296.0674",="5165.1938",="6426.1865",="7741.8514",="4805.7306",="5937.9803",="2865.9486",="4194.3611",="4079.6546",="2600.3575",="3921.2772",="3770.2625",="1870.7152",="640.0675",="1090.3811",="2789.824",="2096.3417",="2285.8335",="3362.3556",="1425.9694",="5815.9862",="2575.707",="3519.1947",="2194.4867",="6140.6122",="4311.7829",="1973.0766",="1618.4873",="2583.3054",="4187.1657",="911.8056",="983.7053",="1951.4887",="6839.3605",="3937.5192",="3828.0149",="2094.7436"
="VISp6a",="1694.1075",="253.2453",="1752.4786",="765.6294",="0",="907.2662",="550.5436",="1227.7772",="210.8921",="10.992",="2902.4572",="2161.9712",="2808.6342",="1956.1065",="1066.7294",="1688.6872",="2418.1386",="289.8792",="402.79",="1803.6209",="0",="1732.881",="1913.9878",="908.9265",="1166.5583",="3449.6006",="1891.7336",="1511.8483",="1381.2731",="1726.6317",="1643.9314",="0",="1447.8535",="0",="564.8699",="1261.9582",="963.9061",="991.0018",="928.2039",="1234.2668",="283.5833",="459.9768",="1551.746",="1975.0774000000001",="1349.216",="643.7376",="748.6978",="228.8426",="865.4269",="798.3614",="2393.0734",="485.9423",="685.3746",="1343.002",="0",="0",="3397.8163",="1129.8642",="192.7562",="3423.6131",="3427.6189",="4194.3148",="2282.296",="1303.9999",="2989.3728",="1959.5914",="2279.1654",="1740.3721",="2123.7427",="1766.6562",="2564.7664",="4304.0548",="3027.0169",="2356.4032",="2322.3305",="558.2046",="313.2455",="815.4362",="1624.5318",="320.5578",="1601.6512",="1007.3084",="1893.7671",="1777.5436",="1256.1595",="1631.836",="1554.8952",="3609.6749",="2254.096",="635.2622",="1583.3661",="1780.1564",="2257.3929",="2610.286",="1403.0287",="651.3399000000001",="2979.7754",="1844.0993",="2092.0471",="1000.8441",="2824.0016",="2464.6344",="2024.263",="3546.9467",="3471.62",="1109.4235",="1441.4027",="19.4702",="1811.3464",="20996.4983",="2075.9533",="1113.4733",="814.5938",="3344.9435",="6652.6718",="8310.5311",="6151.8135999999995",="3137.8954",="2835.7319",="8231.8002",="19597.468",="6395.3923",="14568.231600000001",="20640.4656",="4457.5429",="4635.9083",="1422.9725",="2328.6621",="1916.2777",="4604.2681",="1411.0107",="1296.7358",="807.2848",="1803.467",="2629.9999",="419.853",="1232.8662",="659.7253",="1412.0094",="1215.594",="772.8497",="894.2675",="2821.9708",="1176.4245",="910.8335",="268.5054",="56.4073",="682.536",="1487.5952",="613.9436",="2469.6959",="793.141",="199.6775",="1271.9402",="241.6623",="826.6901",="2831.6077",="1911.3504",="923.3392",="920.088",="4156.1785",="2936.8083",="2597.8097",="692.2431",="711.3327",="3176.2224",="1451.9781",="2703.8859",="1284.0293",="808.6613"
="VISp6b",="551.9071",="878.1453",="147.8331",="699.8671",="0",="200.3255",="453.3619",="0",="0",="0",="286.2515",="277.7828",="562.3497",="208.7145",="549.8651",="402.415",="369.555",="65.6843",="126.3033",="538.6781",="0",="276.278",="1003.1499",="815.3327",="219.8176",="70.686",="0",="202.8117",="108.3226",="139.2519",="11.0257",="0",="0",="0",="105.7494",="34.895",="52.5282",="35.4174",="0",="182.7328",="319.5142",="38.1786",="281.3566",="497.3505",="50.7411",="282.8247",="0",="47.8071",="122.7178",="84.6428",="37.4886",="123.417",="0",="275.6101",="65.18",="0",="0",="41.676",="40.2879",="169.8521",="378.2827",="1659.213",="750.9509",="472.0218",="321.9719",="129.8829",="620.2912",="48.9679",="893.8833",="234.5771",="796.2153",="362.401",="1816.7698",="319.233",="427.0095",="0",="0",="490.8804",="159.7284",="38.9871",="2.8986",="450.8772",="243.0808",="515.2963",="550.0315",="67.9158",="1197.3233",="168.7877",="85.7904",="0",="317.7876",="820.518",="664.3279",="542.415",="150.7129",="88.3251",="242.92940000000002",="202.5745",="398.6809",="123.4775",="734.2894",="201.0732",="40.9006",="179.9508",="873.46",="1956.7099",="609.6953",="0",="233.4323",="986.3867",="401.4396",="0",="74.6341",="1613.5136",="2452.4968",="264.817",="710.6216",="1370.1057",="39.8946",="1941.9078",="1788.2250000000001",="328.656",="4118.3803",="2138.1946",="234.9354",="171.1115",="328.0372",="587.9956",="509.5509",="298.1001",="75.9922",="234.8205",="167.9691",="0",="74.2815",="147.6237",="77.4325",="154.8668",="202.4978",="239.9413",="99.5047",="172.7009",="81.6845",="249.4154",="36.7308",="28.7219",="22.9179",="47.7906",="256.1143",="15.5167",="276.8921",="40.472",="120.3551",="40.2147",="32.0154",="131.8963",="545.8704",="44.5686",="39.1568",="197.3766",="489.1081",="363.7439",="397.3201",="370.8121",="183.6903",="460.529",="248.8222",="78.2139",="32.6931",="113.2408"
="VISpl2/3",="1028.4078",="126.3618",="11.6993",="3065.0106",="4361.5814",="3421.0422",="756.0209",="4646.6645",="8.1185",="0",="0",="227.5558",="0",="0",="160.849",="0",="904.8054",="0",="135.474",="187.0742",="4609.9851",="0",="763.0966",="266.1423",="0",="0",="0",="308.6712",="635.8425",="3639.7667",="0",="1247.8346",="1001.7137",="0",="0",="2797.9114",="6382.8641",="137.8348",="48.4295",="477.3443",="389.8818",="1498.5237",="2073.5528",="1104.8152",="108.552",="0",="0",="324.2643",="0",="0",="0",="960.6382",="1013.4933",="4963.7232",="2255.6904",="0",="0",="219.9639",="0",="611.958",="663.9404999999999",="8056.3116",="561.1645",="133.1963",="2763.6383",="1653.2724",="2718.0353",="1698.799",="1059.6113",="325.3775",="476.8454",="1955.2057",="2848.886",="582.5917",="403.5172",="262.7792",="2640.179",="1554.0519",="53.8849",="0",="1113.4812",="1618.3644",="14.0462",="2890.1771",="1755.7484",="991.2707",="8745.6772",="1783.5115",="3715.488",="2899.2886",="97.6727",="1261.6938",="1050.2908",="11971.3758",="759.8476",="63.07",="126.4585",="783.2473",="3930.311",="461.1446",="2575.8311",="1671.4601",="2552.0936",="3163.7229",="4893.1249",="384.2694",="3356.4067",="2251.3161",="3095.4631",="0",="41.023",="123.2325",="864.4603",="89.1336",="615.3062",="0",="284.6467",="436.3502",="103.9158",="649.9434",="0",="1926.2032",="270.778",="769.9759",="0",="76.3209",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="155.0887",="0",="0",="206.0074",="0",="163.6656",="745.6389",="0",="0",="0",="0",="0",="191.5232",="0",="0",="0",="395.4699",="599.0609",="169.1895",="199.9215",="0",="0",="0",="0",="0",="303.2644"
="VISpl4",="318.8877",="0",="0",="657.964",="976.0377",="3738.3709",="0",="0",="189.1252",="0",="0",="14.4585",="0",="0",="184.0307",="0",="234.6408",="0",="131.8811",="744.6049",="590.5548",="0",="175.9808",="267.3316",="0",="0",="0",="0",="78.1228",="274.2814",="0",="422.3086",="195.1736",="0",="0",="1272.3921",="1444.5443",="62.1242",="133.3238",="66.311",="98.9012",="824.7255",="623.6199",="7.7482",="121.1331",="0",="0",="0",="0",="0",="0",="654.4556",="213.9189",="494.6125",="734.4227",="8.3224",="0",="0",="0",="244.4876",="0",="66.0882",="0",="0",="141.3497",="459.9784",="813.0253",="304.406",="325.9147",="110.6448",="0",="114.3327",="489.2494",="0",="0",="87.5641",="63.3528",="92.1975",="0",="0",="0",="370.5976",="209.2335",="832.2544",="0",="528.4803",="832.2023",="2013.4003",="1093.3052",="272.5825",="42.681",="102.4605",="11.3198",="689.4106",="287.0981",="0",="150.4061",="0",="11.4661",="0",="200.6165",="11.0102",="591.5631",="942.1998",="764.2554",="249.6087",="116.4396",="11.5919",="232.55",="0",="0",="47.5102",="386.7264",="0",="416.8255",="0",="237.1961",="0",="0",="0",="0",="421.6577",="0",="337.6375",="0",="152.8582",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.5857",="0",="0",="94.9675",="0",="46.5329",="164.4539",="0",="0",="0",="0",="0",="78.0205",="0",="0",="0",="392.7845",="378.2294",="279.9191",="529.5316",="0",="0",="0",="0",="0",="131.622"
