 ,221057_099,221057_123,221057_131,221057_133,221057_135,221057_137,221057_150,221057_160,221057_167,221481_257,221481_258,221701_039,221701_041,221701_047,221701_060,221701_061,221702_003,221733_181,230066_079,230066_083,230066_084,230066_087,230066_121,230066_124,231685_259,233285_119,233380_037,233666_171,233668_056,233668_059,233668_061,233668_062,233668_063,233668_065,233668_072,233668_073,233668_099,233668_101,233795_008,233795_009,233795_011,233795_012,233795_013,233795_087,233795_090,233795_097,233795_098,233795_100,233795_102,221090_098,221091_154,221417_018,221417_019,221417_043,221418_139,221478_326,221479_163,221479_166,221480_100,221481_254,231685_243,231685_255,231685_273,231685_274,231685_286,233379_029,233379_031,233379_036,233379_040,233379_109,233379_130,233380_093,233666_139,233666_190,233666_204,221090_092,221090_093,221090_094,221090_099,221091_125,221091_158,221417_017,221418_132,221418_137,221418_138,221477_058,221477_059,221479_236,231687_014,233379_123,233666_201,233667_154,233667_217,233667_242,233667_256,233667_257,233667_267,233667_269,233667_289,221065_081,221065_082,221091_171,231687_027,231687_028,233667_270,221365_065,231687_023,233666_161,233666_182,233666_183,233666_193,233666_196,233666_197,233666_202,233666_203,233667_132,233667_165,233667_259,233667_264,233667_272,233667_279,221065_083,221065_084,233667_261
="VISl6a",="2.3948",="494.4096",="801.4816",="244.778",="0",="163.357",="0",="1232.5816",="0",="0",="0",="140.2032",="130.7866",="774.4197",="0",="0",="299.3305",="646.3033",="0",="0",="252.0847",="0",="487.8404",="308.1188",="69.9321",="888.3396",="787.5515",="504.1759",="275.8245",="1355.6758",="1044.157",="109.5686",="933.6645",="0",="0",="1593.5801",="0",="0",="519.4995",="0",="0",="0",="0",="1110.109",="541.5684",="289.6152",="210.7605",="0",="393.2877",="0",="828.2313",="135.7075",="827.9877",="1235.6446",="42.336",="875.1871000000001",="0",="540.5182",="0",="559.5815",="0",="359.6583",="675.3469",="0",="164.0888",="297.7303",="0",="0",="337.2898",="452.0379",="1294.2747",="67.9416",="285.8591",="529.2149",="1249.0124",="159.2303",="118.5629",="0",="0",="0",="555.0179",="408.6833",="1087.6556",="0",="1273.7175",="952.6319",="0",="442.8832",="0",="577.7005",="1068.406",="1431.7171",="0",="735.8607",="1158.4679999999998",="0",="2019.1099",="1056.6948",="666.2442",="384.3665",="132.3789",="0",="3538.1602",="2314.013",="3622.6713",="0",="577.3102",="1319.474",="371.5172",="230.0783",="73.2667",="663.1002",="537.795",="521.9949",="0",="0",="402.4163",="698.2064",="475.2588",="0",="99.5073",="0",="0",="0"
="VISl6b",="381.5441",="554.2955",="205.0043",="0",="0",="427.9839",="0",="0",="0",="0",="0",="0",="130.8008",="0",="0",="106.2524",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="440.862",="0",="0",="65.3637",="168.4121",="0",="164.9936",="0",="0",="0",="0",="0",="0",="163.6724",="0",="0",="0",="0",="226.5064",="0",="95.4213",="0",="115.7302",="0",="0",="482.2882",="0",="603.8591",="0",="69.80930000000001",="0",="0",="0",="353.9103",="0",="185.6659",="92.7189",="0",="0",="0",="0",="0",="134.5865",="0",="200.4602",="0",="0",="0",="0",="220.6042",="517.5467",="0",="0",="0",="0",="0",="0",="0",="246.7855",="0",="0",="475.9759",="0",="0",="0",="102.7939",="0",="142.3761",="426.46770000000004",="0",="483.3986",="0",="344.878",="240.1368",="132.3581",="0",="55.1702",="446.1668",="657.234",="152.2939",="67.3433",="0",="0",="0",="195.1982",="282.4908",="381.1138",="20.4505",="0",="0",="0",="8.482",="40.9232",="0",="0",="0",="0",="0"
="VISp1",="3308.2082",="49.6856",="3588.7422",="2272.2128",="2386.3392",="2680.5515",="1954.6724",="234.6745",="1057.2081",="1045.6059",="5765.627399999999",="1546.4684",="2425.4399",="2598.4305",="3604.0723",="2987.9458",="8760.6377",="3337.8806",="4212.1664",="8212.8141",="7952.8731",="3282.3247",="8522.4148",="5463.1432",="733.395",="7077.3402",="11290.3281",="1159.5516",="1763.062",="1287.3423",="992.1029",="1848.365",="4107.1388",="1587.2707",="102.2276",="1292.2112",="0",="1775.1989",="1684.4122",="4862.0038",="6632.9957",="4519.8821",="4969.9105",="1709.9043",="544.788",="2435.2318",="3773.0229",="3577.4829",="2985.8054",="231.3214",="6749.361",="9544.5679",="4978.3211",="11556.4641",="1200.3767",="2067.4657",="16171.5457",="540.5642",="18791.9273",="25015.7091",="0",="7625.369299999999",="8438.9134",="24696.0962",="1760.2172",="17855.6887",="18070.9865",="10580.5606",="210.6238",="840.5068",="8960.774",="16662.9429",="11297.1415",="10142.046",="7442.8735",="12484.3328",="8873.463",="8251.6793",="24750.219",="2764.4712",="0",="25195.9952",="3575.1268",="766.1012",="2991.0171",="11697.39",="4072.5839",="30079.2673",="18118.1844",="5783.5297",="17167.215",="1249.3483",="4030.0655",="698.5816",="10135.5064",="13797.580000000002",="0",="9986.8656",="10896.350400000001",="25562.0262",="12895.7446",="2116.7851",="0",="0",="2303.3545",="0",="777.5014",="1559.4408",="363.144",="1716.3566",="217.3281",="2252.649",="1675.2818",="1380.4801",="1763.1628",="1687.7969",="92.2494",="318.5685",="118.5931",="521.9563",="0",="0",="0",="1679.4813"
="VISp2/3",="6315.8049",="681.888",="8397.6052",="9674.3592",="3969.058",="1801.7566",="4210.3618",="3079.1016",="10217.2662",="16045.9574",="17723.6678",="9386.2178",="11618.0002",="9846.722",="16948.9078",="8755.2002",="6185.047",="5183.1466",="3060.9158",="4303.5624",="3416.5061",="1629.9705",="4111.8993",="6096.7713",="10344.6374",="15017.6913",="7989.3069",="1409.7899",="3349.394",="3413.3107",="3093.4927",="3258.6074",="6141.9574",="1646.9152",="1155.4684",="1389.953",="145.7104",="6970.4963",="7555.0891",="6402.9451",="3547.5874",="4320.821",="3080.5176",="15755.955",="8230.95",="9142.7053",="864.0587",="6256.2495",="6935.5413",="76.6351",="1845.7223",="30156.644",="10929.2583",="18553.7251",="6570.1068",="13344.1483",="9362.3701",="17451.6318",="3583.3253",="18462.2627",="158.3523",="1045.4805",="2257.1055",="5805.4966",="715.7564",="4055.9173",="10930.179",="2961.2738",="478.1857",="643.9741",="6519.3778999999995",="9005.4757",="8165.3467",="15738.0959",="13910.4621",="8660.1553",="7377.4748",="4146.6041",="6255.885",="2578.2613",="1177.53",="29671.030700000003",="3029.6229",="1863.8787",="1860.268",="2782.0728",="3571.7028",="3996.6448",="3761.0497",="2594.0919",="3614.1161",="1687.426",="1678.3326",="1770.6022",="5258.2559",="11925.2497",="0",="1637.9157",="3194.5801",="2950.0152",="39810.6889",="10232.8895",="3.3205",="36.3303",="4069.6331",="0",="435.9624",="1042.593",="935.8223",="1820.2057",="232.7685",="592.549",="2711.6945",="1384.7555",="1111.1999",="840.9771",="248.4476",="909.5796",="190.265",="677.9008",="0",="1472.16",="1138.7072",="255.7822"
="VISp4",="10699.409",="991.8434",="7198.4099",="6350.5719",="1864.8638",="4721.0395",="1815.1461",="1090.5157",="733.8701",="1837.5072",="5407.393899999999",="2352.1582",="4708.6463",="4800.0568",="3437.0682",="1719.6435",="3827.6604",="4234.3269",="1213.8836",="7690.8652",="5511.3987",="1239.2195",="4726.5079",="7182.7088",="2261.1654",="3320.7688",="3504.876",="1366.6955",="1104.5213",="913.1195",="1313.3415",="1717.4877",="688.7054",="365.0537",="322.7818",="200.3856",="71.3314",="3146.7403",="3174.1497",="1788.5902",="754.8805",="640.7008",="2890.0134",="2014.3735",="2429.4329",="4316.9093",="5863.0116",="6819.6578",="3045.2906",="943.3422",="1003.1767",="2874.9822",="6623.6662",="3035.6096",="3426.8582",="3969.7516",="7254.0569",="6249.9507",="10634.6417",="6056.1321",="1657.232",="3529.5768",="5382.2183",="5696.3403",="919.4417",="9936.0707",="4208.9746",="2750.147",="4165.1296",="1107.2978",="16356.194",="10696.882",="3398.2996",="11238.598",="6284.5682",="3183.6127",="2599.9165",="4490.2178",="6984.4986",="1688.2881",="459.975",="5186.0037",="746.1591",="1215.0993",="1891.5",="3390.4835",="4390.781099999999",="5097.8641",="3782.5088",="4901.3087",="3690.5633",="1748.4652",="713.0424",="417.5407",="1440.0195",="2191.8504000000003",="53.8916",="2257.2269",="805.2296",="4798.6952",="19527.6244",="2362.5659",="1269.6949",="449.2869",="579.1231",="0",="1350.3141",="2140.6632",="904.047",="1342.4231",="197.9833",="1076.3019",="995.1402",="920.9464",="831.1854",="695.9529",="133.7019",="346.7411",="259.5124",="1220.8476",="168.5538",="1873.3024",="6191.1351",="209.5867"
="VISp5",="6979.381",="934.7263",="3208.186",="5894.5561",="2350.3681",="5025.9254",="3153.9792",="3200.9387",="2810.4222",="1955.6873",="3012.8051",="4726.204",="6442.508",="2361.5914",="6204.7055",="6730.6417",="1483.4461",="5607.1422",="1546.9734",="4437.0596",="3367.8007",="8140.5253",="6919.7725",="8850.4926",="8202.2369",="7595.4105",="5686.9853",="1407.0555",="352.1783",="5201.7618",="1630.6768",="2310.2919",="2596.8504",="2242.1067",="929.266",="1314.8977",="99.8964",="7403.0493",="5294.7965",="3500.0146",="1890.1599",="1812.4666",="3207.2966",="4488.5267",="5738.3282",="7216.4588",="5162.0936",="7406.0814",="7463.5189",="3894.2141",="3138.3496",="5867.661300000001",="2457.9958",="4332.7405",="10796.0308",="1376.6444000000001",="8099.2857",="2142.5795",="11167.0752",="10874.2436",="4584.6586",="3452.0769",="6504.1817",="4594.2847",="5042.8578",="3207.5922",="2154.5105",="2278.2124",="1112.7449",="1102.8774",="10298.052500000002",="2615.4969",="8818.0262",="4920.6205",="8747.5066",="8725.1163",="8189.1244",="5571.0149",="11601.5248",="7393.0749",="1560.8266",="11247.561899999999",="2473.5326",="9472.7246",="4957.9586",="9440.9291",="10320.6988",="8613.4395",="9474.3272",="8525.7361",="6101.8408",="16320.0732",="3613.7866",="2068.9748",="2748.4173",="6767.7347",="3032.2469",="4575.3985999999995",="2081.379",="7254.3842",="15790.143699999999",="7071.8586",="8624.5423",="4127.1901",="12069.732",="2254.1443",="11809.1446",="5947.9829",="9283.1453",="6416.3612",="3807.9668",="8296.0674",="5165.1938",="6426.1865",="3822.844",="7741.8514",="2865.9486",="2285.8335",="5815.9862",="3519.1947",="2194.4867",="1618.4873",="2583.3054",="2094.7436"
="VISp6a",="1694.1075",="253.2453",="1205.4553",="765.6294",="0",="907.2662",="905.9839",="1498.1785",="210.8921",="2902.4572",="2161.9712",="2808.6342",="1956.1065",="1355.7609",="1688.6872",="2643.7526",="2418.1386",="289.8792",="1803.6209",="1913.9878",="908.9265",="1166.5583",="3449.6006",="1891.7336",="1279.9377",="1442.2829",="1381.2731",="1726.6317",="0",="564.8699",="1261.9582",="963.9061",="991.0018",="1234.2668",="459.9768",="1551.746",="225.251",="775.5342",="2393.0734",="485.9423",="685.3746",="1343.002",="0",="1661.3745",="3397.8163",="386.8035",="1129.8642",="192.7562",="769.4188",="3423.6131",="3427.6189",="4057.471",="574.4542",="1303.9999",="2989.3728",="337.6443",="2279.1654",="810.1705",="2123.7427",="2564.7664",="1435.5553",="4304.0548",="3027.0169",="2356.4032",="815.4362",="1601.6512",="1893.7671",="621.59",="1777.5436",="1631.836",="1554.8952",="2254.096",="635.2622",="1632.3513",="1583.3661",="1780.1564",="2257.3929",="1142.2008",="1733.1236000000001",="1403.0287",="2010.5022",="2979.7754",="2092.0471",="2824.0016",="2464.6344",="2024.263",="3546.9467",="1109.4235",="1441.4027",="1220.1485",="1811.3464",="20996.4983",="2075.9533",="1113.4733",="3344.9435",="6652.6718",="8310.5311",="6151.8135999999995",="3137.8954",="8231.8002",="19597.468",="6395.3923",="10874.2324",="14568.231600000001",="20640.4656",="4635.9083",="2664.2321",="4604.2681",="339.1702",="1411.0107",="807.2848",="1803.467",="2629.9999",="419.853",="1445.1171",="1232.8662",="1215.594",="2469.6959",="1271.9402",="826.6901",="2831.6077",="4156.1785",="2936.8083",="808.6613"
="VISp6b",="551.9071",="878.1453",="494.9655",="699.8671",="0",="200.3255",="665.9416",="0",="0",="286.2515",="277.7828",="562.3497",="208.7145",="112.9763",="402.415",="1322.4856",="369.555",="65.6843",="538.6781",="1003.1499",="815.3327",="219.8176",="70.686",="0",="0",="298.1231",="108.3226",="139.2519",="0",="105.7494",="34.895",="52.5282",="35.4174",="182.7328",="38.1786",="281.3566",="304.6013",="617.3141",="37.4886",="123.417",="0",="275.6101",="65.18",="0",="0",="60.2275",="41.676",="40.2879",="250.5371",="169.8521",="378.2827",="936.3325",="23.9945",="472.0218",="321.9719",="210.401",="620.2912",="63.5669",="893.8833",="796.2153",="45.7293",="362.401",="1816.7698",="319.233",="490.8804",="2.8986",="243.0808",="608.2514",="515.2963",="67.9158",="1197.3233",="85.7904",="0",="278.9023",="317.7876",="820.518",="664.3279",="340.8843",="702.5181",="150.7129",="75.2558",="242.92940000000002",="398.6809",="734.2894",="201.0732",="40.9006",="179.9508",="1956.7099",="609.6953",="132.6085",="233.4323",="986.3867",="401.4396",="0",="1613.5136",="2452.4968",="264.817",="710.6216",="1370.1057",="1941.9078",="1788.2250000000001",="328.656",="1333.0703",="4118.3803",="2138.1946",="171.1115",="44.3171",="298.1001",="42.8194",="75.9922",="167.9691",="0",="74.2815",="147.6237",="243.4868",="77.4325",="239.9413",="276.8921",="40.2147",="131.8963",="545.8704",="489.1081",="363.7439",="113.2408"
="VISpl2/3",="1028.4078",="126.3618",="0",="3065.0106",="4361.5814",="3421.0422",="0",="0",="8.1185",="0",="227.5558",="0",="0",="0",="0",="0",="904.8054",="0",="187.0742",="763.0966",="266.1423",="0",="0",="0",="0",="0",="635.8425",="3639.7667",="1247.8346",="0",="2797.9114",="6382.8641",="137.8348",="477.3443",="1498.5237",="2073.5528",="0",="0",="0",="960.6382",="1013.4933",="4963.7232",="2255.6904",="0",="0",="0",="219.9639",="0",="0",="611.958",="663.9404999999999",="0",="0",="133.1963",="2763.6383",="0",="2718.0353",="0",="1059.6113",="476.8454",="0",="1955.2057",="2848.886",="582.5917",="1554.0519",="1113.4812",="14.0462",="0",="2890.1771",="991.2707",="8745.6772",="3715.488",="2899.2886",="0",="97.6727",="1261.6938",="1050.2908",="0",="0",="759.8476",="0",="126.4585",="3930.311",="2575.8311",="1671.4601",="2552.0936",="3163.7229",="384.2694",="3356.4067",="0",="3095.4631",="0",="41.023",="123.2325",="89.1336",="615.3062",="0",="284.6467",="436.3502",="649.9434",="0",="1926.2032",="0",="270.778",="769.9759",="76.3209",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="745.6389",="0",="0",="191.5232",="395.4699",="599.0609",="303.2644"
="VISpl4",="318.8877",="0",="0",="657.964",="976.0377",="3738.3709",="0",="0",="189.1252",="0",="14.4585",="0",="0",="0",="0",="0",="234.6408",="0",="744.6049",="175.9808",="267.3316",="0",="0",="0",="0",="0",="78.1228",="274.2814",="422.3086",="0",="1272.3921",="1444.5443",="62.1242",="66.311",="824.7255",="623.6199",="0",="0",="0",="654.4556",="213.9189",="494.6125",="734.4227",="0",="0",="0",="0",="0",="0",="244.4876",="0",="0",="0",="0",="141.3497",="0",="813.0253",="0",="325.9147",="0",="0",="114.3327",="489.2494",="0",="92.1975",="0",="209.2335",="0",="832.2544",="528.4803",="832.2023",="1093.3052",="272.5825",="0",="42.681",="102.4605",="11.3198",="0",="0",="287.0981",="0",="150.4061",="11.4661",="200.6165",="11.0102",="591.5631",="942.1998",="249.6087",="116.4396",="0",="232.55",="0",="0",="47.5102",="0",="416.8255",="0",="237.1961",="0",="0",="0",="421.6577",="0",="0",="337.6375",="152.8582",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="164.4539",="0",="0",="78.0205",="392.7845",="378.2294",="131.622"
