 ,221057_071,221057_090,221057_098,221057_107,221057_130,221057_150,221057_156,221057_164,221364_052,221364_080,221364_081,221364_082,221364_083,221364_084,221364_085,221364_086,221364_087,221477_061,221479_158,221479_168,221479_216,221481_117,221481_118,221481_230,221481_241,221481_256,221481_507,221481_509,221481_513,221481_515,221481_522,221481_524,221481_538,221701_035,221701_040,221701_057,221701_061,221719_052,221733_181,230011_174,230011_175,230066_121,230066_126,230066_128,230080_262,230114_019,231570_005,231570_006,231570_008,231570_009,231570_011,231685_259,231687_007,231687_008,231687_010,231687_016,231687_029,233285_119,233379_001,233379_033,233379_035,233379_037,233379_047,233379_048,233379_049,233379_050,233379_051,233379_052,233379_111,233379_112,233379_113,233379_114,233379_115,233379_116,233379_117,233379_119,233379_121,233379_122,233379_125,233379_127,233379_129,233379_132,233379_133,233380_037,233668_061,233668_064,233668_076,233668_080,233668_130,233668_170,233668_253,233795_001,233795_003,233795_008,233795_009,233795_012,233795_072,233795_073,233795_074,233795_075,233795_087,233795_089,233795_090,233795_093,233795_094,233795_097,233795_100,233795_102,233795_103,233795_104,233795_106,233795_124,233795_125,221090_095,221090_097,221090_098,221090_102,221091_154,221417_015,221417_016,221417_018,221417_019,221417_043,221418_129,221418_139,221477_060,221478_326,221478_349,221479_159,221479_164,221480_100,221481_197,221481_198,231685_255,231686_050,233379_030,233379_031,233379_039,233379_040,233379_097,233379_103,233379_118,233379_130,233379_136,233379_142,233380_036,233666_204,233666_218,221090_092,221090_093,221090_094,221090_099,221091_125,221417_017,221418_001,221418_127,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221481_137,221515_017,231685_244,231687_014,233285_248,233379_123,233666_201,221065_082,231687_017,231687_027,233284_183,233285_047,221225_016,221226_014,221226_023,221365_065,221365_066,221365_067,221365_068,221365_069,221365_070,221365_073,221426_061,231687_001,231687_002,231687_003,231687_004,231687_006,231687_012,231687_013,233285_008,233285_040,233285_245,233285_246,233666_214,233667_280,233795_131,221536_025,221536_026,221536_032,221536_033,221536_034,221538_015,221719_054,233281_123,233285_001,233285_006,233285_038,233285_039,233285_045,233666_207
="SSp-bfd4",="117.7785",="0",="873.0007",="0",="204.8046",="0",="330.8882",="0",="202.077",="0",="0",="173.7981",="1330.3552",="730.8266",="0",="0",="0",="0",="2285.6304",="497.9545",="348.5013",="0",="0",="286.3463",="720.0309",="2376.9235",="434.0755",="960.9942",="1078.8354",="0",="323.3491",="0",="0",="0",="33.4797",="463.889",="0",="624.2548",="0",="0",="0",="0",="0",="0",="0",="1519.2798",="0",="562.1723",="0",="315.3737",="1786.7937",="0",="0",="22.7313",="504.6895",="3031.6184",="0",="0",="4643.5278",="643.5309",="1255.9694",="0",="768.2499",="0",="765.5644",="738.1307",="0",="3300.0174",="363.9367",="494.5359",="2711.0116",="0",="0",="0",="434.7537",="0",="0",="1706.7443",="1489.3671",="207.6435",="1558.8745",="0",="0",="34.8264",="1044.4771",="4869.9768",="0",="72.4752",="3216.9538",="1193.55",="25.3888",="411.0453",="0",="887.5177",="0",="386.0962",="255.9079",="127.4818",="0",="0",="34.2339",="642.3887",="6.9989",="533.6039",="0",="0",="0",="22.8806",="1513.1844",="69.3459",="0",="0",="374.4682",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7.6259",="505.0408",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="103.2402",="0",="0",="2351.9925",="0",="0",="0",="51.6133",="0",="0",="0",="0",="0",="0",="366.0031",="0",="0",="0",="0",="0",="0",="0",="0",="715.336",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="325.2816",="390.4572",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.9397",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="342.1044",="0",="1448.5875",="0",="0",="0",="176.0024",="107.468",="1607.7934",="287.2105",="0",="42.4779",="800.8349",="383.7587",="0",="0",="0",="0",="3604.9171",="0",="0",="0",="0",="416.2045",="880.4528",="3833.7177",="1174.641",="360.543",="289.9879",="0",="1189.964",="0",="0",="0",="682.9967",="529.5496",="0",="266.9552",="0",="0",="0",="0",="292.1588",="0",="0",="339.3578",="0",="281.3162",="0",="485.5341",="1516.4824",="0",="0",="0",="43.1925",="689.6518",="0",="0",="3846.636",="0",="0",="0",="294.0817",="0",="353.7194",="1342.082",="0",="618.0519",="228.9759",="22.905",="477.9232",="0",="0",="0",="475.2",="0",="0",="1093.5568",="468.0769",="7.0516",="390.4574",="85.3962",="0",="0",="150.8166",="1406.8168",="0",="0",="8678.5842",="3170.317",="1.5808",="0",="0",="1060.337",="0",="48.1342",="173.828",="12.3392",="0",="19.1046",="357.3241",="0",="1526.094",="0",="0",="729.3259",="0",="158.7127",="832.9182",="2457.7135",="3.7662",="487.24",="1402.7633",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="964.8218",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="141.7653",="0",="0",="1229.9596",="0",="0",="0",="0",="0",="0",="0",="0",="25.554",="0",="279.5046",="0",="0",="0",="0",="0",="0",="0",="0",="73.5286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.1191",="305.5631",="0",="0",="0",="0",="0",="0",="162.3576",="0",="0",="0",="71.6807",="8.2418",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="758.7197",="0",="0",="0",="0",="742.5082",="0",="641.0677",="0",="112.8637",="0",="0",="13.7926",="0",="0",="0",="493.3598",="0",="138.0577",="0",="0",="0",="0",="0",="16.4716",="83.2197",="0",="0",="0",="0",="1201.9145",="0",="0",="863.4293",="0",="145.0105",="4973.6878",="0",="1826.3899",="0",="256.8324",="555.994",="736.4667",="61.3978",="4.3873",="0",="0",="0",="112.8258",="0",="1162.0494",="176.5093",="0",="0",="0",="0",="0",="280.7635",="0",="295.0181",="0",="0",="280.9051",="771.5608",="0",="0",="0",="0",="410.9514",="0",="115.7947",="0",="0",="0",="1832.7338",="195.7189",="3336.9919",="3.2138",="165.8258",="1882.4499",="1285.9654",="0",="625.2901",="696.4887",="135.8534",="1696.2967",="0",="242.5718",="71.8141",="369.7814",="1756.1653",="319.5607",="265.2507",="0",="381.2616",="368.8919",="3.6769",="1311.7174",="451.8532",="0",="134.0619",="0",="435.9834",="446.4245",="542.4193",="0",="0",="71.5947",="185.7068",="0",="686.8761",="150.5975",="0",="1068.6677",="0",="0",="0",="2205.2524",="228.23309999999998",="0",="0",="0",="54.237",="278.7251",="0",="0",="0",="0",="0",="35.8835",="72.8663",="0",="0",="151.0806",="0",="0",="0",="256.7827",="0",="2532.0444",="0",="0",="0",="0",="1548.1008",="0",="496.0498",="1612.4987",="390.1927",="0",="250.1255",="1896.5774000000001",="0",="192.5143",="939.8464",="689.0826",="1042.8175",="0",="0",="78.9941",="4.4009",="0",="791.9802",="575.1484",="51.6279",="17.465",="2742.9921",="0",="0",="1228.4456",="359.8404",="0",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="259.2684",="0",="0",="0",="0",="0",="0",="770.694",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="379.5832",="0",="0",="0",="0",="428.5717",="0",="3237.6833",="0",="542.7039",="665.8704",="19.1763",="2207.8255",="0",="0",="0",="826.502",="0",="2201.0846",="196.6818",="0",="211.793",="0",="0",="237.893",="0",="516.7195",="180.6668",="0",="384.5626",="4558.5964",="1452.13",="26.1584",="1888.9461",="0",="3482.7079",="6521.5601",="0",="2317.7554",="0",="229.0199",="633.6446",="2098.9476",="0",="251.4087",="0",="739.1746",="0",="141.4823",="0",="2464.7045",="2425.2674",="0",="0",="0",="0",="366.3644",="578.3688",="0",="8558.089",="0",="0",="741.0940999999999",="1697.8196",="0",="0",="0",="0",="306.9756",="2558.7091",="1615.9785",="289.2598",="111.6395",="214.4219",="809.1516",="328.0219",="4219.7007",="574.8068",="5872.8476",="6365.6185",="2735.8473",="0",="1955.493",="501.9251",="342.5833",="413.0383",="794.4975",="4649.3538",="1773.0455",="4255.7786",="2649.7298",="7455.4014",="444.4465",="0",="1371.8003",="210.4005",="193.3954",="1520.9167",="424.8899",="320.0422",="6077.8948",="111.679",="6244.1882",="4638.3046",="1759.3618",="317.4103",="304.714",="855.8265",="1361.2821",="0",="0",="0",="0",="177.9613",="0",="0",="0",="103.5607",="675.7088",="0",="118.5193",="0",="0",="3343.6691",="0",="388.4115",="0",="272.9667",="170.4929",="1148.8733",="0",="0",="0",="266.7272",="0",="0",="0",="160.7448",="0",="1223.5125",="0",="0",="0",="0",="1077.8523",="0",="791.9245",="1204.2755",="1373.4729",="0",="490.1767",="111.3288",="0",="845.2802",="1009.3896",="1189.5143",="1177.9212",="0",="339.178",="408.4288",="9.8809",="0",="803.7295",="651.3799",="171.3382",="5.4104",="1862.7141",="0",="0",="625.4493",="1806.4882000000002",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="25.7154",="0",="347.8006",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="44.873",="378.1998",="559.8556",="677.7828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.4169",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="261.8101",="0",="0",="414.3432",="0",="0",="0",="0",="0",="77.1561",="772.2507",="36.5035",="97.3506",="0",="0",="0",="0",="0",="0",="0",="0",="0",="214.0315",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="600.7982",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="652.1731",="0",="0",="218.1602",="0",="0",="0",="0",="80.7075",="614.9055",="0",="0",="0",="0",="0",="0",="0",="0",="527.0028",="0",="0",="0",="2817.7001",="4175.5373",="2869.6851",="301.1476",="0",="1413.6897",="0",="0",="216.1213",="0",="22.9096",="0",="0",="79.4363",="650.8426",="334.9346",="0",="5578.9029",="655.1799",="0",="1178.5031",="415.1974",="1256.0901999999999",="45.471",="1363.1317",="233.6069",="0",="0",="871.016",="2096.9023",="0",="56.313",="2456.7946",="0",="0",="0",="1584.9923",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="301.5057",="2785.6846",="1612.8947",="2486.0194",="0",="0",="123.419",="0",="0",="0",="0",="0",="0",="0",="32.4901",="0",="121.5406",="0",="0",="0",="89.5181",="0",="0",="0",="0",="0",="202.0494",="0",="403.9646",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="642.4511",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2183.2261",="0",="0",="0",="0",="0",="372.5916",="2684.5675",="550.0499",="941.3436",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2412.9722",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1214.9654",="0",="419.152",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="64.2785",="0",="0",="419.5759",="0",="0",="40.9927",="0",="0",="0",="0",="813.6424",="832.1638",="0",="0",="0",="0",="0",="0",="0",="0",="146.1497",="0",="0",="0",="1291.379",="3718.0755",="1141.1933",="799.2357",="0",="715.4862",="0",="209.1679",="0",="0",="366.9394",="0",="0",="0",="578.2938",="297.0631",="0",="8164.8088",="1959.6878",="0",="4004.4747",="26.1816",="1676.4762",="0",="3585.3011",="0",="0",="208.1977",="285.2336",="1543.6911",="0",="954.8861",="2779.326",="0",="0",="0",="238.3843",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="238.8821",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="17.8227",="409.0149",="711.8248",="407.8636",="0",="0",="42.2846",="0",="0",="0",="0",="0",="0",="0",="0",="0",="61.924",="0",="0",="0",="271.2638",="0",="0",="0",="0",="0",="0",="0",="140.0015",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="22.9367",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="535.2444",="0",="0",="0",="0",="0",="0",="285.1671",="75.4451",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="88.9181",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="155.0299",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="92.1929",="0",="0",="160.8447",="0",="0",="0",="0",="0",="0",="0",="145.6387",="4.8852",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="81.4702",="890.0263",="1389.9822",="119.3585",="0",="302.4658",="0",="140.4016",="0",="0",="138.7759",="0",="0",="0",="70.3998",="0",="0",="1410.2006",="228.6595",="0",="191.8396",="0",="992.5800999999999",="0",="127.9795",="15.0105",="0",="184.2576",="0",="135.7096",="0",="76.8995",="259.312",="0",="0",="0",="106.3276",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="95.0633",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="183.0873",="672.7837",="1065.4725",="1176.0677",="0",="0",="0",="0",="177.7184",="0",="6.0066",="0",="0",="0",="0",="0",="0",="0",="0",="0",="465.4004",="0",="0",="0",="0",="0",="0",="0",="369.931",="0",="0",="0",="0",="242.3546",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="173.2306",="0",="0",="0",="0",="0",="0",="750.1088",="0",="0",="0",="0",="0",="961.3593",="816.1452",="545.198",="888.2752",="0",="541.6088",="0",="0",="0",="0",="0",="0",="0",="1162.1015",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1119.3426",="939.6941",="0",="0",="0",="0",="0",="0",="0",="0",="0",="394.6016",="0",="0",="234.2219",="0",="0",="0",="0",="0",="0",="0",="0",="0",="81.5609",="0",="0",="424.2949",="0",="0",="271.1542",="219.0951",="0",="0",="0",="475.548",="744.4762",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="418.9144",="104.3426",="518.3537",="351.387",="0",="305.2485",="0",="0",="0",="0",="122.2365",="0",="0",="0",="456.4711",="82.4095",="0",="3205.7428",="1139.1805",="0",="363.013",="0",="430.0672",="0",="1798.0708",="1264.798",="0",="549.807",="0",="261.3195",="0",="165.2525",="1110.8793",="0",="0",="0",="417.8143",="22.3445",="0",="0",="194.1686",="0",="0",="847.3617",="0",="0",="0",="538.4872",="0",="0",="1155.1104",="0",="0",="0",="236.2319",="0",="313.7145",="176.1573",="0",="83.4165",="0",="0",="0",="0",="0",="0",="0",="0",="0",="115.8471",="0",="0",="0",="0",="605.0344",="0",="0"
="VISl1",="563.3275",="0",="0",="0",="965.8709",="2969.832",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="43.9458",="17.7973",="223.3409",="0",="109.6473",="0",="0",="514.9773",="385.585",="0",="1577.9638",="0",="133.5671",="0",="0",="109.5162",="0",="16.8883",="570.7697",="836.6675",="3453.9618",="2169.5",="0",="33.0029",="150.3986",="309.3538",="0",="296.2895",="2191.5065",="0",="0",="0",="0",="141.6068",="669.0507",="0",="0",="0",="0",="707.3212000000001",="440.8744",="0",="0",="0",="0",="0",="398.9843",="0",="0",="0",="0",="0",="0",="0",="0",="26.3425",="0",="0",="0",="610.0521",="1022.888",="2359.2797",="21.6279",="1266.2916",="0",="0",="0",="0",="0",="100.8451",="207.7748",="162.3066",="1490.9069",="0",="531.5266",="66.0097",="0",="1041.1485",="290.779",="312.3278",="314.3913",="2647.7085",="695.1431",="1100.4638",="5315.0954",="329.7027",="0",="0",="0",="0",="1246.4024",="0",="0",="0",="704.0212",="258.1611",="0",="28.149",="0",="33.1524",="14.0232",="0",="0",="53.0138",="0",="0",="94.3572",="291.28610000000003",="0",="0",="3684.1638",="0",="469.9605",="0",="0",="83.7062",="0",="0",="0",="187.4441",="279.7917",="0",="10.731",="610.3417",="10602.6762",="840.734",="306.0492",="2254.8173",="640.6455",="0",="440.9228",="290.6551",="776.4642",="1373.9129",="0",="368.0883",="0",="53.6404",="89.8851",="344.8817",="500.5542",="262.4825",="1098.2095",="609.3767",="0",="0",="4480.2514",="1499.7455",="0",="0",="3713.1448",="0",="0",="284.0962",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="239.6868",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1080.0736",="0",="0",="0",="6877.5507",="2267.7169",="0",="0",="0",="0",="218.6775",="0",="151.8454",="0",="0",="0",="0",="0",="1620.3537",="2552.4041",="0",="0",="0",="376.6176",="1855.1713",="1343.8513",="677.0586",="855.1529",="0",="119.926",="1567.5015",="8333.7183",="0",="4355.3269",="0",="170.8086",="0",="0",="603.625",="0",="0",="1428.0556",="4915.9001",="1709.7379",="4654.4648",="0",="1841.6863",="1111.4453",="759.5096",="0",="318.4456",="2303.7461",="0",="0",="0",="0",="1992.0696",="3395.0484",="0",="652.5872",="0",="0",="394.28700000000003",="1832.4041",="0",="0",="0",="0",="0",="450.6914",="0",="54.9452",="0",="0",="0",="0",="0",="0",="295.8117",="0",="0",="0",="254.4387",="734.5326",="2699.4871",="642.4508",="10314.0033",="402.2884",="0",="0",="0",="0",="1927.6756",="819.7722",="1168.4883",="3643.3611",="0",="544.5988",="0",="0",="5557.0646",="3066.543",="4651.6977",="5974.3394",="7186.4128",="3139.3248",="2368.5725",="5307.1869",="1189.2468",="264.2118",="0",="0",="378.1269",="91.3671",="0",="0",="0",="0",="0",="29.0095",="1093.3076",="0",="256.7132",="1029.5473",="0",="191.0896",="2911.712",="0",="284.0036",="1144.9781",="0",="0",="0",="3085.3589",="0",="91.2331",="0",="0",="0",="0",="0",="0",="576.1747",="718.8088",="0",="562.5487",="1897.6732000000002",="3687.328",="577.7981",="0",="80.9849",="0",="0",="2468.3481",="883.253",="674.5341",="4553.1729",="0",="226.4676",="225.2035",="52.1929",="545.2304",="1047.4322",="2305.8013",="1915.4601",="841.7976",="572.0813",="0",="0",="1464.3426",="5595.8319",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
