 ,221481_262,230066_080,233668_051,233668_052,233668_054,233668_055,233668_066,233668_067,233668_068,233668_069,233668_078,233668_081,233668_094,233668_202,233668_239,233668_241,233668_256,233795_127,221481_259,221065_104,233667_244,233668_270,221713_007,221516_016,233667_240,233667_243,233667_247,233667_249,233667_253,233667_254,233667_258,221065_103,233667_236,233667_241
="VISl1",="1242.4376",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3027.6898",="511.7674",="0",="1126.0103",="0",="0",="0",="818.7257",="471.3757",="177.6579",="1013.4061",="0",="0",="0",="0",="0",="0",="0",="0",="24.0155",="619.2497",="0",="0",="0"
="VISl2/3",="3520.4754",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1060.6581",="1195.0436",="0",="2159.9385",="0",="0",="0",="2259.7481",="618.428",="1256.6023",="194.5057",="0",="513.7611",="0",="0",="101.3126",="0",="0",="0",="935.5635",="0",="0",="0",="0"
="VISl4",="2005.9716",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1442.4273",="172.5472",="0",="102.3748",="0",="0",="0",="388.9662",="322.7473",="780.265",="126.4721",="0",="24.0316",="88.9408",="0",="371.4231",="0",="0",="0",="269.656",="0",="157.0437",="0",="0"
="VISl5",="216.3144",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1704.9945",="946.1643",="181.1426",="2729.6764",="0",="0",="0",="769.7982",="1247.8537",="5181.1471",="133.857",="0",="149.657",="471.5748",="0",="1477.9877",="0",="0",="0",="231.4998",="0",="0",="64.6329",="607.1468"
="VISl6a",="266.7544",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1061.2711",="0",="665.9574",="0",="0",="0",="0",="0",="902.5171",="7272.2008",="0",="0",="700.0015",="0",="0",="636.4544",="0",="0",="64.6614",="336.3065",="0",="0",="72.4435",="0"
="VISp1",="757.172",="123.507",="41.2907",="1623.7173",="0",="33.1055",="21.743",="49.3591",="0",="0",="302.1666",="240.3356",="188.045",="512.8776",="0",="0",="90.6825",="8820.485",="44087.4386",="2882.5444",="816.2188",="0",="2230.813",="4445.1196",="758.1949",="0",="38.6684",="45.0046",="0",="411.023",="53.5524",="0",="132.095",="394.1678"
="VISp2/3",="235.4433",="188.7601",="0",="863.5302",="0",="197.1697",="97.6485",="132.4098",="108.6217",="0",="339.243",="110.0357",="112.1454",="431.4716",="0",="0",="0",="2685.068",="4755.9476",="1178.6619",="0",="0",="4730.6388",="820.1027",="431.8723",="0",="187.4748",="0",="0",="1257.8175",="0",="0",="165.5547",="0"
="VISp4",="98.6474",="0",="0",="171.7679",="0",="0",="0",="0",="0",="0",="212.2008",="0",="0",="205.2871",="0",="0",="0",="2513.1957",="2994.0419",="518.2598",="0",="0",="3447.957",="499.5042",="502.9516",="7.6621",="66.0664",="0",="125.7045",="1331.9807",="17.8953",="389.539",="136.0187",="19.8293"
="VISp6a",="2379.6609",="0",="0",="354.0091",="0",="0",="279.3487",="0",="154.7562",="234.3591",="0",="0",="0",="1044.3427",="6.6266",="704.8203",="0",="2684.4552",="2592.9208",="8757.7432",="0",="78.7659",="13374.4197",="185.1159",="45.0891",="3328.3144",="0",="0",="2681.7396",="1857.7286",="2979.5803",="0",="268.0174",="178.5156"
="VISp6b",="735.0808000000001",="0",="0",="55.8354",="0",="0",="48.3993",="0",="12.0998",="199.5546",="0",="0",="0",="0",="144.0667",="397.2531",="92.2615",="61.6459",="829.8489",="1379.0357000000001",="0",="0",="2163.7295",="0",="14.6756",="136.9594",="0",="0",="0",="568.7576",="562.3656",="0",="0",="0"
