 ,221057_066,221057_067,221057_068,221057_070,221057_079,221057_080,221057_081,221057_084,221057_087,221057_092,221057_093,221057_094,221057_096,221057_106,221057_108,221057_109,221057_110,221057_148,221057_161,221057_166,221364_053,221479_227,221481_469,221481_472,221701_058,221701_059,221703_320,221727_013,221727_016,221728_145,221728_147,221728_148,221728_150,221728_153,221728_154,221728_173,230011_199,230011_215,230011_217,230059_001,230066_093,230066_115,230066_116,230066_117,230066_118,230066_119,230066_129,230066_132,230066_133,230066_134,230066_135,233379_057,221481_471,230066_136,231686_045,231686_046,231686_048,233379_098,233379_099,233666_007,221229_110,221229_111,221229_113,221479_234,230066_137,233666_008,233281_099,233285_060,233285_066,221536_027,233284_187,233285_070,233666_004,233666_006,233666_009,233281_097,233284_186,233284_188,233284_190,233285_049,233285_050,233285_053,233285_054,233285_055,233285_056,233285_058,233285_059,233285_062,233285_072,233285_073,233285_074,233285_075
="MOp6a",="99.6271",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14.2491",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="26.7325",="0",="0",="0",="483.4851",="0",="0",="0",="0",="0",="0",="0",="491.4085",="270.3081",="0",="0",="0",="0",="0",="0",="0",="0",="135.8269",="0",="0",="296.2074",="0",="0",="0",="231.3965",="220.3181",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs1",="20.3771",="383.256",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="946.6244",="0",="0",="0",="0",="843.2575",="0",="324.2657",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="884.0291",="0",="0",="0",="0",="0",="0",="0",="0",="0",="648.6716",="0",="0",="0",="0",="0",="7454.0049",="4963.4303",="1196.9561",="0",="470.0274",="807.5961",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs2/3",="2293.332",="4181.3776",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="494.5092",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2283.1783",="0",="0",="0",="0",="5639.3572",="0",="2931.4025",="78.4365",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4542.8345",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="12075.9434",="2763.7095",="1131.4405",="0",="470.4996",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="2616.1062",="1094.2801",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="765.5179",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2438.9633",="0",="0",="0",="0",="1305.2971",="0",="5487.0631",="56.9695",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1766.3779",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="178.8192",="0",="1141.2862",="590.0379",="113.8441",="0",="856.5217",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="1341.9623",="70.1505",="0",="0",="0",="358.7124",="0",="0",="0",="0",="0",="0",="0",="0",="0",="480.0949",="0",="0",="0",="529.4023",="0",="0",="0",="0",="0",="0",="578.8817",="0",="0",="0",="0",="665.4346",="0",="59.6335",="1003.2397",="0",="0",="0",="278.4642",="0",="0",="0",="0",="0",="0",="0",="708.7327",="600.1074",="0",="0",="0",="0",="109.2161",="0",="0",="0",="1582.5266",="1012.3359",="0",="0",="828.1621",="0",="1781.2062",="1027.7362",="627.1896",="0",="1247.1225",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="885.94",="0",="0",="0",="0",="549.1094",="1466.3212",="0",="0",="125.171",="0",="0",="0",="429.4175",="95.3965",="0",="0",="686.5686",="0",="276.6671",="0",="0",="0",="0",="0",="0",="0",="1702.8551",="0",="0",="0",="0",="0",="2599.2261",="2248.8338",="0",="79.4252",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="170.5423",="0",="214.8463",="5580.5022",="610.4144",="0",="716.7622",="0",="0",="0",="0",="1502.0492",="6630.1952",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="2868.325",="0",="0",="0",="0",="313.2806",="1522.265",="0",="0",="260.9316",="211.8439",="0",="0",="7064.8621",="250.9343",="0",="0",="3786.2904",="0",="189.6848",="0",="0",="0",="6095.0165",="0",="0",="0",="1398.5909",="0",="0",="0",="0",="0",="3812.569",="2264.6734",="0",="1687.0767",="0",="0",="0",="0",="678.1915",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2422.7544",="0",="0",="1427.8029",="0",="0",="0",="0",="1787.7568",="449.2524",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="1444.1759",="0",="0",="0",="0",="227.4569",="4024.9142",="198.5341",="0",="0",="291.8328",="0",="0",="982.7691",="490.1944",="0",="0",="940.8099",="0",="0",="0",="0",="0",="2678.7832",="0",="0",="0",="998.1161",="0",="0",="0",="0",="0",="299.374",="851.2853",="0",="279.8757",="0",="0",="0",="0",="601.8106",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1128.5653",="648.9169",="0",="2868.0491",="0",="0",="0",="0",="462.8795",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="1380.2609",="0",="0",="0",="0",="718.6782",="3760.3191",="578.963",="0",="677.4176",="0",="0",="0",="169.3523",="794.9016",="0",="0",="779.2084",="0",="0",="0",="0",="0",="1450.0873",="0",="0",="0",="970.4014",="0",="0",="0",="0",="0",="0",="480.7722",="0",="3427.5846",="0",="0",="0",="0",="1347.2493",="631.1154",="838.7908",="0",="0",="0",="0",="0",="0",="0",="0",="19.7606",="140.0524",="423.3198",="1203.2654",="0",="801.2017",="0",="0",="0",="0",="307.4828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="260.2307",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1603.203",="7.9705",="0",="364.5458",="1115.2094",="1053.8454",="0",="199.1135",="248.7447",="953.0988",="357.1973",="174.6427",="315.9951",="0",="0",="0",="347.4496",="282.2836",="0",="1158.8658",="33.1621",="0",="408.299",="0",="0",="0",="1098.6091",="340.8344",="87.2465",="1551.0825",="0",="0",="1302.3803",="1348.6999",="560.6531",="1053.4239",="55.8967",="0",="666.5573",="662.8883",="0",="0",="0",="0",="0",="0",="1562.0342",="1069.4307",="2016.9681",="3068.5582",="658.1384",="457.4655",="210.1192",="0",="925.8815",="147.2293",="0",="392.1537",="2712.4395",="0",="1426.0309",="672.1315",="331.9965",="6469.1535",="165.3268",="0",="373.183",="1215.5577",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
