 ,221065_113,221475_122,221622_013,221622_016,221702_016,221702_017,221705_020,230110_035,233795_033,233795_034,233795_035,221705_024,221063_064,221063_065,221063_072,221065_116,221419_058,221419_060,221419_063,221423_021,221423_072,221705_019,231688_014,221065_097,221423_001,221423_002,221423_004,221423_008,221423_026,221423_066,231688_019,221423_027,221423_067,221481_263,231688_021,231688_025,231688_015
="ENTl2",="2531.2035",="0",="0",="0",="3740.1454",="0",="0",="0",="11757.7542",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="386.6124",="0",="2139.0384999999997",="0",="0",="0",="0",="0",="0",="1365.8261",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="4033.0737",="0",="0",="0",="8590.7019",="0",="0",="0",="10176.3391",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="982.582",="2.4077",="4105.0131",="0",="0",="0",="0",="0",="0",="1427.3694",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="4197.812",="596.4384",="0",="0",="3442.9637",="1.3794",="0",="0",="4974.4459",="0",="0",="0",="520.0875",="0",="0",="600.1351",="78.2419",="0",="0",="3722.0674",="5069.9519",="2581.8057",="0",="204.5838",="0",="4569.0412",="4700.6866",="618.5549",="6877.6175",="0",="44.6956",="0",="0",="0",="0",="0",="0"
="ENTl6a",="2112.1829",="0",="0",="0",="1396.6553",="0",="462.6804",="0",="1242.0855",="505.9941",="0",="0",="823.9022",="23.253",="0",="308.7717",="543.3966",="0",="0",="2028.4016",="4797.289900000001",="1176.9573",="0",="0",="0",="5017.6079",="7448.293900000001",="1001.4968",="6307.3090999999995",="713.0274",="263.4222",="0",="0",="0",="0",="0",="310.8085"
="ENTm1",="60.0299",="0",="0",="0",="0",="0",="0",="0",="78.3815",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="424.7675",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="1260.6713",="0",="0",="0",="972.2319",="0",="0",="0",="1184.6872",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="95.2356",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="288.1362",="0",="0",="0",="1254.0678",="34.7547",="0",="0",="486.611",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="28.4962",="0",="0",="0",="464.704",="0",="0",="0",="0",="0",="0"
="VISl6b",="196.4051",="247.6031",="15.2861",="0",="0",="21.6752",="0",="0",="0",="0",="0",="346.1825",="103.5047",="0",="0",="0",="0",="251.4819",="0",="317.6064",="0",="0",="107.0717",="581.8872",="411.9383",="854.5495",="294.0512",="95.9365",="0",="91.8436",="0",="350.9323",="0",="0",="0",="0",="0"
="VISp6b",="100.9989",="227.2844",="0",="0",="466.8783",="441.1221",="9.8752",="63.9369",="224.7317",="346.39",="0",="591.7839",="201.60000000000002",="0",="32.572",="445.5287",="113.9367",="53.097300000000004",="0",="91.3883",="885.1449",="0",="1047.235",="0",="1166.8861000000002",="1110.4297000000001",="141.4645",="468.9306",="0",="929.4481",="0",="125.2036",="0",="0",="0",="0",="0"
="VISpl4",="8.1728",="106.3831",="0",="0",="479.1677",="575.1632",="64.0977",="0",="0",="344.5384",="58.3216",="0",="0",="85.439",="0",="0",="31.8846",="0",="253.2441",="0",="105.7845",="277.0875",="0",="0",="0",="0",="0",="0",="92.5285",="0",="100.0481",="0",="0",="0",="0",="5.659",="0"
