 ,221364_075,221366_039,221366_040,221366_041,221480_104,221481_199,221481_539,221737_009,221737_010,221737_011,221737_012,230010_054,230010_055,230011_156,230011_157,230011_158,230011_159,230011_172,230011_173,230011_176,230011_177,230059_011,230059_026,230059_027,230109_010,230113_004,230113_007,230114_018,233379_041,233379_042,233379_146,233795_068,233795_069,233795_071,233795_076,233795_077,233795_080,233795_107,233795_108,233795_109,233795_110,233795_111,233795_112,221089_019,221089_020,221089_034,221090_075,221090_076,221090_083,221090_085,221090_088,221090_089,221090_106,221090_107,221090_111,221365_040,221426_060,221475_210,221477_057,221478_745,221478_749,221478_796,221481_182,221481_183,221481_190,221481_192,221481_200,230114_067,230114_084,231685_298,231686_049,233379_043,233379_138,233379_139,233379_140,221090_082,221090_086,221090_087,221090_091,221090_112,221365_082,221426_058,221475_204,221475_205,221475_246,221476_057,221481_177,221481_178,233379_120,221365_071,221366_042,221426_059,221426_064,221426_067,221426_080,221477_066,221535_021,233285_033,221514_018,221536_031,221538_007,221538_008,221538_019,221538_020,233282_046,233282_047,233282_050,233285_003,233285_035,233285_036,233285_103,233285_104,233285_105,233285_106,233285_107,233285_108,233285_109
="SSp-bfd4",="291.1495",="8248.2199",="1879.8998",="860.0021",="3013.4144",="0",="5514.1717",="3713.2811",="967.6117",="1384.3245000000002",="522.5603",="3153.0784",="540.1615",="4065.9675",="6562.9744",="731.0314",="2118.2765",="2014.5232",="777.1096",="1471.3833",="543.1263",="3197.6962",="2981.8928",="1837.5524",="978.242",="1313.5589",="3655.818",="412.4287",="50.9465",="2706.3446",="2774.8894",="2646.8314",="2299.6847",="394.2418",="524.3931",="203.0302",="0",="211.4966",="2152.3365",="2016.2883",="142.6206",="1163.8982",="6434.423",="298.1359",="68.7879",="137.7249",="9623.4243",="0",="0",="0",="0",="0",="1784.2158",="1734.1665",="1741.9101",="0",="112.8692",="2518.5667",="903.4748",="94.0593",="0",="0",="0",="1867.8133",="2912.4687",="3571.2638",="0",="225.0783",="0",="208.4033",="137.9782",="0",="161.5538",="0",="0",="506.5491",="0",="49.9023",="0",="1044.2167",="0",="0",="2690.1788",="837.7493",="3481.7843",="1201.5535",="2771.509",="2009.0802",="0",="0",="0",="21.0974",="0",="2374.4808",="3774.3895",="128.9516",="0",="0",="0",="0",="127.2458",="0",="0",="0",="0",="0",="0",="1332.1366",="0",="0",="0",="0",="0",="0",="0",="0",="448.7171"
="SSp-ll6a",="958.1458",="0",="880.3311",="0",="0",="0",="0",="1006.3992",="593.4241",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.122",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1897.7666",="0",="0",="0",="0",="288.4979",="0",="31.5576",="552.3007",="788.2441",="163.0476",="728.3691",="967.8193",="497.8153",="0",="1049.1671",="0",="897.7149",="0",="0",="0",="0",="738.5457",="0",="0",="43.862",="0",="0",="256.1501",="0",="0",="0",="972.0493",="987.658",="0",="0",="0",="0",="940.0096",="0",="0",="0",="0",="1023.785",="0",="0",="696.5294",="1017.8289",="915.3651",="0",="0",="856.0166",="99.5325",="0",="998.6593",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="535.0566",="0",="553.0143",="0",="0",="0",="0",="435.6213",="791.6849",="0",="0",="0",="0",="0",="0",="0",="0",="0",="856.3867",="0",="0",="9.5303",="0",="0",="0",="0",="107.8762",="0",="0",="0",="0",="0",="588.5903",="0",="0",="0",="0",="1104.4644",="0",="856.0405",="106.7499",="630.5238",="990.3837",="990.5949",="790.0743",="1335.6123",="0",="636.7961",="0",="924.9479",="0",="1459.6466",="0",="0",="919.306",="0",="0",="1190.6291",="0",="0",="601.7594",="0",="0",="0",="1109.8365",="0",="0",="783.1799",="0",="103.8166",="0",="0",="0",="0",="0",="1641.4321",="0",="0",="504.2872",="209.1851",="515.0661",="0",="0",="319.9967",="3301.9609",="0",="646.8457",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="586.539",="0",="481.4939",="0",="0",="0",="0",="618.7624",="454.3157",="0",="0",="0",="0",="0",="0",="0",="0",="0",="373.7663",="0",="0",="118.834",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1229.1467",="0",="0",="0",="0",="479.4958",="0",="1477.2341",="629.779",="567.9998",="507.1466",="1126.6746",="1035.0982",="1069.7123",="0",="462.0555",="0",="792.2531",="0",="751.5594",="0",="0",="468.2553",="0",="0",="478.017",="0",="0",="235.517",="0",="0",="0",="737.2356",="814.1864",="0",="901.5656",="0",="382.8403",="856.975",="0",="0",="0",="0",="1140.8947",="0",="175.6404",="466.5556",="1077.1477",="604.9935",="0",="0",="463.3093",="0",="0",="437.3912",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs2/3",="730.8079",="0",="6149.9142",="0",="0",="0",="0",="4907.2383",="1475.8026",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1340.3003",="0",="0",="6996.2624",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10702.584",="0",="0",="0",="0",="6064.4892",="0",="4901.6554",="4649.6595",="7305.0102",="8938.8551",="6178.0305",="2703.2264",="11828.2734",="2897.6863",="5052.9207",="0",="12521.631",="1418.237",="2925.5892",="117.5345",="7435.0919",="5813.1479",="0",="0",="7084.9802",="0",="0",="1418.6342",="0",="0",="0",="9297.5814",="20496.1877",="0",="5287.7171",="0",="4142.658",="5216.7289",="0",="0",="0",="0",="7193.434",="0",="399.8309",="3840.8749",="11906.0602",="9817.4516",="0",="0",="40765.3006",="0",="0",="5022.059",="0",="193.6025",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs5",="1279.3344",="0",="5038.6551",="0",="0",="0",="0",="6698.7591",="2100.8535",="0",="0",="0",="0",="0",="0",="0",="0",="0",="503.1987",="0",="0",="8793.1187",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="21966.8856",="0",="0",="0",="0",="3358.9061",="0",="4885.329",="4455.6067",="3904.5752",="7344.1571",="4689.1032",="2733.1085",="3654.9094",="1216.7399",="1712.58",="0",="2397.3601",="794.3014",="457.4044",="0",="944.2667",="2542.4807",="0",="0",="2599.3909",="0",="0",="784.5492",="0",="0",="0",="4709.2925",="5752.9666",="0",="729.2945",="0",="1061.0805",="2658.5324",="0",="0",="0",="0",="3477.363",="0",="500.4897",="102.908",="4851.8872",="2709.9124",="0",="0",="7755.2521",="0",="0",="478.677",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs6a",="551.5067",="0",="1349.6273",="0",="0",="0",="0",="2183.8783",="1267.2837",="0",="0",="0",="0",="0",="0",="0",="0",="0",="749.6635",="0",="0",="733.0735",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1922.1854",="0",="0",="0",="0",="1206.6723",="0",="1678.72",="1954.7648",="0",="2924.4813",="1550.1317",="1130.8915",="1127.3569",="812.0628",="2289.8397",="0",="1425.1444",="0",="1018.0677",="0",="0",="2566.5717",="0",="0",="2157.4237",="0",="0",="731.6389",="0",="0",="0",="2893.8598",="2157.3684",="0",="1485.9621",="0",="1997.9718",="1009.641",="0",="102.1154",="0",="0",="4077.0897",="0",="2318.2315",="473.8973",="10809.5635",="1819.6205",="0",="0",="4218.429",="0",="0",="1273.1713",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="7.5585",="0",="0",="24.3139",="0",="54.2851",="0",="0",="0",="144.64069999999998",="0",="0",="0",="0",="158.1328",="0",="0",="345.8641",="0",="0",="193.3919",="0",="0",="0",="0",="458.3183",="0",="0",="0",="0",="0",="77.9891",="0",="160.3507",="0",="203.2326",="0",="0",="0",="0",="0",="0",="0",="768.189",="0",="0",="0",="0",="402.3841",="0",="0",="0",="892.0025",="488.7174",="0",="263.588",="0",="247.9317",="0",="0",="685.3063",="0",="1858.1421",="2315.9168",="0",="81.8446",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="240.8614",="646.4737",="0",="22.5631",="0",="0",="0",="117.2144",="0",="0",="0",="343.6193",="60.7943",="0",="0",="0",="0",="146.9638",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="250.1158",="0",="509.243",="0",="0",="0",="0"
="VISam5",="63.0784",="0",="0",="0",="0",="581.1992",="0",="245.9267",="0",="433.4415",="0",="0",="0",="0",="581.8817",="0",="0",="0",="0",="142.2239",="1252.0297",="0",="0",="0",="0",="284.3455",="0",="0",="0",="0",="0",="263.5102",="0",="115.9193",="112.7519",="209.4246",="0",="0",="52.587",="0",="0",="0",="0",="2815.9763",="0",="0",="0",="0",="650.4142",="564.5462",="277.0244",="0",="1622.5243",="1605.8562",="0",="209.3051",="0",="525.9375",="0",="0",="1642.2745",="0",="2087.0278",="3731.9194",="0",="281.5354",="0",="0",="0",="231.1734",="0",="0",="0",="0",="0",="0",="381.7482",="1126.1782",="0",="4.7504",="177.8277",="1059.3438",="0",="0",="351.6198",="38.5895",="0",="1747.3956",="498.9486",="0",="0",="0",="114.5304",="1776.5749",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="122.4439",="0",="0",="0",="0",="0",="0"
="VISp1",="764.8927",="159.0719",="1385.2737",="2247.2392",="2234.6159",="3631.6633",="465.3357",="1232.477",="5674.7707",="3895.8923",="901.5941",="1112.3445",="6078.5426",="40.8601",="284.9054",="9787.5579",="2967.7886",="5169.0703",="215.5023",="2264.4396",="1022.2073",="0",="108.8836",="0",="2276.0671",="0",="0",="2901.3556",="11486.1138",="1328.9086",="626.9276",="582.9474",="383.9632",="9987.1547",="7435.2426",="8951.4886",="320.2094",="2801.8347",="1845.0447",="2371.6098",="4367.9112000000005",="4341.0299",="0",="0",="4007.1207",="528.799",="4017.3514",="2505.017",="2012.1875",="6661.6601",="1593.5435",="768.0319",="0",="65.8245",="143.2654",="1139.3487",="5330.685",="2353.9045",="18714.4107",="7024.2228",="10269.207",="1060.7345",="901.5442",="2442.734",="19168.822099999998",="1081.1425",="15832.1794",="4753.9225",="207.66",="129.5576",="5086.338",="16116.5053",="22174.8463",="10569.405700000001",="925.4458",="22250.611",="13342.6391",="1153.1194",="3425.6992",="1128.8747",="2355.6268",="4856.6169",="402.4071",="6520.8126",="0",="1183.9134",="67.7536",="6493.0477",="5667.8002",="0",="4891.6126",="1878.8581",="912.6662",="15125.6188",="480.1808",="12453.0712",="0",="604.0373",="188.7721",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
