NeuronId,x,y,z
="195049_023.swc",="5236.92724609375",="1583.256103515625",="5959.26025390625"
="195616_035.swc",="3406.667236328125",="1988.2388916015625",="5961.46484375"
="200199_069.swc",="5195.6767578125",="1354.299072265625",="5938.05712890625"
="200579_032.swc",="3289.782958984375",="1994.9879150390625",="6067.8984375"
="221729_037.swc",="4841.66015625",="1665.1400146484375",="5890.5400390625"
="194528_009.swc",="3531.052001953125",="2384.41015625",="6110.927734375"
="195047_007.swc",="4590.0654296875",="1808.9046630859375",="6125.30712890625"
="195047_009.swc",="5057.24853515625",="1655.126220703125",="6151.94921875"
="195049_033.swc",="4514.228515625",="1596.022216796875",="6025.7099609375"
="195049_036.swc",="4910.91748046875",="1923.7044677734375",="6068.17333984375"
="195051_005.swc",="4374.89111328125",="1845.6715087890625",="6252.72900390625"
="195051_019.swc",="4513.8076171875",="1908.1485595703125",="6097.53076171875"
="195051_025.swc",="4698.1650390625",="1672.249755859375",="6105.537109375"
="195051_028.swc",="4794.94677734375",="1612.071533203125",="6192.62744140625"
="195199_019.swc",="5189.6884765625",="1433.241455078125",="6110.505859375"
="195199_020.swc",="5310.091796875",="1628.8636474609375",="6069.8876953125"
="195199_046.swc",="4670.69091796875",="2130.867919921875",="6211.8505859375"
="195199_050.swc",="4895.54736328125",="1913.1234130859375",="6048.44677734375"
="195199_081.swc",="4590.6982421875",="1837.0784912109375",="6019.20068359375"
="195614_028.swc",="3379.083740234375",="2340.977294921875",="6081.1552734375"
="195615_012.swc",="3475.165283203125",="2074.390380859375",="6093.43115234375"
="195618_027.swc",="3231.901123046875",="2282.808349609375",="6058.02294921875"
="195620_013.swc",="3618.34619140625",="1963.2584228515625",="6138.19287109375"
="195828_056.swc",="4520.8681640625",="2051.53955078125",="5091.60595703125"
="195839_015.swc",="4883.0400390625",="2063.44384765625",="5221.37646484375"
="195840_004.swc",="4695.40478515625",="1866.09326171875",="5157.4443359375"
="195840_107.swc",="5363.68017578125",="1765.931396484375",="5270.908203125"
="196548_028.swc",="3184.69287109375",="2122.0986328125",="5340.16552734375"
="196550_026.swc",="3656.62548828125",="2342.623046875",="5336.18701171875"
="200194_058.swc",="4506.72412109375",="2054.87060546875",="6118.40283203125"
="200194_093.swc",="4771.33056640625",="1556.4476318359375",="6035.10546875"
="200194_105.swc",="4866.6591796875",="1837.9957275390625",="6037.52783203125"
="200195_005.swc",="4740.96337890625",="1838.957275390625",="6141.28564453125"
="200195_007.swc",="5153.5009765625",="1690.784423828125",="6183.45068359375"
="200195_012.swc",="4764.265625",="1820.3614501953125",="6079.12646484375"
="200195_015.swc",="5153.810546875",="1657.137939453125",="6166.23828125"
="200195_016.swc",="5137.0703125",="1642.4271240234375",="6186.22119140625"
="200195_019.swc",="5184.8564453125",="1599.6602783203125",="6197.20751953125"
="200195_023.swc",="4981.275390625",="1715.376708984375",="6051.833984375"
="200196_060.swc",="5142.2109375",="1545.3250732421875",="6123.76513671875"
="200196_088.swc",="5095.61083984375",="1706.1033935546875",="6181.42724609375"
="200197_001.swc",="5047.9541015625",="1522.041259765625",="6036.13232421875"
="200197_015.swc",="5019.68798828125",="1491.828369140625",="6083.3173828125"
="200197_020.swc",="5047.45556640625",="1550.5040283203125",="6143.25244140625"
