NeuronId,x,y,z
="201771_011.swc",="8480.5302734375",="2698.199951171875",="9324.91015625"
="201792_003.swc",="7741.5400390625",="1708.8699951171875",="3372.169921875"
="201975_048.swc",="8540.91015625",="3339.72998046875",="9597.349609375"
="202223_002.swc",="8442.5302734375",="3317.030029296875",="9596.740234375"
="202234_026.swc",="8853.669921875",="4113.9501953125",="9806.900390625"
="202246_027.swc",="8090.14990234375",="1878.22998046875",="8196.9599609375"
="202267_068.swc",="8339.8798828125",="3035.56005859375",="9498.9404296875"
="202399_013.swc",="8335.6796875",="3766.02001953125",="9714.4296875"
="202404_035.swc",="8367.0400390625",="2897.050048828125",="9347.7802734375"
="200783_023.swc",="8764.509765625",="4218.2001953125",="9649.25"
="201733_105.swc",="8276.6396484375",="3698.360107421875",="9768.41015625"
="201768_003.swc",="8727.7802734375",="2602.260009765625",="9215.1103515625"
="201768_007.swc",="8734.0498046875",="2788.1298828125",="9342.099609375"
="201769_003.swc",="8961.98046875",="2833.449951171875",="9128.66015625"
="201770_001.swc",="8650.98046875",="2853.909912109375",="9426.48046875"
="201770_002.swc",="8788.5400390625",="2803.429931640625",="9449.580078125"
="201770_003.swc",="8522.169921875",="2522.9599609375",="9196.099609375"
="201771_001.swc",="8764.73046875",="2267.580078125",="8798.5498046875"
="201771_005.swc",="8838.2099609375",="2510.8701171875",="8923.1904296875"
="201771_009.swc",="8672.58984375",="2798.9599609375",="9330.6904296875"
="201771_012.swc",="8565.599609375",="2727.89990234375",="9371.009765625"
="201771_015.swc",="8866.7802734375",="2822.080078125",="9276.7900390625"
="201771_016.swc",="8592.6201171875",="2764.860107421875",="9370.2900390625"
="201771_017.swc",="8469.259765625",="2607.2900390625",="9233.7099609375"
="201777_002.swc",="8239.5",="1899.510009765625",="8147.5"
="201777_005.swc",="8059.68017578125",="1756.4599609375",="8052.60009765625"
="201777_122.swc",="8292.1103515625",="1958.0899658203125",="8330.3798828125"
="201779_032.swc",="8717.919921875",="4116.3798828125",="9761.6396484375"
="201779_080.swc",="8685.9501953125",="3317.93994140625",="9645.5"
="201790_006.swc",="7732.2900390625",="1651.9599609375",="3333.8701171875"
="201792_019.swc",="8028.669921875",="2085.159912109375",="3428.77001953125"
="201971_002.swc",="8337.669921875",="2040.030029296875",="8519.2099609375"
="201971_008.swc",="8291.1904296875",="2012",="8434.8095703125"
="201973_077.swc",="8057.77978515625",="1800.6199951171875",="8098.93994140625"
="201974_003.swc",="8061.7744140625",="1861.3585205078125",="7316.02978515625"
="201975_039.swc",="8646.98046875",="2922.18994140625",="9517.419921875"
="201975_050.swc",="8911.5400390625",="3510.77001953125",="9635.9697265625"
="201975_051.swc",="8696.5",="3719.280029296875",="9764.26953125"
="201975_052.swc",="8703.830078125",="3181.330078125",="9456.6201171875"
="201975_058.swc",="8454.009765625",="2978.64990234375",="9456.23046875"
="201975_059.swc",="8530.5302734375",="2842.5400390625",="9433.400390625"
="201975_060.swc",="8436.3701171875",="2986.06005859375",="9440.7900390625"
="201978_021.swc",="8984.9296875",="3459.6201171875",="9725.8095703125"
="201978_022.swc",="8781.580078125",="3343.18994140625",="9697.26953125"
="201978_024.swc",="8647.8603515625",="3356.590087890625",="9715.51953125"
="201979_015.swc",="8549.58984375",="5441.2099609375",="9167.01953125"
="201981_019.swc",="8411.1201171875",="5499.72021484375",="8989.25"
="201983_009.swc",="8477.509765625",="2798.929931640625",="9339.669921875"
="201983_010.swc",="8447.73046875",="2604.14990234375",="9139.6298828125"
="201986_001.swc",="8760.6904296875",="3548.469970703125",="9683.2998046875"
="201986_003.swc",="8769.08984375",="3370.47998046875",="9664.580078125"
="201986_006.swc",="8950.2802734375",="3304.219970703125",="9518.1298828125"
="201986_008.swc",="8596.4296875",="3244.31005859375",="9600.4599609375"
="201986_010.swc",="8956.8203125",="3293.760009765625",="9466.7099609375"
="201986_013.swc",="8888.1396484375",="2921.75",="9516.2001953125"
="201986_014.swc",="8687.9599609375",="2898.39990234375",="9398.080078125"
="201986_015.swc",="8886.3798828125",="3629.110107421875",="9455.2197265625"
="201986_019.swc",="8606.8095703125",="3108.639892578125",="9528.66015625"
="201986_020.swc",="8530.2802734375",="3206.090087890625",="9615.25"
="201986_022.swc",="8780.830078125",="2800.260009765625",="9391.26953125"
="201987_004.swc",="8473.2197265625",="3367.2900390625",="9660.73046875"
="201987_009.swc",="8395",="3113.699951171875",="9580.25"
="201987_011.swc",="8422.3203125",="3197.27001953125",="9537.8095703125"
="201987_012.swc",="8192.669921875",="3382.989990234375",="9532.759765625"
="201987_015.swc",="8682.5595703125",="3319.860107421875",="9597.419921875"
