NeuronId,x,y,z
="221057_111.swc",="8702.900390625",="444.7820129394531",="6952.240234375"
="221057_112.swc",="8562.0400390625",="374.4200134277344",="7046.56005859375"
="221057_113.swc",="8379.259765625",="359.08599853515625",="7049.080078125"
="221057_114.swc",="8417.900390625",="369.8819885253906",="6841.68017578125"
="221057_116.swc",="9074.900390625",="579.6959838867188",="6829.10009765625"
="221057_117.swc",="9129.6201171875",="509.01800537109375",="6759.27978515625"
="221057_118.swc",="9800.7998046875",="962.10400390625",="7080.72021484375"
="221057_128.swc",="10006",="1384.6400146484375",="7608.7998046875"
="221057_146.swc",="8982",="488.93798828125",="6976.18017578125"
="221057_147.swc",="9085.7998046875",="551.9600219726562",="7009.60009765625"
="221481_427.swc",="6281.97998046875",="738.39599609375",="4655.2998046875"
="221705_088.swc",="6990.35986328125",="577.1160278320312",="4657.10009765625"
="221726_105.swc",="6883.66015625",="508.9700012207031",="4658.9599609375"
="221727_012.swc",="9177.7001953125",="547.666015625",="6784.080078125"
="221727_014.swc",="9671.8603515625",="926.9639892578125",="6915.31982421875"
="221728_143.swc",="8267.33984375",="382.20599365234375",="6968.33984375"
="221728_144.swc",="8437.759765625",="467.4200134277344",="7036.47998046875"
="221752_042.swc",="7199.02001953125",="422.99798583984375",="6845.1201171875"
="230011_212.swc",="9313.2001953125",="557.780029296875",="4571.8798828125"
="230011_213.swc",="8782.4404296875",="367.2760009765625",="4541.81982421875"
="230011_214.swc",="8827.2197265625",="350.7539978027344",="4633.66015625"
="230066_086.swc",="10006.099609375",="1395.6500244140625",="7386.83984375"
="230066_088.swc",="9953.66015625",="1160.3800048828125",="7235.240234375"
="230066_090.swc",="9523.1796875",="833.4240112304688",="6778.93994140625"
="230066_091.swc",="9275.6796875",="634.3699951171875",="6866.47998046875"
="230066_092.swc",="9323.3203125",="601.1420288085938",="6989.18017578125"
="230080_302.swc",="10080.2001953125",="1233.5400390625",="7560.33984375"
="231566_043.swc",="6798.14013671875",="669.5540161132812",="6865.66015625"
="231567_009.swc",="9666.66015625",="855.3880004882812",="6836.259765625"
="233668_037.swc",="10040.900390625",="1547.0400390625",="7854.2001953125"
="233668_038.swc",="10078.400390625",="1620.8399658203125",="7887.7001953125"
="233668_039.swc",="10094.2998046875",="1446.81005859375",="7721.7998046875"
="233668_040.swc",="10164.2998046875",="1479.22998046875",="7869.02001953125"
="233668_042.swc",="10179.599609375",="1743.4599609375",="8049.27978515625"
="233668_043.swc",="10073.5",="1736.0999755859375",="8089.52001953125"
="233668_044.swc",="10052.2001953125",="1781.469970703125",="8039.97998046875"
="233668_045.swc",="10094.900390625",="1711.1099853515625",="8175.919921875"
="233668_047.swc",="10150.5",="1874.8499755859375",="8190.14013671875"
="233668_050.swc",="10202.7998046875",="1903.5799560546875",="8299.8203125"
="233668_098.swc",="9956.1201171875",="1200.3399658203125",="7473.35986328125"
="233795_010.swc",="10215.7001953125",="1640.77001953125",="8083.9599609375"
="220193_062.swc",="6402.18017578125",="907.2139892578125",="4776.81982421875"
="221420_005.swc",="6726.1201171875",="733.2479858398438",="4623.06005859375"
="220193_051.swc",="6511.509765625",="992.364990234375",="4778.35986328125"
="220193_054.swc",="6742.39990234375",="885.5540161132812",="4564.259765625"
="220239_006.swc",="6842.58984375",="726.1309814453125",="6925.64990234375"
="220239_022.swc",="6576.31005859375",="1101.77001953125",="6807.39990234375"
="220239_056.swc",="6700.7900390625",="786.3619995117188",="6709.509765625"
="221089_110.swc",="6695.259765625",="804.5079956054688",="4565.72021484375"
="221089_138.swc",="7237.740234375",="666.7659912109375",="4504.080078125"
="221367_105.swc",="6746.83984375",="1026.949951171875",="4638.7998046875"
="221420_001.swc",="6833.68017578125",="752.3599853515625",="4629.60009765625"
="221420_006.swc",="6699.85986328125",="950.2940063476562",="4514.080078125"
="221420_007.swc",="6588.740234375",="842.6519775390625",="4635.16015625"
="221420_009.swc",="6921.22021484375",="815.7219848632812",="4445.16015625"
="221420_011.swc",="6936.56005859375",="757.7479858398438",="4537.10009765625"
="221420_015.swc",="6954.81982421875",="863.6099853515625",="4609.10009765625"
