NeuronId,x,y,z
="221057_037.swc",="8973.599609375",="741.281982421875",="6128.89990234375"
="221057_043.swc",="9046.900390625",="825.6580200195312",="6309.7001953125"
="221057_050.swc",="7653.740234375",="357.1260070800781",="6705.33984375"
="221057_126.swc",="9822.5",="1226.280029296875",="7216.43994140625"
="221727_010.swc",="8873.5",="643.947998046875",="6164.47998046875"
="221728_092.swc",="6333.740234375",="551.8560180664062",="6339.14013671875"
="221728_123.swc",="7336.39990234375",="466.04400634765625",="6697.10009765625"
="230065_047.swc",="7558.5400390625",="487.0140075683594",="6718.97998046875"
="230065_065.swc",="8665.83984375",="541.7960205078125",="6259.43994140625"
="230065_067.swc",="8772.48046875",="425.5419921875",="6375.60009765625"
="230066_095.swc",="9482.7802734375",="1045.77001953125",="6845.39990234375"
="230066_098.swc",="9420.419921875",="930.0460205078125",="6662.740234375"
="230105_026.swc",="7047.8798828125",="417.4259948730469",="6179.16015625"
="233380_042.swc",="6427.5400390625",="689.9240112304688",="5938.35986328125"
="233668_030.swc",="9992.4599609375",="1841.5400390625",="7903.240234375"
="233668_031.swc",="10033",="1713.5699462890625",="7817.35986328125"
="233668_032.swc",="10035.2001953125",="1678.9100341796875",="7759.89990234375"
="233668_034.swc",="9901.3798828125",="1828.030029296875",="7660.97998046875"
="233668_035.swc",="9876.7001953125",="1787.27001953125",="7573.080078125"
="233668_036.swc",="9980.4599609375",="1760.0400390625",="7682.22021484375"
="233668_041.swc",="10106.5",="1966.56005859375",="8032.9599609375"
="220191_078.swc",="6245.85986328125",="1179.8199462890625",="6039.52001953125"
="221224_402.swc",="6330.60009765625",="909.9940185546875",="5065.85986328125"
="221224_404.swc",="6452.81982421875",="904.9600219726562",="4982.8798828125"
="221421_028.swc",="6574.89990234375",="990.0159912109375",="5223.89990234375"
="221642_768.swc",="6351.0400390625",="756.2039794921875",="6319"
="221754_025.swc",="6214.5",="919.822021484375",="5210.5400390625"
="230110_004.swc",="6592.56005859375",="877.4359741210938",="6238.97998046875"
="230110_007.swc",="6800.4599609375",="726.0859985351562",="6434.8798828125"
="231566_045.swc",="6859.7998046875",="720.864013671875",="6628.5"
="233379_024.swc",="9422.66015625",="1550.0999755859375",="7366.97998046875"
="233666_018.swc",="9277.919921875",="890.1060180664062",="4525.5"
="233666_028.swc",="9156.3603515625",="894.4580078125",="4770.5400390625"
="233666_032.swc",="9071.7998046875",="714.3920288085938",="4751.3798828125"
="233666_057.swc",="9474.599609375",="1108.25",="4276.6201171875"
="233666_066.swc",="9163.3603515625",="951.281982421875",="4712.5400390625"
="233666_067.swc",="8865.7001953125",="658.281982421875",="5048.83984375"
="233666_132.swc",="9536.419921875",="1290.43994140625",="4208.3798828125"
="233666_245.swc",="9478.2001953125",="1216.550048828125",="4244.4599609375"
="233667_085.swc",="7700.47998046875",="607.3980102539062",="4675.1201171875"
="233667_229.swc",="9285.51953125",="1046.949951171875",="4348.740234375"
="233667_300.swc",="7748.64013671875",="689.3480224609375",="4764.7998046875"
="233282_090.swc",="7964.1201171875",="953.3660278320312",="6599.10009765625"
="212069_003.swc",="7165.10986328125",="731.926025390625",="6524.830078125"
="212072_022.swc",="8018.4599609375",="493.09600830078125",="4814.2900390625"
="221224_361.swc",="6766.759765625",="811.666015625",="5027.39990234375"
="221224_396.swc",="6457.64013671875",="941.7999877929688",="5063.580078125"
="221227_111.swc",="7422.10009765625",="663.64599609375",="6328.740234375"
="221227_146.swc",="6626.240234375",="846.18798828125",="6138.81982421875"
="221367_025.swc",="8490.48046875",="543.7080078125",="6167.3798828125"
="221367_029.swc",="8446.8203125",="451.21600341796875",="6430.6201171875"
="221526_010.swc",="7087.9599609375",="835.8419799804688",="5137.60009765625"
="221532_025.swc",="6699.22021484375",="959.6740112304688",="5312.93994140625"
="221532_043.swc",="6357.7998046875",="917.5540161132812",="5170.419921875"
="221532_044.swc",="6312.2998046875",="1034.760009765625",="5104.97998046875"
="230105_021.swc",="6910.39990234375",="829.72802734375",="6167.85986328125"
="231566_046.swc",="7960.6201171875",="617.1539916992188",="6400.1201171875"
="233379_014.swc",="8631.16015625",="670.7219848632812",="6352.240234375"
="233379_016.swc",="8515.080078125",="521.8679809570312",="6265.2998046875"
="233379_017.swc",="8998.099609375",="704.7360229492188",="6589.66015625"
="233379_020.swc",="9223.419921875",="1021.75",="6906.580078125"
="233666_015.swc",="9288.3798828125",="932.031982421875",="4418.2001953125"
