NeuronId,x,y,z
="220191_031.swc",="7763.77001953125",="870.0670166015625",="5811.64990234375"
="220191_053.swc",="7222.240234375",="963.1110229492188",="5869.83984375"
="220191_066.swc",="7337.259765625",="676.7750244140625",="5861.66015625"
="221057_035.swc",="8355.3203125",="1015.3900146484375",="5949.31982421875"
="221057_045.swc",="8850.1201171875",="989.9920043945312",="6089.33984375"
="221367_022.swc",="8594.5400390625",="1210.6800537109375",="6156.56005859375"
="221367_033.swc",="8762.6201171875",="977.5360107421875",="6139.1201171875"
="221367_037.swc",="8942.2998046875",="1028.8499755859375",="6401.5"
="221367_039.swc",="8976.2197265625",="1023.3699951171875",="6436.16015625"
="221367_040.swc",="8997.0400390625",="1073.510009765625",="6399.81982421875"
="221367_041.swc",="9016.9599609375",="1063.969970703125",="6539.16015625"
="221367_045.swc",="8980",="1311.739990234375",="6942.97998046875"
="221367_048.swc",="9004.5595703125",="1226.989990234375",="6828.27978515625"
="221367_052.swc",="9098.3603515625",="1217.780029296875",="6828.52001953125"
="221367_053.swc",="8756.8603515625",="1297.0999755859375",="6688.16015625"
="221427_302.swc",="8939.080078125",="1104.469970703125",="6398.85986328125"
="221530_020.swc",="6467.72021484375",="1186.3800048828125",="5496.14013671875"
="221737_125.swc",="8310.240234375",="876.0040283203125",="5490.97998046875"
="221739_015.swc",="7774.740234375",="1036.199951171875",="5532.7998046875"
="221754_038.swc",="6916.97998046875",="997.8519897460938",="5556.22021484375"
="230066_112.swc",="9173.3203125",="1275.1199951171875",="6965.16015625"
="230111_018.swc",="8521.33984375",="1483.18994140625",="6414.7998046875"
="230111_021.swc",="8619.3603515625",="1297.4300537109375",="6303.02001953125"
="230111_023.swc",="7890.33984375",="580.7940063476562",="6004.64013671875"
="230112_004.swc",="8694.740234375",="1356.2900390625",="6320.66015625"
="230112_005.swc",="8255.400390625",="964.1799926757812",="5903"
="231567_003.swc",="8421.2802734375",="586.9559936523438",="5956.1201171875"
="231567_004.swc",="8362.1201171875",="603.77001953125",="5922.33984375"
="231567_008.swc",="8640.7998046875",="834.0579833984375",="5941.10009765625"
="233379_006.swc",="6617.740234375",="1021.6099853515625",="5932.77978515625"
="233379_021.swc",="9238.7998046875",="1178.9200439453125",="6899.43994140625"
="233379_062.swc",="8304.01953125",="819.3300170898438",="5917.33984375"
="233379_063.swc",="8460.1201171875",="977.1279907226562",="5940.7998046875"
="233380_012.swc",="8034.33984375",="941.322021484375",="5848.56005859375"
="233380_047.swc",="8518.400390625",="1124.239990234375",="6020.080078125"
="233380_057.swc",="8013.66015625",="1158.1099853515625",="5870.4599609375"
="233380_059.swc",="8673.1396484375",="967.7579956054688",="6026.10009765625"
="233380_060.swc",="8740.919921875",="937.916015625",="6070.89990234375"
="233380_071.swc",="7040.7001953125",="1390.3599853515625",="5877.740234375"
="233380_077.swc",="8144.93994140625",="808.083984375",="5864.85986328125"
="233380_082.swc",="8161.759765625",="1943.5",="6501.18017578125"
="233380_088.swc",="7627.9599609375",="673.2080078125",="5820.60009765625"
="233666_069.swc",="8615.240234375",="1085.4000244140625",="5291.0400390625"
="233667_145.swc",="8979.3798828125",="1378.739990234375",="4430.1201171875"
="220191_082.swc",="6148.6201171875",="1352.9599609375",="5983.22998046875"
="220191_087.swc",="6135.080078125",="1417.469970703125",="6082.41015625"
="220191_092.swc",="6366.419921875",="1529.760009765625",="6147.8701171875"
="221367_019.swc",="8554.6201171875",="785.1840209960938",="6033.89990234375"
="221367_020.swc",="8517.83984375",="1087.5799560546875",="6173.2998046875"
="221367_050.swc",="8737.759765625",="1279.5699462890625",="6875.919921875"
="221367_054.swc",="8613.2998046875",="1419.530029296875",="6722.83984375"
="221368_031.swc",="8059.56005859375",="1342.6099853515625",="6012.33984375"
="221368_035.swc",="8187.759765625",="1334.2900390625",="6218.7001953125"
="221512_035.swc",="6319.080078125",="1831.1700439453125",="6029.85986328125"
="221525_022.swc",="6730.740234375",="1153.8900146484375",="5385.18017578125"
="230108_009.swc",="7950.5400390625",="934.1719970703125",="5929.35986328125"
="233379_026.swc",="8975.6201171875",="1149.06005859375",="6795.02001953125"
="233379_028.swc",="8889",="1151.510009765625",="6608.740234375"
="233379_067.swc",="8370.2001953125",="1241.719970703125",="6059.83984375"
="233379_070.swc",="8543.3203125",="1234.2099609375",="6450.27978515625"
="233379_082.swc",="8753.16015625",="1146.0999755859375",="6584.1201171875"
="233379_083.swc",="8710.8203125",="1226.1700439453125",="6625.919921875"
="233380_011.swc",="8288.400390625",="1169.0699462890625",="6035.5"
="233380_051.swc",="8352",="1123.219970703125",="6019.7001953125"
