NeuronId,x,y,z
="212071_018.swc",="7303.18017578125",="1040.4100341796875",="2571.0400390625"
="212071_019.swc",="7301.5400390625",="1128.25",="2616.860107421875"
="212071_025.swc",="6716.85009765625",="1079.68994140625",="2717.639892578125"
="212071_026.swc",="6795.47998046875",="973.551025390625",="2612.280029296875"
="212071_027.swc",="6869.93017578125",="1082.0799560546875",="2488.27001953125"
="212071_030.swc",="6560.10009765625",="1123.6099853515625",="2467.360107421875"
="212071_031.swc",="6578.89990234375",="1507.1800537109375",="2196.02001953125"
="212072_018.swc",="6188.81005859375",="2044.5999755859375",="9579.41015625"
="212072_019.swc",="6136.22021484375",="2027.4100341796875",="9594.66015625"
="220237_004.swc",="6670.97998046875",="2203.300048828125",="1625.9599609375"
="220237_006.swc",="6590.7001953125",="2228.580078125",="1566.239990234375"
="220237_007.swc",="6643.16015625",="2104.280029296875",="1477.02001953125"
="220237_015.swc",="6344.8798828125",="2240.739990234375",="1708.780029296875"
="221043_001.swc",="6865.47998046875",="1394.77001953125",="2258.820068359375"
="221043_002.swc",="6846.8798828125",="1388.52001953125",="2277.239990234375"
="221043_009.swc",="7043.580078125",="1071.6500244140625",="2399.919921875"
="221043_010.swc",="7047.02001953125",="1151.7099609375",="2540.280029296875"
="221043_012.swc",="7007.68017578125",="1092.43994140625",="2573.60009765625"
="221043_013.swc",="7022.16015625",="1019.8699951171875",="2604.860107421875"
="221043_014.swc",="7022.5",="993.3460083007812",="2551.5"
="221043_016.swc",="6861.47998046875",="996.2100219726562",="2699.800048828125"
="221043_021.swc",="6549.8798828125",="982.2139892578125",="2664.860107421875"
="221043_023.swc",="6424.72021484375",="1129.199951171875",="2821.5"
="221043_027.swc",="6269.919921875",="1256.239990234375",="2794.47998046875"
="221043_030.swc",="6279.66015625",="1184.4200439453125",="2454.4599609375"
="221043_032.swc",="6437.66015625",="1243.5",="2342.699951171875"
="221043_033.swc",="6388.60009765625",="1340.8699951171875",="2212.56005859375"
="221043_034.swc",="6515.77978515625",="1368.989990234375",="2166.47998046875"
="221067_018.swc",="6478.52001953125",="1237.77001953125",="2460.06005859375"
="221067_021.swc",="6685.97998046875",="1256.4300537109375",="2515.419921875"
="221067_033.swc",="6511.77978515625",="1385.77001953125",="2367.5400390625"
="221068_026.swc",="6195.419921875",="1242.18994140625",="2641.860107421875"
