NeuronId,x,y,z
="212066_015.swc",="6476.7001953125",="2801.6201171875",="10053.900390625"
="212066_016.swc",="6527.5400390625",="2428.280029296875",="10070.599609375"
="212066_018.swc",="6774.7001953125",="2320.89990234375",="9995.5"
="212072_009.swc",="6288.27001953125",="3374.360107421875",="10210"
="212074_012.swc",="7688.4599609375",="1761.22998046875",="9720.16015625"
="220238_040.swc",="6346.66015625",="2737.639892578125",="9943.2900390625"
="221066_008.swc",="6262.64013671875",="2663.199951171875",="1322.699951171875"
="221066_012.swc",="6519.52001953125",="3085.93994140625",="1040"
="221067_048.swc",="6221.16015625",="2759.760009765625",="1250.800048828125"
="221067_049.swc",="6268.080078125",="2690.739990234375",="1193.5"
="221067_050.swc",="6490.39990234375",="2781.159912109375",="1135.199951171875"
="221067_051.swc",="6521.6201171875",="2842.6201171875",="1263.699951171875"
="221067_054.swc",="6402.64013671875",="2898.320068359375",="1074.800048828125"
="221067_056.swc",="6349",="3091.5",="1040.4000244140625"
="221067_065.swc",="6574.33984375",="3166.8798828125",="1064"
="221067_066.swc",="6569.18017578125",="3204.260009765625",="917.9000244140625"
="221067_070.swc",="6264.47998046875",="2883.340087890625",="1245.9000244140625"
="221087_013.swc",="5330.43994140625",="3162.840087890625",="1519.699951171875"
="221088_053.swc",="6048.919921875",="2591.760009765625",="9968.5498046875"
="221088_057.swc",="6249.35986328125",="2576",="10174.599609375"
="221088_062.swc",="6508.72021484375",="2824.840087890625",="10298.099609375"
="221088_063.swc",="6566.56005859375",="2912.9599609375",="10174.5"
="221088_065.swc",="6656.64013671875",="2585.97998046875",="10243.400390625"
="221242_089.swc",="5464.27978515625",="3265.919921875",="10042.900390625"
="221243_096.swc",="5679.68017578125",="3016.5",="9923.3603515625"
="221243_097.swc",="5660.7998046875",="2930.580078125",="9960.0302734375"
="221243_113.swc",="6104.10009765625",="3668.6201171875",="10492.7001953125"
="221243_115.swc",="6297.10009765625",="3827.780029296875",="10367.099609375"
="221365_092.swc",="7402.56005859375",="1649.6700439453125",="9713.23046875"
="221449_014.swc",="7152.06005859375",="2012.93994140625",="1650.1600341796875"
="221449_015.swc",="7204.93994140625",="2107.679931640625",="1593.280029296875"
="221449_024.swc",="7341.580078125",="1977.469970703125",="1627.3599853515625"
="221449_030.swc",="7155.66015625",="2140.159912109375",="1464.780029296875"
="221449_032.swc",="7070.2998046875",="2229.89990234375",="1460"
