NeuronId,x,y,z
="221475_127.swc",="8696.400390625",="2165.820068359375",="10070.7001953125"
="221480_097.swc",="8831.5595703125",="2163.800048828125",="1521.9200439453125"
="221481_338.swc",="7481.5",="3863.89990234375",="10513.2001953125"
="221519_043.swc",="9150",="2289.4599609375",="1466.47998046875"
="221519_044.swc",="9110.900390625",="2358.320068359375",="1406.1199951171875"
="221519_058.swc",="8993.8798828125",="3211.300048828125",="850.7000122070312"
="221622_001.swc",="9063.599609375",="2626.639892578125",="10168.7001953125"
="221622_002.swc",="8957.5595703125",="2536.340087890625",="10191.099609375"
="221622_007.swc",="9172.580078125",="2375.360107421875",="9984.6103515625"
="221622_011.swc",="9122.240234375",="2233.280029296875",="9817.4501953125"
="221622_047.swc",="8574.6396484375",="1976.949951171875",="9808.73046875"
="221622_061.swc",="8796.2802734375",="2438.3798828125",="10254.599609375"
="221644_085.swc",="8648.33984375",="2053",="1424"
="221645_164.swc",="9070.8798828125",="3331.06005859375",="920.2999877929688"
="221706_070.swc",="8027.97998046875",="3895.820068359375",="750.7000122070312"
="221706_088.swc",="8136.6201171875",="3956.919921875",="787.7999877929688"
="221706_091.swc",="8332.01953125",="3793.219970703125",="798"
="221706_133.swc",="7362.240234375",="4087.080078125",="771"
="221714_042.swc",="8759.2197265625",="2091.56005859375",="10006.7001953125"
="221714_047.swc",="8886.2197265625",="2771",="10443.099609375"
="221733_033.swc",="9239.7802734375",="3029.97998046875",="996.2000122070312"
="221733_035.swc",="9148.400390625",="3293.419921875",="952"
="221733_097.swc",="9078.7998046875",="3273.97998046875",="10511.7998046875"
="221751_063.swc",="8857.919921875",="2523.199951171875",="1142.9000244140625"
="221751_065.swc",="8840.2001953125",="2364.739990234375",="1265.699951171875"
="221751_071.swc",="8747.9404296875",="2091.43994140625",="1509.1800537109375"
="221751_085.swc",="8927.66015625",="2165.179931640625",="1494.3599853515625"
="221751_087.swc",="8887.3203125",="2208.39990234375",="1364.800048828125"
="221751_089.swc",="8812.0595703125",="2292.219970703125",="1391.300048828125"
="221756_065.swc",="9222.580078125",="2860.52001953125",="10329"
="221757_065.swc",="9030.900390625",="2826.02001953125",="10311.2998046875"
="221757_073.swc",="8874.6396484375",="2300.820068359375",="10067.5"
="221757_074.swc",="8848.01953125",="2405.06005859375",="10113.7001953125"
="221757_075.swc",="8831.259765625",="2384.6201171875",="10180"
="221757_077.swc",="8990.98046875",="2309.1201171875",="9974.2900390625"
="221757_078.swc",="8915.3203125",="2222.739990234375",="10015.2001953125"
="230105_019.swc",="8837.080078125",="2217",="10027.2001953125"
="230108_030.swc",="8909.900390625",="2207.89990234375",="9925.25"
="230108_032.swc",="9036.740234375",="2138.8798828125",="9872.7998046875"
="230109_004.swc",="8836.8798828125",="2152.52001953125",="9959.150390625"
="230110_026.swc",="8993.6396484375",="2517.800048828125",="10206.900390625"
="230110_028.swc",="9219.919921875",="2423.340087890625",="9973.349609375"
="230110_029.swc",="9132.1796875",="2167.52001953125",="9910.9501953125"
="231567_099.swc",="7436.919921875",="4282.6201171875",="10621"
="231567_123.swc",="7757",="4154.919921875",="10524.7998046875"
="231568_028.swc",="8994.51953125",="2542",="10158.2998046875"
="231568_033.swc",="9288.0595703125",="2896.719970703125",="10331.7001953125"
="231568_034.swc",="9199.5595703125",="2522.9599609375",="10085"
="233795_061.swc",="8763",="2074.080078125",="10005.599609375"
="221419_056.swc",="9129.01953125",="2607.919921875",="1436.8599853515625"
="221419_061.swc",="9093.599609375",="2466.219970703125",="1479.239990234375"
="221424_043.swc",="8731.2197265625",="2130.5",="9739.2998046875"
="221474_133.swc",="8873.98046875",="2939.06005859375",="10303.900390625"
="221475_105.swc",="9163.0595703125",="2654.4599609375",="9988.4501953125"
="221706_084.swc",="8157.7998046875",="3797.5",="897"
="221706_138.swc",="7419.47998046875",="4185.16015625",="999.0999755859375"
="221715_001.swc",="8664.419921875",="2228.739990234375",="9946.849609375"
="221751_257.swc",="7255.52001953125",="4131",="10440.5"
="221751_262.swc",="7419.27978515625",="4072.8798828125",="10412.7001953125"
="221756_084.swc",="8985.099609375",="2537.260009765625",="10059.599609375"
="221757_071.swc",="9169.6796875",="3168.179931640625",="10303.5"
="221757_072.swc",="9276.3603515625",="2988.6201171875",="10169.7001953125"
="230108_031.swc",="8987.6201171875",="2274.10009765625",="9884.16015625"
="231568_030.swc",="9242.240234375",="2857.6201171875",="10187.2001953125"
="212075_027.swc",="8627.1396484375",="3717.47998046875",="10363.2001953125"
="220239_169.swc",="7425.5498046875",="4283.8798828125",="10126.599609375"
="221220_008.swc",="8094.1201171875",="4071.760009765625",="10361.900390625"
="221418_141.swc",="8659.099609375",="2399.300048828125",="1513.52001953125"
="221418_142.swc",="8759.6396484375",="2504.360107421875",="1439.6400146484375"
="221419_059.swc",="9143.4404296875",="2754.5",="1381.5"
="221423_013.swc",="9205.1201171875",="3110.860107421875",="9971.98046875"
="221423_014.swc",="9132.3798828125",="3069.580078125",="9949.83984375"
="221423_016.swc",="9131.6796875",="3230.3798828125",="10081.099609375"
="221423_032.swc",="8786.419921875",="3287.219970703125",="10136.7001953125"
="221423_040.swc",="8660.7802734375",="3530.06005859375",="10187.5"
="221423_058.swc",="8654.3798828125",="2441.56005859375",="9773.5595703125"
="221475_088.swc",="8874.16015625",="2535.1201171875",="9842.9296875"
="221475_109.swc",="8907.419921875",="2841.419921875",="10102.7001953125"
="221475_110.swc",="8928.3798828125",="2879.840087890625",="10102.099609375"
="221475_111.swc",="8866.5595703125",="2774.820068359375",="10057.2001953125"
="221645_178.swc",="8485.099609375",="3616.56005859375",="895.9000244140625"
="221706_078.swc",="8011.64013671875",="4106.9599609375",="1108.199951171875"
="221706_123.swc",="7420.5",="3918.260009765625",="1047.800048828125"
="221706_142.swc",="7784.52001953125",="4160.6201171875",="990"
="221714_045.swc",="9191.580078125",="2748.840087890625",="10003.400390625"
="221714_050.swc",="9214.240234375",="3101.8798828125",="10052"
="221732_099.swc",="8859.1796875",="3449.860107421875",="10307.900390625"
="221733_091.swc",="8981.6796875",="3416.6201171875",="10397.2998046875"
="221754_013.swc",="7521.52001953125",="4025",="10327.7001953125"
="231569_020.swc",="9068.759765625",="2958.320068359375",="10182"
="220239_189.swc",="7845.27001953125",="3847.330078125",="1327.800048828125"
="221062_070.swc",="9036.7001953125",="2909.840087890625",="9841.490234375"
="221087_105.swc",="7117.7001953125",="4117.10009765625",="9837.009765625"
="221423_042.swc",="8783.7998046875",="3724.300048828125",="10144.400390625"
