NeuronId,x,y,z
="220239_105.swc",="6928.5400390625",="633.4929809570312",="3911.0400390625"
="221057_053.swc",="6937.06005859375",="544.2219848632812",="7487.0400390625"
="221057_056.swc",="7175.81982421875",="575.1400146484375",="7703.64013671875"
="221057_073.swc",="7376.10009765625",="508.3900146484375",="7481.33984375"
="221364_007.swc",="7085.81982421875",="525.5700073242188",="7242.240234375"
="221364_009.swc",="6961.580078125",="435.8500061035156",="7206.66015625"
="221364_022.swc",="6988.5",="580.0399780273438",="7645.6201171875"
="221364_023.swc",="6913.43994140625",="653.156005859375",="7584.81982421875"
="221364_029.swc",="7243.77978515625",="570.1699829101562",="7426.06005859375"
="221364_032.swc",="7389.66015625",="576.9920043945312",="7501.85986328125"
="221364_034.swc",="7386.93994140625",="595.1680297851562",="7664.97998046875"
="221364_035.swc",="7419.7998046875",="673.9219970703125",="7692.5400390625"
="221364_037.swc",="7335.97998046875",="585.4180297851562",="7671.2001953125"
="221364_039.swc",="7293.419921875",="542.083984375",="7731.02001953125"
="221364_040.swc",="7205.47998046875",="535.4819946289062",="7674.5400390625"
="221364_041.swc",="7186.02001953125",="607.1279907226562",="7717.56005859375"
="221364_049.swc",="7459.5400390625",="738.260009765625",="7979.33984375"
="221364_050.swc",="7486.72021484375",="681.85400390625",="8002.43994140625"
="221364_063.swc",="7373.83984375",="741.6380004882812",="8222.3798828125"
="221364_064.swc",="7472.97998046875",="823.083984375",="8199.48046875"
="221364_065.swc",="7520.5400390625",="867.7340087890625",="8279.2998046875"
="221364_073.swc",="7682.6201171875",="767.219970703125",="8222.919921875"
="221364_074.swc",="7640.240234375",="812.3200073242188",="8345.2197265625"
="221364_076.swc",="7579.5400390625",="780.166015625",="8325.7998046875"
="221364_077.swc",="7579.259765625",="709.0139770507812",="8315.3203125"
="221364_115.swc",="7342.240234375",="663.5700073242188",="7923.080078125"
="221364_116.swc",="7492.2998046875",="605.5960083007812",="7855.8798828125"
="221364_117.swc",="7433.81982421875",="587.2479858398438",="7838.47998046875"
="221364_119.swc",="7512.240234375",="701.552001953125",="7854.5400390625"
="221365_029.swc",="6972.259765625",="670.5700073242188",="7644.4599609375"
="221365_083.swc",="7551.81982421875",="764.7119750976562",="8177.02001953125"
="221365_099.swc",="7433.5400390625",="705.5659790039062",="7984.83984375"
="221416_021.swc",="6853.60009765625",="680.39599609375",="4181.93994140625"
="221703_179.swc",="7331.72021484375",="749.1380004882812",="3813.800048828125"
="221703_216.swc",="7509.97998046875",="600.7620239257812",="3731.820068359375"
="221703_223.swc",="7549.18017578125",="609.2940063476562",="3596.0400390625"
="221703_224.swc",="7585.60009765625",="587.0159912109375",="3605"
="221719_051.swc",="7661.259765625",="720.8040161132812",="8329.98046875"
="221728_166.swc",="7169.66015625",="698.9860229492188",="7702.3798828125"
="221728_167.swc",="7274.02001953125",="601.6019897460938",="7812.68017578125"
="221728_169.swc",="6991.240234375",="705.3699951171875",="7947.740234375"
="221728_172.swc",="7212.33984375",="612.0059814453125",="7942.83984375"
="221728_175.swc",="7673.919921875",="647.0440063476562",="8178.27978515625"
="221728_177.swc",="7530.259765625",="626.8159790039062",="8161.1201171875"
="230011_181.swc",="6993.5400390625",="540.6259765625",="3841.280029296875"
="230011_184.swc",="6870.60009765625",="589.5919799804688",="4170.259765625"
="230011_185.swc",="6873.27978515625",="475.12200927734375",="4134.06005859375"
="230011_188.swc",="7592.47998046875",="539.22802734375",="3323.739990234375"
="230011_189.swc",="7626.759765625",="574.02001953125",="3345.919921875"
="230011_190.swc",="7580.43994140625",="629.197998046875",="3181.360107421875"
="230011_193.swc",="7361.9599609375",="509.9360046386719",="3786.5400390625"
="230011_194.swc",="7358",="437.7659912109375",="3841.179931640625"
="230011_203.swc",="7316.8798828125",="826.6539916992188",="3357.139892578125"
="230113_008.swc",="7438.77978515625",="728.5239868164062",="8299.400390625"
="233795_113.swc",="7544.31982421875",="700.031982421875",="8339.3203125"
="233795_114.swc",="7608.3798828125",="811.343994140625",="8310.900390625"
