NeuronId,x,y,z
="212074_008.swc",="8471.830078125",="1813.780029296875",="9834.98046875"
="221450_029.swc",="8427.400390625",="1613.02001953125",="1864.5400390625"
="221450_031.swc",="8349.5",="1565.030029296875",="1933.280029296875"
="221450_036.swc",="8339.9404296875",="1398.2900390625",="2118.47998046875"
="221450_037.swc",="8452.98046875",="1424.780029296875",="2097.9599609375"
="221477_048.swc",="8440.66015625",="1779.8199462890625",="9648.8203125"
="221478_364.swc",="7966.60009765625",="1587.5699462890625",="9516.4296875"
="221478_812.swc",="8419.6396484375",="1598.0400390625",="1912.97998046875"
="221481_201.swc",="8276.4599609375",="1346.4100341796875",="9148.1201171875"
="221481_296.swc",="8360.98046875",="1727.3599853515625",="9710.8095703125"
="221481_299.swc",="8376.51953125",="1556.47998046875",="9485.5"
="221481_576.swc",="8377.099609375",="1480.949951171875",="1980.0400390625"
="221481_602.swc",="8463.400390625",="1381.719970703125",="2125.39990234375"
="221714_039.swc",="8581.7001953125",="1838.469970703125",="9698.1904296875"
="221737_017.swc",="8277.6796875",="1425.56005859375",="2042.199951171875"
="221737_018.swc",="8200.2197265625",="1458.530029296875",="2009.8399658203125"
="221737_048.swc",="8383.599609375",="1342.6700439453125",="2019.6400146484375"
="221751_093.swc",="8537.9599609375",="1783.8800048828125",="1575.3800048828125"
="221751_094.swc",="8509.259765625",="1712.4300537109375",="1638.3199462890625"
="221751_095.swc",="8447.51953125",="1771.739990234375",="1676.8599853515625"
="221751_100.swc",="8214.5595703125",="1791.6300048828125",="1643.800048828125"
="221759_018.swc",="8197.0595703125",="1533.050048828125",="9621.849609375"
="221759_019.swc",="8184.2001953125",="1640.22998046875",="9736.4296875"
="221759_022.swc",="8360.740234375",="1704.989990234375",="9777.66015625"
="230061_037.swc",="8536.3798828125",="1883.9200439453125",="9814.8798828125"
="230061_038.swc",="8541.3203125",="1716.3199462890625",="9708.3095703125"
="230110_021.swc",="8274.8603515625",="1726.81005859375",="9889.0595703125"
="230114_004.swc",="8409.6796875",="1512.52001953125",="9463.3896484375"
="230114_005.swc",="8249.98046875",="1536.43994140625",="9500.8896484375"
="230114_065.swc",="8167.81982421875",="1563.5999755859375",="9565.7001953125"
="230114_066.swc",="8143.10009765625",="1502.81005859375",="9580.3798828125"
="233795_056.swc",="8476.48046875",="1661.5999755859375",="9770.6201171875"
="233795_064.swc",="8044.52001953125",="1684.5799560546875",="9674.1396484375"
="233795_065.swc",="8071.52001953125",="1437.3299560546875",="9535.9697265625"
="233795_066.swc",="7932.06005859375",="1417.2099609375",="9503.73046875"
="233795_078.swc",="8364.83984375",="1269.8399658203125",="9152.01953125"
="233795_079.swc",="8361.7001953125",="1264.9000244140625",="9340.0595703125"
="212074_015.swc",="8025.58984375",="1734.260009765625",="9547.419921875"
="221419_050.swc",="8219.48046875",="1520.8299560546875",="2072"
="221419_051.swc",="8058.33984375",="1467.75",="2088.780029296875"
="221419_052.swc",="8046",="1597.989990234375",="2051.60009765625"
="221419_055.swc",="8130.14013671875",="1745.0799560546875",="1928.06005859375"
="221477_062.swc",="8062.39990234375",="1608.8499755859375",="2115.800048828125"
="221478_848.swc",="7887.52001953125",="1585.780029296875",="2018.3800048828125"
="221480_107.swc",="8283.4599609375",="1789.6199951171875",="1869.8199462890625"
="221481_203.swc",="8343.259765625",="1508.6400146484375",="9225.1201171875"
="221481_205.swc",="8451.7998046875",="1539.0400390625",="9300.7802734375"
="221481_206.swc",="8474.259765625",="1600.6099853515625",="9332.900390625"
="221481_208.swc",="8491.3203125",="1481.3800048828125",="9203.099609375"
="221481_293.swc",="8164.5400390625",="1873.8599853515625",="9630.3798828125"
="221481_297.swc",="8352.3203125",="1761.8900146484375",="9518.7900390625"
="221481_578.swc",="8233.919921875",="1699.010009765625",="2004.8199462890625"
="221481_625.swc",="8313.3203125",="1460.5799560546875",="2281.39990234375"
="221481_626.swc",="8232.419921875",="1492.300048828125",="2256.840087890625"
="230061_039.swc",="8356.83984375",="1643.6600341796875",="9360.1796875"
="230114_008.swc",="8376.4599609375",="1828.780029296875",="9392.759765625"
="230114_011.swc",="8012.35986328125",="1698.02001953125",="9435.1201171875"
="230114_013.swc",="8223.7001953125",="1681.9100341796875",="9382.0400390625"
="230114_015.swc",="8272.48046875",="1552.56005859375",="9131.33984375"
="233379_044.swc",="8067.6201171875",="1492.02001953125",="9228.900390625"
="233379_046.swc",="8482.16015625",="1553.489990234375",="9276.7998046875"
="233379_141.swc",="8240.66015625",="1419.9000244140625",="9116.1796875"
="221422_019.swc",="8261.599609375",="2011.8399658203125",="9488.1904296875"
="230114_010.swc",="8243.240234375",="1845.260009765625",="9562.3701171875"
="230114_023.swc",="8459.8798828125",="1718.449951171875",="9369.259765625"
="230114_064.swc",="8519.759765625",="1740.300048828125",="9366.259765625"
="221422_002.swc",="8032.97998046875",="1837.5400390625",="9162.3603515625"
="221224_022.swc",="7900.919921875",="1735.97998046875",="9216.3603515625"
="221225_018.swc",="8401.400390625",="1486.4000244140625",="8959.66015625"
="221424_048.swc",="8507.3203125",="2068.5400390625",="1896.56005859375"
="221426_066.swc",="8351.51953125",="1570.0699462890625",="8992.0595703125"
="221426_085.swc",="8312.2197265625",="2040.4599609375",="1897.93994140625"
="221538_001.swc",="8235.080078125",="1637.02001953125",="8943.8603515625"
="221538_002.swc",="8267.3798828125",="1738.31005859375",="8835.8203125"
="221538_005.swc",="8340.740234375",="1795.6400146484375",="8977.8203125"
="221538_028.swc",="8413.98046875",="1948.02001953125",="9010.2197265625"
="233285_130.swc",="8172.2001953125",="2088.60009765625",="9179.9599609375"
