NeuronId,x,y,z
="221057_058.swc",="7485.22021484375",="463.0799865722656",="7359.06005859375"
="221057_059.swc",="7802.52001953125",="353.9020080566406",="7211.4599609375"
="221057_061.swc",="7584.72021484375",="481.97601318359375",="7656.0400390625"
="221057_062.swc",="7646.85986328125",="604.0059814453125",="7711.06005859375"
="221057_063.swc",="7546.18017578125",="508.2040100097656",="7729.89990234375"
="221057_074.swc",="7875.2998046875",="450.7619934082031",="7303.9599609375"
="221057_075.swc",="7806.27978515625",="502.29998779296875",="7311.33984375"
="221057_076.swc",="7741.66015625",="493.9599914550781",="7407.66015625"
="221057_077.swc",="7759.759765625",="416.6159973144531",="7297.759765625"
="221057_078.swc",="7989.83984375",="462.95001220703125",="7296.7998046875"
="221364_054.swc",="7657.2998046875",="594.2219848632812",="7874.72021484375"
="221364_055.swc",="7646.580078125",="655.5700073242188",="7790.10009765625"
="221364_130.swc",="7721.39990234375",="503.052001953125",="7491.35986328125"
="221364_131.swc",="7535.93994140625",="543.9920043945312",="7466.02001953125"
="221364_132.swc",="7624.83984375",="462.3819885253906",="7593.9599609375"
="221364_134.swc",="7699.18017578125",="574.8300170898438",="7743.27978515625"
="221364_135.swc",="7757.919921875",="534.6300048828125",="7798.7001953125"
="221364_136.swc",="7753.919921875",="665.5640258789062",="7740.85986328125"
="221481_476.swc",="7762.6201171875",="609.1439819335938",="4023.840087890625"
="221703_215.swc",="7611.1201171875",="509.07000732421875",="3719.139892578125"
="221703_221.swc",="7666.35986328125",="698.3759765625",="3558.159912109375"
="221703_248.swc",="7784.56005859375",="579.0579833984375",="3896.159912109375"
="221703_266.swc",="7939.64013671875",="516.3179931640625",="4154.8798828125"
="221703_328.swc",="7966.33984375",="370.30999755859375",="4189.02001953125"
="221728_157.swc",="7519.0400390625",="456.2820129394531",="7478.18017578125"
="221728_158.swc",="7600.52001953125",="591.5440063476562",="7594.39990234375"
="230011_191.swc",="7670.240234375",="521.2479858398438",="3518.43994140625"
="230011_192.swc",="7479.240234375",="466.6860046386719",="3847.02001953125"
="230011_205.swc",="7281.080078125",="424.6960144042969",="4151.5"
="230011_206.swc",="7301.240234375",="424.6080017089844",="4138.740234375"
="230011_208.swc",="7320.919921875",="391.57000732421875",="4243.83984375"
="230011_209.swc",="7334.97998046875",="374.0419921875",="4258.35986328125"
="230011_216.swc",="7851.5400390625",="448.82598876953125",="3752.840087890625"
="230066_130.swc",="7755",="468.489990234375",="7614.240234375"
="230066_131.swc",="7788",="520.0579833984375",="7543.56005859375"
="230066_141.swc",="7268.81982421875",="484.843994140625",="7140.16015625"
="230066_142.swc",="7483.3798828125",="637.0859985351562",="7291.60009765625"
="230116_001.swc",="7714.1201171875",="462.4519958496094",="4237.14013671875"
="230116_005.swc",="8053.18017578125",="431.49798583984375",="4289.66015625"
="221089_035.swc",="7450.16015625",="685.5960083007812",="4212.64013671875"
="221229_106.swc",="7760.22021484375",="797.6060180664062",="7672.68017578125"
="221229_119.swc",="7800.47998046875",="738.3839721679688",="7452.60009765625"
="221478_225.swc",="7517.64013671875",="739.7000122070312",="7503.6201171875"
="221479_149.swc",="7318.6201171875",="693.4619750976562",="7184.22021484375"
="221703_268.swc",="7928.64013671875",="712.1300048828125",="4015.840087890625"
="231686_047.swc",="7707.580078125",="758.5640258789062",="3647.820068359375"
="221089_037.swc",="7324.06005859375",="777.6199951171875",="4114.89990234375"
="221229_105.swc",="7591.419921875",="825.5960083007812",="7606.4599609375"
="221416_017.swc",="7315.419921875",="710.7960205078125",="4273.259765625"
="221474_206.swc",="7567.22021484375",="933.9219970703125",="4161.8798828125"
="221476_071.swc",="7216.47998046875",="778.6420288085938",="4312.240234375"
="221476_092.swc",="7350.740234375",="880.7479858398438",="4222.1201171875"
="221478_209.swc",="7653.97998046875",="838.9760131835938",="7718.2001953125"
="233285_098.swc",="7853.35986328125",="827.1160278320312",="7345.580078125"
="221474_195.swc",="7991.9599609375",="1178.3399658203125",="4249.27978515625"
="221474_202.swc",="7758.81982421875",="973.4140014648438",="4211.8798828125"
="221474_203.swc",="7792.419921875",="1088.8499755859375",="4240.33984375"
="221476_070.swc",="7226.0400390625",="1035",="4424.759765625"
="233282_078.swc",="7548.2001953125",="1208.2099609375",="7335.81982421875"
="233285_080.swc",="7723.31982421875",="1164.010009765625",="7021.10009765625"
="233285_081.swc",="7910.27978515625",="1121.1800537109375",="7018.27978515625"
="221367_101.swc",="7201.81982421875",="863.02001953125",="4386.72021484375"
="221367_130.swc",="7416.89990234375",="790.5659790039062",="4085.159912109375"
="233285_099.swc",="7755.77978515625",="1190.0799560546875",="7545.66015625"
