NeuronId,x,y,z
="221478_836.swc",="8939.7001953125",="1532.1199951171875",="2065.199951171875"
="221481_220.swc",="8963.6201171875",="1595.6600341796875",="9335.2998046875"
="221481_226.swc",="8876.8798828125",="1795.5",="9577.5302734375"
="221481_558.swc",="8742.4599609375",="1680.969970703125",="1834.6600341796875"
="221481_607.swc",="9077.759765625",="1801.1199951171875",="1838.3199462890625"
="221701_063.swc",="9009.6201171875",="1421.5999755859375",="2110.02001953125"
="221701_064.swc",="8970.3203125",="1479.1400146484375",="2115.02001953125"
="221701_065.swc",="8685.1796875",="1456.8699951171875",="2171.080078125"
="221701_066.swc",="8724.7001953125",="1441.5899658203125",="2061.320068359375"
="221751_096.swc",="8631.900390625",="1643.27001953125",="1750.52001953125"
="230110_031.swc",="9113.2001953125",="1856.6800537109375",="9662.4404296875"
="231570_001.swc",="8976.580078125",="1446.8299560546875",="9276.8203125"
="231570_007.swc",="9033.5400390625",="1354.9000244140625",="9296.6396484375"
="233668_074.swc",="9890.580078125",="1856.780029296875",="9200.419921875"
="233668_079.swc",="9950.6396484375",="1847.2099609375",="9289.9599609375"
="233668_082.swc",="9774.1796875",="1922.1300048828125",="9398.580078125"
="233668_083.swc",="9616.599609375",="1807.3699951171875",="9363.400390625"
="233668_084.swc",="9603.51953125",="1777.0999755859375",="9396.66015625"
="233668_085.swc",="9577.7197265625",="1835.22998046875",="9523.73046875"
="233668_086.swc",="9507.1201171875",="1746.2900390625",="9432.8095703125"
="233668_087.swc",="9448.240234375",="1623.6199951171875",="9357.4404296875"
="233668_088.swc",="9413.919921875",="1648.030029296875",="9429.4697265625"
="233668_089.swc",="9366.099609375",="1689.5999755859375",="9404.080078125"
="233668_090.swc",="9384.8603515625",="1818.239990234375",="9483.6201171875"
="233668_091.swc",="9338.2001953125",="1759.6099853515625",="9505.41015625"
="233668_092.swc",="9268.400390625",="1716.0899658203125",="9455.2099609375"
="233668_093.swc",="9308.33984375",="1621.3299560546875",="9404.0595703125"
="233795_037.swc",="9570.66015625",="1978.719970703125",="9631.73046875"
="233795_038.swc",="9511.900390625",="1997.8299560546875",="9567.98046875"
="233795_039.swc",="9575.0400390625",="1995.8499755859375",="9526.150390625"
="233795_040.swc",="9438.919921875",="1813.949951171875",="9393.5"
="233795_041.swc",="9610.7001953125",="1993.3900146484375",="9415.580078125"
="233795_042.swc",="9575.9404296875",="1989.800048828125",="9417.580078125"
="233795_043.swc",="9607.0595703125",="1825.75",="9336.5"
="233795_045.swc",="9524.9404296875",="1613.9200439453125",="9296.5595703125"
="233795_046.swc",="9491.4404296875",="1679.5400390625",="9272.259765625"
="233795_048.swc",="9241.2197265625",="1700.27001953125",="9387.7998046875"
="233795_049.swc",="9326.8603515625",="1563.8399658203125",="9295.3203125"
="233795_050.swc",="9193.16015625",="1707.75",="9481"
="233795_053.swc",="9157.4404296875",="1928.719970703125",="9612.58984375"
="233795_055.swc",="8871.2197265625",="1507.6500244140625",="9533.08984375"
="233795_082.swc",="9870.7001953125",="1774.1500244140625",="9254.400390625"
="233795_128.swc",="9672.8203125",="2048.5400390625",="9564.4599609375"
="233795_135.swc",="9587.1796875",="1839.4100341796875",="9238.51953125"
="221481_221.swc",="8795.7001953125",="1711.780029296875",="9289.740234375"
="221481_223.swc",="8860.6796875",="1781.06005859375",="9428.009765625"
="221481_225.swc",="8922.4599609375",="1905.3900146484375",="9461.6201171875"
="221481_550.swc",="9411.080078125",="1857.02001953125",="2252.719970703125"
="221481_593.swc",="8667.4599609375",="1537.989990234375",="2270.1201171875"
="221481_603.swc",="9060.759765625",="1773.2099609375",="2048.1201171875"
="221481_604.swc",="9010.51953125",="1812.6500244140625",="1989.9000244140625"
="221481_606.swc",="9000.5400390625",="1911.0999755859375",="1970.5400390625"
="230061_041.swc",="8712.0595703125",="1726.0999755859375",="9361.580078125"
="231686_052.swc",="9001.7001953125",="1651.6600341796875",="2234.4599609375"
="231686_053.swc",="8987.580078125",="1638.1199951171875",="2241.52001953125"
="231686_054.swc",="8815.919921875",="1516.9599609375",="2271.699951171875"
="231686_055.swc",="9485.2998046875",="1937.530029296875",="2239.340087890625"
="221225_002.swc",="8819.98046875",="1741.93994140625",="9290.8798828125"
="221225_007.swc",="8649.9599609375",="1705.3900146484375",="9280.259765625"
="221367_245.swc",="8775.66015625",="1824.5",="2361.06005859375"
="221426_079.swc",="8869.3798828125",="1900.25",="9421.6103515625"
="221481_222.swc",="8850.099609375",="1877.8599853515625",="9273.240234375"
="221713_001.swc",="9118.080078125",="1772.1099853515625",="9033"
="231686_056.swc",="9449.7998046875",="1854.5699462890625",="2333.239990234375"
="231687_019.swc",="9049.1201171875",="1908.8499755859375",="9066.48046875"
="231687_020.swc",="9069.080078125",="1935.6600341796875",="9103.6796875"
="233667_287.swc",="9422.4599609375",="1912.3299560546875",="2361.179931640625"
="233667_288.swc",="9509.8798828125",="1925.030029296875",="2321.760009765625"
="221065_092.swc",="9252.419921875",="2440.10009765625",="2299.840087890625"
="221065_093.swc",="9187.400390625",="2372.260009765625",="2254.639892578125"
="221424_044.swc",="8948.8203125",="2076.780029296875",="2226.199951171875"
="221426_076.swc",="8588.900390625",="1991.8499755859375",="9248.3603515625"
="221225_001.swc",="8766.3603515625",="1917.25",="9386.6201171875"
="221225_003.swc",="8761.51953125",="1782.010009765625",="9206.51953125"
="221225_004.swc",="8876.5595703125",="1768.800048828125",="9137.3798828125"
="221225_005.swc",="8737.3798828125",="1761.6800537109375",="9274.0400390625"
="221225_006.swc",="8648.919921875",="1763.449951171875",="9277.759765625"
="221225_008.swc",="8643.8798828125",="1839.010009765625",="9368.400390625"
="221225_011.swc",="8541.419921875",="1710.699951171875",="9189.919921875"
="221225_012.swc",="8596.48046875",="1657.530029296875",="9142.400390625"
="221225_013.swc",="8583.1201171875",="1533.6199951171875",="9078.7197265625"
="221225_014.swc",="8611.7998046875",="1508.8399658203125",="9082.080078125"
="221225_017.swc",="8531.2998046875",="1559.5400390625",="9045.419921875"
="221225_019.swc",="8765.2802734375",="1690.8199462890625",="9104.259765625"
="221225_020.swc",="8593.099609375",="1614.4000244140625",="9152.16015625"
="221226_008.swc",="8643.3798828125",="1676.9200439453125",="9169.400390625"
="221226_009.swc",="8529.1201171875",="1664.3399658203125",="9204.1796875"
="221226_016.swc",="8679.259765625",="1535.010009765625",="9046.3798828125"
="221226_025.swc",="8735.7197265625",="1814.1400146484375",="9163.1796875"
="221226_026.swc",="8811.3203125",="1862.949951171875",="9199.2802734375"
="221424_042.swc",="8709.9599609375",="1700.8699951171875",="9213.8203125"
="231687_022.swc",="9445.2802734375",="2129.580078125",="9157.7802734375"
="221513_058.swc",="8499.6796875",="1883.739990234375",="8901.2998046875"
="221516_004.swc",="9071.4599609375",="2242.860107421875",="9066.419921875"
