NeuronId,x,y,z
="221519_038.swc",="8683.1201171875",="1718.969970703125",="1674.5999755859375"
="221519_039.swc",="8716.7802734375",="1704.52001953125",="1673.0400390625"
="221519_041.swc",="8817.48046875",="1908.5999755859375",="1675.0400390625"
="221519_042.swc",="8958.6396484375",="1972.4100341796875",="1677.5999755859375"
="221622_014.swc",="9191.9404296875",="2179.4599609375",="9785.4404296875"
="221622_015.swc",="9260.01953125",="2117.800048828125",="9785.8603515625"
="221622_031.swc",="8800.080078125",="1948.5699462890625",="9745.0302734375"
="221622_032.swc",="8861.83984375",="1903.5",="9774.7197265625"
="221622_034.swc",="8997.3603515625",="1996.530029296875",="9789.08984375"
="221622_035.swc",="9015.2998046875",="2003.5",="9783.75"
="221622_036.swc",="9036.33984375",="1978.9100341796875",="9779.240234375"
="221622_038.swc",="9010.080078125",="1852.5",="9729.669921875"
="221622_043.swc",="8664.080078125",="1832.260009765625",="9663.759765625"
="221714_054.swc",="9101.900390625",="1971.969970703125",="9621.1298828125"
="221751_075.swc",="8656.33984375",="1826.949951171875",="1512.5999755859375"
="221751_076.swc",="8615.8603515625",="1841.81005859375",="1516.4200439453125"
="221751_077.swc",="8697.2197265625",="1803.510009765625",="1601.43994140625"
="221751_078.swc",="8786.83984375",="1768.3199462890625",="1682.260009765625"
="221751_079.swc",="8785.6396484375",="1792.1099853515625",="1667.300048828125"
="221751_080.swc",="8819.51953125",="1885.239990234375",="1632.8199462890625"
="221751_083.swc",="9029.33984375",="1956.8599853515625",="1696.9599609375"
="230108_027.swc",="8986.2802734375",="1970.300048828125",="9809.7197265625"
="230109_005.swc",="8639.5",="1845.1099853515625",="9836.099609375"
="230109_006.swc",="8991.400390625",="2004.739990234375",="9924.6201171875"
="230110_030.swc",="9056.66015625",="2048.139892578125",="9854.5302734375"
="230110_032.swc",="9342.7802734375",="2069.080078125",="9688.6103515625"
="233795_051.swc",="9012.259765625",="1919.93994140625",="9769.7099609375"
="233795_052.swc",="9121.7197265625",="1889.18994140625",="9664.26953125"
="233795_057.swc",="8970.580078125",="2069.6201171875",="9882.7802734375"
="221062_068.swc",="8891",="2059.10009765625",="9734.66015625"
="221478_820.swc",="9076.5595703125",="1961.5999755859375",="1827.699951171875"
="221622_030.swc",="8702.9599609375",="2043.780029296875",="9695.98046875"
="221091_110.swc",="8831",="1995.5899658203125",="9496.400390625"
="221424_049.swc",="8702.7802734375",="2062.340087890625",="1871.4200439453125"
="221426_077.swc",="8863.1396484375",="2148.56005859375",="9397.8798828125"
="221477_049.swc",="8692.7001953125",="2016.8800048828125",="9601.7802734375"
="221622_039.swc",="9005.1796875",="2119.159912109375",="9608"
="221426_078.swc",="9105.1201171875",="2297.199951171875",="9337.6201171875"
="221423_070.swc",="9105.259765625",="2398.52001953125",="9545.6201171875"
="221714_049.swc",="9432.8798828125",="2316.419921875",="9481.9697265625"
