NeuronId,x,y,z
="221701_056.swc",="8847.1396484375",="445.42401123046875",="3780.52001953125"
="231687_008.swc",="8127.0400390625",="794.5700073242188",="2787.300048828125"
="233379_037.swc",="8361.419921875",="804.1740112304688",="8376.740234375"
="233795_072.swc",="8097.419921875",="1000.989990234375",="8864.48046875"
="221090_098.swc",="8028",="1036.030029296875",="3150.840087890625"
="221417_015.swc",="8679.2197265625",="1314.199951171875",="2751.1201171875"
="221418_139.swc",="8846",="1040.280029296875",="3727.43994140625"
="231686_050.swc",="8212.7802734375",="1147.550048828125",="2873.280029296875"
="233379_030.swc",="8466.240234375",="1106.199951171875",="8567.900390625"
="233379_097.swc",="8022.14013671875",="876.8619995117188",="8012.22021484375"
="233379_130.swc",="8703.6201171875",="1250.3599853515625",="8585.919921875"
="233666_218.swc",="8389.080078125",="961.4619750976562",="3283.719970703125"
="221090_092.swc",="8206.51953125",="1279.800048828125",="2799.43994140625"
="221090_093.swc",="8213.01953125",="1279.93994140625",="2860.179931640625"
="221091_113.swc",="8860.259765625",="1001.8300170898438",="7848.06005859375"
="221091_125.swc",="8628.2197265625",="908.5260009765625",="7656.16015625"
="221418_127.swc",="8440.48046875",="991.8839721679688",="3555.300048828125"
="221418_131.swc",="8277.7001953125",="1028.6500244140625",="3710.280029296875"
="221418_132.swc",="8247.5400390625",="955.8759765625",="3741.719970703125"
="221418_135.swc",="8415.98046875",="946.3720092773438",="3769.780029296875"
="221418_150.swc",="8338.7802734375",="984.9739990234375",="3439.340087890625"
="221477_059.swc",="8217.900390625",="1229.9200439453125",="2898.739990234375"
="221515_017.swc",="9009.419921875",="1066.9200439453125",="3684.60009765625"
="231687_014.swc",="8199.9599609375",="1165.5899658203125",="2940.719970703125"
="233379_123.swc",="8112.39990234375",="1000.7899780273438",="8109.85986328125"
="233667_269.swc",="9687.240234375",="1866.25",="2489.860107421875"
="233284_183.swc",="8623.3603515625",="1356.9599609375",="7653.240234375"
