NeuronId,x,y,z
="221057_103.swc",="8728.5",="558.0980224609375",="7577.2998046875"
="221057_107.swc",="8877.919921875",="455.447998046875",="7493.2998046875"
="221057_120.swc",="9799.2998046875",="805.89599609375",="7444.64013671875"
="221057_123.swc",="9917.740234375",="983.5880126953125",="7276.02001953125"
="221057_132.swc",="10127.099609375",="1371.6600341796875",="8199.3798828125"
="221057_133.swc",="10147.2001953125",="1452.31005859375",="8294.6396484375"
="221057_135.swc",="10254.7001953125",="1886.6400146484375",="8457.1396484375"
="221057_139.swc",="10146.7001953125",="1364.1700439453125",="7861.89990234375"
="221057_149.swc",="8860.9599609375",="526.5960083007812",="7636.580078125"
="221057_153.swc",="9365.5400390625",="682.7420043945312",="7670.31982421875"
="221057_154.swc",="9433.6396484375",="721.1959838867188",="7552.5"
="221057_156.swc",="9406.3203125",="672.4719848632812",="7452.33984375"
="221057_157.swc",="9429.759765625",="650.14599609375",="7387.89990234375"
="221057_160.swc",="9226.1796875",="558.114013671875",="7285.52001953125"
="221057_164.swc",="9210.98046875",="593.6259765625",="7493.06005859375"
="221057_167.swc",="9964.4404296875",="1149.030029296875",="7520.2998046875"
="221479_226.swc",="9409.6396484375",="671.0700073242188",="4165.89990234375"
="221481_257.swc",="9980.759765625",="1760.1800537109375",="8907.51953125"
="221481_258.swc",="10054.5",="1805.3599853515625",="8880.4404296875"
="221701_034.swc",="9279.2998046875",="710.4840087890625",="3863.159912109375"
="221701_035.swc",="9326.9404296875",="635.885986328125",="3975.97998046875"
="221701_036.swc",="9252.98046875",="583.8159790039062",="4098.7001953125"
="221701_040.swc",="9389.080078125",="774.5960083007812",="3737.320068359375"
="221701_041.swc",="9484.0400390625",="703.22998046875",="3681.699951171875"
="221701_046.swc",="9165.400390625",="631.6259765625",="3421.760009765625"
="221701_049.swc",="9118.66015625",="645.5900268554688",="3339.139892578125"
="221701_050.swc",="8767.919921875",="616.4039916992188",="3368.93994140625"
="221701_054.swc",="9103.48046875",="616.5020141601562",="3731.139892578125"
="221701_055.swc",="8923.5",="460.45599365234375",="3809.52001953125"
="221701_056.swc",="8847.1396484375",="445.42401123046875",="3780.52001953125"
="221701_057.swc",="8969.01953125",="561.1859741210938",="3994.89990234375"
="221701_060.swc",="9635.7001953125",="748.2860107421875",="3967.820068359375"
="221701_061.swc",="9618.3798828125",="667.916015625",="4031.6201171875"
