NeuronId,x,y,z
="221057_135.swc",="10254.7001953125",="1886.6400146484375",="8457.1396484375"
="221057_150.swc",="9064.9599609375",="563.1820068359375",="7771.9599609375"
="221057_155.swc",="9513.8603515625",="732.5180053710938",="7577.47998046875"
="221364_083.swc",="7840.7998046875",="853.7559814453125",="8439.7802734375"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
="221701_055.swc",="8923.5",="460.45599365234375",="3809.52001953125"
="230011_175.swc",="8202.580078125",="898.5",="2579.639892578125"
="230066_079.swc",="10189.2998046875",="1735.719970703125",="8774.4599609375"
="230066_084.swc",="10012.400390625",="1418.5899658203125",="8739.6396484375"
="231685_259.swc",="8784.1201171875",="1038.530029296875",="2777.260009765625"
="231685_281.swc",="9262.2998046875",="1108.8199462890625",="2966.3798828125"
="233285_119.swc",="9017.400390625",="929.4039916992188",="8522.7197265625"
="233379_133.swc",="8821.48046875",="1079.1400146484375",="8803.7001953125"
="233380_037.swc",="9248.5",="734.7039794921875",="8065.02001953125"
="233666_171.swc",="9369.33984375",="1054.8199462890625",="3287.56005859375"
="233668_063.swc",="10060.2998046875",="1666.06005859375",="8898.51953125"
="233668_065.swc",="10119.2001953125",="1769.6199951171875",="8993.4599609375"
="233668_073.swc",="9967.240234375",="1863.22998046875",="9183.9599609375"
="233668_099.swc",="9979.7197265625",="1103.77001953125",="7446.919921875"
="233668_101.swc",="9878.8798828125",="937.7559814453125",="7406.14013671875"
="233795_002.swc",="9277.16015625",="627.0540161132812",="7714.1201171875"
="233795_003.swc",="9262.740234375",="678.1599731445312",="7755.3798828125"
="233795_009.swc",="9858.599609375",="1120.2099609375",="8398.7197265625"
="233795_012.swc",="10233.400390625",="1811.199951171875",="8888.9599609375"
="233795_074.swc",="8286.580078125",="1009.3099975585938",="8944.599609375"
="233795_088.swc",="9309.599609375",="991.1539916992188",="8480.6201171875"
="221090_095.swc",="8148.919921875",="1079.949951171875",="3018.659912109375"
="221091_154.swc",="9074.580078125",="844.3619995117188",="7524.02001953125"
="221417_015.swc",="8679.2197265625",="1314.199951171875",="2751.1201171875"
="221418_129.swc",="8366.7001953125",="892.0040283203125",="3632.8798828125"
="221479_166.swc",="9150.580078125",="1295.0400390625",="8649.9404296875"
="231685_243.swc",="8768.2197265625",="1064.489990234375",="3212.699951171875"
="231685_255.swc",="8799.6796875",="1214.510009765625",="2867.56005859375"
="233379_029.swc",="8794.740234375",="1008.9299926757812",="8144.14013671875"
="233379_036.swc",="8383.6201171875",="999.0800170898438",="8196.3203125"
="233379_097.swc",="8022.14013671875",="876.8619995117188",="8012.22021484375"
="233379_130.swc",="8703.6201171875",="1250.3599853515625",="8585.919921875"
="233666_139.swc",="9551.740234375",="990.9019775390625",="3717.60009765625"
="233666_204.swc",="9196.4404296875",="1542.489990234375",="2597.820068359375"
="221090_092.swc",="8206.51953125",="1279.800048828125",="2799.43994140625"
="221090_094.swc",="8193.080078125",="1165.1600341796875",="2916.06005859375"
="221090_099.swc",="8072.080078125",="1044.1199951171875",="3175.06005859375"
="221091_125.swc",="8628.2197265625",="908.5260009765625",="7656.16015625"
="221091_158.swc",="8973.3798828125",="1006.8099975585938",="7636.22021484375"
="221418_135.swc",="8415.98046875",="946.3720092773438",="3769.780029296875"
="221418_137.swc",="8778.4599609375",="1082.25",="3596.840087890625"
="221477_059.swc",="8217.900390625",="1229.9200439453125",="2898.739990234375"
="221481_137.swc",="8298.1396484375",="1403.31005859375",="8862.4599609375"
="231687_014.swc",="8199.9599609375",="1165.5899658203125",="2940.719970703125"
="233379_123.swc",="8112.39990234375",="1000.7899780273438",="8109.85986328125"
="233666_201.swc",="9253.1396484375",="1749.3199462890625",="2422.199951171875"
="233667_217.swc",="9861",="1305.510009765625",="3698.10009765625"
="233667_242.swc",="9933.5595703125",="2005.5799560546875",="2751.219970703125"
="233667_256.swc",="9723.7802734375",="2052.10009765625",="2396.659912109375"
="233667_267.swc",="9565.2802734375",="1991.1800537109375",="2582.5"
="233667_269.swc",="9687.240234375",="1866.25",="2489.860107421875"
="221065_081.swc",="9563.8798828125",="1952.75",="3058.219970703125"
="231687_027.swc",="9049.33984375",="1805.8499755859375",="8763.4404296875"
="231687_028.swc",="9477.66015625",="1895.1300048828125",="8363.1796875"
="233284_183.swc",="8623.3603515625",="1356.9599609375",="7653.240234375"
="233667_270.swc",="9592.400390625",="2031.52001953125",="2638.719970703125"
="221225_016.swc",="8617.66015625",="1474.6099853515625",="8950.2802734375"
="231687_023.swc",="9103.6796875",="1704.02001953125",="8868.1396484375"
="233666_161.swc",="9428.1396484375",="1164.530029296875",="3191.47998046875"
="221065_083.swc",="9553.759765625",="2124.179931640625",="2838.580078125"
="221065_086.swc",="9412.759765625",="2060.159912109375",="2668.419921875"
="233667_261.swc",="9626.66015625",="2015.9000244140625",="2468.820068359375"
