NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_090.swc",="8548.9599609375",="650.72802734375",="7675.56005859375"
="221057_098.swc",="8167.419921875",="680.760009765625",="7893.39990234375"
="221057_107.swc",="8877.919921875",="455.447998046875",="7493.2998046875"
="221057_155.swc",="9513.8603515625",="732.5180053710938",="7577.47998046875"
="221057_156.swc",="9406.3203125",="672.4719848632812",="7452.33984375"
="221057_160.swc",="9226.1796875",="558.114013671875",="7285.52001953125"
="221364_052.swc",="7840.56005859375",="755.1640014648438",="8106.85986328125"
="221364_080.swc",="8055.919921875",="817.3759765625",="8341.8203125"
="221364_081.swc",="8021.2001953125",="829.5040283203125",="8383.51953125"
="221364_082.swc",="7936.2998046875",="890.5679931640625",="8422.8203125"
="221364_083.swc",="7840.7998046875",="853.7559814453125",="8439.7802734375"
="221364_084.swc",="7760.93994140625",="788.4520263671875",="8397.1396484375"
="221364_085.swc",="7798.33984375",="852.1259765625",="8287.5"
="221364_086.swc",="7926.81982421875",="684.5780029296875",="8393.9599609375"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
="221479_168.swc",="8970.6396484375",="1386.47998046875",="8998.580078125"
="221479_216.swc",="8404.3798828125",="784.7039794921875",="3580.60009765625"
="221481_118.swc",="8002.2998046875",="900.6220092773438",="8561.4404296875"
="221481_256.swc",="9915.900390625",="1616.530029296875",="8857.7998046875"
="221481_507.swc",="8489.3798828125",="960.0159912109375",="2939.10009765625"
="221481_513.swc",="8406",="873.5120239257812",="3012.360107421875"
="221481_538.swc",="8283.080078125",="925.7119750976562",="2821.719970703125"
="221701_039.swc",="9446.900390625",="651.4619750976562",="3797.159912109375"
="221701_055.swc",="8923.5",="460.45599365234375",="3809.52001953125"
="221701_057.swc",="8969.01953125",="561.1859741210938",="3994.89990234375"
="221701_060.swc",="9635.7001953125",="748.2860107421875",="3967.820068359375"
="221701_062.swc",="9106.6796875",="665.4240112304688",="3550.89990234375"
="221719_052.swc",="7748.52001953125",="791.9459838867188",="8262.900390625"
="230066_089.swc",="9645.259765625",="753.1500244140625",="7183.0400390625"
="230066_125.swc",="8845.240234375",="610.5900268554688",="7921.60009765625"
="231570_009.swc",="8844.1201171875",="768.5399780273438",="3225.580078125"
="231570_012.swc",="8597.8603515625",="738.7760009765625",="3374.860107421875"
