NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_088.swc",="8277.1396484375",="645.4639892578125",="7849.919921875"
="221057_101.swc",="8701.1201171875",="634.3079833984375",="7614.8798828125"
="221057_102.swc",="8722.2802734375",="587.68798828125",="7563.81982421875"
="221057_103.swc",="8728.5",="558.0980224609375",="7577.2998046875"
="221057_150.swc",="9064.9599609375",="563.1820068359375",="7771.9599609375"
="221057_151.swc",="9155.9404296875",="694.0599975585938",="7843.240234375"
="221057_164.swc",="9210.98046875",="593.6259765625",="7493.06005859375"
="221364_080.swc",="8055.919921875",="817.3759765625",="8341.8203125"
="221364_081.swc",="8021.2001953125",="829.5040283203125",="8383.51953125"
="221364_082.swc",="7936.2998046875",="890.5679931640625",="8422.8203125"
="221364_083.swc",="7840.7998046875",="853.7559814453125",="8439.7802734375"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
="221477_061.swc",="8395.580078125",="1150.0999755859375",="2507.840087890625"
="221479_158.swc",="8660.8798828125",="1235.5699462890625",="8983.9599609375"
="221479_168.swc",="8970.6396484375",="1386.47998046875",="8998.580078125"
="221479_187.swc",="9110.2998046875",="1343.300048828125",="8868.099609375"
="221481_117.swc",="8202.0595703125",="919.8319702148438",="8574.400390625"
="221481_230.swc",="8948",="1462.7099609375",="9160.48046875"
="221481_241.swc",="8808.7802734375",="1418.6700439453125",="9125.98046875"
="221481_256.swc",="9915.900390625",="1616.530029296875",="8857.7998046875"
="221481_507.swc",="8489.3798828125",="960.0159912109375",="2939.10009765625"
="221481_509.swc",="8573.8798828125",="898.0640258789062",="2988.5"
="221481_515.swc",="8697.7001953125",="1034.1700439453125",="2877.139892578125"
="221481_522.swc",="9309.580078125",="1104.780029296875",="2907.52001953125"
="221481_524.swc",="8912.400390625",="934.5020141601562",="2960.4599609375"
="221481_538.swc",="8283.080078125",="925.7119750976562",="2821.719970703125"
