NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_088.swc",="8277.1396484375",="645.4639892578125",="7849.919921875"
="221057_090.swc",="8548.9599609375",="650.72802734375",="7675.56005859375"
="221057_098.swc",="8167.419921875",="680.760009765625",="7893.39990234375"
="221057_102.swc",="8722.2802734375",="587.68798828125",="7563.81982421875"
="221057_103.swc",="8728.5",="558.0980224609375",="7577.2998046875"
="221057_107.swc",="8877.919921875",="455.447998046875",="7493.2998046875"
="221057_152.swc",="9082.7197265625",="659.97998046875",="7869.64013671875"
="221057_155.swc",="9513.8603515625",="732.5180053710938",="7577.47998046875"
="221057_156.swc",="9406.3203125",="672.4719848632812",="7452.33984375"
="221364_052.swc",="7840.56005859375",="755.1640014648438",="8106.85986328125"
="221364_081.swc",="8021.2001953125",="829.5040283203125",="8383.51953125"
="221364_085.swc",="7798.33984375",="852.1259765625",="8287.5"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
="221479_216.swc",="8404.3798828125",="784.7039794921875",="3580.60009765625"
="221479_226.swc",="9409.6396484375",="671.0700073242188",="4165.89990234375"
="221481_118.swc",="8002.2998046875",="900.6220092773438",="8561.4404296875"
="221481_507.swc",="8489.3798828125",="960.0159912109375",="2939.10009765625"
="221481_513.swc",="8406",="873.5120239257812",="3012.360107421875"
="221701_034.swc",="9279.2998046875",="710.4840087890625",="3863.159912109375"
="221701_035.swc",="9326.9404296875",="635.885986328125",="3975.97998046875"
="221701_039.swc",="9446.900390625",="651.4619750976562",="3797.159912109375"
="221701_048.swc",="9069.1396484375",="609.5659790039062",="3418.3798828125"
="221701_052.swc",="9032.0595703125",="587.97802734375",="3525.5400390625"
="221701_055.swc",="8923.5",="460.45599365234375",="3809.52001953125"
="221701_056.swc",="8847.1396484375",="445.42401123046875",="3780.52001953125"
="221701_060.swc",="9635.7001953125",="748.2860107421875",="3967.820068359375"
