NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_088.swc",="8277.1396484375",="645.4639892578125",="7849.919921875"
="221057_098.swc",="8167.419921875",="680.760009765625",="7893.39990234375"
="221057_099.swc",="8768.5",="545.4359741210938",="7768.47998046875"
="221057_101.swc",="8701.1201171875",="634.3079833984375",="7614.8798828125"
="221057_102.swc",="8722.2802734375",="587.68798828125",="7563.81982421875"
="221057_103.swc",="8728.5",="558.0980224609375",="7577.2998046875"
="221057_120.swc",="9799.2998046875",="805.89599609375",="7444.64013671875"
="221057_123.swc",="9917.740234375",="983.5880126953125",="7276.02001953125"
="221057_130.swc",="9857.33984375",="1042.3499755859375",="7893.83984375"
="221057_131.swc",="9786.3603515625",="1053.469970703125",="8119.56005859375"
="221057_133.swc",="10147.2001953125",="1452.31005859375",="8294.6396484375"
="221057_135.swc",="10254.7001953125",="1886.6400146484375",="8457.1396484375"
="221057_137.swc",="9976.4404296875",="1332.2099609375",="8591.1396484375"
="221057_139.swc",="10146.7001953125",="1364.1700439453125",="7861.89990234375"
="221057_150.swc",="9064.9599609375",="563.1820068359375",="7771.9599609375"
="221057_151.swc",="9155.9404296875",="694.0599975585938",="7843.240234375"
="221057_153.swc",="9365.5400390625",="682.7420043945312",="7670.31982421875"
="221057_155.swc",="9513.8603515625",="732.5180053710938",="7577.47998046875"
="221057_160.swc",="9226.1796875",="558.114013671875",="7285.52001953125"
="221057_167.swc",="9964.4404296875",="1149.030029296875",="7520.2998046875"
="221364_081.swc",="8021.2001953125",="829.5040283203125",="8383.51953125"
="221364_083.swc",="7840.7998046875",="853.7559814453125",="8439.7802734375"
="221477_061.swc",="8395.580078125",="1150.0999755859375",="2507.840087890625"
="221478_316.swc",="9680.5",="1545.489990234375",="8935.2802734375"
="221479_158.swc",="8660.8798828125",="1235.5699462890625",="8983.9599609375"
="221479_168.swc",="8970.6396484375",="1386.47998046875",="8998.580078125"
