NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_098.swc",="8167.419921875",="680.760009765625",="7893.39990234375"
="221057_099.swc",="8768.5",="545.4359741210938",="7768.47998046875"
="221057_102.swc",="8722.2802734375",="587.68798828125",="7563.81982421875"
="221057_103.swc",="8728.5",="558.0980224609375",="7577.2998046875"
="221057_120.swc",="9799.2998046875",="805.89599609375",="7444.64013671875"
="221057_123.swc",="9917.740234375",="983.5880126953125",="7276.02001953125"
="221057_130.swc",="9857.33984375",="1042.3499755859375",="7893.83984375"
="221057_131.swc",="9786.3603515625",="1053.469970703125",="8119.56005859375"
="221057_135.swc",="10254.7001953125",="1886.6400146484375",="8457.1396484375"
="221057_137.swc",="9976.4404296875",="1332.2099609375",="8591.1396484375"
="221057_150.swc",="9064.9599609375",="563.1820068359375",="7771.9599609375"
="221057_151.swc",="9155.9404296875",="694.0599975585938",="7843.240234375"
="221057_153.swc",="9365.5400390625",="682.7420043945312",="7670.31982421875"
="221057_155.swc",="9513.8603515625",="732.5180053710938",="7577.47998046875"
="221057_167.swc",="9964.4404296875",="1149.030029296875",="7520.2998046875"
="221364_083.swc",="7840.7998046875",="853.7559814453125",="8439.7802734375"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
="221481_256.swc",="9915.900390625",="1616.530029296875",="8857.7998046875"
="221481_257.swc",="9980.759765625",="1760.1800537109375",="8907.51953125"
="221481_258.swc",="10054.5",="1805.3599853515625",="8880.4404296875"
="221481_522.swc",="9309.580078125",="1104.780029296875",="2907.52001953125"
="221481_524.swc",="8912.400390625",="934.5020141601562",="2960.4599609375"
="221701_041.swc",="9484.0400390625",="703.22998046875",="3681.699951171875"
="221701_047.swc",="9127.1396484375",="600.0700073242188",="3459.080078125"
="221701_052.swc",="9032.0595703125",="587.97802734375",="3525.5400390625"
="221701_055.swc",="8923.5",="460.45599365234375",="3809.52001953125"
="221701_060.swc",="9635.7001953125",="748.2860107421875",="3967.820068359375"
="221727_015.swc",="9603.4599609375",="642.8140258789062",="7059.3798828125"
="230011_174.swc",="8241.5400390625",="924.7999877929688",="2568.02001953125"
="230011_175.swc",="8202.580078125",="898.5",="2579.639892578125"
="230066_079.swc",="10189.2998046875",="1735.719970703125",="8774.4599609375"
="230066_126.swc",="8522.7998046875",="679.156005859375",="7870.06005859375"
="231570_012.swc",="8597.8603515625",="738.7760009765625",="3374.860107421875"
="231685_259.swc",="8784.1201171875",="1038.530029296875",="2777.260009765625"
="231685_281.swc",="9262.2998046875",="1108.8199462890625",="2966.3798828125"
="233285_119.swc",="9017.400390625",="929.4039916992188",="8522.7197265625"
="233379_133.swc",="8821.48046875",="1079.1400146484375",="8803.7001953125"
="233380_037.swc",="9248.5",="734.7039794921875",="8065.02001953125"
="233668_057.swc",="10189.599609375",="1894.3199462890625",="8641.48046875"
="233668_059.swc",="10160.400390625",="1674.93994140625",="8735.240234375"
="233668_061.swc",="10146.599609375",="1806.8699951171875",="8825.16015625"
="233668_062.swc",="10156.7001953125",="1886.9100341796875",="8816.5"
="233668_063.swc",="10060.2998046875",="1666.06005859375",="8898.51953125"
="233668_064.swc",="10037.7001953125",="1635.0899658203125",="8955.240234375"
="233668_065.swc",="10119.2001953125",="1769.6199951171875",="8993.4599609375"
="233668_071.swc",="9963.080078125",="1775.219970703125",="9033"
="233668_073.swc",="9967.240234375",="1863.22998046875",="9183.9599609375"
="233668_075.swc",="9822.33984375",="1671.550048828125",="9138.8798828125"
="233668_080.swc",="8155.60009765625",="669.7520141601562",="8045.7998046875"
="233668_095.swc",="9938.0400390625",="1050.18994140625",="7612.85986328125"
