NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_088.swc",="8277.1396484375",="645.4639892578125",="7849.919921875"
="221057_090.swc",="8548.9599609375",="650.72802734375",="7675.56005859375"
="221057_098.swc",="8167.419921875",="680.760009765625",="7893.39990234375"
="221057_099.swc",="8768.5",="545.4359741210938",="7768.47998046875"
="221057_101.swc",="8701.1201171875",="634.3079833984375",="7614.8798828125"
="221057_102.swc",="8722.2802734375",="587.68798828125",="7563.81982421875"
="221057_103.swc",="8728.5",="558.0980224609375",="7577.2998046875"
="221057_107.swc",="8877.919921875",="455.447998046875",="7493.2998046875"
="221057_132.swc",="10127.099609375",="1371.6600341796875",="8199.3798828125"
="221057_133.swc",="10147.2001953125",="1452.31005859375",="8294.6396484375"
="221057_139.swc",="10146.7001953125",="1364.1700439453125",="7861.89990234375"
="221057_149.swc",="8860.9599609375",="526.5960083007812",="7636.580078125"
="221057_152.swc",="9082.7197265625",="659.97998046875",="7869.64013671875"
="221057_153.swc",="9365.5400390625",="682.7420043945312",="7670.31982421875"
="221057_154.swc",="9433.6396484375",="721.1959838867188",="7552.5"
="221057_155.swc",="9513.8603515625",="732.5180053710938",="7577.47998046875"
="221057_156.swc",="9406.3203125",="672.4719848632812",="7452.33984375"
="221057_157.swc",="9429.759765625",="650.14599609375",="7387.89990234375"
="221057_160.swc",="9226.1796875",="558.114013671875",="7285.52001953125"
="221057_163.swc",="8976.3203125",="558.2479858398438",="7380.6201171875"
="221057_164.swc",="9210.98046875",="593.6259765625",="7493.06005859375"
="221364_052.swc",="7840.56005859375",="755.1640014648438",="8106.85986328125"
="221364_080.swc",="8055.919921875",="817.3759765625",="8341.8203125"
="221364_081.swc",="8021.2001953125",="829.5040283203125",="8383.51953125"
="221364_085.swc",="7798.33984375",="852.1259765625",="8287.5"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
