NeuronId,x,y,z
="221057_071.swc",="8066.39990234375",="719.8900146484375",="7946.580078125"
="221057_090.swc",="8548.9599609375",="650.72802734375",="7675.56005859375"
="221057_098.swc",="8167.419921875",="680.760009765625",="7893.39990234375"
="221057_107.swc",="8877.919921875",="455.447998046875",="7493.2998046875"
="221057_130.swc",="9857.33984375",="1042.3499755859375",="7893.83984375"
="221057_150.swc",="9064.9599609375",="563.1820068359375",="7771.9599609375"
="221057_156.swc",="9406.3203125",="672.4719848632812",="7452.33984375"
="221057_164.swc",="9210.98046875",="593.6259765625",="7493.06005859375"
="221364_052.swc",="7840.56005859375",="755.1640014648438",="8106.85986328125"
="221364_080.swc",="8055.919921875",="817.3759765625",="8341.8203125"
="221364_081.swc",="8021.2001953125",="829.5040283203125",="8383.51953125"
="221364_082.swc",="7936.2998046875",="890.5679931640625",="8422.8203125"
="221364_083.swc",="7840.7998046875",="853.7559814453125",="8439.7802734375"
="221364_084.swc",="7760.93994140625",="788.4520263671875",="8397.1396484375"
="221364_085.swc",="7798.33984375",="852.1259765625",="8287.5"
="221364_086.swc",="7926.81982421875",="684.5780029296875",="8393.9599609375"
="221364_087.swc",="7904.97998046875",="705.9580078125",="8335.8798828125"
="221477_061.swc",="8395.580078125",="1150.0999755859375",="2507.840087890625"
="221479_158.swc",="8660.8798828125",="1235.5699462890625",="8983.9599609375"
="221479_168.swc",="8970.6396484375",="1386.47998046875",="8998.580078125"
="221479_216.swc",="8404.3798828125",="784.7039794921875",="3580.60009765625"
="221481_117.swc",="8202.0595703125",="919.8319702148438",="8574.400390625"
="221481_118.swc",="8002.2998046875",="900.6220092773438",="8561.4404296875"
="221481_230.swc",="8948",="1462.7099609375",="9160.48046875"
="221481_241.swc",="8808.7802734375",="1418.6700439453125",="9125.98046875"
="221481_256.swc",="9915.900390625",="1616.530029296875",="8857.7998046875"
="221481_507.swc",="8489.3798828125",="960.0159912109375",="2939.10009765625"
="221481_509.swc",="8573.8798828125",="898.0640258789062",="2988.5"
="221481_513.swc",="8406",="873.5120239257812",="3012.360107421875"
="221481_515.swc",="8697.7001953125",="1034.1700439453125",="2877.139892578125"
="221481_522.swc",="9309.580078125",="1104.780029296875",="2907.52001953125"
="221481_524.swc",="8912.400390625",="934.5020141601562",="2960.4599609375"
="221481_538.swc",="8283.080078125",="925.7119750976562",="2821.719970703125"
