NeuronId,x,y,z
="221481_262.swc",="9788.7998046875",="2084.1201171875",="9385.8203125"
="230066_080.swc",="10196.7998046875",="2067.659912109375",="8983.919921875"
="233668_051.swc",="10195.599609375",="2041.1400146484375",="8377.7197265625"
="233668_052.swc",="10192.599609375",="1999.5699462890625",="8366.2998046875"
="233668_054.swc",="10191.099609375",="2109.719970703125",="8502.0400390625"
="233668_055.swc",="10178",="2107.800048828125",="8540.16015625"
="233668_066.swc",="10213.099609375",="2022.739990234375",="8905.900390625"
="233668_067.swc",="10106.7998046875",="1960.219970703125",="9004.1396484375"
="233668_068.swc",="10172.099609375",="1973.8199462890625",="9081.6201171875"
="233668_069.swc",="10064.7998046875",="1958.75",="9090.01953125"
="233668_078.swc",="9918.080078125",="1967.8299560546875",="9227.759765625"
="233668_081.swc",="9910.8798828125",="2013.0999755859375",="9385.6396484375"
="233668_094.swc",="9991.6796875",="2018.06005859375",="9312.7802734375"
="233668_202.swc",="9881.7001953125",="1989.47998046875",="9353.7998046875"
="233668_239.swc",="10194",="2228.080078125",="8806.0595703125"
="233668_241.swc",="10132.900390625",="2191.260009765625",="8636.900390625"
="233668_256.swc",="10073.2001953125",="2323.60009765625",="9469.3603515625"
="233795_127.swc",="9887.1796875",="2152.9599609375",="9427.4404296875"
="221481_259.swc",="9881.259765625",="1987.5899658203125",="9059.5400390625"
="221065_104.swc",="9686.2197265625",="2328.679931640625",="2214.820068359375"
="233667_244.swc",="9930.9404296875",="2321.239990234375",="2630.780029296875"
="233668_270.swc",="10107.2998046875",="2299.219970703125",="9050.66015625"
="221713_007.swc",="9623.5595703125",="2539.8798828125",="9210.4404296875"
="221516_016.swc",="10006.599609375",="2344.840087890625",="2822"
="233667_240.swc",="9963.2998046875",="2099.919921875",="2841.06005859375"
="233667_243.swc",="9941.419921875",="2358.4599609375",="2693.3798828125"
="233667_247.swc",="9943.400390625",="2274.8798828125",="2689.739990234375"
="233667_249.swc",="9869.1201171875",="2142.280029296875",="2555.47998046875"
="233667_253.swc",="9840.98046875",="2376.239990234375",="2446.3798828125"
="233667_254.swc",="9961.900390625",="2404.860107421875",="2364.800048828125"
="233667_258.swc",="9792.419921875",="2166.8798828125",="2476.280029296875"
="221065_103.swc",="9724.580078125",="2396.580078125",="2371.699951171875"
="233667_236.swc",="9908.9404296875",="2000.9599609375",="2704.260009765625"
="233667_241.swc",="9971.259765625",="2095.5",="2794.52001953125"
