NeuronId,x,y,z
="221057_066.swc",="7908.5",="505.9700012207031",="7722.16015625"
="221057_067.swc",="7925.83984375",="491.9320068359375",="7788.10009765625"
="221057_068.swc",="7956.39990234375",="501.5719909667969",="7821.16015625"
="221057_070.swc",="7989.83984375",="652.2559814453125",="7897.81982421875"
="221057_079.swc",="8056.7998046875",="454.73199462890625",="7365.56005859375"
="221057_080.swc",="8074.81982421875",="447.7879943847656",="7431.8798828125"
="221057_081.swc",="8149.9599609375",="436.35400390625",="7469.580078125"
="221057_084.swc",="8178.6201171875",="437.1419982910156",="7517.080078125"
="221057_087.swc",="8195.080078125",="501.2120056152344",="7704.8798828125"
="221057_092.swc",="8540.259765625",="485.74200439453125",="7535.240234375"
="221057_093.swc",="8506.33984375",="542.3660278320312",="7395.43994140625"
="221057_094.swc",="8575.0400390625",="557.6019897460938",="7340.83984375"
="221057_096.swc",="8281.16015625",="415.65399169921875",="7327.8798828125"
="221057_106.swc",="8924.4404296875",="576.3839721679688",="7192.2001953125"
="221057_108.swc",="8666.51953125",="463.82598876953125",="7358"
="221057_109.swc",="8710.740234375",="502.3380126953125",="7150.22021484375"
="221057_110.swc",="8718.2197265625",="428.27801513671875",="7126.7001953125"
="221057_148.swc",="9173.98046875",="547.02197265625",="7032.16015625"
="221057_161.swc",="9200.7001953125",="594.5479736328125",="7223.93994140625"
="221057_166.swc",="8559.2001953125",="460.2300109863281",="7180.06005859375"
="221364_053.swc",="7848.56005859375",="697.4879760742188",="8002.6201171875"
="221479_227.swc",="8615.2197265625",="576.0339965820312",="3960.5"
="221481_469.swc",="8500.259765625",="536.1099853515625",="4263.2998046875"
="221481_472.swc",="8749.5",="561.72998046875",="4089.5"
="221701_058.swc",="9003.1396484375",="563.2579956054688",="4115.10009765625"
="221701_059.swc",="9069.98046875",="527.6279907226562",="4214.66015625"
="221703_320.swc",="7848.5",="509.0159912109375",="3516.239990234375"
="221727_013.swc",="9202.0400390625",="545.969970703125",="7065.7001953125"
="221727_016.swc",="8707.66015625",="422.13800048828125",="7231.2001953125"
="221728_145.swc",="8428.9404296875",="411.2380065917969",="7111.06005859375"
="221728_147.swc",="8518.5",="458.5780029296875",="7266.89990234375"
="221728_148.swc",="8488.7998046875",="464.6919860839844",="7342.22021484375"
="221728_150.swc",="8104.7001953125",="384.9360046386719",="7289.5400390625"
="221728_153.swc",="7956.18017578125",="578.010009765625",="7569.740234375"
="221728_154.swc",="7941.919921875",="600.531982421875",="7480.27978515625"
="221728_173.swc",="7810.60009765625",="539.3759765625",="7869.0400390625"
="230011_199.swc",="7836.16015625",="627.2020263671875",="3427.840087890625"
="230011_215.swc",="8277.6396484375",="446.94000244140625",="3900.1201171875"
="230011_217.swc",="7948.18017578125",="443.5039978027344",="3725.419921875"
="230059_001.swc",="7928.7998046875",="708.3759765625",="7778.97998046875"
="230066_093.swc",="9316.51953125",="636.7880249023438",="7056.77978515625"
