NeuronId,x,y,z
="221065_113.swc",="9866.9599609375",="2660.260009765625",="1625.93994140625"
="221475_122.swc",="9347.5595703125",="2502.760009765625",="10145.900390625"
="221622_013.swc",="9245.7001953125",="2342.4599609375",="9915.8203125"
="221622_016.swc",="9238.01953125",="2180.219970703125",="9915.51953125"
="221702_016.swc",="9901.5595703125",="2390.919921875",="9523.330078125"
="221702_017.swc",="9750.1201171875",="2292.719970703125",="9569.8603515625"
="221705_020.swc",="9523.599609375",="2957.840087890625",="10056.7001953125"
="230110_035.swc",="9399.400390625",="2760.139892578125",="10238.2998046875"
="233795_033.swc",="9779.48046875",="2286.139892578125",="9751.1904296875"
="233795_034.swc",="9721.080078125",="2310.43994140625",="9702.51953125"
="233795_035.swc",="9528.7998046875",="2433.919921875",="9973.5703125"
="221705_024.swc",="9194.5",="2560.320068359375",="9914.23046875"
="221063_064.swc",="9821.759765625",="2758.60009765625",="1877.9599609375"
="221063_065.swc",="9760.01953125",="2614.139892578125",="1985.52001953125"
="221063_072.swc",="9662",="3022.219970703125",="1515.02001953125"
="221065_116.swc",="9871.6396484375",="2620.719970703125",="1980.3800048828125"
="221419_058.swc",="9180.1396484375",="2613.580078125",="1497.5400390625"
="221419_060.swc",="9244.740234375",="2846.239990234375",="1494.260009765625"
="221419_063.swc",="9280.2998046875",="2663.320068359375",="1454.1199951171875"
="221423_021.swc",="9293.66015625",="3323.39990234375",="9982.58984375"
="221423_072.swc",="9508.8203125",="2983.139892578125",="9796.580078125"
="221705_019.swc",="9693.0400390625",="3098.8798828125",="9954.400390625"
="231688_014.swc",="9482.080078125",="2954.239990234375",="9852.0703125"
="221065_097.swc",="9413.1396484375",="2581.97998046875",="2221.3798828125"
="221423_001.swc",="9255.7998046875",="2690.89990234375",="9442.8896484375"
="221423_002.swc",="9333.83984375",="2662.580078125",="9548.740234375"
="221423_004.swc",="9301.6796875",="2875.56005859375",="9674.58984375"
="221423_008.swc",="9398.3603515625",="3032.52001953125",="9775.2900390625"
="221423_026.swc",="9443.6796875",="3362.699951171875",="9845.9296875"
="221423_066.swc",="9161.6396484375",="2854.300048828125",="9766.0595703125"
="231688_019.swc",="9610.2197265625",="2765.89990234375",="9473.8603515625"
="221423_027.swc",="9437.099609375",="3303.699951171875",="9925.169921875"
="221423_067.swc",="9271.16015625",="2959.60009765625",="9966.1396484375"
="221481_263.swc",="9566.98046875",="2276.10009765625",="9402.3203125"
="231688_021.swc",="9393.6396484375",="3397.3798828125",="9961.8095703125"
="231688_025.swc",="9487.3603515625",="2702.580078125",="9653.259765625"
="231688_015.swc",="9424.0400390625",="2984.39990234375",="9851.4404296875"
