NeuronId,x,y,z
="221364_075.swc",="7652.43994140625",="817.4940185546875",="8383.83984375"
="221366_039.swc",="7722.080078125",="1174.52001953125",="8967.099609375"
="221366_040.swc",="7762.60009765625",="1099.6800537109375",="8978.240234375"
="221366_041.swc",="7897.56005859375",="1120.530029296875",="8899.6796875"
="221480_104.swc",="7679.0400390625",="1072.9100341796875",="2641.860107421875"
="221481_199.swc",="8016.33984375",="1138.97998046875",="8913.919921875"
="221481_539.swc",="8141.16015625",="1131.6800537109375",="2439.179931640625"
="221737_009.swc",="7822.31982421875",="1101.1500244140625",="2225.39990234375"
="221737_010.swc",="7987.6201171875",="1154.9100341796875",="2193.47998046875"
="221737_011.swc",="8018.259765625",="1175.239990234375",="2218.8798828125"
="221737_012.swc",="8097.68017578125",="1172.0400390625",="2153.679931640625"
="230010_054.swc",="7911.06005859375",="1149.97998046875",="2158.39990234375"
="230010_055.swc",="7703.240234375",="1184.719970703125",="2374.56005859375"
="230011_156.swc",="7823.72021484375",="1265.2099609375",="2130.3798828125"
="230011_157.swc",="8010.06005859375",="1127.68994140625",="2205.60009765625"
="230011_158.swc",="7940.68017578125",="1193.56005859375",="2278.239990234375"
="230011_159.swc",="7856.9599609375",="1184.8699951171875",="2193.300048828125"
="230011_172.swc",="7980.56005859375",="1237.989990234375",="2112.080078125"
="230011_173.swc",="7973.0400390625",="1270.8699951171875",="2095.159912109375"
="230011_176.swc",="7991.4599609375",="1015.25",="2471.139892578125"
="230011_177.swc",="7982.2001953125",="1000.760009765625",="2451.6201171875"
="230059_011.swc",="7800.0400390625",="1109.719970703125",="8940.5400390625"
="230059_026.swc",="7644.72021484375",="966.7780151367188",="8774.0400390625"
="230059_027.swc",="7682.43994140625",="1037.0400390625",="8795.3798828125"
="230109_010.swc",="7842.7001953125",="1362.4599609375",="9319.9404296875"
="230113_004.swc",="7345.39990234375",="978.5360107421875",="8611.48046875"
="230113_007.swc",="7457.64013671875",="876.0800170898438",="8477.9404296875"
="230114_018.swc",="8176.83984375",="1157.27001953125",="9087.9599609375"
="233379_041.swc",="8195.3203125",="1165.739990234375",="9172.01953125"
="233379_042.swc",="8154.83984375",="1274.2900390625",="9182.1796875"
="233379_146.swc",="8123.60009765625",="1043.1600341796875",="9033.5595703125"
="233795_068.swc",="7867.27978515625",="1154.8199462890625",="9177.419921875"
="233795_069.swc",="7901.7001953125",="1049.1400146484375",="9109.33984375"
="233795_071.swc",="8143.8798828125",="1035.9200439453125",="9000.900390625"
="233795_076.swc",="8330.9404296875",="1148.719970703125",="9208.080078125"
="233795_077.swc",="8218.5400390625",="1145.1800537109375",="9253.759765625"
="233795_080.swc",="7633.52001953125",="1031.4599609375",="9101.8203125"
="233795_107.swc",="7592.77978515625",="861.2139892578125",="8719.2998046875"
="233795_108.swc",="7643.919921875",="1049.1400146484375",="8796.900390625"
="233795_109.swc",="7657.080078125",="891.1740112304688",="8737.7001953125"
="233795_110.swc",="7769.3798828125",="982.4299926757812",="8724.400390625"
="233795_111.swc",="7722.64013671875",="861.8480224609375",="8664.48046875"
="233795_112.swc",="7446.33984375",="970.4660034179688",="8712.2802734375"
="221089_019.swc",="7409.16015625",="1130.1700439453125",="2972.919921875"
="221089_020.swc",="7393.919921875",="1097.8800048828125",="3086.47998046875"
="221089_034.swc",="7527.68017578125",="1238.719970703125",="2756.280029296875"
="221090_075.swc",="7757.77978515625",="1447.030029296875",="2387.840087890625"
="221090_076.swc",="7870.68017578125",="1415.1400146484375",="2383.4599609375"
="221090_083.swc",="7885.9599609375",="1470.1099853515625",="2300.739990234375"
="221090_085.swc",="7967.18017578125",="1421.02001953125",="2276.360107421875"
="221090_088.swc",="8053.83984375",="1340.3599853515625",="2425.780029296875"
="221090_089.swc",="8042.85986328125",="1297.1199951171875",="2541.3798828125"
="221090_106.swc",="7394.759765625",="1191.4000244140625",="2845.419921875"
="221090_107.swc",="7442.259765625",="1156.43994140625",="2803.699951171875"
="221090_111.swc",="7514.97998046875",="1108.760009765625",="2901.5"
="221365_040.swc",="7522.5400390625",="993.6519775390625",="8320.51953125"
="221426_060.swc",="7685.85986328125",="1085.18994140625",="8526.66015625"
="221475_210.swc",="7238.27978515625",="1141.260009765625",="3098.360107421875"
="221477_057.swc",="7897.85986328125",="1139.239990234375",="2777.239990234375"
