 ,195049_023,195616_035,200199_069,200579_032,221729_037,194528_009,195047_007,195047_009,195049_033,195049_036,195051_005,195051_019,195051_025,195051_028,195199_019,195199_020,195199_046,195199_050,195199_081,195614_028,195615_012,195618_027,195620_013,195828_056,195839_015,195840_004,195840_107,196548_028,196550_026,200194_058,200194_093,200194_105,200195_005,200195_007,200195_012,200195_015,200195_016,200195_019,200195_023,200196_060,200196_088,200197_001,200197_015,200197_020,200197_026,200197_028,200197_043,200198_019,200198_024,200198_025,200198_029,200198_038,200198_043,200199_008,200199_011,200199_020,200199_023,200199_034,200199_040,200199_061,200199_067,200293_061,200321_008,200321_041,200323_006,200325_003,200579_017,201390_019,201390_022,201760_001,201760_006,220188_022,220189_035,220189_097,220191_063,220191_079,220192_035,220192_069,220192_107,220193_014,221224_143,221224_459,221224_464,221224_484,221224_493,221224_494,221225_226,221423_109,221423_140,221424_014,221424_057,221472_019,221472_021,221531_118,221531_123,221703_335,221703_349,221703_356,221703_359,221703_371,221703_379,221703_380,221703_448,221729_033,195199_039,195830_026,195831_037,200324_007,220188_071,220189_009,195047_033,195049_001,195828_052,195838_030,195839_022,200194_097,200196_041,200197_005,200198_015,201390_007,220188_054,220192_063,220193_011,220193_012,221224_144,221224_428,221224_439,221224_486,221224_496,221225_094,221225_098,221225_099,221225_100,221225_102,221225_104,221225_107,221225_108,221225_119,221225_120,221225_142,221225_148,221225_185,221225_196,221225_199,221225_200,221225_201,221225_235,221423_125,221424_002,221424_023,221531_133,221531_171
="MOs1",="5",="8",="1",="42",="1",="10",="23",="18",="104",="9",="0",="20",="18",="20",="23",="1",="7",="6",="42",="11",="24",="53",="3",="0",="4",="0",="0",="20",="1",="0",="37",="0",="12",="0",="5",="1",="3",="0",="14",="0",="0",="17",="3",="0",="35",="2",="0",="0",="17",="6",="0",="0",="5",="36",="1",="1",="5",="23",="1",="0",="5",="34",="33",="0",="10",="8",="2",="10",="0",="47",="0",="0",="0",="1",="6",="35",="51",="2",="1",="1",="1",="6",="3",="18",="5",="1",="10",="51",="56",="1",="30",="0",="6",="22",="3",="53",="30",="16",="58",="54",="11",="15",="22",="11",="0",="0",="0",="1",="0",="0",="0",="28",="0",="3",="0",="0",="0",="0",="0",="0",="0",="4",="1",="0",="1",="8",="1",="11",="8",="0",="0",="0",="1",="0",="0",="1",="9",="0",="0",="0",="1",="2",="0",="5",="3",="0",="0",="21",="0",="1",="10",="1"
="MOs2/3",="0",="5",="0",="36",="5",="4",="14",="4",="37",="8",="21",="4",="3",="4",="10",="0",="5",="2",="11",="6",="4",="4",="10",="0",="3",="1",="0",="16",="0",="4",="23",="0",="4",="6",="0",="0",="9",="6",="5",="8",="0",="2",="0",="6",="22",="1",="1",="0",="7",="4",="2",="0",="4",="16",="18",="1",="5",="2",="8",="2",="0",="8",="7",="0",="2",="17",="1",="2",="0",="18",="0",="0",="4",="9",="8",="3",="27",="11",="0",="1",="7",="1",="2",="9",="0",="0",="4",="12",="91",="1",="6",="0",="9",="20",="5",="25",="22",="8",="27",="16",="6",="2",="10",="18",="0",="0",="2",="0",="0",="0",="0",="5",="0",="0",="0",="15",="2",="0",="0",="0",="5",="0",="0",="0",="1",="2",="0",="1",="0",="0",="2",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="0",="3",="1",="0",="1",="0",="0",="1",="3"
="MOs5",="0",="2",="2",="14",="11",="1",="19",="13",="57",="7",="116",="5",="3",="10",="19",="0",="1",="1",="6",="6",="18",="9",="48",="47",="0",="72",="8",="9",="2",="40",="24",="3",="8",="13",="1",="3",="22",="41",="0",="32",="2",="5",="1",="9",="41",="3",="1",="3",="14",="2",="13",="0",="4",="34",="32",="8",="2",="25",="49",="3",="0",="7",="1",="0",="0",="34",="2",="1",="3",="15",="19",="29",="60",="38",="41",="12",="13",="42",="0",="1",="109",="3",="1",="13",="0",="3",="9",="19",="44",="6",="11",="1",="34",="15",="3",="36",="28",="7",="22",="8",="5",="0",="13",="4",="1",="2",="44",="2",="7",="23",="2",="33",="4",="0",="1",="29",="9",="25",="4",="35",="34",="15",="1",="0",="11",="1",="0",="33",="14",="0",="22",="3",="3",="0",="11",="11",="27",="2",="1",="5",="8",="22",="6",="25",="0",="18",="3",="38",="0",="4",="13",="63"
="MOs6a",="0",="0",="0",="6",="0",="2",="10",="7",="9",="5",="16",="0",="0",="1",="4",="0",="1",="1",="2",="2",="6",="11",="18",="41",="0",="25",="6",="3",="1",="6",="3",="1",="2",="3",="2",="0",="1",="5",="0",="19",="2",="2",="0",="2",="3",="12",="0",="0",="0",="3",="17",="1",="2",="10",="10",="3",="0",="9",="0",="1",="0",="4",="2",="0",="3",="9",="0",="0",="3",="4",="1",="7",="9",="16",="7",="3",="0",="22",="0",="0",="57",="1",="0",="6",="0",="6",="6",="16",="2",="4",="11",="0",="6",="8",="1",="13",="9",="3",="14",="3",="4",="0",="0",="0",="3",="7",="32",="3",="2",="40",="1",="3",="5",="0",="0",="1",="1",="3",="0",="6",="16",="9",="2",="1",="31",="2",="2",="16",="0",="1",="4",="1",="9",="0",="1",="8",="13",="0",="7",="0",="7",="6",="2",="4",="12",="6",="0",="21",="1",="1",="14",="49"
="VISam2/3",="1",="0",="5",="0",="1",="0",="0",="2",="0",="0",="0",="0",="1",="3",="1",="0",="7",="5",="2",="0",="1",="0",="0",="0",="2",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="2",="0",="0",="0",="29",="1",="0",="4",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="2",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="4",="2",="1",="3",="0",="0",="0",="2",="0",="2",="0",="1",="2",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
="VISam4",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="0",="0",="2",="0",="0",="0",="0",="8",="0",="0",="0",="1",="0",="6",="2",="0",="1",="2",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="1",="1",="4",="12",="3",="2",="1",="0",="12",="3",="0",="1",="0",="4",="1",="1",="2",="0",="0",="0",="3",="0",="1",="1",="2",="2",="10",="0",="0",="0",="0",="0",="0",="2",="2",="0",="1",="0",="1",="12",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="1",="0",="0",="5",="0",="2",="0",="0",="0",="2",="0",="0",="0",="5",="3",="0",="2",="2",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="19",="5",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="4",="0",="1"
="VISam6a",="0",="4",="1",="0",="0",="0",="1",="16",="0",="2",="0",="2",="2",="3",="9",="0",="0",="0",="0",="0",="1",="1",="0",="2",="0",="1",="5",="0",="0",="3",="3",="1",="1",="9",="1",="2",="9",="30",="0",="8",="7",="0",="8",="3",="0",="1",="5",="2",="0",="2",="3",="0",="0",="0",="5",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="2",="0",="4",="0",="0",="1",="0",="0",="0",="2",="1",="0",="2",="2",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="1",="0",="1",="0",="0",="0",="0",="3",="0",="13",="1",="2",="1",="5",="3",="1",="5",="1",="7",="2",="16",="0",="0",="0",="0",="0",="0",="0",="3",="10",="1",="0",="0",="0",="0",="1",="0",="0",="5",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="2",="0",="3"
="VISam6b",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="1",="2",="1",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="1",="0",="0",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="VISp6a",="0",="7",="0",="0",="0",="0",="0",="3",="0",="2",="1",="0",="0",="2",="0",="3",="3",="0",="0",="0",="4",="0",="0",="5",="0",="1",="1",="0",="1",="1",="1",="1",="2",="10",="0",="3",="1",="21",="0",="4",="5",="0",="5",="1",="0",="1",="5",="1",="0",="2",="0",="0",="0",="1",="1",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="2",="8",="0",="10",="0",="1",="6",="3",="0",="0",="4",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="6",="3",="1",="8",="6",="4",="0",="0",="0",="7",="1",="0",="5",="10",="9",="1",="3",="0",="0",="2",="0",="0",="0",="0",="0",="4",="0",="1",="0",="0",="5",="0",="0",="4",="0",="0",="0",="3",="0",="8",="0",="2",="5",="2",="10",="1",="4"
="VISp6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="1",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0"
