 ,212066_015,212066_016,212066_018,212072_009,212074_012,220238_040,221066_008,221066_012,221067_048,221067_049,221067_050,221067_051,221067_054,221067_056,221067_065,221067_066,221067_070,221087_013,221088_053,221088_057,221088_062,221088_063,221088_065,221242_089,221243_096,221243_097,221243_113,221243_115,221365_092,221449_014,221449_015,221449_024,221449_030,221449_032,221449_033,221449_034,221450_038,221476_140,221476_141,221478_368,221480_093,221481_280,221481_356,221481_360,221481_364,221481_366,221481_369,221481_496,221481_501,221481_504,221481_636,221509_083,221509_084,221509_086,221509_254,221509_255,221509_258,221509_259,221509_260,221518_061,221518_080,221518_081,221518_084,221518_085,221518_086,221518_093,221518_094,221518_095,221518_096,221518_101,221519_017,221519_020,221519_021,221519_022,221519_023,221519_024,221519_025,221519_026,221519_029,221519_030,221519_031,221521_025,221521_036,221521_037,221521_041,221521_042,221521_043,221521_044,221521_067,221529_001,221585_027,221585_028,221585_036,221585_050,221586_091,221642_554,221642_561,221642_571,221642_611,221644_026,221706_374,221706_396,221706_404,221706_413,221706_436,221706_437,221706_440,221706_480,221714_061,221714_062,221714_063,221718_027,221718_108,221727_028,221727_032,221727_033,221727_034,221730_021,221730_022,221730_023,221730_024,221730_026,221730_028,221730_029,221730_040,221730_064,221730_065,221730_066,221731_007,221731_011,221731_049,221731_050,221731_052,221731_053,221731_054,221731_056,221732_144,221732_162,221732_163,221737_066,221751_235,230010_052,230061_014,230061_015,230061_016,230061_017,230061_018,230070_017,230070_020,230070_022,230080_062,230105_001,230105_002,230105_012,230106_003,230106_004,230106_005,230106_006,230106_008,230106_012,230106_013,230106_014,230106_015,230106_029,230106_030,230106_031,230106_049,230107_083,230107_084,230107_103,230109_016,230114_025,220237_013,220238_041,221066_002,221066_003,221066_004,221066_005,221067_058,221067_059,221088_058,221243_092,221449_031,221456_047,221456_049,221456_050,221456_052,221456_060,221456_062,221456_065,221476_150,221477_046,221477_063,221477_064,221478_371,221478_690,221478_693,221478_696,221480_094,221480_095,221481_353,221481_361,221481_362,221481_363,221481_365,221481_367,221481_368,221481_370,221481_371,221481_449,221481_450,221481_495,221481_497,221481_502,221509_087,221518_062,221585_026,221586_094,221586_100,221586_107,221586_114,221706_398,221706_406,221706_478,221706_482,221714_056,221718_003,221718_004,221718_005,221718_107,221730_027,221730_068,221731_055,221735_004,221751_234,230106_002,230106_010,230114_024,230114_028,231686_006,231686_010,231686_012,231686_013,212066_007,212066_010,212066_013,212066_014,220237_010,220237_011,220238_047,221067_041,221088_044,221224_026,221225_233,221368_008,221426_083,221456_044,221456_045,221456_046,221456_048,221456_051,221456_057,221456_061,221456_063,221456_066,221456_068,221456_072,221456_074,221456_116,221456_119,221476_152,221476_154,221476_155,221477_042,221477_043,221477_047,221481_350,221481_354,221586_093,221586_096,221586_099,221735_005,221735_010,221736_051,221736_052,230061_005,230105_007,212065_004,212066_012,212067_025,212067_038,212072_006,220235_062,220236_015,220237_016,220237_017,220237_019,220237_021,220237_022,220237_024,221087_088,221456_073,221456_120,230080_180,233283_095,233284_127,233284_129,212072_013,221067_046,221067_047,221224_005,221224_027,221224_029,221224_036,221226_003,221422_008,221426_072,221426_082,221456_034,221456_035,221456_036,221476_157,221477_045,221481_374,221735_001,221736_050,230080_035,230106_001,233284_125,212064_003,212066_009,221515_025,221515_027,221539_003,233283_008,233285_127,233794_029,233794_030,233794_033
="SSp-n5",="0",="0",="0",="0",="0",="0",="1",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="6",="16",="2",="0",="0",="0",="6",="17",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="11",="8",="13",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="10",="6",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="3",="6",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="5",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="0",="7",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="21",="3",="1",="0",="0",="0",="1",="0",="0",="12",="5",="1",="0",="0",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="12",="0",="0",="25",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="14",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-n6a",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="7",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="3",="0",="1",="6",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="6",="6",="2",="0",="0",="1",="0",="31",="7",="1",="0",="51",="0",="0",="0",="2",="0",="0",="0",="1",="0",="3",="0",="2",="0",="0",="65",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="3",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd6a",="0",="0",="0",="0",="0",="0",="3",="3",="0",="0",="3",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="1",="1",="1",="0",="1",="0",="3",="0",="0",="0",="0",="0",="2",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="2",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="1",="3",="1",="0",="1",="0",="1",="0",="0",="1",="0",="1",="1",="0",="1",="1",="0",="1",="0",="0",="8",="0",="1",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="2",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="4",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="1",="0",="0",="5",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="1",="9",="1",="3",="2",="5",="16",="34",="1",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="5",="4",="23",="2",="1",="17",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="149",="6",="15",="0",="75",="3",="1",="5",="4",="1",="0",="6",="1",="0",="0",="10",="0",="0",="0",="22",="2",="1",="2",="3",="0",="0",="3",="0",="0",="2",="0",="0",="0",="5",="2",="14",="0",="0",="1",="0",="2",="14",="0",="1",="3",="0",="2",="3",="0",="1",="5"
="SSp-ul4",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="10",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="13",="0",="0",="5",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="4",="0",="0",="0",="0",="2",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="4",="0",="0",="21",="0",="0",="0",="1",="0",="1",="3",="7",="15",="0",="8",="0",="0",="0",="0",="0",="0",="1",="2",="0",="1",="22",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="14",="0",="1",="0",="0",="0",="29",="0",="0",="7",="5",="27",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-ul5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="0",="2",="0",="0",="0",="0",="1",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="7",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="8",="1",="0",="6",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="5",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="2",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="1",="4",="2",="3",="0",="0",="2",="5",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="12",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="4",="0",="0",="0",="9",="0",="0",="5",="8",="14",="11",="3",="0",="0",="13",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un5",="0",="0",="0",="0",="0",="0",="1",="0",="11",="0",="0",="0",="0",="0",="0",="0",="13",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="3",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="1",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="2",="5",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-un6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="4",="1",="4",="2",="2",="0",="0",="0",="5",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="1",="0",="10",="4",="0",="0",="0",="0",="0",="2",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs1",="2",="0",="11",="8",="13",="7",="46",="2",="10",="33",="64",="56",="1",="21",="11",="31",="54",="16",="0",="15",="17",="11",="10",="13",="27",="23",="29",="9",="3",="2",="4",="13",="2",="5",="1",="8",="0",="19",="5",="15",="18",="21",="42",="27",="35",="28",="43",="24",="122",="39",="19",="3",="2",="6",="26",="21",="60",="51",="23",="22",="26",="4",="12",="63",="20",="7",="20",="3",="11",="27",="89",="15",="10",="5",="7",="15",="28",="0",="18",="11",="25",="10",="0",="1",="16",="3",="4",="3",="4",="23",="33",="59",="9",="40",="14",="31",="9",="17",="13",="16",="24",="21",="24",="23",="3",="18",="18",="19",="29",="22",="25",="14",="6",="44",="62",="20",="6",="14",="26",="17",="57",="25",="17",="26",="23",="32",="48",="41",="30",="9",="33",="39",="38",="37",="25",="34",="16",="88",="39",="76",="24",="10",="16",="6",="3",="5",="11",="63",="62",="26",="1",="17",="19",="26",="38",="17",="23",="43",="29",="2",="45",="1",="3",="7",="9",="3",="5",="8",="0",="1",="11",="17",="10",="11",="14",="28",="21",="12",="29",="4",="17",="34",="5",="16",="3",="3",="13",="49",="0",="2",="0",="9",="5",="0",="33",="1",="42",="20",="68",="46",="53",="29",="1",="24",="18",="18",="22",="16",="7",="17",="93",="23",="37",="39",="0",="26",="7",="101",="40",="62",="38",="6",="13",="0",="48",="30",="50",="16",="10",="8",="24",="16",="8",="17",="8",="4",="37",="17",="13",="0",="10",="11",="0",="0",="10",="21",="13",="0",="12",="54",="31",="0",="5",="3",="0",="0",="13",="27",="71",="3",="2",="22",="10",="57",="10",="0",="31",="3",="38",="3",="11",="20",="1",="24",="26",="5",="14",="68",="80",="61",="15",="18",="6",="34",="66",="34",="29",="6",="5",="0",="1",="28",="12",="1",="17",="0",="19",="0",="0",="1",="0",="36",="7",="0",="131",="110",="13",="42",="16",="5",="3",="21",="0",="0",="0",="0",="8",="9",="0",="6",="0",="4",="10",="0",="4",="0",="1",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSs2/3",="7",="1",="9",="43",="22",="38",="22",="4",="30",="18",="68",="95",="6",="19",="28",="16",="40",="48",="13",="11",="14",="19",="10",="11",="36",="44",="18",="16",="7",="11",="29",="25",="9",="11",="7",="18",="1",="37",="8",="67",="58",="12",="88",="87",="38",="30",="70",="134",="49",="58",="51",="16",="18",="17",="56",="38",="48",="27",="21",="19",="28",="14",="7",="43",="5",="6",="24",="24",="9",="27",="51",="19",="28",="41",="14",="16",="23",="243",="56",="52",="14",="22",="4",="5",="25",="7",="7",="2",="4",="28",="29",="80",="13",="39",="81",="59",="8",="70",="26",="73",="25",="24",="30",="111",="9",="36",="26",="64",="14",="65",="57",="8",="38",="65",="45",="21",="8",="57",="39",="30",="100",="76",="39",="88",="15",="21",="45",="95",="27",="50",="25",="27",="45",="13",="24",="15",="21",="47",="24",="4",="28",="11",="10",="7",="7",="8",="3",="4",="21",="23",="15",="27",="53",="37",="15",="44",="44",="26",="27",="3",="42",="10",="6",="5",="5",="8",="14",="45",="9",="4",="19",="3",="0",="35",="68",="58",="16",="25",="75",="15",="10",="24",="34",="4",="1",="1",="2",="0",="0",="0",="0",="11",="3",="4",="15",="21",="22",="43",="36",="20",="13",="69",="20",="76",="49",="53",="72",="2",="27",="71",="2",="9",="35",="3",="6",="25",="37",="3",="2",="3",="2",="3",="4",="3",="9",="32",="25",="37",="54",="0",="21",="96",="3",="0",="0",="2",="15",="51",="24",="0",="23",="7",="0",="0",="9",="169",="12",="0",="23",="43",="20",="4",="5",="3",="1",="0",="0",="5",="2",="0",="1",="13",="1",="12",="0",="0",="16",="1",="2",="0",="6",="27",="9",="41",="29",="22",="14",="7",="12",="8",="0",="45",="6",="18",="10",="6",="15",="4",="0",="0",="4",="19",="2",="13",="11",="0",="14",="0",="0",="28",="0",="0",="2",="3",="41",="18",="8",="1",="1",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="5",="0",="1",="0",="1",="3",="1",="0",="1",="0",="0",="5",="0",="0",="0",="0"
="SSs4",="2",="0",="13",="1",="15",="7",="10",="3",="2",="11",="65",="10",="1",="2",="10",="5",="5",="2",="1",="4",="5",="5",="6",="4",="14",="18",="7",="11",="3",="10",="6",="9",="12",="3",="3",="6",="2",="7",="4",="28",="8",="11",="26",="21",="9",="3",="31",="15",="20",="9",="4",="2",="7",="5",="22",="16",="16",="18",="9",="6",="12",="15",="8",="17",="11",="2",="10",="12",="19",="9",="3",="3",="5",="4",="4",="2",="8",="9",="5",="8",="5",="20",="0",="3",="6",="8",="10",="3",="5",="14",="24",="16",="7",="18",="35",="5",="1",="8",="5",="5",="15",="20",="25",="43",="18",="8",="8",="12",="17",="5",="6",="0",="9",="32",="14",="15",="17",="5",="7",="7",="12",="12",="13",="12",="2",="4",="7",="2",="5",="10",="16",="8",="20",="15",="8",="6",="2",="7",="4",="34",="26",="1",="4",="6",="7",="12",="5",="5",="28",="13",="2",="7",="7",="11",="14",="12",="10",="15",="10",="0",="7",="6",="0",="13",="9",="0",="7",="8",="5",="0",="10",="4",="11",="3",="27",="31",="2",="16",="7",="3",="9",="28",="16",="2",="7",="4",="7",="9",="1",="3",="1",="13",="5",="4",="16",="13",="18",="17",="19",="33",="9",="31",="4",="24",="11",="11",="17",="20",="6",="32",="35",="14",="12",="42",="8",="15",="7",="49",="50",="32",="33",="7",="36",="27",="25",="16",="17",="33",="10",="5",="13",="46",="20",="23",="17",="2",="1",="6",="9",="1",="11",="58",="5",="0",="9",="55",="19",="0",="9",="16",="22",="5",="4",="6",="0",="4",="14",="6",="20",="0",="2",="3",="1",="10",="20",="1",="2",="3",="7",="0",="2",="5",="7",="10",="7",="11",="10",="10",="16",="27",="21",="12",="7",="2",="16",="17",="8",="3",="2",="1",="5",="33",="14",="8",="5",="0",="17",="0",="0",="9",="0",="1",="0",="1",="22",="7",="12",="3",="5",="4",="2",="0",="6",="8",="1",="0",="5",="2",="0",="1",="0",="3",="1",="4",="0",="1",="1",="3",="12",="24",="0",="34",="4",="22",="59",="3",="49",="7",="13"
