 ,221475_127,221480_097,221481_338,221519_043,221519_044,221519_058,221622_001,221622_002,221622_007,221622_011,221622_047,221622_061,221644_085,221645_164,221706_070,221706_088,221706_091,221706_133,221714_042,221714_047,221733_033,221733_035,221733_097,221751_063,221751_065,221751_071,221751_085,221751_087,221751_089,221756_065,221757_065,221757_073,221757_074,221757_075,221757_077,221757_078,230105_019,230108_030,230108_032,230109_004,230110_026,230110_028,230110_029,231567_099,231567_123,231568_028,231568_033,231568_034,233795_061,221419_056,221419_061,221424_043,221474_133,221475_105,221706_084,221706_138,221715_001,221751_257,221751_262,221756_084,221757_071,221757_072,230108_031,231568_030,212075_027,220239_169,221220_008,221418_141,221418_142,221419_059,221423_013,221423_014,221423_016,221423_032,221423_040,221423_058,221475_088,221475_109,221475_110,221475_111,221645_178,221706_078,221706_123,221706_142,221714_045,221714_050,221732_099,221733_091,221754_013,231569_020,220239_189,221062_070,221087_105,221423_042,221423_060,221513_074,221517_026,220239_140,221423_059,221423_065,221530_127
="SSs1",="1",="26",="1",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="2",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="13",="7",="0",="0",="0",="0",="0",="0",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="25",="1",="9",="1",="2",="4",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="7",="0",="0",="0",="0",="2"
="AUDd5",="1",="1",="5",="0",="0",="0",="0",="1",="0",="1",="7",="0",="4",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="2",="0",="0",="15",="0",="0",="0",="0",="0",="2",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="2",="3",="0",="0",="2",="0",="0",="0",="2",="9",="0",="2",="2",="4",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="4",="0",="0",="0"
="AUDp5",="10",="0",="3",="0",="0",="0",="2",="0",="0",="0",="0",="3",="3",="1",="0",="0",="3",="0",="9",="1",="0",="0",="0",="3",="12",="1",="0",="1",="2",="1",="2",="2",="0",="1",="2",="1",="2",="3",="0",="1",="1",="2",="0",="0",="0",="4",="0",="0",="3",="0",="0",="4",="0",="0",="0",="1",="6",="0",="0",="0",="0",="0",="12",="0",="5",="0",="2",="9",="1",="0",="0",="1",="0",="6",="0",="15",="24",="9",="5",="9",="7",="1",="0",="0",="0",="1",="4",="0",="0",="0",="2",="1",="0",="0",="0",="0",="1",="11",="0",="0",="1"
="AUDp6a",="0",="0",="3",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="5",="2",="0",="0",="0",="0",="12",="0",="20",="8",="2",="1",="2",="3",="0",="9",="0",="0",="0",="1",="0",="0",="0",="6",="2",="0",="2",="4",="0",="2",="0",="1",="0",="0"
="AUDpo1",="6",="14",="0",="1",="0",="0",="2",="12",="0",="0",="1",="8",="12",="0",="0",="0",="0",="0",="7",="3",="0",="0",="0",="5",="12",="8",="11",="6",="18",="0",="0",="6",="9",="7",="8",="12",="7",="1",="0",="8",="1",="0",="3",="0",="0",="9",="0",="0",="9",="2",="0",="17",="1",="0",="0",="3",="7",="0",="0",="0",="0",="0",="0",="0",="7",="0",="1",="4",="14",="0",="0",="0",="0",="0",="0",="0",="4",="1",="22",="8",="6",="0",="0",="0",="0",="0",="4",="1",="0",="1",="0",="0",="0",="1",="0",="2",="4",="6",="0",="0",="3"
="AUDpo2/3",="9",="4",="0",="0",="0",="0",="11",="9",="1",="0",="3",="1",="7",="3",="0",="0",="0",="0",="2",="1",="0",="0",="0",="1",="5",="7",="3",="3",="7",="0",="1",="2",="2",="5",="1",="4",="6",="7",="0",="0",="2",="2",="0",="0",="0",="2",="0",="0",="6",="0",="0",="3",="0",="0",="0",="4",="1",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="2",="10",="0",="0",="0",="0",="0",="0",="1",="0",="0",="6",="4",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0"
="AUDpo4",="3",="0",="0",="0",="0",="0",="5",="7",="0",="0",="3",="2",="7",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="2",="1",="3",="3",="0",="2",="0",="1",="2",="1",="1",="1",="4",="2",="0",="0",="1",="1",="0",="1",="0",="0",="2",="0",="3",="1",="0",="0",="1",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="1",="0",="0",="0",="0",="3",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0"
="AUDpo5",="7",="0",="0",="0",="1",="2",="13",="4",="0",="0",="7",="3",="9",="0",="0",="0",="0",="0",="14",="0",="0",="0",="0",="6",="5",="1",="8",="6",="9",="0",="2",="4",="2",="8",="6",="2",="3",="2",="1",="2",="4",="3",="1",="0",="0",="3",="0",="0",="17",="0",="0",="1",="1",="0",="0",="0",="3",="0",="1",="1",="0",="0",="3",="0",="2",="0",="0",="6",="10",="0",="1",="2",="0",="0",="0",="13",="9",="6",="1",="5",="2",="0",="1",="0",="0",="4",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0"
="AUDpo6a",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="1",="0",="17",="3",="2",="0",="1",="1",="0",="6",="0",="0",="0",="2",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0"
="AUDpo6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
