 ,220239_105,221057_053,221057_056,221057_073,221364_007,221364_009,221364_022,221364_023,221364_029,221364_032,221364_034,221364_035,221364_037,221364_039,221364_040,221364_041,221364_049,221364_050,221364_063,221364_064,221364_065,221364_073,221364_074,221364_076,221364_077,221364_115,221364_116,221364_117,221364_119,221365_029,221365_083,221365_099,221416_021,221703_179,221703_216,221703_223,221703_224,221719_051,221728_166,221728_167,221728_169,221728_172,221728_175,221728_177,230011_181,230011_184,230011_185,230011_188,230011_189,230011_190,230011_193,230011_194,230011_203,230113_008,233795_113,233795_114,233795_115,233795_116,233795_117,233795_119,233795_120,233795_122,233795_123,233795_129,221089_022,221089_024,221089_038,221089_039,221089_130,221089_131,221089_132,221089_133,221090_105,221364_072,221365_084,221478_204,221478_212,221478_215,221479_143,221479_148,221703_171,221703_173,221703_176,221719_053,221719_055,220191_016,220239_017,221089_026,221089_129,221416_014,221416_016,221416_020,221474_208,221475_266,221476_040,221476_054,221476_060,221476_079,221476_081,221476_095,221476_101,221478_205,221479_147,220191_014,221475_222,221476_055,221476_078,221365_038,221365_064,221367_114,221367_129,221476_037,221476_039,221478_229,221511_042,233285_043,233285_096,233795_121,233282_055,233285_042
="SSp-bfd1",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="9",="0",="0",="0",="0",="35",="0",="10",="10",="11",="0",="0",="0",="0",="6",="10",="0",="47",="0",="1",="0",="0",="0",="0",="12",="24",="0",="0",="0",="3",="3",="11",="0",="0",="0",="0",="0",="0",="0",="6",="0",="5",="0",="0",="0",="0",="15",="8",="20",="5",="0",="0",="3",="1",="0",="3",="0",="0",="0",="0",="6",="0",="0",="16",="0",="0",="0",="12",="0",="44",="2",="0",="0",="4",="0",="0",="0",="2",="4",="5",="2",="1",="0",="12",="3",="0",="23",="0",="1",="15",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="6",="0",="0",="0"
="SSp-bfd4",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="5",="1",="5",="4",="4",="0",="0",="0",="3",="0",="4",="0",="1",="0",="1",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="2",="1",="1",="0",="0",="0",="1",="0",="4",="1",="0",="4",="29",="0",="0",="0",="0",="7",="1",="1",="0",="0",="4",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="2",="2",="0",="0",="2",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="9",="4",="4",="16",="0",="0",="3",="0",="1",="0",="2",="0",="7",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="2",="4",="0",="6",="4",="2",="5",="1",="6",="4",="2",="15",="0",="0",="1",="0",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="5",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="5",="10",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0"
="SSp-bfd6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="25",="24",="6",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr1",="4",="3",="12",="0",="1",="0",="2",="4",="1",="0",="1",="1",="0",="0",="0",="0",="1",="0",="3",="8",="2",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="3",="0",="0",="1",="0",="0",="3",="1",="22",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="3",="0",="0",="0",="1",="0",="0",="0",="1",="0",="1",="1",="3",="0",="0",="1",="0",="0",="5",="21",="0",="23",="5",="5",="0",="2",="2",="0",="1",="0",="5",="0",="8",="6",="1",="0",="1",="0",="50",="4",="49",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="4",="0",="0",="0"
="SSp-tr2/3",="3",="12",="6",="0",="0",="0",="5",="9",="1",="0",="4",="0",="0",="0",="0",="0",="0",="0",="1",="1",="2",="0",="0",="0",="0",="1",="0",="0",="0",="7",="0",="0",="90",="0",="0",="0",="0",="0",="1",="2",="9",="1",="0",="0",="0",="6",="1",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="4",="0",="0",="0",="3",="0",="1",="0",="6",="0",="0",="3",="0",="0",="3",="11",="1",="17",="1",="4",="0",="0",="0",="0",="1",="0",="4",="0",="3",="7",="17",="0",="0",="0",="7",="3",="29",="0",="3",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr4",="4",="1",="7",="0",="0",="0",="4",="8",="0",="0",="2",="4",="0",="1",="0",="2",="1",="0",="1",="2",="0",="0",="0",="2",="0",="0",="0",="0",="2",="2",="0",="0",="27",="0",="1",="0",="0",="0",="2",="3",="1",="1",="0",="0",="0",="2",="1",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="23",="0",="2",="2",="1",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="8",="0",="7",="1",="2",="0",="4",="0",="1",="1",="0",="0",="0",="2",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr5",="0",="4",="7",="0",="2",="0",="5",="16",="0",="0",="5",="13",="1",="0",="3",="12",="1",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="8",="0",="0",="17",="0",="0",="0",="0",="0",="5",="2",="11",="0",="1",="0",="1",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="4",="2",="1",="0",="0",="0",="0",="0",="0",="0",="0",="4",="2",="1",="0",="0",="1",="0",="0",="0",="11",="0",="5",="5",="0",="0",="0",="10",="0",="1",="3",="2",="0",="2",="0",="9",="0",="1",="1",="4",="0",="12",="0",="0",="3",="10",="7",="5",="27",="1",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="0",="0",="0",="0",="0",="0",="3",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="1",="2",="0",="0",="1",="4",="0",="0",="1",="4",="0",="7",="0",="0",="1",="20",="11",="8",="5",="2",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0"
