 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="AUDpo2/3",="3",="0",="0",="0",="0",="0",="0",="0",="0",="12",="0",="0",="0",="5",="0",="0",="0",="1",="0",="5",="12",="0",="3",="5",="2",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="2",="0",="0",="0",="0",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
="AUDpo4",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="3",="1",="2",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="1",="1",="0",="0",="0",="5",="2",="2",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0"
="AUDpo5",="2",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="1",="0",="2",="0",="0",="0",="2",="5",="2",="2",="0",="18",="4",="3",="0",="4",="0",="0",="0",="0",="6",="2",="1",="1",="0",="0",="0",="0",="0",="0",="4",="0",="0",="2",="1",="0",="0",="0",="15",="1",="1",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="10",="0",="1",="0",="8",="3",="0",="15",="0",="13",="0",="0",="0",="0",="0"
="VISal1",="2",="0",="0",="2",="0",="0",="7",="26",="23",="9",="5",="21",="6",="7",="0",="0",="2",="9",="7",="19",="14",="15",="9",="26",="1",="6",="7",="8",="0",="13",="3",="22",="14",="10",="9",="1",="21",="12",="21",="2",="12",="21",="0",="10",="5",="13",="9",="14",="24",="16",="15",="24",="9",="8",="0",="4",="6",="1",="8",="22",="15",="13",="0",="2",="0",="1",="1",="2",="0",="8",="1",="8",="0",="0",="0",="0",="4"
="VISal2/3",="4",="5",="4",="5",="1",="6",="20",="40",="15",="30",="33",="44",="32",="9",="18",="23",="17",="11",="14",="17",="29",="77",="15",="9",="3",="7",="6",="5",="7",="14",="3",="11",="10",="13",="7",="17",="5",="12",="10",="13",="9",="3",="0",="7",="0",="4",="5",="15",="47",="23",="3",="10",="3",="9",="0",="4",="5",="1",="9",="6",="6",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="5",="3",="3",="1",="1",="1",="4",="7",="16",="2",="3",="17",="11",="0",="5",="5",="1",="1",="3",="3",="1",="13",="7",="6",="1",="0",="7",="3",="5",="1",="3",="5",="2",="3",="1",="2",="0",="16",="13",="18",="9",="17",="1",="18",="5",="25",="13",="8",="8",="17",="10",="32",="12",="10",="1",="1",="6",="3",="2",="13",="9",="1",="0",="2",="3",="1",="5",="2",="1",="1",="2",="6",="2",="2",="20",="5",="0"
="VISal5",="3",="2",="3",="6",="2",="15",="8",="27",="1",="19",="16",="45",="11",="13",="15",="29",="8",="8",="4",="18",="8",="37",="20",="29",="3",="0",="9",="0",="8",="9",="3",="4",="18",="7",="7",="7",="5",="5",="12",="9",="16",="5",="0",="15",="2",="17",="7",="4",="5",="12",="14",="42",="4",="8",="1",="7",="8",="3",="4",="6",="2",="0",="13",="6",="4",="3",="45",="24",="6",="20",="5",="30",="7",="3",="8",="12",="3"
="VISal6a",="0",="0",="0",="0",="0",="1",="0",="4",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="5",="0",="1",="0",="28",="11",="0",="4",="1",="5",="3",="6",="16",="3",="6"
="VISam1",="1",="0",="0",="0",="1",="0",="0",="5",="6",="8",="1",="5",="3",="2",="0",="3",="1",="0",="1",="8",="1",="0",="8",="1",="2",="0",="2",="13",="1",="0",="10",="1",="2",="0",="0",="0",="0",="10",="16",="41",="5",="6",="26",="9",="15",="33",="91",="8",="0",="18",="49",="88",="25",="0",="0",="6",="12",="23",="0",="14",="28",="0",="0",="0",="36",="12",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="0",="0",="2",="0",="16",="4",="5",="20",="7",="21",="7",="32",="8",="5",="6",="4",="9",="0",="1",="10",="4",="0",="7",="3",="1",="0",="0",="16",="0",="2",="2",="0",="1",="0",="1",="0",="0",="1",="1",="9",="4",="2",="6",="1",="0",="5",="27",="5",="0",="1",="6",="22",="7",="0",="0",="7",="4",="3",="0",="5",="11",="0",="0",="0",="21",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
