 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="SSp-ll6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr2/3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-tr6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="1",="0",="1",="1",="1",="0",="0"
="ENTm3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs1",="2",="0",="4",="11",="2",="0",="0",="0",="0",="0",="0",="0",="5",="17",="14",="0",="7",="0",="0",="11",="4",="0",="0",="0",="0",="0",="0",="16",="0",="0",="0",="9",="0",="0",="12",="0",="5",="0",="0",="0",="13",="0",="9",="0",="0",="48",="0",="15",="2",="0",="0",="2",="79",="0",="0",="9",="0",="0",="2",="0",="11",="0",="0",="0"
="MOs2/3",="2",="0",="4",="9",="2",="0",="1",="0",="0",="0",="0",="0",="3",="15",="12",="0",="3",="0",="7",="13",="12",="0",="0",="0",="0",="0",="0",="45",="0",="0",="0",="1",="0",="0",="4",="0",="0",="0",="0",="0",="10",="0",="1",="0",="0",="8",="0",="10",="2",="0",="0",="1",="14",="0",="0",="6",="0",="0",="4",="0",="3",="0",="0",="0"
="MOs6a",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="3",="0",="0",="4",="0",="1",="1",="0",="0",="0",="0",="0"
="VISam1",="12",="9",="24",="8",="19",="12",="11",="4",="0",="15",="0",="2",="1",="15",="11",="6",="5",="6",="13",="6",="9",="0",="18",="8",="14",="14",="5",="30",="7",="12",="10",="3",="5",="14",="8",="6",="6",="2",="0",="0",="11",="30",="3",="0",="4",="2",="2",="2",="0",="4",="13",="0",="28",="0",="0",="2",="0",="0",="3",="5",="1",="0",="12",="0"
="VISam2/3",="17",="6",="12",="10",="10",="9",="14",="9",="1",="13",="2",="13",="3",="22",="13",="13",="6",="20",="27",="16",="9",="12",="29",="6",="7",="38",="8",="26",="7",="10",="8",="1",="7",="12",="15",="18",="16",="2",="1",="0",="10",="24",="4",="12",="9",="1",="1",="5",="0",="14",="9",="0",="25",="7",="0",="0",="0",="1",="6",="1",="0",="0",="0",="2"
