 ,221478_836,221481_220,221481_226,221481_558,221481_607,221701_063,221701_064,221701_065,221701_066,221751_096,230110_031,231570_001,231570_007,233668_074,233668_079,233668_082,233668_083,233668_084,233668_085,233668_086,233668_087,233668_088,233668_089,233668_090,233668_091,233668_092,233668_093,233795_037,233795_038,233795_039,233795_040,233795_041,233795_042,233795_043,233795_045,233795_046,233795_048,233795_049,233795_050,233795_053,233795_055,233795_082,233795_128,233795_135,221481_221,221481_223,221481_225,221481_550,221481_593,221481_603,221481_604,221481_606,230061_041,231686_052,231686_053,231686_054,231686_055,221225_002,221225_007,221367_245,221426_079,221481_222,221713_001,231686_056,231687_019,231687_020,233667_287,233667_288,221065_092,221065_093,221424_044,221426_076,221225_001,221225_003,221225_004,221225_005,221225_006,221225_008,221225_011,221225_012,221225_013,221225_014,221225_017,221225_019,221225_020,221226_008,221226_009,221226_016,221226_025,221226_026,221424_042,231687_022,221513_058,221516_004,221516_010,231687_033,233281_010,233281_119,233281_121
="VISal1",="1",="0",="25",="8",="1",="2",="1",="2",="4",="7",="17",="4",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="4",="7",="0",="0",="4",="0",="3",="0",="3",="0",="0",="0",="9",="1",="6",="0",="5",="3",="0",="9",="10",="2",="20",="4",="13",="0",="0",="1",="13",="0",="0",="3",="0",="4",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="3",="0",="1",="0",="1",="1",="2",="3",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="5",="1",="21",="7",="1",="3",="17",="10",="2",="5",="4",="7",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="0",="0",="5",="0",="0",="0",="1",="0",="0",="0",="6",="0",="4",="0",="3",="3",="2",="2",="5",="1",="11",="5",="16",="0",="0",="0",="2",="8",="0",="0",="0",="2",="5",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="2",="0",="2",="2",="3",="2",="7",="4",="7",="8",="6",="1",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="4",="0",="0",="0",="0",="3",="0",="0",="0",="5",="1",="0",="1",="1",="0",="2",="3",="5",="4",="0",="0",="9",="12",="6",="0",="0",="0",="2",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="3",="0",="0",="0",="1",="0",="2",="0",="0",="3",="0",="1",="2",="0",="1",="1",="0",="0",="2",="3",="0",="3",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal5",="3",="0",="10",="7",="10",="1",="4",="3",="22",="28",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="3",="1",="5",="0",="0",="4",="0",="1",="0",="0",="0",="1",="1",="3",="3",="1",="0",="4",="5",="0",="2",="0",="2",="6",="0",="2",="0",="0",="0",="0",="0",="0",="0",="4",="1",="1",="0",="0",="0",="1",="0",="1",="0",="0",="0",="17",="2",="3",="0",="0",="8",="7",="22",="4",="4",="3",="1",="3",="3",="7",="30",="0",="5",="8",="1",="0",="0",="0",="0",="0",="6",="0",="0"
="VISl1",="24",="26",="26",="23",="16",="16",="13",="7",="9",="6",="18",="10",="2",="8",="1",="9",="11",="18",="10",="4",="3",="5",="26",="30",="16",="19",="21",="2",="13",="11",="42",="1",="6",="2",="3",="27",="42",="16",="33",="20",="19",="13",="4",="11",="39",="16",="25",="29",="15",="55",="49",="73",="0",="0",="4",="4",="0",="1",="4",="0",="37",="22",="0",="3",="9",="8",="2",="17",="0",="0",="0",="0",="8",="2",="6",="2",="7",="3",="8",="0",="0",="0",="0",="2",="0",="16",="3",="1",="12",="1",="0",="4",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="36",="51",="18",="31",="38",="9",="30",="34",="19",="8",="12",="11",="5",="2",="2",="7",="12",="17",="12",="6",="11",="3",="32",="25",="14",="19",="16",="2",="14",="11",="25",="10",="298",="12",="0",="24",="28",="29",="11",="17",="5",="10",="8",="14",="16",="10",="18",="12",="3",="37",="12",="63",="0",="0",="1",="3",="0",="0",="5",="0",="22",="16",="138",="0",="13",="14",="1",="5",="0",="0",="1",="0",="1",="1",="1",="5",="15",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="10",="20",="6",="10",="3",="7",="1",="4",="14",="4",="7",="16",="8",="1",="0",="0",="0",="4",="0",="1",="0",="2",="1",="4",="4",="6",="4",="1",="1",="3",="6",="10",="20",="6",="1",="8",="7",="11",="2",="2",="0",="1",="0",="5",="10",="18",="14",="17",="16",="38",="36",="26",="1",="5",="3",="3",="1",="0",="0",="6",="11",="15",="23",="0",="6",="25",="1",="1",="0",="0",="2",="2",="3",="1",="2",="4",="0",="1",="3",="0",="0",="2",="1",="1",="0",="4",="8",="7",="3",="8",="3",="1",="0",="0",="7",="41",="25",="1",="4"
="VISl5",="28",="18",="14",="9",="24",="11",="8",="6",="27",="4",="11",="10",="7",="1",="1",="9",="9",="5",="6",="12",="12",="6",="23",="15",="24",="17",="5",="6",="12",="9",="26",="8",="6",="27",="12",="17",="12",="19",="28",="16",="6",="12",="3",="20",="13",="16",="7",="12",="8",="16",="32",="22",="0",="8",="1",="3",="0",="3",="2",="32",="6",="30",="80",="3",="8",="60",="3",="9",="4",="15",="19",="14",="13",="14",="26",="13",="26",="16",="21",="13",="18",="13",="16",="21",="5",="53",="18",="13",="30",="30",="16",="38",="0",="1",="22",="71",="38",="17",="31"
="VISl6a",="2",="1",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="1",="3",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="31",="1",="1",="6",="0",="12",="30",="0",="0",="10",="166",="27",="25",="3",="5",="6",="0",="1",="3",="4",="1",="1",="1",="1",="1",="0",="6",="4",="0",="11",="6",="5",="9",="0",="5",="7",="16",="5",="1",="9"
="VISl6b",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="1",="30",="2",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="4",="1",="0",="0",="9",="0"
