 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="MOp6a",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="MOs1",="4",="7",="0",="7",="5",="0",="0",="1",="0",="27",="5",="11",="5",="0",="0",="0",="0",="0",="3",="1",="0",="7",="0",="21",="0",="0",="0"
="MOs2/3",="2",="9",="3",="17",="1",="0",="0",="0",="0",="4",="2",="8",="7",="0",="0",="0",="0",="0",="15",="0",="0",="3",="0",="6",="2",="0",="0"
="MOs6a",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0"
="VISam1",="1",="0",="0",="0",="7",="1",="2",="0",="0",="15",="6",="0",="0",="0",="1",="3",="5",="2",="13",="0",="1",="12",="0",="6",="0",="0",="6"
="VISam2/3",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="2",="0",="0",="0",="1",="3",="2",="9",="13",="1",="0",="9",="0",="10",="3",="0",="0"
="VISam6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="14",="25",="32",="18",="1",="104",="8",="0",="40",="18",="34",="24",="40",="35",="36",="16",="3",="23",="15",="9",="41",="16",="33",="79",="22",="41",="54"
="VISp2/3",="10",="11",="43",="21",="0",="21",="20",="0",="10",="5",="20",="6",="19",="14",="16",="13",="1",="15",="10",="3",="0",="10",="29",="13",="6",="4",="2"
="VISp4",="6",="3",="6",="2",="6",="31",="13",="1",="9",="11",="63",="18",="13",="19",="11",="12",="1",="16",="1",="3",="9",="22",="21",="31",="17",="3",="2"
