 ,221057_135,221057_150,221057_155,221364_083,221364_087,221701_055,230011_175,230066_079,230066_084,231685_259,231685_281,233285_119,233379_133,233380_037,233666_171,233668_063,233668_065,233668_073,233668_099,233668_101,233795_002,233795_003,233795_009,233795_012,233795_074,233795_088,221090_095,221091_154,221417_015,221418_129,221479_166,231685_243,231685_255,233379_029,233379_036,233379_097,233379_130,233666_139,233666_204,221090_092,221090_094,221090_099,221091_125,221091_158,221418_135,221418_137,221477_059,221481_137,231687_014,233379_123,233666_201,233667_217,233667_242,233667_256,233667_267,233667_269,221065_081,231687_027,231687_028,233284_183,233667_270,221225_016,231687_023,233666_161,221065_083,221065_086,233667_261
="ENTl2",="5",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="9",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl3",="4",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="6",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTl5",="3",="0",="0",="0",="0",="6",="0",="7",="0",="0",="0",="0",="0",="0",="0",="3",="2",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0"
="ENTm1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm2",="11",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ENTm3",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0"
="ENTm5",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="17",="3",="4",="0",="3",="0",="0",="1",="0",="0",="0"
="VISl1",="2",="9",="15",="0",="0",="14",="0",="7",="13",="16",="0",="4",="1",="6",="0",="21",="0",="2",="0",="0",="7",="1",="2",="5",="0",="9",="2",="1",="3",="0",="0",="47",="24",="0",="0",="0",="2",="5",="4",="3",="10",="2",="0",="0",="1",="6",="1",="0",="4",="0",="20",="0",="0",="16",="0",="20",="13",="0",="0",="5",="0",="0",="0",="0",="0",="0",="4"
="VISl2/3",="4",="6",="36",="1",="0",="5",="0",="3",="7",="8",="23",="10",="2",="1",="0",="16",="0",="0",="4",="0",="11",="9",="6",="10",="0",="14",="0",="0",="0",="3",="8",="4",="11",="0",="0",="0",="3",="34",="10",="3",="0",="0",="0",="0",="1",="7",="1",="7",="3",="0",="2",="0",="1",="9",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl4",="0",="6",="4",="0",="0",="1",="0",="1",="9",="6",="0",="6",="2",="1",="0",="3",="0",="0",="1",="0",="1",="0",="0",="0",="0",="5",="0",="0",="2",="0",="3",="1",="22",="0",="0",="0",="3",="9",="1",="0",="0",="0",="0",="0",="2",="2",="0",="2",="0",="0",="5",="0",="1",="5",="0",="7",="2",="0",="0",="0",="0",="1",="7",="0",="0",="0",="1"
="VISl5",="4",="6",="6",="0",="0",="10",="0",="1",="3",="11",="2",="1",="0",="3",="0",="10",="1",="2",="1",="0",="0",="4",="5",="2",="0",="1",="0",="0",="0",="1",="0",="0",="3",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="1",="3",="1",="6",="3",="7",="4",="0",="2",="10",="12",="1",="0",="1",="3"
="VISp1",="12",="14",="6",="4",="22",="20",="32",="14",="41",="8",="4",="38",="15",="60",="4",="19",="7",="5",="0",="13",="15",="9",="37",="31",="71",="45",="19",="8",="104",="11",="11",="0",="38",="82",="38",="18",="34",="36",="35",="40",="20",="74",="16",="0",="9",="5",="16",="113",="79",="22",="71",="20",="4",="53",="0",="41",="362",="0",="0",="54",="12",="0",="8",="3",="0",="0",="5"
="VISp2/3",="9",="10",="26",="25",="19",="19",="4",="8",="6",="56",="39",="39",="19",="20",="10",="17",="1",="4",="1",="15",="39",="18",="19",="12",="17",="23",="2",="3",="21",="10",="68",="0",="5",="10",="4",="5",="20",="19",="33",="19",="4",="18",="13",="3",="3",="4",="10",="60",="13",="6",="6",="5",="5",="8",="0",="4",="52",="1",="1",="2",="4",="2",="2",="5",="67",="19",="0"
="VISp4",="0",="9",="8",="5",="8",="15",="8",="2",="15",="8",="8",="11",="9",="8",="2",="3",="0",="0",="0",="6",="10",="3",="4",="0",="15",="7",="19",="2",="31",="5",="37",="10",="18",="46",="7",="11",="63",="12",="22",="13",="10",="35",="12",="4",="3",="6",="22",="17",="31",="17",="5",="0",="0",="2",="1",="3",="126",="14",="8",="2",="3",="11",="9",="13",="56",="24",="1"
="VISp5",="1",="1",="7",="5",="16",="7",="19",="3",="13",="33",="9",="8",="8",="9",="1",="5",="4",="1",="0",="11",="27",="5",="12",="2",="21",="24",="16",="12",="11",="9",="7",="8",="4",="3",="1",="1",="17",="13",="21",="28",="14",="51",="26",="5",="21",="26",="13",="48",="33",="12",="15",="6",="11",="8",="18",="12",="192",="23",="17",="2",="34",="38",="61",="37",="36",="59",="7"
="VISpl1",="8",="0",="0",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="15",="7",="0",="0",="1",="0",="0",="0",="0",="1",="15",="0",="0",="0",="28",="16",="0",="0",="0",="11",="4",="0",="0",="37",="8",="0",="1",="0",="0",="3",="0",="0",="7",="11",="0",="11",="0",="10",="0",="0",="0",="0",="1",="42",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1"
="VISpl2/3",="11",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="3",="9",="1",="2",="5",="0",="0",="0",="0",="0",="20",="0",="0",="0",="2",="19",="0",="0",="0",="7",="1",="0",="0",="28",="6",="1",="7",="0",="0",="4",="0",="0",="3",="14",="0",="12",="0",="14",="1",="0",="1",="0",="2",="13",="0",="3",="0",="3",="0",="0",="0",="15",="0",="0"
="VISpl4",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="1",="0",="1",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="1",="0",="0",="0",="0",="1",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="18",="0",="1"
="VISpl5",="13",="0",="0",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="2",="3",="1",="9",="15",="0",="0",="0",="0",="3",="2",="0",="0",="0",="0",="2",="0",="0",="0",="0",="3",="0",="0",="4",="6",="1",="2",="0",="0",="2",="0",="0",="3",="2",="0",="1",="0",="1",="0",="4",="0",="0",="1",="19",="0",="9",="0",="6",="0",="0",="1",="43",="0",="5"
="VISli5",="0",="3",="0",="0",="2",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="2",="5",="9",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="7",="0",="0",="8",="0",="0",="0",="5",="1",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="2",="0",="0",="0",="0",="1"
="VISpor1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="2",="0",="2",="0",="0",="0",="0",="0",="6",="0",="0",="0",="9",="0",="0",="0",="0",="21",="0",="9",="0",="33",="1",="6",="2",="12",="9",="1",="2",="0",="0",="1",="0",="8",="0",="7",="11",="0",="0",="0",="8",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6"
="VISpor2/3",="3",="0",="0",="0",="0",="0",="0",="11",="0",="0",="0",="2",="0",="4",="9",="2",="8",="3",="0",="0",="0",="0",="3",="1",="0",="0",="0",="0",="0",="0",="1",="2",="57",="2",="0",="0",="16",="6",="20",="4",="8",="5",="8",="3",="0",="0",="1",="0",="31",="0",="23",="20",="0",="3",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3"
="VISpor5",="3",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="4",="2",="2",="6",="7",="0",="7",="0",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="8",="0",="10",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="4",="0",="5",="0",="0",="13",="15",="2",="0",="1",="0",="0",="0",="0",="0",="3"
="RSPagl1",="3",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="18",="16",="11",="0",="0",="4",="1",="0",="8",="4",="0",="4",="0",="0",="27",="0",="53",="0",="0",="15",="14",="0",="6",="3",="17",="10",="1",="5",="0",="0",="17",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="RSPagl2/3",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="4",="5",="11",="0",="0",="0",="0",="0",="5",="0",="1",="1",="0",="0",="3",="0",="60",="0",="0",="3",="6",="0",="3",="2",="6",="7",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="RSPagl5",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="9",="0",="0",="0",="0",="7",="0",="0",="0",="1",="0",="3",="1",="2",="5",="1",="1",="2",="0",="1",="0",="5",="0",="4",="0",="0",="0",="0",="0",="0"
