 ,221057_071,221057_090,221057_098,221057_107,221057_155,221057_156,221057_160,221364_052,221364_080,221364_081,221364_082,221364_083,221364_084,221364_085,221364_086,221364_087,221479_168,221479_216,221481_118,221481_256,221481_507,221481_513,221481_538,221701_039,221701_055,221701_057,221701_060,221701_062,221719_052,230066_089,230066_125,231570_009,231570_012,231685_259,231687_007,231687_008,231687_010,231687_016,233379_001,233379_037,233379_049,233379_050,233379_051,233379_052,233379_112,233379_115,233379_122,233379_124,233379_129,233668_076,233668_080,233668_097,233668_130,233668_170,233795_001,233795_072,233795_075,233795_087,233795_124,233795_125,221090_098,221417_015,221418_128,221418_129,221481_198,231686_050,233379_039,233379_040,233379_097,233379_100,233379_102,233379_130,233379_142,233380_036,233380_094,221090_092,221090_094,221090_099,221091_113,221091_141,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221515_017,231687_014,233285_248,233379_123,233667_256,233667_289,231687_017,233284_183,233285_047,212073_012,221225_015,221365_066,221365_067,221365_068,221365_069,221365_072,221365_081,221426_061,231687_001,231687_002,231687_006,231687_012,233285_040,233285_044,233285_246,221536_026,221536_034,221719_054,233285_039,233285_041,233285_045
="SSp-bfd4",="0",="0",="7",="0",="0",="2",="0",="1",="0",="0",="0",="4",="1",="0",="0",="0",="4",="5",="0",="11",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="7",="16",="0",="3",="1",="0",="12",="2",="0",="5",="0",="2",="0",="2",="0",="30",="5",="0",="2",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="3",="0",="2",="0",="0",="1",="0",="10",="2",="0",="1",="7",="1",="0",="0",="0",="0",="0",="0",="12",="12",="2",="0",="0",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="3",="9",="0",="2",="2",="0",="2",="1",="0",="2",="0",="0",="0",="0",="0",="35",="13",="0",="2",="1",="2",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="9",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="0",="0",="3",="2",="1",="0",="3",="2",="0",="0",="2",="0",="4",="0",="0",="1",="0",="11",="0",="0",="0",="3",="0",="0",="1",="3",="6",="0",="0",="6",="3",="0",="0",="0",="10",="0",="0",="0",="1",="0",="0",="3",="0",="6",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="1",="0",="0",="0",="0",="0",="0",="0",="2",="3",="1",="13",="0",="0",="0",="4",="1",="0",="0",="0",="2",="0",="1",="0",="0",="24",="0",="0",="0",="0",="1",="0",="20",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14",="1",="4",="0",="6",="2",="15",="0",="10",="20",="32",="1",="1",="21",="0",="0",="0",="0",="0",="16",="0",="0",="1",="0",="3",="0",="0",="0",="5",="0",="0",="7",="0",="2",="0",="0",="0",="5",="0",="0",="0",="11",="0",="0",="2",="0",="1",="0",="4",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="2",="9",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="17",="0",="0",="6",="1",="0",="4",="0",="0",="0",="0",="0",="0",="0",="2",="2",="0",="2",="4",="1",="1",="0",="0",="1",="13",="0",="0",="0",="3",="0",="5",="0",="0",="0",="0",="0",="0",="7",="1",="0",="0",="0",="0",="6",="14",="15",="0",="3",="6",="0",="0",="1",="0",="2",="2",="1",="0",="13",="5",="2",="13",="11",="0",="1",="8",="1",="6",="0",="12",="1",="0",="6",="0",="0",="18",="16",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="15",="5",="9",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="1",="2",="0",="31",="1",="0",="30",="5",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="6",="0",="1",="3",="2",="5",="0",="0",="11",="7",="0",="0",="0",="1",="0",="2",="3",="0",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="5",="7",="0",="1",="2",="2",="1",="0",="12",="0",="0",="2",="1",="0",="17",="2",="9",="13",="7",="1",="0",="15",="0",="4",="0",="9",="0",="0",="10",="0",="3",="15",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0"
="VISam4",="1",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="2",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="5",="3",="1",="0",="0",="1",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0"
="VISam5",="1",="4",="6",="5",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="2",="0",="2",="0",="0",="2",="0",="0",="8",="11",="0",="1",="0",="0",="0",="0",="0",="2",="0",="5",="3",="4",="3",="2",="0",="2",="0",="0",="0",="0",="0",="3",="2",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="1",="4",="2",="0",="0",="0",="1",="0",="2",="0",="2",="4",="2",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="5",="0",="0",="0",="0",="0",="0",="10",="0",="1",="1",="1",="2",="0",="0",="2",="0",="4",="0"
="VISl1",="7",="0",="0",="0",="15",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="14",="2",="0",="0",="0",="0",="7",="0",="4",="16",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="8",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="3",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="3",="10",="2",="0",="0",="2",="2",="0",="0",="0",="1",="4",="0",="1",="0",="2",="1",="0",="4",="4",="0",="0",="16",="48",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1",="0",="0",="0",="36",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="8",="0",="0",="4",="7",="0",="0",="0",="5",="2",="0",="0",="0",="0",="8",="0",="2",="8",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="25",="2",="4",="0",="0",="0",="0",="0",="23",="0",="2",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="3",="0",="0",="0",="0",="3",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1",="1",="4",="9",="3",="0",="0",="9",="22",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
