 ,221057_071,221057_088,221057_101,221057_102,221057_103,221057_150,221057_151,221057_164,221364_080,221364_081,221364_082,221364_083,221364_087,221477_061,221479_158,221479_168,221479_187,221481_117,221481_230,221481_241,221481_256,221481_507,221481_509,221481_515,221481_522,221481_524,221481_538,221701_035,221701_052,221701_055,221701_057,221701_061,221733_181,230011_174,230011_175,230066_121,230066_125,230066_126,230066_127,230066_128,230080_262,230114_019,231570_005,231570_006,231570_008,231570_011,231570_012,231685_259,231685_281,231687_016,231687_029,233285_119,233379_033,233379_047,233379_048,233379_111,233379_112,233379_113,233379_114,233379_115,233379_116,233379_117,233379_119,233379_121,233379_122,233379_125,233379_127,233379_129,233379_131,233379_132,233379_133,233379_134,233380_037,233380_038,233668_061,233668_063,233668_064,233668_076,233668_080,233668_130,233668_170,233668_253,233795_001,233795_003,233795_009,233795_012,233795_072,233795_073,233795_074,233795_075,233795_085,233795_087,233795_088,233795_089,233795_090,233795_091,233795_092,233795_093,233795_094,233795_095,233795_097,233795_098,233795_099,233795_100,233795_101,233795_102,233795_103,233795_104,233795_106,233795_124,233795_125,221090_095,221091_154,221417_015,221417_018,221417_043,221418_129,221418_139,221477_060,221478_326,221478_349,221479_159,221479_164,221479_166,221479_169,221480_100,221481_198,231685_243,231685_255,231685_273,231685_275,231685_279,231685_285,231686_057,233379_029,233379_032,233379_036,233379_039,233379_097,233379_118,233379_130,233379_136,233379_142,233380_036,233380_093,233666_200,233666_204,233666_218,221090_092,221090_093,221090_094,221090_099,221091_125,221417_017,221418_001,221418_127,221418_135,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221481_137,221515_017,231685_244,231687_014,233666_201,233667_154,233667_297,221065_082,231687_017,231687_027,231687_028,233284_183,221225_016,221226_014,221226_015,221226_023,221365_065,221365_067,221365_069,221365_073,221426_061,231687_001,231687_012,231687_013,233666_222,233667_280,221536_032,221538_015,233281_123,233285_006,233666_207
="SSp-bfd4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="7",="4",="0",="0",="2",="5",="11",="3",="12",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="3",="0",="2",="0",="0",="0",="7",="0",="0",="5",="4",="0",="1",="2",="8",="0",="0",="0",="0",="0",="0",="5",="3",="1",="2",="0",="0",="0",="0",="1",="0",="0",="0",="6",="0",="2",="30",="5",="0",="0",="0",="0",="2",="2",="1",="0",="0",="0",="1",="0",="3",="1",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="1",="4",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="3",="0",="0",="0",="0",="0",="0",="1",="2",="0",="1",="7",="0",="0",="10",="0",="0",="0",="0",="1",="12",="12",="7",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="2",="0",="1",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="2",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="35",="13",="1",="0",="0",="0",="1",="2",="1",="0",="1",="0",="2",="0",="0",="3",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="3",="13",="1",="1",="7",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="3",="2",="0",="1",="0",="4",="0",="6",="1",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0",="1",="1",="0",="0",="0",="15",="0",="0",="5",="3",="0",="2",="33",="10",="0",="3",="4",="1",="4",="2",="0",="0",="0",="0",="0",="0",="5",="9",="3",="0",="0",="0",="0",="6",="2",="2",="4",="0",="1",="0",="0",="0",="11",="0",="15",="0",="3",="7",="2",="0",="0",="5",="0",="2",="0",="0",="0",="7",="0",="2",="0",="3",="8",="2",="2",="5",="1",="1",="6",="3",="0",="0",="3",="0",="0",="5",="0",="0",="5",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="4",="2",="0",="10",="12",="2",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="3",="1",="1",="11",="0",="0",="0",="3",="0",="0",="0",="0",="11",="1",="0",="3",="6",="0",="1",="6",="3",="10",="9",="0",="0",="1",="0",="0",="3",="1",="4",="0",="0",="6",="6",="0",="1",="3",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="1",="6",="3",="5",="4",="1",="0",="16",="2",="3",="1",="13",="4",="0",="14",="1",="4",="3",="0",="1",="0",="2",="3",="3",="18",="11",="1",="4",="2",="0",="24",="19",="5",="0",="0",="1",="1",="11",="1",="0",="2",="0",="2",="0",="0",="10",="20",="10",="2",="0",="1",="1",="36",="4",="3",="1",="14",="7",="1",="1",="1",="3",="1",="11",="4",="19",="19",="6",="0",="0",="8",="4",="2",="3",="0",="1",="2",="2",="15",="10",="20",="15",="32",="5",="3",="5",="1",="3",="1",="1",="2",="21",="0",="0",="23",="18",="2",="18",="5",="2",="1",="0",="9",="2",="1",="4",="8",="0",="0",="0",="0",="2",="1",="0",="1",="0",="16",="0",="3",="0",="2",="1",="5",="0",="3",="0",="0",="0",="0",="0",="1",="1",="35",="0",="0",="0",="0",="1",="3",="0",="0",="0",="5",="0",="0",="0",="4",="4",="7",="0",="0",="2",="0",="3",="0",="5",="11",="4",="0",="2",="0",="1",="0",="4",="0",="4",="0",="0",="5",="2",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="6",="15",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="2",="3",="0",="13",="5",="0",="0",="8",="1",="6",="0",="12",="1",="0",="0",="0",="1",="6",="8",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="1",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="4",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="0",="17",="2",="1",="0",="15",="0",="4",="0",="9",="0",="2",="0",="0",="0",="10",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="3",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="1",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="11",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="7",="1",="0",="0",="1",="0",="2",="0",="2",="4",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="5",="0",="5",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="7",="8",="0",="7",="11",="9",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="2",="3",="0",="1",="0",="6",="4",="0",="8",="14",="14",="2",="0",="2",="0",="0",="4",="7",="2",="9",="15",="7",="0",="1",="3",="2",="4",="4",="16",="0",="0",="2",="4",="0",="4",="5",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="0",="6",="14",="7",="21",="1",="8",="0",="0",="0",="0",="0",="1",="2",="5",="0",="1",="0",="0",="3",="2",="9",="2",="3",="0",="2",="9",="22",="2",="5",="1",="6",="7",="0",="27",="3",="0",="0",="0",="0",="2",="1",="3",="1",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="47",="24",="3",="21",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="9",="2",="4",="35",="3",="2",="10",="2",="0",="6",="2",="2",="1",="6",="0",="1",="0",="2",="1",="0",="13",="0",="4",="5",="4",="20",="0",="4",="7",="0",="0",="0",="5",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0"
="VISl2/3",="1",="12",="0",="24",="13",="6",="14",="0",="0",="2",="0",="1",="0",="0",="8",="8",="10",="0",="2",="7",="4",="7",="7",="1",="10",="29",="0",="14",="45",="5",="2",="0",="4",="0",="0",="2",="8",="14",="4",="8",="22",="0",="6",="6",="1",="3",="2",="8",="23",="0",="2",="10",="7",="2",="6",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="4",="0",="2",="0",="1",="22",="8",="16",="1",="25",="2",="0",="0",="0",="0",="9",="6",="10",="0",="3",="0",="0",="3",="23",="14",="10",="17",="0",="26",="20",="24",="16",="13",="0",="2",="9",="0",="16",="3",="3",="0",="0",="2",="0",="0",="0",="2",="0",="3",="0",="2",="14",="0",="3",="5",="8",="1",="0",="0",="4",="11",="2",="7",="5",="3",="0",="0",="0",="0",="0",="0",="0",="3",="4",="0",="2",="2",="9",="10",="4",="3",="0",="0",="0",="0",="9",="3",="1",="1",="7",="0",="0",="0",="1",="1",="4",="6",="7",="9",="2",="3",="2",="0",="5",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
