 ,221057_071,221057_088,221057_090,221057_098,221057_102,221057_103,221057_107,221057_152,221057_155,221057_156,221364_052,221364_081,221364_085,221364_087,221479_216,221479_226,221481_118,221481_507,221481_513,221701_034,221701_035,221701_039,221701_048,221701_052,221701_055,221701_056,221701_060,221701_062,221727_015,230066_079,230066_083,230066_087,230066_089,230066_121,230066_122,230066_125,230066_127,231570_012,231685_259,231687_008,231687_016,233379_001,233379_049,233379_050,233379_051,233379_052,233379_112,233379_114,233379_115,233379_122,233379_124,233379_129,233668_057,233668_075,233668_076,233668_097,233668_130,233668_170,233795_001,233795_011,233795_073,233795_075,233795_090,233795_125,221090_095,221090_098,221417_015,221417_016,221418_128,221418_129,221418_139,221478_278,221480_100,221702_004,231685_255,231685_274,231685_275,231685_286,233379_031,233379_036,233379_039,233379_040,233379_097,233379_100,233379_102,233379_103,233379_107,233379_109,233379_130,233379_142,233380_036,233380_092,233380_094,233666_218,221090_092,221090_094,221090_099,221091_113,221091_125,221091_141,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221515_017,231685_244,231687_014,233285_248,233379_123,233666_168,233666_201,233667_256,233667_269,233667_289,221091_171,231687_017,233284_183,233285_047,212073_012,221225_015,221226_023,221365_066,221365_067,221365_072,221365_073,231687_002,231687_012,233285_008,233285_040,233285_044,233285_246,233666_192,233666_214,233666_215,233666_222,233666_225,221515_016,221536_029,221719_054,233281_086,233281_096,233285_039,233285_041,233285_048
="SSp-bfd4",="0",="0",="0",="7",="0",="0",="0",="0",="0",="2",="1",="0",="0",="0",="5",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="16",="3",="1",="0",="12",="2",="0",="0",="5",="0",="2",="0",="0",="0",="0",="30",="5",="0",="0",="1",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="3",="0",="0",="2",="0",="0",="0",="0",="0",="1",="10",="0",="0",="0",="0",="0",="0",="12",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="9",="2",="2",="0",="2",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="35",="13",="0",="0",="1",="1",="3",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="3",="2",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="5",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="1",="2",="9",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="2",="0",="6",="0",="5",="0",="10",="0",="2",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="11",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="11",="1",="3",="6",="0",="0",="0",="6",="3",="0",="0",="0",="10",="0",="0",="0",="1",="0",="0",="3",="1",="0",="0",="0",="6",="0",="0",="0",="6",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="1",="6",="0",="0",="5",="4",="0",="0",="0",="0",="0",="3",="0",="4",="0",="0",="0",="2",="0",="0",="4",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="1",="20",="10",="0",="0",="0",="0",="0",="0",="0",="14",="1",="1",="4",="0",="6",="0",="0",="2",="0",="10",="20",="32",="0",="3",="1",="23",="0",="2",="0",="0",="0",="0",="16",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="4",="7",="0",="2",="0",="0",="0",="0",="5",="0",="0",="0",="11",="0",="0",="2",="0",="1",="0",="4",="0",="0",="0",="0",="5",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="1",="2",="9",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="17",="0",="0",="0",="1",="6",="1",="0",="3",="0",="0",="4",="1",="0",="0",="0",="0",="0",="0",="2",="2",="2",="4",="1",="1",="0",="0",="0",="1",="13",="0",="0",="1",="0",="3",="0",="5",="0",="1",="0",="0",="0",="0",="0",="7",="1",="0",="0",="0",="2",="4",="0",="0",="5",="0",="0",="0",="0",="0",="6",="14",="15",="0",="3",="0",="4",="19",="6",="0",="0",="3",="1",="0",="0",="2",="2",="1",="3",="0",="13",="5",="2",="13",="11",="0",="1",="8",="1",="6",="0",="12",="1",="0",="15",="0",="1",="6",="0",="0",="0",="8",="18",="0",="16",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="5",="15",="5",="0",="0",="9",="0",="0",="1",="0",="0",="0",="1",="1",="0",="0",="1",="2",="1",="0",="31",="0",="1",="1",="0",="30",="5",="1",="3",="0",="0",="6",="1",="0",="1",="1",="0",="0",="0",="0",="6",="1",="3",="2",="5",="0",="0",="0",="11",="7",="0",="0",="3",="0",="1",="0",="2",="3",="7",="0",="0",="0",="0",="0",="0",="1",="0",="0",="4",="2",="5",="0",="0",="2",="0",="0",="1",="0",="0",="5",="7",="0",="1",="2",="1",="0",="7",="2",="1",="0",="0",="12",="0",="0",="0",="2",="1",="3",="0",="17",="2",="9",="13",="7",="1",="0",="15",="0",="4",="0",="9",="0",="2",="4",="0",="0",="10",="0",="3",="1",="4",="15",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0"
="VISam4",="1",="2",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="5",="3",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="3",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="3",="1"
="VISam5",="1",="5",="4",="6",="0",="0",="5",="0",="0",="0",="1",="0",="0",="0",="5",="0",="0",="0",="2",="0",="1",="2",="5",="3",="0",="0",="2",="0",="0",="2",="1",="1",="8",="0",="2",="11",="2",="1",="0",="0",="0",="2",="5",="3",="4",="3",="2",="0",="0",="2",="0",="0",="0",="5",="0",="0",="3",="2",="0",="6",="0",="1",="3",="0",="0",="1",="0",="1",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="7",="1",="4",="2",="0",="0",="0",="1",="0",="2",="0",="2",="4",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="5",="0",="5",="10",="1",="1",="1",="1",="2",="0",="0",="0",="0",="0",="0",="1",="2",="1",="1",="0",="4",="1"
="VISl1",="7",="8",="0",="0",="7",="11",="0",="0",="15",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="8",="0",="0",="14",="14",="0",="0",="0",="10",="7",="0",="0",="0",="4",="0",="7",="9",="4",="16",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="8",="8",="0",="0",="0",="0",="3",="1",="0",="3",="0",="2",="0",="3",="0",="0",="0",="0",="0",="2",="0",="24",="18",="21",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="35",="3",="10",="2",="0",="0",="0",="2",="2",="0",="0",="0",="1",="4",="0",="1",="0",="2",="1",="0",="13",="0",="4",="5",="4",="0",="0",="0",="20",="16",="20",="48",="1",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1",="12",="0",="0",="24",="13",="0",="0",="36",="0",="0",="2",="0",="0",="0",="21",="0",="7",="0",="0",="14",="0",="0",="45",="5",="0",="0",="0",="29",="3",="0",="0",="0",="2",="0",="8",="4",="2",="8",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="4",="25",="4",="0",="0",="0",="3",="3",="0",="17",="2",="0",="0",="0",="1",="0",="3",="0",="0",="0",="0",="11",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="0",="4",="3",="0",="0",="0",="0",="0",="3",="1",="0",="0",="0",="1",="0",="0",="0",="0",="1",="1",="4",="6",="0",="9",="2",="3",="0",="0",="0",="2",="9",="4",="22",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
