 ,221057_071,221057_098,221057_099,221057_102,221057_103,221057_120,221057_123,221057_130,221057_131,221057_135,221057_137,221057_150,221057_151,221057_153,221057_155,221057_167,221364_083,221364_087,221481_256,221481_257,221481_258,221481_522,221481_524,221701_041,221701_047,221701_052,221701_055,221701_060,221727_015,230011_174,230011_175,230066_079,230066_126,231570_012,231685_259,231685_281,233285_119,233379_133,233380_037,233668_057,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_073,233668_075,233668_080,233668_095,233668_099,233668_101,233668_102,233668_170,233795_002,233795_003,233795_008,233795_009,233795_011,233795_012,233795_013,233795_085,233795_087,233795_088,233795_089,233795_090,233795_092,233795_093,233795_094,233795_095,233795_097,233795_098,233795_102,221090_095,221091_154,221417_015,221417_019,221417_043,221418_129,221478_326,221479_166,221480_100,221481_254,221702_004,231685_243,231685_274,231685_286,231686_057,233379_029,233379_031,233379_036,233379_097,233379_130,233380_036,233666_139,233666_190,233666_200,233666_204,233666_218,221090_092,221090_094,221090_099,221091_125,221091_158,221417_017,221418_127,221418_135,221418_137,221477_058,221477_059,221479_185,221479_236,221481_137,221515_017,231687_014,233379_123,233666_201,233667_154,233667_217,233667_256,233667_257,233667_269,233667_289,233667_297,221065_081,221065_082,231687_027,233284_183,233667_270,221225_016,221365_067,233666_161,233666_182,233666_196,233666_198,233666_203,233666_225,233667_165,233667_178,233667_259,233667_272,221065_086,233667_261
="SSp-bfd4",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="11",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="2",="0",="0",="0",="0",="5",="0",="0",="5",="0",="0",="2",="0",="0",="1",="0",="3",="1",="0",="4",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="12",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="13",="0",="0",="2",="0",="0",="1",="0",="0",="2",="0",="0",="3",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="3",="1",="0",="0",="15",="0",="0",="0",="3",="0",="0",="0",="0",="3",="0",="4",="9",="3",="0",="0",="5",="2",="0",="0",="0",="0",="0",="7",="0",="0",="0",="0",="2",="0",="0",="0",="0",="3",="0",="2",="0",="5",="0",="1",="0",="0",="3",="0",="0",="5",="0",="5",="1",="0",="0",="0",="0",="10",="12",="2",="0",="1",="4",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="11",="0",="0",="0",="0",="0",="0",="11",="1",="3",="6",="0",="0",="1",="3",="10",="9",="0",="0",="1",="0",="4",="0",="6",="0",="6",="0",="0",="0",="0",="0",="0",="1",="0",="3",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="1",="0",="0",="5",="4",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="13",="4",="0",="0",="0",="18",="11",="0",="0",="2",="0",="0",="0",="0",="0",="0",="11",="20",="10",="2",="1",="8",="2",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="15",="0",="0",="0",="0",="20",="0",="5",="0",="3",="0",="5",="0",="2",="21",="0",="0",="23",="2",="18",="5",="2",="1",="0",="4",="2",="1",="0",="0",="0",="16",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="4",="4",="7",="0",="2",="0",="0",="3",="5",="11",="4",="1",="0",="0",="0",="4",="0",="5",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="15",="6",="0",="0",="0",="0",="0",="0",="0",="2",="2",="3",="0",="0",="5",="0",="0",="0",="12",="0",="15",="0",="0",="6",="0",="8",="0",="0",="18",="0",="0",="16",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="1",="30",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="2",="3",="0",="0",="2",="1",="0",="0",="9",="2",="4",="0",="0",="10",="3",="4",="0",="0",="15",="0",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="1",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="7",="0",="0",="7",="11",="10",="4",="6",="0",="2",="0",="9",="1",="15",="15",="2",="0",="0",="3",="0",="0",="6",="4",="24",="0",="14",="14",="0",="10",="0",="0",="7",="2",="4",="16",="0",="4",="1",="6",="0",="0",="7",="0",="21",="1",="0",="2",="2",="8",="0",="4",="0",="0",="0",="0",="7",="1",="3",="2",="3",="5",="4",="3",="2",="9",="2",="3",="2",="9",="22",="2",="5",="1",="27",="2",="1",="3",="0",="2",="0",="1",="0",="2",="8",="0",="47",="18",="0",="0",="0",="0",="0",="0",="2",="0",="5",="0",="2",="4",="35",="3",="10",="2",="0",="0",="6",="2",="1",="6",="2",="1",="13",="0",="0",="4",="4",="0",="20",="0",="0",="16",="28",="20",="48",="4",="13",="7",="0",="5",="0",="0",="0",="0",="0",="24",="0",="0",="0",="0",="0",="0",="0",="0",="4"
="VISl2/3",="1",="0",="0",="24",="13",="25",="8",="22",="1",="4",="1",="6",="14",="8",="36",="18",="1",="0",="4",="4",="17",="10",="29",="9",="0",="45",="5",="0",="29",="0",="0",="3",="14",="2",="8",="23",="10",="2",="1",="0",="1",="8",="0",="16",="1",="0",="0",="0",="4",="2",="4",="4",="0",="9",="0",="11",="9",="4",="6",="3",="10",="3",="3",="23",="14",="10",="17",="26",="20",="24",="16",="13",="0",="16",="0",="0",="0",="0",="0",="3",="14",="8",="0",="18",="0",="4",="1",="0",="0",="0",="0",="0",="0",="3",="2",="34",="1",="9",="10",="4",="3",="0",="0",="0",="0",="9",="1",="1",="7",="1",="1",="6",="0",="7",="9",="3",="0",="2",="0",="0",="9",="21",="4",="22",="5",="0",="4",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0"
