 ,221057_099,221057_123,221057_132,221057_133,221057_135,221057_137,221057_139,221057_149,221057_167,221481_241,221481_257,221481_258,221701_039,221701_041,221701_054,221701_060,221702_003,221733_181,230066_078,230066_079,230066_081,230066_082,230066_083,230066_084,230066_087,230066_121,230066_124,230066_125,233380_037,233666_171,233668_046,233668_056,233668_057,233668_058,233668_059,233668_061,233668_062,233668_063,233668_064,233668_065,233668_071,233668_072,233668_073,233668_075,233668_076,233668_096,233668_097,233668_100,233668_102,233668_103,233795_008,233795_009,233795_011,233795_012,233795_013,233795_044,233795_090,233795_098,233795_100,221090_098,221091_154,221417_015,221417_016,221417_043,221418_139,221478_278,221479_163,221479_164,221480_100,221481_237,221481_254,231685_255,231685_273,231685_274,231685_275,231685_279,231685_284,231685_286,231685_291,231686_057,233379_029,233379_030,233379_031,233379_040,233379_107,233379_109,233379_130,233380_036,233380_093,233666_139,233666_204,221090_092,221090_093,221091_113,221091_125,221091_141,221417_017,221418_131,221418_132,221418_136,221418_137,221418_138,221477_058,221477_059,221479_185,221479_236,231687_014,233666_049,233666_201,233667_154,233667_217,233667_242,233667_255,233667_256,233667_257,233667_267,233667_269,233667_289,233667_290,221065_081,221065_082,221091_171,231687_028,233667_270,233668_104,221365_065,233666_146,233666_149,233666_152,233666_161,233666_183,233666_189,233666_193,233666_196,233666_197,233666_202,233667_132,233667_156,233667_158,233667_165,233667_175,233667_179,233667_185,233667_232,233667_233,233667_234,233667_235,233667_237,233667_238,233667_239,233667_259,233667_262,233667_263,233667_264,233667_265,233667_272,233667_279,233667_280,233667_282,233667_292,221065_083,221065_084,221065_085,221517_009,221517_010,233281_120,233667_182,233667_231,233667_260,233667_261
="VISl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="5",="0",="0",="0",="3",="0",="4",="1",="2",="0",="11",="0",="0",="5",="8",="0",="0",="0",="1",="0",="9",="1",="0",="0",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="1",="0",="1",="0",="0",="1",="2",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="VISl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="0",="0",="1",="4",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="19",="2",="68",="17",="12",="15",="1",="19",="8",="6",="19",="43",="9",="18",="28",="28",="26",="21",="52",="14",="65",="60",="36",="41",="12",="29",="28",="34",="60",="4",="4",="2",="6",="0",="11",="6",="10",="19",="3",="7",="12",="1",="5",="32",="22",="26",="2",="33",="23",="5",="18",="37",="31",="31",="22",="30",="8",="21",="20",="1",="8",="104",="65",="47",="8",="87",="82",="75",="49",="94",="105",="38",="35",="119",="53",="9",="1",="7",="56",="1",="82",="40",="89",="2",="6",="2",="34",="67",="49",="36",="35",="40",="35",="36",="16",="34",="78",="23",="15",="7",="5",="10",="40",="16",="38",="165",="79",="5",="71",="5",="20",="4",="16",="53",="50",="0",="41",="41",="2",="362",="74",="12",="0",="12",="2",="0",="7",="3",="4",="3",="6",="7",="1",="11",="12",="13",="8",="1",="7",="1",="0",="3",="2",="0",="6",="0",="0",="2",="2",="4",="6",="1",="3",="1",="0",="3",="0",="10",="3",="9",="0",="0",="0",="0",="0",="0",="9",="0",="8",="5"
="VISp2/3",="20",="2",="66",="37",="9",="5",="3",="10",="35",="20",="59",="52",="42",="40",="46",="52",="17",="16",="10",="8",="102",="16",="8",="6",="3",="15",="13",="25",="20",="10",="19",="11",="7",="1",="7",="7",="9",="17",="2",="1",="6",="5",="4",="11",="41",="56",="15",="12",="70",="1",="25",="19",="10",="12",="5",="10",="29",="2",="32",="0",="3",="21",="18",="40",="20",="43",="41",="64",="10",="18",="61",="5",="1",="18",="15",="0",="13",="0",="10",="0",="10",="10",="32",="1",="3",="2",="20",="6",="26",="19",="33",="19",="14",="16",="13",="16",="54",="15",="10",="0",="4",="2",="6",="10",="3",="21",="13",="1",="6",="2",="5",="5",="0",="8",="28",="0",="4",="5",="0",="52",="198",="22",="1",="4",="5",="0",="0",="0",="1",="5",="2",="0",="0",="0",="2",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="1",="0",="0",="0",="0",="0",="0",="0",="1",="3",="67",="19",="9",="0",="0",="0",="0",="0",="0",="0"
="VISp4",="23",="1",="9",="24",="0",="13",="1",="6",="1",="0",="3",="15",="10",="18",="20",="10",="7",="13",="21",="2",="4",="17",="22",="15",="5",="5",="27",="15",="8",="2",="2",="2",="2",="0",="0",="0",="1",="3",="1",="0",="8",="0",="0",="3",="5",="3",="7",="1",="8",="3",="7",="4",="0",="0",="6",="5",="9",="24",="24",="6",="2",="31",="28",="4",="13",="29",="29",="12",="31",="61",="20",="18",="20",="33",="38",="14",="2",="6",="45",="3",="46",="9",="14",="15",="18",="4",="63",="40",="36",="12",="22",="13",="19",="11",="12",="4",="11",="16",="1",="0",="6",="8",="8",="22",="10",="56",="31",="3",="5",="6",="0",="0",="2",="2",="3",="1",="3",="0",="1",="126",="99",="5",="8",="3",="2",="0",="11",="3",="3",="13",="4",="1",="0",="2",="2",="3",="5",="0",="8",="0",="2",="8",="0",="1",="1",="0",="0",="0",="1",="0",="0",="2",="0",="4",="1",="12",="2",="2",="6",="8",="56",="115",="102",="2",="1",="5",="6",="3",="1",="1"
="VISp5",="14",="5",="22",="18",="1",="10",="9",="12",="4",="15",="2",="10",="20",="23",="4",="16",="1",="11",="9",="3",="3",="13",="14",="13",="13",="10",="25",="47",="9",="1",="13",="0",="8",="0",="8",="5",="4",="5",="7",="4",="24",="2",="1",="24",="14",="17",="1",="21",="6",="20",="11",="12",="5",="2",="16",="14",="20",="18",="30",="4",="12",="11",="5",="5",="33",="15",="36",="8",="25",="19",="32",="4",="5",="8",="13",="4",="13",="10",="14",="0",="3",="1",="0",="2",="3",="0",="17",="2",="2",="13",="21",="28",="35",="13",="26",="13",="11",="48",="8",="1",="26",="12",="10",="13",="9",="79",="33",="8",="15",="44",="6",="11",="5",="8",="17",="18",="12",="3",="20",="192",="24",="10",="17",="34",="15",="10",="9",="17",="65",="37",="25",="24",="17",="36",="20",="28",="27",="29",="27",="19",="28",="21",="12",="26",="16",="7",="5",="3",="18",="7",="7",="14",="6",="32",="12",="20",="11",="16",="20",="8",="36",="34",="71",="6",="1",="7",="24",="16",="14",="7"
="VISp6a",="2",="0",="2",="1",="0",="1",="0",="0",="0",="0",="0",="0",="2",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="3",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="0",="2",="0",="0",="0",="1",="2",="0",="0",="2",="0",="0",="1",="0",="1",="5",="0",="0",="1",="0",="0",="3",="1",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="3",="7",="0",="1",="1",="1",="8",="2",="0",="2",="1",="3",="0",="1",="0",="3",="0",="2",="36",="1",="5",="4",="1",="9",="7",="2",="1",="7",="198",="25",="3",="21",="26",="5",="3",="4",="11",="6",="12",="6",="5",="1",="5",="7",="4",="0",="1",="2",="3",="2",="2",="8",="1",="2",="0",="0",="1",="0",="1",="4",="1",="0",="1",="0",="4",="4",="7",="2",="4",="109",="38",="34",="2",="1",="10",="1",="6",="1",="1"
="VISp6b",="1",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="1",="0",="55",="2",="0",="11",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="3",="0",="0",="0",="8",="1",="2",="0",="1",="0",="0",="0",="0",="0"
="VISpl2/3",="4",="1",="0",="14",="11",="8",="4",="17",="1",="0",="0",="7",="0",="0",="1",="0",="1",="0",="0",="1",="47",="0",="2",="2",="0",="0",="0",="1",="3",="9",="0",="4",="4",="0",="0",="9",="22",="1",="1",="2",="2",="4",="5",="4",="2",="0",="0",="1",="0",="0",="0",="0",="6",="20",="12",="0",="0",="1",="0",="0",="2",="19",="2",="0",="9",="14",="3",="5",="5",="5",="3",="7",="9",="3",="1",="2",="16",="9",="0",="0",="1",="1",="0",="12",="5",="1",="28",="14",="11",="6",="1",="7",="4",="48",="4",="1",="0",="2",="7",="2",="3",="6",="10",="14",="11",="0",="12",="7",="14",="0",="1",="0",="2",="1",="2",="0",="2",="1",="0",="13",="0",="5",="3",="3",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="15",="11",="1",="2",="0",="0",="0",="0",="0",="0"
="VISpl4",="0",="0",="0",="1",="2",="6",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="2",="1",="0",="0",="2",="6",="0",="0",="1",="0",="4",="1",="1",="1",="0",="0",="0",="0",="0",="0",="1",="1",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="1",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="2",="0",="0",="2",="4",="1",="1",="0",="0",="0",="5",="1",="0",="0",="0",="0",="0",="1",="1",="3",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="18",="2",="1",="1",="0",="0",="0",="0",="0",="1"
