 ,221057_071,221057_088,221057_090,221057_098,221057_099,221057_101,221057_102,221057_103,221057_107,221057_132,221057_133,221057_139,221057_149,221057_152,221057_153,221057_154,221057_155,221057_156,221057_157,221057_160,221057_163,221057_164,221364_052,221364_080,221364_081,221364_085,221364_087,221479_216,221479_217,221479_221,221479_226,221481_118,221481_507,221481_513,221481_524,221701_034,221701_035,221701_036,221701_039,221701_040,221701_046,221701_048,221701_049,221701_050,221701_052,221701_054,221701_055,221701_056,221701_057,221701_060,221701_061,221701_062,221719_052,221727_015,230066_083,230066_085,230066_087,230066_089,230066_120,230066_121,230066_122,230066_124,230066_125,230066_126,230066_127,230066_128,230080_262,231570_005,231570_008,231570_009,231570_012,231685_259,231687_008,233285_119,233379_001,233379_037,233379_049,233379_050,233379_051,233379_052,233379_112,233379_122,233379_124,233379_128,233379_129,233380_038,233668_053,233668_057,233668_075,233668_076,233668_080,233668_095,233668_096,233668_097,233668_100,233668_101,233668_102,233668_103,233668_130,233668_170,233795_001,233795_002,233795_008,233795_011,233795_073,233795_075,233795_090,233795_124,233795_125,221090_095,221090_097,221090_098,221090_102,221091_154,221417_015,221417_016,221417_043,221418_128,221418_129,221418_139,221478_278,221479_163,221480_100,221481_197,221481_237,221702_004,231685_243,231685_255,231685_273,231685_274,231685_275,231685_286,231685_291,233379_031,233379_036,233379_039,233379_040,233379_097,233379_100,233379_101,233379_102,233379_103,233379_104,233379_107,233379_109,233379_130,233379_142,233380_036,233380_092,233380_094,233666_139,233666_204,233666_218,221090_092,221090_094,221090_099,221091_113,221091_125,221091_141,221417_017,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221481_137,221515_017,231685_230,231685_244,231687_014,233285_248,233379_123,233666_049,233666_168,233666_201,233667_154,233667_217,233667_255,233667_256,233667_257,233667_269,233667_289,221065_082,221091_171,231687_017,233284_183,233285_047,212073_012,221226_023,221365_066,221365_067,221365_072,221365_073,231687_002,231687_012,233284_185,233285_008,233285_040,233285_044,233285_245,233285_246,233666_005,233666_048,233666_052,233666_126,233666_128,233666_192,233666_206,233666_214,233666_215,233666_219,233666_222,233666_225,233667_130,233667_131,233667_132,233667_171,233667_175,233795_007,221515_016,221515_021,221536_029,221701_051,233281_086,233281_093,233281_095,233281_096,233284_181,233284_182,233284_184,233285_029,233285_031,233285_039,233285_041,233285_045,233285_048,233666_050
="SSp-bfd4",="0",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="5",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="16",="0",="3",="1",="0",="12",="2",="5",="0",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="30",="5",="0",="0",="5",="0",="1",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="3",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="10",="2",="0",="0",="0",="0",="0",="0",="0",="0",="12",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="2",="2",="0",="2",="1",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="35",="13",="0",="0",="2",="0",="1",="1",="3",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="3",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="0",="33",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="1",="4",="2",="0",="0",="0",="0",="0",="9",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="6",="0",="5",="2",="0",="10",="0",="0",="0",="12",="2",="0",="1",="0",="4",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="11",="1",="3",="6",="0",="0",="0",="1",="6",="3",="0",="0",="0",="10",="0",="9",="0",="0",="1",="0",="0",="3",="1",="0",="4",="0",="0",="0",="6",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="1",="6",="0",="0",="0",="3",="5",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="16",="0",="2",="3",="0",="4",="0",="0",="0",="0",="0",="2",="0",="11",="0",="4",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="24",="0",="19",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="11",="1",="0",="2",="2",="0",="0",="20",="10",="0",="1",="0",="0",="0",="0",="0",="0",="14",="4",="0",="0",="6",="3",="0",="0",="0",="2",="15",="0",="0",="0",="0",="0",="0",="0",="10",="20",="32",="0",="0",="0",="3",="1",="23",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="16",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="1",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="4",="4",="7",="0",="2",="0",="0",="0",="3",="0",="5",="0",="0",="0",="11",="0",="4",="0",="2",="0",="1",="0",="4",="0",="0",="4",="0",="0",="0",="5",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="1",="2",="9",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="17",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="6",="0",="1",="0",="0",="0",="0",="0",="4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="2",="4",="1",="1",="0",="1",="13",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="5",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="1",="0",="0",="0",="0",="2",="4",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="6",="14",="15",="0",="0",="3",="0",="0",="4",="19",="6",="0",="0",="3",="1",="0",="0",="0",="0",="2",="2",="1",="3",="0",="0",="13",="5",="2",="13",="11",="0",="1",="0",="8",="1",="6",="0",="12",="1",="0",="15",="0",="0",="0",="1",="6",="0",="0",="0",="0",="8",="0",="0",="0",="18",="0",="0",="16",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="5",="15",="5",="0",="0",="0",="0",="9",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="1",="2",="0",="1",="0",="0",="31",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="30",="0",="5",="0",="1",="0",="0",="0",="6",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="1",="3",="2",="5",="0",="11",="7",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="3",="0",="0",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="4",="2",="5",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="0",="5",="7",="0",="1",="0",="2",="1",="0",="0",="7",="2",="1",="0",="0",="12",="0",="0",="0",="0",="0",="2",="1",="3",="0",="0",="17",="2",="9",="13",="7",="1",="0",="0",="15",="0",="4",="0",="9",="0",="2",="4",="0",="0",="0",="0",="10",="0",="3",="0",="1",="4",="0",="0",="0",="15",="0",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0"
="VISam4",="1",="2",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="3",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="5",="3",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0"
="VISam5",="1",="5",="4",="6",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="2",="0",="0",="1",="0",="2",="0",="0",="5",="0",="0",="3",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="1",="8",="0",="0",="2",="0",="11",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="2",="0",="5",="3",="4",="3",="2",="2",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="6",="0",="1",="3",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="7",="1",="4",="2",="0",="0",="0",="0",="1",="0",="2",="0",="2",="4",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="1",="0",="5",="0",="5",="10",="1",="0",="1",="1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="4",="0",="1",="0"
="VISl1",="7",="8",="0",="0",="0",="0",="7",="11",="0",="0",="4",="4",="0",="0",="15",="0",="15",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="4",="0",="8",="0",="0",="0",="0",="0",="0",="0",="14",="0",="14",="0",="2",="0",="0",="0",="0",="10",="0",="0",="0",="0",="0",="4",="0",="0",="7",="2",="9",="15",="7",="1",="2",="0",="4",="16",="0",="4",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="14",="0",="0",="8",="8",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="3",="3",="1",="0",="3",="0",="0",="2",="0",="0",="0",="1",="3",="0",="2",="0",="0",="0",="0",="1",="2",="0",="0",="0",="47",="24",="3",="18",="21",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="5",="4",="35",="3",="10",="2",="0",="0",="0",="6",="2",="2",="0",="0",="0",="1",="4",="6",="0",="1",="0",="2",="1",="0",="13",="0",="0",="4",="0",="5",="4",="0",="0",="0",="0",="20",="0",="0",="1",="16",="28",="20",="48",="7",="1",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1",="12",="0",="0",="0",="0",="24",="13",="0",="0",="12",="12",="0",="0",="8",="0",="36",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="21",="0",="7",="0",="29",="0",="14",="0",="0",="0",="0",="0",="0",="0",="45",="0",="5",="0",="2",="0",="0",="0",="0",="29",="0",="0",="0",="0",="0",="2",="0",="0",="8",="14",="4",="8",="22",="6",="1",="0",="2",="8",="0",="10",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="22",="0",="0",="4",="25",="2",="4",="0",="4",="0",="0",="9",="0",="0",="0",="0",="11",="4",="3",="3",="0",="17",="0",="2",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="4",="11",="2",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="2",="0",="0",="34",="10",="4",="3",="0",="0",="0",="0",="0",="9",="3",="1",="0",="0",="0",="1",="0",="7",="0",="0",="0",="1",="1",="4",="6",="0",="7",="9",="0",="2",="3",="0",="0",="0",="0",="2",="0",="0",="0",="9",="21",="4",="22",="4",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
