 ,221057_099,221057_123,221057_131,221057_133,221057_135,221057_137,221057_150,221057_160,221057_167,221481_257,221481_258,221701_039,221701_041,221701_047,221701_060,221701_061,221702_003,221733_181,230066_079,230066_083,230066_084,230066_087,230066_121,230066_124,231685_259,233285_119,233380_037,233666_171,233668_056,233668_059,233668_061,233668_062,233668_063,233668_065,233668_072,233668_073,233668_099,233668_101,233795_008,233795_009,233795_011,233795_012,233795_013,233795_087,233795_090,233795_097,233795_098,233795_100,233795_102,221090_098,221091_154,221417_018,221417_019,221417_043,221418_139,221478_326,221479_163,221479_166,221480_100,221481_254,231685_243,231685_255,231685_273,231685_274,231685_286,233379_029,233379_031,233379_036,233379_040,233379_109,233379_130,233380_093,233666_139,233666_190,233666_204,221090_092,221090_093,221090_094,221090_099,221091_125,221091_158,221417_017,221418_132,221418_137,221418_138,221477_058,221477_059,221479_236,231687_014,233379_123,233666_201,233667_154,233667_217,233667_242,233667_256,233667_257,233667_267,233667_269,233667_289,221065_081,221065_082,221091_171,231687_027,231687_028,233667_270,221365_065,231687_023,233666_161,233666_182,233666_183,233666_193,233666_196,233666_197,233666_202,233666_203,233667_132,233667_165,233667_259,233667_264,233667_272,233667_279,221065_083,221065_084,233667_261
="VISl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="5",="0",="0",="3",="0",="4",="1",="2",="11",="0",="0",="12",="5",="8",="0",="2",="9",="1",="1",="0",="4",="0",="1",="0",="0",="0",="2",="1",="0",="1",="0",="0",="0"
="VISl6b",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="10",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="19",="2",="15",="17",="12",="15",="14",="3",="8",="19",="43",="9",="18",="16",="28",="17",="26",="21",="14",="36",="41",="12",="29",="28",="8",="38",="60",="4",="2",="11",="6",="10",="19",="7",="1",="5",="0",="13",="18",="37",="31",="31",="22",="14",="8",="21",="21",="20",="24",="1",="8",="47",="28",="47",="8",="24",="82",="11",="49",="105",="0",="38",="35",="119",="7",="82",="89",="38",="2",="2",="34",="49",="36",="58",="35",="40",="35",="20",="74",="16",="0",="78",="15",="5",="10",="40",="16",="165",="79",="22",="71",="5",="20",="4",="53",="50",="0",="41",="41",="362",="74",="12",="0",="0",="12",="0",="8",="3",="3",="6",="1",="11",="12",="13",="13",="8",="1",="6",="1",="3",="0",="0",="0",="5"
="VISp2/3",="20",="2",="36",="37",="9",="5",="10",="18",="35",="59",="52",="42",="40",="27",="52",="33",="17",="16",="8",="8",="6",="3",="15",="13",="56",="39",="20",="10",="11",="7",="7",="9",="17",="1",="5",="4",="1",="15",="25",="19",="10",="12",="5",="54",="29",="27",="2",="32",="22",="0",="3",="63",="41",="40",="20",="57",="41",="68",="10",="61",="0",="5",="1",="18",="0",="10",="32",="4",="1",="2",="20",="26",="19",="58",="33",="19",="14",="4",="18",="13",="3",="54",="10",="4",="2",="6",="10",="21",="13",="6",="6",="2",="5",="5",="8",="28",="0",="4",="5",="52",="198",="22",="1",="1",="4",="0",="2",="5",="5",="2",="0",="0",="2",="1",="2",="0",="0",="1",="0",="0",="0",="67",="19",="0"
="VISp4",="23",="1",="27",="24",="0",="13",="9",="5",="1",="3",="15",="10",="18",="17",="10",="3",="7",="13",="2",="22",="15",="5",="5",="27",="8",="11",="8",="2",="2",="0",="0",="1",="3",="0",="0",="0",="0",="6",="7",="4",="0",="0",="6",="6",="9",="16",="24",="24",="6",="6",="2",="7",="22",="4",="13",="10",="29",="37",="31",="20",="10",="18",="20",="33",="6",="46",="14",="7",="15",="4",="63",="36",="12",="44",="22",="13",="19",="10",="35",="12",="4",="11",="1",="6",="8",="8",="22",="56",="31",="17",="5",="6",="0",="0",="2",="3",="1",="3",="0",="126",="99",="5",="14",="8",="3",="0",="9",="13",="0",="4",="0",="2",="2",="3",="5",="5",="0",="0",="4",="12",="2",="56",="115",="1"
="VISp5",="14",="5",="14",="18",="1",="10",="1",="19",="4",="2",="10",="20",="23",="6",="16",="14",="1",="11",="3",="14",="13",="13",="10",="25",="33",="8",="9",="1",="0",="8",="5",="4",="5",="4",="2",="1",="0",="11",="11",="12",="5",="2",="16",="11",="20",="15",="18",="30",="23",="4",="12",="10",="4",="5",="33",="3",="36",="7",="25",="32",="8",="4",="5",="8",="10",="3",="0",="1",="2",="0",="17",="2",="13",="17",="21",="28",="35",="14",="51",="26",="5",="11",="8",="26",="12",="10",="13",="79",="33",="12",="15",="44",="6",="11",="8",="17",="18",="12",="3",="192",="24",="10",="23",="17",="34",="10",="61",="37",="62",="25",="17",="36",="20",="28",="20",="27",="19",="7",="32",="20",="11",="36",="34",="7"
="VISp6a",="2",="0",="1",="1",="0",="1",="0",="0",="0",="0",="0",="2",="1",="1",="0",="1",="2",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="1",="0",="0",="0",="1",="0",="0",="0",="1",="2",="0",="0",="0",="0",="0",="1",="8",="0",="0",="2",="0",="0",="1",="0",="5",="6",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="3",="7",="0",="2",="1",="0",="1",="2",="2",="1",="3",="0",="0",="3",="1",="2",="36",="1",="5",="1",="9",="7",="2",="1",="198",="25",="3",="29",="21",="26",="3",="8",="12",="0",="6",="1",="5",="7",="4",="6",="0",="3",="4",="1",="4",="4",="109",="38",="1"
="VISp6b",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="1",="55",="2",="0",="4",="11",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="3",="8",="1",="0"
="VISpl2/3",="4",="1",="0",="14",="11",="8",="0",="0",="1",="0",="7",="0",="0",="0",="0",="0",="1",="0",="1",="2",="2",="0",="0",="0",="0",="0",="3",="9",="4",="0",="9",="22",="1",="2",="4",="5",="0",="0",="0",="0",="6",="20",="12",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="9",="0",="3",="0",="5",="3",="0",="7",="9",="3",="9",="1",="0",="0",="12",="1",="28",="11",="6",="0",="1",="7",="4",="0",="0",="4",="0",="0",="7",="3",="6",="10",="14",="0",="12",="0",="14",="0",="1",="0",="1",="2",="0",="2",="1",="13",="0",="5",="0",="3",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="15",="11",="0"
="VISpl4",="0",="0",="0",="1",="2",="6",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="1",="2",="0",="2",="6",="0",="1",="4",="1",="0",="0",="0",="1",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="1",="0",="0",="1",="4",="0",="0",="0",="2",="0",="2",="0",="2",="1",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="1",="3",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="18",="2",="1"
="VISpl5",="3",="0",="0",="1",="13",="15",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="5",="0",="3",="0",="1",="0",="0",="0",="0",="0",="2",="3",="19",="2",="12",="17",="1",="9",="3",="15",="0",="0",="0",="3",="3",="2",="12",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="1",="0",="0",="1",="0",="0",="5",="0",="1",="3",="0",="0",="7",="1",="4",="1",="6",="0",="1",="2",="2",="0",="0",="2",="0",="0",="8",="3",="0",="1",="2",="0",="1",="0",="1",="0",="0",="4",="0",="5",="0",="1",="1",="19",="0",="6",="0",="9",="6",="2",="0",="1",="0",="0",="2",="0",="1",="1",="0",="0",="0",="3",="3",="1",="0",="43",="2",="5"
