 ,221057_071,221057_090,221057_098,221057_107,221057_130,221057_150,221057_156,221057_164,221364_052,221364_080,221364_081,221364_082,221364_083,221364_084,221364_085,221364_086,221364_087,221477_061,221479_158,221479_168,221479_216,221481_117,221481_118,221481_230,221481_241,221481_256,221481_507,221481_509,221481_513,221481_515,221481_522,221481_524,221481_538,221701_035,221701_040,221701_057,221701_061,221719_052,221733_181,230011_174,230011_175,230066_121,230066_126,230066_128,230080_262,230114_019,231570_005,231570_006,231570_008,231570_009,231570_011,231685_259,231687_007,231687_008,231687_010,231687_016,231687_029,233285_119,233379_001,233379_033,233379_035,233379_037,233379_047,233379_048,233379_049,233379_050,233379_051,233379_052,233379_111,233379_112,233379_113,233379_114,233379_115,233379_116,233379_117,233379_119,233379_121,233379_122,233379_125,233379_127,233379_129,233379_132,233379_133,233380_037,233668_061,233668_064,233668_076,233668_080,233668_130,233668_170,233668_253,233795_001,233795_003,233795_008,233795_009,233795_012,233795_072,233795_073,233795_074,233795_075,233795_087,233795_089,233795_090,233795_093,233795_094,233795_097,233795_100,233795_102,233795_103,233795_104,233795_106,233795_124,233795_125,221090_095,221090_097,221090_098,221090_102,221091_154,221417_015,221417_016,221417_018,221417_019,221417_043,221418_129,221418_139,221477_060,221478_326,221478_349,221479_159,221479_164,221480_100,221481_197,221481_198,231685_255,231686_050,233379_030,233379_031,233379_039,233379_040,233379_097,233379_103,233379_118,233379_130,233379_136,233379_142,233380_036,233666_204,233666_218,221090_092,221090_093,221090_094,221090_099,221091_125,221417_017,221418_001,221418_127,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221481_137,221515_017,231685_244,231687_014,233285_248,233379_123,233666_201,221065_082,231687_017,231687_027,233284_183,233285_047,221225_016,221226_014,221226_023,221365_065,221365_066,221365_067,221365_068,221365_069,221365_070,221365_073,221426_061,231687_001,231687_002,231687_003,231687_004,231687_006,231687_012,231687_013,233285_008,233285_040,233285_245,233285_246,233666_214,233667_280,233795_131,221536_025,221536_026,221536_032,221536_033,221536_034,221538_015,221719_054,233281_123,233285_001,233285_006,233285_038,233285_039,233285_045,233666_207
="SSp-bfd4",="0",="0",="7",="0",="0",="0",="2",="0",="1",="0",="0",="0",="4",="1",="0",="0",="0",="0",="7",="4",="5",="0",="0",="2",="5",="11",="3",="12",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="3",="0",="0",="2",="0",="0",="0",="9",="7",="0",="0",="16",="5",="2",="0",="4",="0",="3",="1",="0",="12",="1",="2",="8",="0",="0",="0",="0",="0",="0",="5",="3",="1",="2",="0",="0",="1",="0",="6",="0",="2",="30",="5",="0",="0",="0",="5",="0",="2",="2",="1",="0",="0",="1",="3",="1",="4",="0",="0",="0",="1",="4",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="3",="0",="2",="0",="0",="0",="1",="1",="10",="2",="0",="1",="7",="1",="0",="0",="0",="0",="10",="0",="0",="0",="0",="0",="1",="12",="12",="7",="2",="0",="0",="0",="0",="0",="1",="2",="0",="1",="0",="0",="0",="0",="1",="0",="0",="2",="0",="2",="0",="0",="1",="0",="0",="0",="1",="3",="0",="0",="9",="0",="0",="0",="0",="0",="2",="2",="0",="2",="0",="1",="1",="0",="0",="0",="0",="0",="0",="2",="2",="0",="0",="1",="0",="0",="0",="2",="0",="0",="35",="13",="1",="0",="0",="2",="0",="1",="2",="1",="0",="1",="2",="0",="3",="0",="0",="4",="0",="0",="3",="13",="1",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="3",="0",="0",="0",="0",="4",="0",="6",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="1",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="15",="0",="0",="5",="0",="2",="33",="0",="10",="0",="3",="4",="4",="0",="0",="0",="0",="0",="0",="0",="5",="3",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="2",="2",="0",="0",="0",="0",="4",="0",="1",="0",="0",="0",="11",="0",="15",="0",="3",="7",="2",="0",="5",="2",="0",="7",="0",="2",="0",="3",="8",="2",="2",="0",="5",="1",="1",="6",="3",="0",="3",="0",="5",="5",="1",="0",="0",="0",="2",="0",="4",="2",="0",="10",="0",="0",="0",="12",="2",="0",="0",="0",="1",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="11",="0",="0",="0",="0",="3",="0",="0",="11",="1",="0",="3",="6",="0",="1",="6",="3",="9",="0",="0",="1",="0",="0",="3",="4",="0",="0",="6",="0",="0",="6",="3",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="10",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="1",="0",="0",="0",="0",="1",="0",="16",="0",="2",="3",="1",="13",="0",="0",="0",="4",="0",="14",="1",="0",="3",="0",="0",="1",="0",="2",="3",="0",="3",="18",="11",="1",="4",="0",="24",="19",="0",="5",="0",="0",="1",="11",="0",="2",="0",="2",="0",="0",="0",="10",="10",="0",="0",="0",="0",="1",="1",="0",="36",="0",="0",="4",="3",="0",="0",="0",="0",="1",="14",="7",="1",="1",="1",="3",="1",="11",="4",="19",="19",="6",="0",="8",="2",="0",="2",="2",="15",="10",="20",="15",="32",="5",="0",="3",="5",="1",="3",="1",="1",="21",="0",="23",="18",="5",="1",="2",="4",="8",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="1",="0",="0",="16",="0",="3",="0",="2",="1",="5",="0",="0",="0",="0",="0",="0",="0",="1",="0",="3",="0",="0",="0",="0",="5",="0",="4",="4",="7",="0",="0",="2",="0",="3",="0",="5",="4",="0",="2",="0",="1",="0",="4",="4",="0",="0",="5",="0",="0",="2",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="1",="2",="9",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="2",="0",="0",="0",="0",="0",="2",="4",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="6",="14",="15",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="2",="2",="3",="0",="13",="5",="0",="8",="1",="6",="0",="12",="1",="0",="0",="1",="6",="0",="0",="8",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="2",="15",="5",="9",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="1",="3",="2",="5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="11",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="4",="2",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="5",="7",="0",="1",="0",="2",="0",="1",="0",="0",="0",="0",="0",="0",="2",="3",="0",="17",="2",="0",="15",="0",="4",="0",="9",="0",="0",="0",="0",="10",="0",="3",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam4",="1",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="3",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam5",="1",="4",="6",="5",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="5",="3",="4",="3",="0",="2",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="7",="1",="0",="1",="0",="2",="0",="2",="4",="0",="2",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="5",="0",="0",="0",="5",="0",="0",="10",="0",="0",="0",="1",="0",="1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0"
="VISl1",="7",="0",="0",="0",="6",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="3",="0",="1",="0",="0",="6",="4",="0",="8",="0",="2",="0",="0",="2",="0",="0",="4",="2",="15",="7",="0",="1",="3",="2",="0",="4",="16",="0",="0",="0",="0",="2",="4",="0",="0",="0",="0",="4",="5",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="6",="7",="1",="8",="0",="0",="0",="0",="0",="1",="3",="2",="5",="0",="1",="0",="0",="2",="2",="3",="9",="22",="5",="7",="27",="3",="0",="0",="0",="0",="2",="0",="0",="0",="1",="3",="0",="1",="0",="2",="0",="0",="0",="1",="0",="0",="0",="2",="0",="0",="24",="0",="2",="0",="0",="1",="0",="0",="0",="2",="0",="0",="0",="4",="35",="3",="2",="10",="2",="0",="6",="2",="2",="6",="0",="1",="0",="2",="1",="0",="0",="4",="5",="4",="0",="0",="20",="7",="0",="0",="5",="0",="0",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1",="0",="0",="0",="22",="6",="0",="0",="0",="0",="2",="0",="1",="0",="0",="0",="0",="0",="8",="8",="0",="0",="0",="2",="7",="4",="7",="7",="0",="1",="10",="29",="0",="14",="0",="2",="0",="0",="4",="0",="0",="2",="14",="8",="22",="0",="6",="6",="1",="0",="3",="8",="0",="0",="0",="0",="2",="10",="0",="7",="0",="0",="2",="6",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="1",="8",="1",="25",="2",="0",="0",="0",="0",="9",="4",="6",="10",="0",="3",="0",="0",="23",="10",="17",="20",="24",="13",="9",="16",="3",="3",="0",="0",="2",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="3",="0",="2",="14",="0",="3",="5",="0",="0",="0",="11",="0",="1",="0",="0",="0",="0",="0",="0",="3",="4",="0",="2",="10",="4",="3",="0",="0",="0",="0",="9",="3",="1",="7",="0",="0",="0",="1",="1",="4",="7",="9",="2",="3",="0",="0",="2",="4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
